legacy_id,objectid,collectionid,display_template,parentid,sequence,pres_file,filename,object_location,image_alt_text,image_small,image_thumb,object_ocr,object_hocr,object_transcript,object_pdf,title,ark,avian_id,uid,call_number,archival_collection,finding_aid_ark,archival_series_title,folder_title,box,folder_num,contributing_institution,contributing_institution_uri,personal_creator,personal_creator_uri,corporate_creator,corporate_creator_uri,interviewee,interviewee_uri,interviewer,interviewer_uri,personal_contributor,personal_contributor_uri,corporate_contributor,corporate_contributor_uri,description,disclaimer,language,chronological_subject,personal_name_subject,personal_name_subject_uri,corporate_name_subject,corporate_name_subject_uri,subject,subject_uri,location,location_uri,latitude,longitude,geodetic_datum,extent,medium,medium_uri,genre,genre_uri,type,format,rights,rightsstatement,date,date_digital,publisher,publisher_uri,issuance,issuance_start,issuance_end,frequency,digital_collection,digital_collection_ark,relation,relation_uri,digital_origin
ActivistAg_0,activistag0,activistag,child,activistag2,1,0588b006f009i012.tif,0588b006f009i012.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/activistag/0588b006f009i012.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/activistag/small/0588b006f009i012_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/activistag/thumbs/0588b006f009i012_th.jpg,,,,,Front,,,,MS 588,Charles Walters papers,https://n2t.net/ark:/87292/w93f5m,,,6,9,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Activist agriculture collection,https://n2t.net/ark:/87292/w9445hc1f,,,reformatted digital
ActivistAg_1,activistag1,activistag,child,activistag2,2,0588b006f009i013.tif,0588b006f009i013.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/activistag/0588b006f009i013.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/activistag/small/0588b006f009i013_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/activistag/thumbs/0588b006f009i013_th.jpg,,,,,Back,,,,MS 588,Charles Walters papers,https://n2t.net/ark:/87292/w93f5m,,,6,9,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Activist agriculture collection,https://n2t.net/ark:/87292/w9445hc1f,,,reformatted digital
ActivistAg_2,activistag2,activistag,complex,,0,,,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/activistag/small/0588b006f009i012_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/activistag/thumbs/0588b006f009i012_th.jpg,,,,,"Photograph of NFO President, Oren Lee Staley, Answering Questions After the First Milk Pour out in the Streets of Corning, Iowa",https://n2t.net/ark:/87292/w9p028,,,MS 588,Charles Walters papers,https://n2t.net/ark:/87292/w93f5m,,,6,9,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,National Farmers Organization (U.S.),http://id.loc.gov/authorities/names/n85078898,,,,,,,,,"Photograph of NFO President, Oren Lee Staley, answering questions after the first milk pour out in the streets of Corning, Iowa.",,eng,1960s,"Staley, Oren Lee, 1923-1988",,National Farmers Organization (U.S.),http://id.loc.gov/authorities/names/n85078898,Farmers--Political activity;Farmers;Demonstrations,http://id.worldcat.org/fast/921352;http://id.worldcat.org/fast/921321;http://id.worldcat.org/fast/890222,Iowa--Corning;Iowa--Adams County,http://id.worldcat.org/fast/1926235;http://id.worldcat.org/fast/1212631,,,,1 item,,,photographs,http://vocab.getty.edu/aat/300046300,Image,image/jpeg,"The Iowa State University Library has reviewed this item but was unable to make a conclusive determination as to the copyright and related rights status of the item. If you have information that can contribute to identifying or locating the rights-holder, please notify the Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/UND/1.0/,1967,2018-05-15,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Activist agriculture collection,https://n2t.net/ark:/87292/w9445hc1f,,,reformatted digital; Digitized with Plustek
ActivistAg_5,activistag5,activistag,complex,,0,,,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/activistag/small/0588b006f009i001_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/activistag/thumbs/0588b006f009i001_th.jpg,,,,,Photograph of Four People Dumping Full Milk Canisters on to a Field,https://n2t.net/ark:/87292/w9j61q,,,MS 588,Charles Walters papers,https://n2t.net/ark:/87292/w93f5m,,,6,9,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,Photograph showing four people dumping full milk canisters into a field.,,eng,1960s,,,National Farmers Organization (U.S.),http://id.loc.gov/authorities/names/n85078898,Farmers--Political activity;Farmers,http://id.worldcat.org/fast/921352;http://id.worldcat.org/fast/921321,,,,,,1 item,,,photographs,http://vocab.getty.edu/aat/300046300,Image,image/jpeg,"The Iowa State University Library has reviewed this item but was unable to make a conclusive determination as to the copyright and related rights status of the item. If you have information that can contribute to identifying or locating the rights-holder, please notify the Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/UND/1.0/,1967,2018-05-15,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Activist agriculture collection,https://n2t.net/ark:/87292/w9445hc1f,,,reformatted digital; Digitized with Plustek
ActivistAg_3,activistag3,activistag,child,activistag5,1,0588b006f009i001.tif,0588b006f009i001.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/activistag/0588b006f009i001.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/activistag/small/0588b006f009i001_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/activistag/thumbs/0588b006f009i001_th.jpg,,,,,Front,,,,MS 588,Charles Walters papers,https://n2t.net/ark:/87292/w93f5m,,,6,9,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Activist agriculture collection,https://n2t.net/ark:/87292/w9445hc1f,,,reformatted digital
ActivistAg_4,activistag4,activistag,child,activistag5,2,0588b006f009i002.tif,0588b006f009i002.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/activistag/0588b006f009i002.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/activistag/small/0588b006f009i002_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/activistag/thumbs/0588b006f009i002_th.jpg,,,,,Back,,,,MS 588,Charles Walters papers,https://n2t.net/ark:/87292/w93f5m,,,6,9,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Activist agriculture collection,https://n2t.net/ark:/87292/w9445hc1f,,,reformatted digital
ActivistAg_8,activistag8,activistag,complex,,0,,,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/activistag/small/0588b006f009i007_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/activistag/thumbs/0588b006f009i007_th.jpg,,,,,Photograph of a Man and Women Walking with Signs Hung Around Their Necks,https://n2t.net/ark:/87292/w9dg7h,,,MS 588,Charles Walters papers,https://n2t.net/ark:/87292/w93f5m,,,6,9,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,National Farmers Organization (U.S.),http://id.loc.gov/authorities/names/n85078898,,,,,,,,,"Photograph of a man and a woman with signs hung around their necks. The Man's sign reads, ""We are only asking 2c a quart increase NFO."" The woman's sign reads, ""NFO.""",,eng,1960s,,,National Farmers Organization (U.S.),http://id.loc.gov/authorities/names/n85078898,Farmers--Political activity;Farmers;Demonstrations,http://id.worldcat.org/fast/921352;http://id.worldcat.org/fast/921321;http://id.worldcat.org/fast/890222,,,,,,1 item,,,photographs,http://vocab.getty.edu/aat/300046300,Image,image/jpeg,"The Iowa State University Library has reviewed this item but was unable to make a conclusive determination as to the copyright and related rights status of the item. If you have information that can contribute to identifying or locating the rights-holder, please notify the Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/UND/1.0/,1967,2018-05-15,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Activist agriculture collection,https://n2t.net/ark:/87292/w9445hc1f,,,reformatted digital; Digitized with Plustek
ActivistAg_6,activistag6,activistag,child,activistag8,1,0588b006f009i007.tif,0588b006f009i007.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/activistag/0588b006f009i007.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/activistag/small/0588b006f009i007_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/activistag/thumbs/0588b006f009i007_th.jpg,,,,,Front,,,,MS 588,Charles Walters papers,https://n2t.net/ark:/87292/w93f5m,,,6,9,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Activist agriculture collection,https://n2t.net/ark:/87292/w9445hc1f,,,reformatted digital
ActivistAg_7,activistag7,activistag,child,activistag8,2,0588b006f009i008.tif,0588b006f009i008.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/activistag/0588b006f009i008.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/activistag/small/0588b006f009i008_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/activistag/thumbs/0588b006f009i008_th.jpg,,,,,Back,,,,MS 588,Charles Walters papers,https://n2t.net/ark:/87292/w93f5m,,,6,9,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Activist agriculture collection,https://n2t.net/ark:/87292/w9445hc1f,,,reformatted digital
ActivistAg_11,activistag11,activistag,complex,,0,,,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/activistag/small/0481b001f015i001_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/activistag/thumbs/0481b001f015i001_th.jpg,,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/activistag/pdf/activistag11.pdf,"National Farmers Organization News Release Announcing a Milk Holding Action, March 15, 1967",https://n2t.net/ark:/87292/w98p6z,,,MS 481,National Farmers Organization records,https://n2t.net/ark:/87292/w9rf44,,,1,15,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,National Farmers Organization (U.S.),http://id.loc.gov/authorities/names/n85078898,,,,,,,,,National Farmers Organization news release announcing a milk holding action.,,eng,1960s,,,National Farmers Organization (U.S.),http://id.loc.gov/authorities/names/n85078898,Farmers--Political activity;Farmers,http://id.worldcat.org/fast/921352;http://id.worldcat.org/fast/921321,Iowa--Corning;Iowa--Adams County,http://id.worldcat.org/fast/1926235;http://id.worldcat.org/fast/1212631,,,,2 pages,,,press releases,http://vocab.getty.edu/aat/300026437,Text,image/jpeg,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,1967-04-15,2018-05-10,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Activist agriculture collection,https://n2t.net/ark:/87292/w9445hc1f,,,reformatted digital; Digitized with Plustek
ActivistAg_9,activistag9,activistag,child,activistag11,1,0481b001f015i001.tif,0481b001f015i001.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/activistag/0481b001f015i001.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/activistag/small/0481b001f015i001_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/activistag/thumbs/0481b001f015i001_th.jpg,,,,,Page 1,,,,MS 481,National Farmers Organization records,https://n2t.net/ark:/87292/w9rf44,,,1,15,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Activist agriculture collection,https://n2t.net/ark:/87292/w9445hc1f,,,reformatted digital
ActivistAg_10,activistag10,activistag,child,activistag11,2,0481b001f015i002.tif,0481b001f015i002.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/activistag/0481b001f015i002.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/activistag/small/0481b001f015i002_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/activistag/thumbs/0481b001f015i002_th.jpg,,,,,Page 2,,,,MS 481,National Farmers Organization records,https://n2t.net/ark:/87292/w9rf44,,,1,15,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Activist agriculture collection,https://n2t.net/ark:/87292/w9445hc1f,,,reformatted digital
ActivistAg_14,activistag14,activistag,complex,,0,,,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/activistag/small/0588b006f009i003_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/activistag/thumbs/0588b006f009i003_th.jpg,,,,,"Photograph of a Family Walking Through a Field holding signs that say, ""We like farming but can't do it for fun alone. Support NFO.""",https://n2t.net/ark:/87292/w9502m,,,MS 588,Charles Walters papers,https://n2t.net/ark:/87292/w93f5m,,,6,9,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,National Farmers Organization (U.S.),http://id.loc.gov/authorities/names/n85078898,,,,,,,,,"Photograph of a family walking through field with parked cars holding sign that reads, ""We like farming but can't do it for fun alone. Support NFO.""",,eng,1960s,,,National Farmers Organization (U.S.),http://id.loc.gov/authorities/names/n85078898,Farmers--Political activity;Farmers;Demonstrations,http://id.worldcat.org/fast/921352;http://id.worldcat.org/fast/921321;http://id.worldcat.org/fast/890222,,,,,,1 item,,,photographs,http://vocab.getty.edu/aat/300046300,Image,image/jpeg,"The Iowa State University Library has reviewed this item but was unable to make a conclusive determination as to the copyright and related rights status of the item. If you have information that can contribute to identifying or locating the rights-holder, please notify the Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/UND/1.0/,1967,2018-05-15,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Activist agriculture collection,https://n2t.net/ark:/87292/w9445hc1f,,,reformatted digital
