legacy_id,objectid,collectionid,display_template,parentid,sequence,pres_file,filename,object_location,image_alt_text,image_small,image_thumb,object_ocr,object_hocr,object_transcript,object_pdf,title,ark,avian_id,uid,call_number,archival_collection,finding_aid_ark,archival_series_title,folder_title,box,folder_num,contributing_institution,contributing_institution_uri,personal_creator,personal_creator_uri,corporate_creator,corporate_creator_uri,interviewee,interviewee_uri,interviewer,interviewer_uri,personal_contributor,personal_contributor_uri,corporate_contributor,corporate_contributor_uri,description,disclaimer,language,chronological_subject,personal_name_subject,personal_name_subject_uri,corporate_name_subject,corporate_name_subject_uri,subject,subject_uri,location,location_uri,latitude,longitude,geodetic_datum,extent,medium,medium_uri,genre,genre_uri,type,format,rights,rightsstatement,date,date_digital,publisher,publisher_uri,issuance,issuance_start,issuance_end,frequency,digital_collection,digital_collection_ark,relation,relation_uri,digital_origin
AdamsFamilyPapers_383,adamsfamilypapers383,adamsfamilypapers,complex,,0,,,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adamsfamilypapers/small/0010_adams_0001-006-1857-02-21_001_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adamsfamilypapers/thumbs/0010_adams_0001-006-1857-02-21_001_th.jpg,,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adamsfamilypapers/pdf/adamsfamilypapers383.pdf,"Mary Newbury Adams letters, 1857-1869",https://n2t.net/ark:/87292/w9fj8w,,,MS 010,Adams Family papers,https://n2t.net/ark:/87292/w9g47p,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Adams, Mary Newbury, 1837-1901",,,,,,,,,,,,"Letters from Mary Newbury Adams (1837-1901) to her sister Frances and brother-in-law John. The letters contain a mixture of family and day-to-day news, with mentions of organizations in which Mary was active.",,eng,1850s;1860s,"Adams, Mary Newbury, 1837-1901;Newbury, Frances Elizabeth, 1833-1898;Bagley, John Judson, 1832-1881;Adams family",;;;http://id.loc.gov/authorities/subjects/sh85000788,,,Women;Women--Social life and customs;Women's rights;Women--Suffrage;Feminists;Women--Societies and clubs,http://id.worldcat.org/fast/1176568;http://id.worldcat.org/fast/1176964;http://id.worldcat.org/fast/1178818;http://id.worldcat.org/fast/1176996;http://id.worldcat.org/fast/922831;http://id.worldcat.org/fast/1176970,Iowa--Dubuque County;Iowa,http://id.worldcat.org/fast/1212637;http://id.worldcat.org/fast/1205835,,,,191 pages; 50 letters,,,letters (correspondence),http://vocab.getty.edu/aat/300026879,Text,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,1857/1869,2013-12,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Adams family papers,https://n2t.net/ark:/87292/w9nc5sc29,,,reformatted digital
AdamsFamilyPapers_192,adamsfamilypapers192,adamsfamilypapers,child,adamsfamilypapers383,1,0010_Adams_0001-006-1857-02-21_001.tif,0010_adams_0001-006-1857-02-21_001.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adamsfamilypapers/0010_adams_0001-006-1857-02-21_001.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adamsfamilypapers/small/0010_adams_0001-006-1857-02-21_001_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adamsfamilypapers/thumbs/0010_adams_0001-006-1857-02-21_001_th.jpg,,,,,"February 21, 1857",,,,MS 010,Adams Family papers,https://n2t.net/ark:/87292/w9g47p,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Adams family papers,https://n2t.net/ark:/87292/w9nc5sc29,,,reformatted digital
AdamsFamilyPapers_193,adamsfamilypapers193,adamsfamilypapers,child,adamsfamilypapers383,2,0010_Adams_0001-006-1857-02-21_002.tif,0010_adams_0001-006-1857-02-21_002.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adamsfamilypapers/0010_adams_0001-006-1857-02-21_002.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adamsfamilypapers/small/0010_adams_0001-006-1857-02-21_002_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adamsfamilypapers/thumbs/0010_adams_0001-006-1857-02-21_002_th.jpg,,,,,"February 21, 1857--page 2",,,,MS 010,Adams Family papers,https://n2t.net/ark:/87292/w9g47p,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Adams family papers,https://n2t.net/ark:/87292/w9nc5sc29,,,reformatted digital
AdamsFamilyPapers_194,adamsfamilypapers194,adamsfamilypapers,child,adamsfamilypapers383,3,0010_Adams_0001-006-1859-05-08_001.tif,0010_adams_0001-006-1859-05-08_001.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adamsfamilypapers/0010_adams_0001-006-1859-05-08_001.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adamsfamilypapers/small/0010_adams_0001-006-1859-05-08_001_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adamsfamilypapers/thumbs/0010_adams_0001-006-1859-05-08_001_th.jpg,,,,,"May 8, 1859",,,,MS 010,Adams Family papers,https://n2t.net/ark:/87292/w9g47p,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Adams family papers,https://n2t.net/ark:/87292/w9nc5sc29,,,reformatted digital
AdamsFamilyPapers_195,adamsfamilypapers195,adamsfamilypapers,child,adamsfamilypapers383,4,0010_Adams_0001-006-1859-05-08_002.tif,0010_adams_0001-006-1859-05-08_002.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adamsfamilypapers/0010_adams_0001-006-1859-05-08_002.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adamsfamilypapers/small/0010_adams_0001-006-1859-05-08_002_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adamsfamilypapers/thumbs/0010_adams_0001-006-1859-05-08_002_th.jpg,,,,,"May 8, 1859",,,,MS 010,Adams Family papers,https://n2t.net/ark:/87292/w9g47p,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Adams family papers,https://n2t.net/ark:/87292/w9nc5sc29,,,reformatted digital
AdamsFamilyPapers_196,adamsfamilypapers196,adamsfamilypapers,child,adamsfamilypapers383,5,0010_Adams_0001-006-1859-08-27_001.tif,0010_adams_0001-006-1859-08-27_001.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adamsfamilypapers/0010_adams_0001-006-1859-08-27_001.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adamsfamilypapers/small/0010_adams_0001-006-1859-08-27_001_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adamsfamilypapers/thumbs/0010_adams_0001-006-1859-08-27_001_th.jpg,,,,,"August 27, 1859",,,,MS 010,Adams Family papers,https://n2t.net/ark:/87292/w9g47p,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Adams family papers,https://n2t.net/ark:/87292/w9nc5sc29,,,reformatted digital
AdamsFamilyPapers_197,adamsfamilypapers197,adamsfamilypapers,child,adamsfamilypapers383,6,0010_Adams_0001-006-1859-08-27_002.tif,0010_adams_0001-006-1859-08-27_002.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adamsfamilypapers/0010_adams_0001-006-1859-08-27_002.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adamsfamilypapers/small/0010_adams_0001-006-1859-08-27_002_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adamsfamilypapers/thumbs/0010_adams_0001-006-1859-08-27_002_th.jpg,,,,,"August 27, 1859",,,,MS 010,Adams Family papers,https://n2t.net/ark:/87292/w9g47p,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Adams family papers,https://n2t.net/ark:/87292/w9nc5sc29,,,reformatted digital
AdamsFamilyPapers_198,adamsfamilypapers198,adamsfamilypapers,child,adamsfamilypapers383,7,0010_Adams_0001-006-1859-08-27_003.tif,0010_adams_0001-006-1859-08-27_003.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adamsfamilypapers/0010_adams_0001-006-1859-08-27_003.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adamsfamilypapers/small/0010_adams_0001-006-1859-08-27_003_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adamsfamilypapers/thumbs/0010_adams_0001-006-1859-08-27_003_th.jpg,,,,,"August 27, 1859",,,,MS 010,Adams Family papers,https://n2t.net/ark:/87292/w9g47p,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Adams family papers,https://n2t.net/ark:/87292/w9nc5sc29,,,reformatted digital
AdamsFamilyPapers_199,adamsfamilypapers199,adamsfamilypapers,child,adamsfamilypapers383,8,0010_Adams_0001-006-1859-08-27_004.tif,0010_adams_0001-006-1859-08-27_004.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adamsfamilypapers/0010_adams_0001-006-1859-08-27_004.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adamsfamilypapers/small/0010_adams_0001-006-1859-08-27_004_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adamsfamilypapers/thumbs/0010_adams_0001-006-1859-08-27_004_th.jpg,,,,,"August 27, 1859",,,,MS 010,Adams Family papers,https://n2t.net/ark:/87292/w9g47p,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Adams family papers,https://n2t.net/ark:/87292/w9nc5sc29,,,reformatted digital
AdamsFamilyPapers_200,adamsfamilypapers200,adamsfamilypapers,child,adamsfamilypapers383,9,0010_Adams_0001-006-1859-10-22_001.tif,0010_adams_0001-006-1859-10-22_001.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adamsfamilypapers/0010_adams_0001-006-1859-10-22_001.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adamsfamilypapers/small/0010_adams_0001-006-1859-10-22_001_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adamsfamilypapers/thumbs/0010_adams_0001-006-1859-10-22_001_th.jpg,,,,,"October 22, 1859",,,,MS 010,Adams Family papers,https://n2t.net/ark:/87292/w9g47p,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Adams family papers,https://n2t.net/ark:/87292/w9nc5sc29,,,reformatted digital
