legacy_id,objectid,collectionid,display_template,parentid,sequence,pres_file,filename,object_location,image_alt_text,image_small,image_thumb,object_ocr,object_hocr,object_transcript,object_pdf,title,ark,avian_id,uid,call_number,archival_collection,finding_aid_ark,archival_series_title,folder_title,box,folder_num,contributing_institution,contributing_institution_uri,personal_creator,personal_creator_uri,corporate_creator,corporate_creator_uri,interviewee,interviewee_uri,interviewer,interviewer_uri,personal_contributor,personal_contributor_uri,corporate_contributor,corporate_contributor_uri,description,disclaimer,language,chronological_subject,personal_name_subject,personal_name_subject_uri,corporate_name_subject,corporate_name_subject_uri,subject,subject_uri,location,location_uri,latitude,longitude,geodetic_datum,extent,medium,medium_uri,genre,genre_uri,type,format,rights,rightsstatement,date,date_digital,publisher,publisher_uri,issuance,issuance_start,issuance_end,frequency,digital_collection,digital_collection_ark,relation,relation_uri,digital_origin
ALOH_AV205579,alohav205579,aloh,audio,,0,RS017-001-005_Kelly.mp3,rs017-001-005_kelly.mp3,https://iastate.aviaryplatform.com/r/m32n58d38c,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/aloh/small/ames_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/aloh/thumbs/ames_th.jpg,,,,,Interview with Tom Kelly,https://n2t.net/ark:/87292/w93n20m32,,AV205579,RS 17/1/5,Ames Laboratory records,https://n2t.net/ark:/87292/w90j63,"Oral History Collection, 2007",,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,"Kelly, Tom",,"Futrell, Susan, 1955-",http://id.loc.gov/authorities/names/no2017018783,,,,,Oral history interviews conducted by Sue Futrell with individuals who worked at the Ames Laboratory (now Ames National Laboratory) in the latter half of the 20th century.,,eng,20th century,,,Ames Laboratory,http://id.loc.gov/authorities/names/n79032224,Laboratories,http://id.worldcat.org/fast/990341,Iowa--Ames,http://id.worldcat.org/fast/1207548,,,,01:23:02,MP3,http://vocab.getty.edu/aat/300312047,oral histories (literary genre),http://vocab.getty.edu/aat/300202595,Sound,audio/mpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from the rights-holder.",http://rightsstatements.org/vocab/InC/1.0/,,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Ames Laboratory oral histories,https://n2t.net/ark:/87292/w97d2qd7t,,,reformatted digital
ALOH_AV205583,alohav205583,aloh,audio,,0,RS017-001-005_Schneider.mp3,rs017-001-005_schneider.mp3,https://iastate.aviaryplatform.com/r/zp3vt1h88r,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/aloh/small/ames_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/aloh/thumbs/ames_th.jpg,,,,,Interview with Carl Schneider,https://n2t.net/ark:/87292/w9zw18z9j,,AV205583,RS 17/1/5,Ames Laboratory records,https://n2t.net/ark:/87292/w90j63,"Oral History Collection, 2007",,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,"Schneider, Carl",,"Futrell, Susan, 1955-",http://id.loc.gov/authorities/names/no2017018783,,,,,Oral history interviews conducted by Sue Futrell with individuals who worked at the Ames Laboratory (now Ames National Laboratory) in the latter half of the 20th century.,,eng,2000s,,,Ames Laboratory,http://id.loc.gov/authorities/names/n79032224,Laboratories,http://id.worldcat.org/fast/990341,Iowa--Ames,http://id.worldcat.org/fast/1207548,,,,01:35:40,MP3,http://vocab.getty.edu/aat/300312047,oral histories (literary genre),http://vocab.getty.edu/aat/300202595,Sound,audio/mpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from the rights-holder.",http://rightsstatements.org/vocab/InC/1.0/,2007-05-16,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Ames Laboratory oral histories,https://n2t.net/ark:/87292/w97d2qd7t,,,reformatted digital
ALOH_AV205578,alohav205578,aloh,audio,,0,RS017-001-005_Johnson.mp3,rs017-001-005_johnson.mp3,https://iastate.aviaryplatform.com/r/hq3rv0dc81,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/aloh/small/ames_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/aloh/thumbs/ames_th.jpg,,,,,Interview with Ardis Johnson,https://n2t.net/ark:/87292/w9v40k554,,AV205578,RS 17/1/5,Ames Laboratory records,https://n2t.net/ark:/87292/w90j63,"Oral History Collection, 2007",,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,"Johnson, Ardis",,"Futrell, Susan, 1955-",http://id.loc.gov/authorities/names/no2017018783,,,,,Oral history interviews conducted by Sue Futrell with individuals who worked at the Ames Laboratory (now Ames National Laboratory) in the latter half of the 20th century.,,eng,2000s,,,Ames Laboratory,http://id.loc.gov/authorities/names/n79032224,Laboratories,http://id.worldcat.org/fast/990341,Iowa--Ames,http://id.worldcat.org/fast/1207548,,,,01:19:45,MP3,http://vocab.getty.edu/aat/300312047,oral histories (literary genre),http://vocab.getty.edu/aat/300202595,Sound,audio/mpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from the rights-holder.",http://rightsstatements.org/vocab/InC/1.0/,2007-08-29,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Ames Laboratory oral histories,https://n2t.net/ark:/87292/w97d2qd7t,,,reformatted digital
ALOH_AV205581,alohav205581,aloh,audio,,0,RS017-001-005_Provow.mp3,rs017-001-005_provow.mp3,https://iastate.aviaryplatform.com/r/gm81j97s2z,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/aloh/small/ames_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/aloh/thumbs/ames_th.jpg,,,,,Interview with Douglas Provow,https://n2t.net/ark:/87292/w9qb9vc1f,,AV205581,RS 17/1/5,Ames Laboratory records,https://n2t.net/ark:/87292/w90j63,"Oral History Collection, 2007",,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,"Provow, Douglas",,"Futrell, Susan, 1955-",http://id.loc.gov/authorities/names/no2017018783,,,,,Oral history interviews conducted by Sue Futrell with individuals who worked at the Ames Laboratory (now Ames National Laboratory) in the latter half of the 20th century.,,eng,2000s,,,Ames Laboratory,http://id.loc.gov/authorities/names/n79032224,Laboratories,http://id.worldcat.org/fast/990341,Iowa--Ames,http://id.worldcat.org/fast/1207548,,,,01:25:00,MP3,http://vocab.getty.edu/aat/300312047,oral histories (literary genre),http://vocab.getty.edu/aat/300202595,Sound,audio/mpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from the rights-holder.",http://rightsstatements.org/vocab/InC/1.0/,2007-04-17,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Ames Laboratory oral histories,https://n2t.net/ark:/87292/w97d2qd7t,,,reformatted digital
ALOH_AV205576,alohav205576,aloh,audio,,0,RS017-001-005_Dreeszen.mp3,rs017-001-005_dreeszen.mp3,https://iastate.aviaryplatform.com/r/x921c1v50d,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/aloh/small/ames_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/aloh/thumbs/ames_th.jpg,,,,,Interview with Emmett Dreeszen,https://n2t.net/ark:/87292/w9kk94j72,,AV205576,RS 17/1/5,Ames Laboratory records,https://n2t.net/ark:/87292/w90j63,"Oral History Collection, 2007",,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,"Dreeszen, Emmett",,"Futrell, Susan, 1955-",http://id.loc.gov/authorities/names/no2017018783,,,,,Oral history interviews conducted by Sue Futrell with individuals who worked at the Ames Laboratory (now Ames National Laboratory) in the latter half of the 20th century.,,eng,2000s,,,Ames Laboratory,http://id.loc.gov/authorities/names/n79032224,Laboratories,http://id.worldcat.org/fast/990341,Iowa--Ames,http://id.worldcat.org/fast/1207548,,,,01:19:50,MP3,http://vocab.getty.edu/aat/300312047,oral histories (literary genre),http://vocab.getty.edu/aat/300202595,Sound,audio/mpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from the rights-holder.",http://rightsstatements.org/vocab/InC/1.0/,2007-12-14,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Ames Laboratory oral histories,https://n2t.net/ark:/87292/w97d2qd7t,,,reformatted digital
ALOH_AV205584,alohav205584,aloh,audio,,0,RS017-001-005_Smith.mp3,rs017-001-005_smith.mp3,https://iastate.aviaryplatform.com/r/7p8tb0z494,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/aloh/small/ames_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/aloh/thumbs/ames_th.jpg,,,,,Interview with John Smith,https://n2t.net/ark:/87292/w9ft8dr3x,,AV205584,RS 17/1/5,Ames Laboratory records,https://n2t.net/ark:/87292/w90j63,"Oral History Collection, 2007",,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,"Smith, John",,"Futrell, Susan, 1955-",http://id.loc.gov/authorities/names/no2017018783,,,,,Oral history interviews conducted by Sue Futrell with individuals who worked at the Ames Laboratory (now Ames National Laboratory) in the latter half of the 20th century.,,eng,2000s,,,Ames Laboratory,http://id.loc.gov/authorities/names/n79032224,Laboratories,http://id.worldcat.org/fast/990341,Iowa--Ames,http://id.worldcat.org/fast/1207548,,,,01:12:39,MP3,http://vocab.getty.edu/aat/300312047,oral histories (literary genre),http://vocab.getty.edu/aat/300202595,Sound,audio/mpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from the rights-holder.",http://rightsstatements.org/vocab/InC/1.0/,2007-08-29,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Ames Laboratory oral histories,https://n2t.net/ark:/87292/w97d2qd7t,,,reformatted digital
ALOH_AV205582,alohav205582,aloh,audio,,0,RS017-001-005_Schmidt.mp3,rs017-001-005_schmidt.mp3,https://iastate.aviaryplatform.com/r/445h98zr6w,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/aloh/small/ames_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/aloh/thumbs/ames_th.jpg,,,,,Interview with Frederick Schmidt,https://n2t.net/ark:/87292/w9b56db2t,,AV205582,RS 17/1/5,Ames Laboratory records,https://n2t.net/ark:/87292/w90j63,"Oral History Collection, 2007",,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,"Schmidt, Frederick",,"Futrell, Susan, 1955-",http://id.loc.gov/authorities/names/no2017018783,,,,,Oral history interviews conducted by Sue Futrell with individuals who worked at the Ames Laboratory (now Ames National Laboratory) in the latter half of the 20th century.,,eng,2000s,,,Ames Laboratory,http://id.loc.gov/authorities/names/n79032224,Laboratories,http://id.worldcat.org/fast/990341,Iowa--Ames,http://id.worldcat.org/fast/1207548,,,,01:08:31,MP3,http://vocab.getty.edu/aat/300312047,oral histories (literary genre),http://vocab.getty.edu/aat/300202595,Sound,audio/mpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from the rights-holder.",http://rightsstatements.org/vocab/InC/1.0/,2007-04-19,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Ames Laboratory oral histories,https://n2t.net/ark:/87292/w97d2qd7t,,,reformatted digital
ALOH_AV205587,alohav205587,aloh,audio,,0,RS017-001-005_Struss.mp3,rs017-001-005_struss.mp3,https://iastate.aviaryplatform.com/r/542j679572,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/aloh/small/ames_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/aloh/thumbs/ames_th.jpg,,,,,Interview with Roland Stuss,https://n2t.net/ark:/87292/w96d5ph82,,AV205587,RS 17/1/5,Ames Laboratory records,https://n2t.net/ark:/87292/w90j63,"Oral History Collection, 2007",,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,"Stuss, Roland",,"Futrell, Susan, 1955-",http://id.loc.gov/authorities/names/no2017018783,,,,,Oral history interviews conducted by Sue Futrell with individuals who worked at the Ames Laboratory (now Ames National Laboratory) in the latter half of the 20th century.,,eng,2000s,,,Ames Laboratory,http://id.loc.gov/authorities/names/n79032224,Laboratories,http://id.worldcat.org/fast/990341,Iowa--Ames,http://id.worldcat.org/fast/1207548,,,,01:38:48,MP3,http://vocab.getty.edu/aat/300312047,oral histories (literary genre),http://vocab.getty.edu/aat/300202595,Sound,audio/mpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from the rights-holder.",http://rightsstatements.org/vocab/InC/1.0/,2007-08-30,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Ames Laboratory oral histories,https://n2t.net/ark:/87292/w97d2qd7t,,,reformatted digital
ALOH_AV205589,alohav205589,aloh,audio,,0,RS017-001-005_Wilhelm.mp3,rs017-001-005_wilhelm.mp3,https://iastate.aviaryplatform.com/r/862b853x0v,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/aloh/small/ames_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/aloh/thumbs/ames_th.jpg,,,,,Interview with the Wilhelm family,https://n2t.net/ark:/87292/w92n4zq4x,,AV205589,RS 17/1/5,Ames Laboratory records,https://n2t.net/ark:/87292/w90j63,"Oral History Collection, 2007",,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,Wilhelm family,,"Futrell, Susan, 1955-",http://id.loc.gov/authorities/names/no2017018783,,,,,Oral history interviews conducted by Sue Futrell with individuals who worked at the Ames Laboratory (now Ames National Laboratory) in the latter half of the 20th century.,,eng,2000s,,,Ames Laboratory,http://id.loc.gov/authorities/names/n79032224,Laboratories,http://id.worldcat.org/fast/990341,Iowa--Ames,http://id.worldcat.org/fast/1207548,,,,01:40:12,MP3,http://vocab.getty.edu/aat/300312047,oral histories (literary genre),http://vocab.getty.edu/aat/300202595,Sound,audio/mpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from the rights-holder.",http://rightsstatements.org/vocab/InC/1.0/,2007-04-20,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Ames Laboratory oral histories,https://n2t.net/ark:/87292/w97d2qd7t,,,reformatted digital
ALOH_AV205585,alohav205585,aloh,audio,,0,RS017-001-005_Staggs.mp3,rs017-001-005_staggs.mp3,https://iastate.aviaryplatform.com/r/8p5v698n57,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/aloh/small/ames_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/aloh/thumbs/ames_th.jpg,,,,,Interview with Ruth Staggs,https://n2t.net/ark:/87292/w9xw4829q,,AV205585,RS 17/1/5,Ames Laboratory records,https://n2t.net/ark:/87292/w90j63,"Oral History Collection, 2007",,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,"Staggs, Ruth",,"Futrell, Susan, 1955-",http://id.loc.gov/authorities/names/no2017018783,,,,,Oral history interviews conducted by Sue Futrell with individuals who worked at the Ames Laboratory (now Ames National Laboratory) in the latter half of the 20th century.,,eng,20th century,,,Ames Laboratory,http://id.loc.gov/authorities/names/n79032224,Laboratories,http://id.worldcat.org/fast/990341,Iowa--Ames,http://id.worldcat.org/fast/1207548,,,,02:12:04,MP3,http://vocab.getty.edu/aat/300312047,oral histories (literary genre),http://vocab.getty.edu/aat/300202595,Sound,audio/mpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from the rights-holder.",http://rightsstatements.org/vocab/InC/1.0/,,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Ames Laboratory oral histories,https://n2t.net/ark:/87292/w97d2qd7t,,,reformatted digital
