legacy_id,objectid,collectionid,display_template,parentid,sequence,pres_file,filename,object_location,image_alt_text,image_small,image_thumb,object_ocr,object_hocr,object_transcript,object_pdf,title,ark,avian_id,uid,call_number,archival_collection,finding_aid_ark,archival_series_title,folder_title,box,folder_num,contributing_institution,contributing_institution_uri,personal_creator,personal_creator_uri,corporate_creator,corporate_creator_uri,interviewee,interviewee_uri,interviewer,interviewer_uri,personal_contributor,personal_contributor_uri,corporate_contributor,corporate_contributor_uri,description,disclaimer,language,chronological_subject,personal_name_subject,personal_name_subject_uri,corporate_name_subject,corporate_name_subject_uri,subject,subject_uri,location,location_uri,latitude,longitude,geodetic_datum,extent,medium,medium_uri,genre,genre_uri,type,format,rights,rightsstatement,date,date_digital,publisher,publisher_uri,issuance,issuance_start,issuance_end,frequency,digital_collection,digital_collection_ark,relation,relation_uri,digital_origin
Catt_2,catt2,catt,complex,,0,,,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/catt/small/21-07-003_catt_2002-r001_023b_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/catt/thumbs/21-07-003_catt_2002-r001_023b_th.jpg,,,,,New York Women's Suffrage Association ribbon,https://n2t.net/ark:/87292/w9133s,,,RS 21/7/3,"Carrie Chapman Catt papers, 1878-2007",https://n2t.net/ark:/87292/w9250n,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,New York State Woman Suffrage Association,http://id.loc.gov/authorities/names/n97034753,,,,,,,,,"Ribbon includes a small gold decorative rectangle that is at the top. Attached is a yellow ribbon with ""N. Y. W. S. A. 35th Annual Convention Hornellsville Oct. 20-23, 1903"" in black letter. Attached at the bottom of the ribbon is a round photograph of Carrie Chapman Catt framed by a gold ring. The back of the image has ""PRESIDENT N.A.W.S.A. Carrie C. Catt"" in blue lettering.",,eng,,,,,,Suffrage;Women's rights,http://id.worldcat.org/fast/1137187;http://id.worldcat.org/fast/1178818,New York (State)--New York;United States,http://id.worldcat.org/fast/1204333;http://id.worldcat.org/fast/1204155,,,,4 x 10.8 cm,objects,http://vocab.getty.edu/aat/300311889,badges,http://vocab.getty.edu/aat/300193994,Image,image/jpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. No permission is required for noncommercial uses. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC-NC/1.0/,1903,2010-11-04,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Carrie Chapman Catt,https://n2t.net/ark:/87292/w9tx3560z,,,reformatted digital; Digitized with Originals photographed by using copy stand and Nikon D3 (2007) connected to Mac Pro running OS X 10.5.6 using Adobe Bridge CS3 2.1.1.9. Captured as RAW and saved as TIFF through Adobe Photoshop CS3 10.0.1
Catt_1,catt1,catt,child,catt2,1,21-07-003_Catt_2002-R001_023b.tif,21-07-003_catt_2002-r001_023b.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/catt/21-07-003_catt_2002-r001_023b.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/catt/small/21-07-003_catt_2002-r001_023b_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/catt/thumbs/21-07-003_catt_2002-r001_023b_th.jpg,,,,,New York Women's Suffrage Association ribbon: front,,,,RS 21/7/3,"Carrie Chapman Catt papers, 1878-2007",https://n2t.net/ark:/87292/w9250n,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,2010-11-04,,,,,,,Carrie Chapman Catt,https://n2t.net/ark:/87292/w9tx3560z,,,reformatted digital; Digitized with Originals photographed by using copy stand and Nikon D3 (2007) connected to Mac Pro running OS X 10.5.6 using Adobe Bridge CS3 2.1.1.9. Captured as RAW and saved as TIFF through Adobe Photoshop CS3 10.0.1
Catt_0,catt0,catt,child,catt2,2,21-07-003_Catt_2002-R001_023a.tif,21-07-003_catt_2002-r001_023a.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/catt/21-07-003_catt_2002-r001_023a.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/catt/small/21-07-003_catt_2002-r001_023a_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/catt/thumbs/21-07-003_catt_2002-r001_023a_th.jpg,,,,,New York Women's Suffrage Association ribbon: back,,,,RS 21/7/3,"Carrie Chapman Catt papers, 1878-2007",https://n2t.net/ark:/87292/w9250n,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,2010-11-04,,,,,,,Carrie Chapman Catt,https://n2t.net/ark:/87292/w9tx3560z,,,reformatted digital; Digitized with Originals photographed by using copy stand and Nikon D3 (2007) connected to Mac Pro running OS X 10.5.6 using Adobe Bridge CS3 2.1.1.9. Captured as RAW and saved as TIFF through Adobe Photoshop CS3 10.0.1
Catt_5,catt5,catt,complex,,0,,,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/catt/small/21-07-003_catt_2002-r001_024a_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/catt/thumbs/21-07-003_catt_2002-r001_024a_th.jpg,,,,,Susan B. Anthony badge,https://n2t.net/ark:/87292/w9ms7g,,,RS 21/7/3,"Carrie Chapman Catt papers, 1878-2007",https://n2t.net/ark:/87292/w9250n,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,"Incomplete badge with only the ornate gold rectangle that consists of the pin and remnants of a gold ribbon on it. There is round photograph of Susan B. Anthony framed by a gold ring. The back of the image has ""Perfect equality of rights for women. Susan B. Anthony."" inscribed on it.",,eng,,,,,,Suffrage;Women's rights,http://id.worldcat.org/fast/1137187;http://id.worldcat.org/fast/1178818,United States,http://id.worldcat.org/fast/1204155,,,,4 x 5.7 cm,objects,http://vocab.getty.edu/aat/300311889,badges,http://vocab.getty.edu/aat/300193994,Image,image/jpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. No permission is required for noncommercial uses. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC-NC/1.0/,1903,2010-11-03,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Carrie Chapman Catt,https://n2t.net/ark:/87292/w9tx3560z,,,reformatted digital; Digitized with Originals photographed by using copy stand and Nikon D3 (2007) connected to Mac Pro running OS X 10.5.6 using Adobe Bridge CS3 2.1.1.9. Captured as RAW and saved as TIFF through Adobe Photoshop CS3 10.0.1
Catt_3,catt3,catt,child,catt5,1,21-07-003_Catt_2002-R001_024a.tif,21-07-003_catt_2002-r001_024a.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/catt/21-07-003_catt_2002-r001_024a.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/catt/small/21-07-003_catt_2002-r001_024a_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/catt/thumbs/21-07-003_catt_2002-r001_024a_th.jpg,,,,,Susan B. Anthony badge: front,,,,RS 21/7/3,"Carrie Chapman Catt papers, 1878-2007",https://n2t.net/ark:/87292/w9250n,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,2010-11-03,,,,,,,Carrie Chapman Catt,https://n2t.net/ark:/87292/w9tx3560z,,,reformatted digital; Digitized with Originals photographed by using copy stand and Nikon D3 (2007) connected to Mac Pro running OS X 10.5.6 using Adobe Bridge CS3 2.1.1.9. Captured as RAW and saved as TIFF through Adobe Photoshop CS3 10.0.1
Catt_4,catt4,catt,child,catt5,2,21-07-003_Catt_2002-R001_024b.tif,21-07-003_catt_2002-r001_024b.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/catt/21-07-003_catt_2002-r001_024b.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/catt/small/21-07-003_catt_2002-r001_024b_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/catt/thumbs/21-07-003_catt_2002-r001_024b_th.jpg,,,,,Susan B. Anthony badge: back,,,,RS 21/7/3,"Carrie Chapman Catt papers, 1878-2007",https://n2t.net/ark:/87292/w9250n,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,2010-11-03,,,,,,,Carrie Chapman Catt,https://n2t.net/ark:/87292/w9tx3560z,,,reformatted digital; Digitized with Originals photographed by using copy stand and Nikon D3 (2007) connected to Mac Pro running OS X 10.5.6 using Adobe Bridge CS3 2.1.1.9. Captured as RAW and saved as TIFF through Adobe Photoshop CS3 10.0.1
Catt_6,catt6,catt,simple,,0,21-07-003_Catt_2002-R001_001.tif,21-07-003_catt_2002-r001_001.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/catt/21-07-003_catt_2002-r001_001.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/catt/small/21-07-003_catt_2002-r001_001_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/catt/thumbs/21-07-003_catt_2002-r001_001_th.jpg,,,,,Woman Suffrage Party button,https://n2t.net/ark:/87292/w9h34h,,,RS 21/7/3,"Carrie Chapman Catt papers, 1878-2007",https://n2t.net/ark:/87292/w9250n,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,Woman Suffrage Party of New York City,http://id.loc.gov/authorities/names/n82020435,,,,,,,,,"Round yellow button with ""WSP"" in black lettering on the front of it.",,eng,,,,,,Suffrage;Women's rights,http://id.worldcat.org/fast/1137187;http://id.worldcat.org/fast/1178818,New York (State)--New York;United States,http://id.worldcat.org/fast/1204333;http://id.worldcat.org/fast/1204155,,,,1.9 x 1.9 cm,objects,http://vocab.getty.edu/aat/300311889,buttons (information artifacts),http://vocab.getty.edu/aat/300207332,Image,image/jpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. No permission is required for noncommercial uses. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC-NC/1.0/,1909,2010-11-03,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Carrie Chapman Catt,https://n2t.net/ark:/87292/w9tx3560z,,,reformatted digital; Digitized with Originals photographed by using copy stand and Nikon D3 (2007) connected to Mac Pro running OS X 10.5.6 using Adobe Bridge CS3 2.1.1.9. Captured as RAW and saved as TIFF through Adobe Photoshop CS3 10.0.1
Catt_7,catt7,catt,simple,,0,21-07-003_Catt_2002-R001_003.tif,21-07-003_catt_2002-r001_003.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/catt/21-07-003_catt_2002-r001_003.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/catt/small/21-07-003_catt_2002-r001_003_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/catt/thumbs/21-07-003_catt_2002-r001_003_th.jpg,,,,,Vote for Woman Suffrage button,https://n2t.net/ark:/87292/w9c916,,,RS 21/7/3,"Carrie Chapman Catt papers, 1878-2007",https://n2t.net/ark:/87292/w9250n,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,"Round yellow button with ""Vote for Woman Suffrage Nov. 6th"" in black lettering on the front.",,eng,,,,,,Suffrage;Women's rights,http://id.worldcat.org/fast/1137187;http://id.worldcat.org/fast/1178818,United States,http://id.worldcat.org/fast/1204155,,,,3.2 x 3.2 cm,objects,http://vocab.getty.edu/aat/300311889,buttons (information artifacts),http://vocab.getty.edu/aat/300207332,Image,image/jpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. No permission is required for noncommercial uses. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC-NC/1.0/,1887/1920,2010-11-03,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Carrie Chapman Catt,https://n2t.net/ark:/87292/w9tx3560z,,,reformatted digital; Digitized with Originals photographed by using copy stand and Nikon D3 (2007) connected to Mac Pro running OS X 10.5.6 using Adobe Bridge CS3 2.1.1.9. Captured as RAW and saved as TIFF through Adobe Photoshop CS3 10.0.1
Catt_8,catt8,catt,simple,,0,21-07-003_Catt_2002-R001_002.tif,21-07-003_catt_2002-r001_002.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/catt/21-07-003_catt_2002-r001_002.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/catt/small/21-07-003_catt_2002-r001_002_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/catt/thumbs/21-07-003_catt_2002-r001_002_th.jpg,,,,,International Council of Women pin,https://n2t.net/ark:/87292/w97k9r,,,RS 21/7/3,"Carrie Chapman Catt papers, 1878-2007",https://n2t.net/ark:/87292/w9250n,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,International Council of Women,http://id.loc.gov/authorities/names/n50056995,,,,,,,,,"Decorative pin with a gold plated emblem that looks like a shield surrounded by an ornate leaf border. Front has raised lettering inscription of ""ICW"" in a diagonal. The top has a faded blue ribbon bow.",,eng,,,,,,,,,,,,,3.8 x 5.1 cm,objects,http://vocab.getty.edu/aat/300311889,buttons (information artifacts),http://vocab.getty.edu/aat/300207332,Image,image/jpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. No permission is required for noncommercial uses. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC-NC/1.0/,1888/1930,2010-11-03,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Carrie Chapman Catt,https://n2t.net/ark:/87292/w9tx3560z,,,reformatted digital; Digitized with Originals photographed by using copy stand and Nikon D3 (2007) connected to Mac Pro running OS X 10.5.6 using Adobe Bridge CS3 2.1.1.9. Captured as RAW and saved as TIFF through Adobe Photoshop CS3 10.0.1
Catt_9,catt9,catt,simple,,0,21-07-003_Catt_2002-R001_004.tif,21-07-003_catt_2002-r001_004.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/catt/21-07-003_catt_2002-r001_004.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/catt/small/21-07-003_catt_2002-r001_004_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/catt/thumbs/21-07-003_catt_2002-r001_004_th.jpg,,,,,Woman Suffrage Party button,https://n2t.net/ark:/87292/w93s6f,,,RS 21/7/3,"Carrie Chapman Catt papers, 1878-2007",https://n2t.net/ark:/87292/w9250n,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,Woman Suffrage Party of New York City,http://id.loc.gov/authorities/names/n82020435,,,,,,,,,"Round yellow button with ""WSP"" in black lettering on the front.",,eng,,,,,,Suffrage;Women's rights,http://id.worldcat.org/fast/1137187;http://id.worldcat.org/fast/1178818,United States,http://id.worldcat.org/fast/1204155,,,,1.3 x 1.3cm,objects,http://vocab.getty.edu/aat/300311889,buttons (information artifacts),http://vocab.getty.edu/aat/300207332,Image,image/jpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. No permission is required for noncommercial uses. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC-NC/1.0/,1909,2010-11-03,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Carrie Chapman Catt,https://n2t.net/ark:/87292/w9tx3560z,,,reformatted digital; Digitized with Originals photographed by using copy stand and Nikon D3 (2007) connected to Mac Pro running OS X 10.5.6 using Adobe Bridge CS3 2.1.1.9. Captured as RAW and saved as TIFF through Adobe Photoshop CS3 10.0.1
