legacy_id,objectid,collectionid,display_template,parentid,sequence,pres_file,filename,object_location,image_alt_text,image_small,image_thumb,object_ocr,object_hocr,object_transcript,object_pdf,title,ark,avian_id,uid,call_number,archival_collection,finding_aid_ark,archival_series_title,folder_title,box,folder_num,contributing_institution,contributing_institution_uri,personal_creator,personal_creator_uri,corporate_creator,corporate_creator_uri,interviewee,interviewee_uri,interviewer,interviewer_uri,personal_contributor,personal_contributor_uri,corporate_contributor,corporate_contributor_uri,description,disclaimer,language,chronological_subject,personal_name_subject,personal_name_subject_uri,corporate_name_subject,corporate_name_subject_uri,subject,subject_uri,location,location_uri,latitude,longitude,geodetic_datum,extent,medium,medium_uri,genre,genre_uri,type,format,rights,rightsstatement,date,date_digital,publisher,publisher_uri,issuance,issuance_start,issuance_end,frequency,digital_collection,digital_collection_ark,relation,relation_uri,digital_origin
CCParry_0,ccparry0,ccparry,child,ccparry74,1,0290_Parry-notebook_10-000000.tif,0290_parry-notebook_10-000000.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/ccparry/0290_parry-notebook_10-000000.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/ccparry/small/0290_parry-notebook_10-000000_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/ccparry/thumbs/0290_parry-notebook_10-000000_th.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/ccparry/ocr/ccparry0.txt,https://isuu00001library102stg.blob.core.windows.net/digital-objects/ccparry/hocr/ccparry0.txt,,,Front cover,,,,MS 290,Charles Christopher Parry papers,https://n2t.net/ark:/87292/w9pf5w,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,,,,,,,,,Charles Christopher Parry collection,https://n2t.net/ark:/87292/w9q52fc51,,,reformatted digital
CCParry_1,ccparry1,ccparry,child,ccparry74,2,0290_Parry-notebook_10-00000.tif,0290_parry-notebook_10-00000.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/ccparry/0290_parry-notebook_10-00000.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/ccparry/small/0290_parry-notebook_10-00000_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/ccparry/thumbs/0290_parry-notebook_10-00000_th.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/ccparry/ocr/ccparry1.txt,https://isuu00001library102stg.blob.core.windows.net/digital-objects/ccparry/hocr/ccparry1.txt,,,Preliminaries,,,,MS 290,Charles Christopher Parry papers,https://n2t.net/ark:/87292/w9pf5w,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,,,,,,,,,Charles Christopher Parry collection,https://n2t.net/ark:/87292/w9q52fc51,,,reformatted digital
CCParry_2,ccparry2,ccparry,child,ccparry74,3,0290_Parry-notebook_10-0000.tif,0290_parry-notebook_10-0000.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/ccparry/0290_parry-notebook_10-0000.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/ccparry/small/0290_parry-notebook_10-0000_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/ccparry/thumbs/0290_parry-notebook_10-0000_th.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/ccparry/ocr/ccparry2.txt,https://isuu00001library102stg.blob.core.windows.net/digital-objects/ccparry/hocr/ccparry2.txt,,,Title page,,,,MS 290,Charles Christopher Parry papers,https://n2t.net/ark:/87292/w9pf5w,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,,,,,,,,,Charles Christopher Parry collection,https://n2t.net/ark:/87292/w9q52fc51,,,reformatted digital
CCParry_3,ccparry3,ccparry,child,ccparry74,4,0290_Parry-notebook_10-000.tif,0290_parry-notebook_10-000.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/ccparry/0290_parry-notebook_10-000.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/ccparry/small/0290_parry-notebook_10-000_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/ccparry/thumbs/0290_parry-notebook_10-000_th.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/ccparry/ocr/ccparry3.txt,https://isuu00001library102stg.blob.core.windows.net/digital-objects/ccparry/hocr/ccparry3.txt,,,Preliminaries,,,,MS 290,Charles Christopher Parry papers,https://n2t.net/ark:/87292/w9pf5w,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,,,,,,,,,Charles Christopher Parry collection,https://n2t.net/ark:/87292/w9q52fc51,,,reformatted digital
CCParry_4,ccparry4,ccparry,child,ccparry74,5,0290_Parry-notebook_10-001.tif,0290_parry-notebook_10-001.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/ccparry/0290_parry-notebook_10-001.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/ccparry/small/0290_parry-notebook_10-001_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/ccparry/thumbs/0290_parry-notebook_10-001_th.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/ccparry/ocr/ccparry4.txt,https://isuu00001library102stg.blob.core.windows.net/digital-objects/ccparry/hocr/ccparry4.txt,,,Descriptions & notes of plants,,,,MS 290,Charles Christopher Parry papers,https://n2t.net/ark:/87292/w9pf5w,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,,,,,,,,,Charles Christopher Parry collection,https://n2t.net/ark:/87292/w9q52fc51,,,reformatted digital
CCParry_5,ccparry5,ccparry,child,ccparry74,6,0290_Parry-notebook_10-002.tif,0290_parry-notebook_10-002.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/ccparry/0290_parry-notebook_10-002.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/ccparry/small/0290_parry-notebook_10-002_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/ccparry/thumbs/0290_parry-notebook_10-002_th.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/ccparry/ocr/ccparry5.txt,https://isuu00001library102stg.blob.core.windows.net/digital-objects/ccparry/hocr/ccparry5.txt,,,Descriptions & notes of plants,,,,MS 290,Charles Christopher Parry papers,https://n2t.net/ark:/87292/w9pf5w,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,,,,,,,,,Charles Christopher Parry collection,https://n2t.net/ark:/87292/w9q52fc51,,,reformatted digital
CCParry_6,ccparry6,ccparry,child,ccparry74,7,0290_Parry-notebook_10-003.tif,0290_parry-notebook_10-003.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/ccparry/0290_parry-notebook_10-003.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/ccparry/small/0290_parry-notebook_10-003_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/ccparry/thumbs/0290_parry-notebook_10-003_th.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/ccparry/ocr/ccparry6.txt,https://isuu00001library102stg.blob.core.windows.net/digital-objects/ccparry/hocr/ccparry6.txt,,,Description of Cactaceae near San Diego,,,,MS 290,Charles Christopher Parry papers,https://n2t.net/ark:/87292/w9pf5w,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,,,,,,,,,Charles Christopher Parry collection,https://n2t.net/ark:/87292/w9q52fc51,,,reformatted digital
CCParry_7,ccparry7,ccparry,child,ccparry74,8,0290_Parry-notebook_10-004.tif,0290_parry-notebook_10-004.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/ccparry/0290_parry-notebook_10-004.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/ccparry/small/0290_parry-notebook_10-004_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/ccparry/thumbs/0290_parry-notebook_10-004_th.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/ccparry/ocr/ccparry7.txt,https://isuu00001library102stg.blob.core.windows.net/digital-objects/ccparry/hocr/ccparry7.txt,,,Description of Cactaceae near San Diego,,,,MS 290,Charles Christopher Parry papers,https://n2t.net/ark:/87292/w9pf5w,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,,,,,,,,,Charles Christopher Parry collection,https://n2t.net/ark:/87292/w9q52fc51,,,reformatted digital
CCParry_8,ccparry8,ccparry,child,ccparry74,9,0290_Parry-notebook_10-005.tif,0290_parry-notebook_10-005.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/ccparry/0290_parry-notebook_10-005.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/ccparry/small/0290_parry-notebook_10-005_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/ccparry/thumbs/0290_parry-notebook_10-005_th.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/ccparry/ocr/ccparry8.txt,https://isuu00001library102stg.blob.core.windows.net/digital-objects/ccparry/hocr/ccparry8.txt,,,Description of Cactaceae near San Diego,,,,MS 290,Charles Christopher Parry papers,https://n2t.net/ark:/87292/w9pf5w,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,,,,,,,,,Charles Christopher Parry collection,https://n2t.net/ark:/87292/w9q52fc51,,,reformatted digital
CCParry_9,ccparry9,ccparry,child,ccparry74,10,0290_Parry-notebook_10-006.tif,0290_parry-notebook_10-006.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/ccparry/0290_parry-notebook_10-006.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/ccparry/small/0290_parry-notebook_10-006_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/ccparry/thumbs/0290_parry-notebook_10-006_th.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/ccparry/ocr/ccparry9.txt,https://isuu00001library102stg.blob.core.windows.net/digital-objects/ccparry/hocr/ccparry9.txt,,,Description of Cactaceae near San Diego,,,,MS 290,Charles Christopher Parry papers,https://n2t.net/ark:/87292/w9pf5w,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,,,,,,,,,Charles Christopher Parry collection,https://n2t.net/ark:/87292/w9q52fc51,,,reformatted digital
