legacy_id,objectid,collectionid,display_template,parentid,sequence,pres_file,filename,object_location,image_alt_text,image_small,image_thumb,object_ocr,object_hocr,object_transcript,object_pdf,title,ark,avian_id,uid,call_number,archival_collection,finding_aid_ark,archival_series_title,folder_title,box,folder_num,contributing_institution,contributing_institution_uri,personal_creator,personal_creator_uri,corporate_creator,corporate_creator_uri,interviewee,interviewee_uri,interviewer,interviewer_uri,personal_contributor,personal_contributor_uri,corporate_contributor,corporate_contributor_uri,description,disclaimer,language,chronological_subject,personal_name_subject,personal_name_subject_uri,corporate_name_subject,corporate_name_subject_uri,subject,subject_uri,location,location_uri,latitude,longitude,geodetic_datum,extent,medium,medium_uri,genre,genre_uri,type,format,rights,rightsstatement,date,date_digital,publisher,publisher_uri,issuance,issuance_start,issuance_end,frequency,digital_collection,digital_collection_ark,relation,relation_uri,digital_origin
Curtiss-Wright_47,curtisswright47,curtisswright,complex,,0,,,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/curtisswright/small/13-16-4_curtiss-wright_0001-001-001_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/curtisswright/thumbs/13-16-4_curtiss-wright_0001-001-001_th.jpg,,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/curtisswright/pdf/curtisswright47.pdf,Curtiss-Wright Engineering Cadette Program,https://n2t.net/ark:/87292/w96k01,,,RS 13/16/4,"Curtiss-Wright Engineering Cadettes Program, 1941-1945",http://n2t.net/ark:/87292/w9vt1gq4v,,,1,1,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,Iowa State College,http://id.loc.gov/authorities/names/n82049648,,,,,,,,,"Contains course descriptions, memoranda, correspondence, graduation exercises, and news clippings.",,eng,1940s,,,,,Curtiss-Wright Corporation; Women engineering students; Women engineers;World War (1939-1945),http://id.worldcat.org/fast/557189; http://id.worldcat.org/fast/1177628; http://id.worldcat.org/fast/1177630;http://id.worldcat.org/fast/1180924,Iowa--Story County,http://id.worldcat.org/fast/1221286,,,,47 pages,,,serials (publications); typescripts; correspondence,http://vocab.getty.edu/aat/300026642; http://vocab.getty.edu/aat/300028577; http://vocab.getty.edu/aat/300026877,Text,image/jpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",https://rightsstatements.org/page/InC/1.0/,1941/1945,2013-01,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Curtiss-Wright Engineering Cadettes collection,https://n2t.net/ark:/87292/w9xp6v330,,,reformatted digital; Digitized with Dell OptiPlex 755; Windows 7 Enterprise; Epson GT-2500; Epson Scan ver. 3.49A
Curtiss-Wright_0,curtisswright0,curtisswright,child,curtisswright47,1,13-16-4_Curtiss-Wright_0001-001-001.tif,13-16-4_curtiss-wright_0001-001-001.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/curtisswright/13-16-4_curtiss-wright_0001-001-001.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/curtisswright/small/13-16-4_curtiss-wright_0001-001-001_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/curtisswright/thumbs/13-16-4_curtiss-wright_0001-001-001_th.jpg,,,,,Page 1,,,,RS 13/16/4,"Curtiss-Wright Engineering Cadettes Program, 1941-1945",http://n2t.net/ark:/87292/w9vt1gq4v,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Curtiss-Wright Engineering Cadettes collection,https://n2t.net/ark:/87292/w9xp6v330,,,reformatted digital
Curtiss-Wright_1,curtisswright1,curtisswright,child,curtisswright47,2,13-16-4_Curtiss-Wright_0001-001-006-001.tif,13-16-4_curtiss-wright_0001-001-006-001.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/curtisswright/13-16-4_curtiss-wright_0001-001-006-001.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/curtisswright/small/13-16-4_curtiss-wright_0001-001-006-001_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/curtisswright/thumbs/13-16-4_curtiss-wright_0001-001-006-001_th.jpg,,,,,Page 2,,,,RS 13/16/4,"Curtiss-Wright Engineering Cadettes Program, 1941-1945",http://n2t.net/ark:/87292/w9vt1gq4v,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Curtiss-Wright Engineering Cadettes collection,https://n2t.net/ark:/87292/w9xp6v330,,,reformatted digital
Curtiss-Wright_2,curtisswright2,curtisswright,child,curtisswright47,3,13-16-4_Curtiss-Wright_0001-001-006-002.tif,13-16-4_curtiss-wright_0001-001-006-002.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/curtisswright/13-16-4_curtiss-wright_0001-001-006-002.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/curtisswright/small/13-16-4_curtiss-wright_0001-001-006-002_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/curtisswright/thumbs/13-16-4_curtiss-wright_0001-001-006-002_th.jpg,,,,,Page 3,,,,RS 13/16/4,"Curtiss-Wright Engineering Cadettes Program, 1941-1945",http://n2t.net/ark:/87292/w9vt1gq4v,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Curtiss-Wright Engineering Cadettes collection,https://n2t.net/ark:/87292/w9xp6v330,,,reformatted digital
Curtiss-Wright_3,curtisswright3,curtisswright,child,curtisswright47,4,13-16-4_Curtiss-Wright_0001-001-006-003.tif,13-16-4_curtiss-wright_0001-001-006-003.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/curtisswright/13-16-4_curtiss-wright_0001-001-006-003.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/curtisswright/small/13-16-4_curtiss-wright_0001-001-006-003_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/curtisswright/thumbs/13-16-4_curtiss-wright_0001-001-006-003_th.jpg,,,,,Page 4,,,,RS 13/16/4,"Curtiss-Wright Engineering Cadettes Program, 1941-1945",http://n2t.net/ark:/87292/w9vt1gq4v,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Curtiss-Wright Engineering Cadettes collection,https://n2t.net/ark:/87292/w9xp6v330,,,reformatted digital
Curtiss-Wright_4,curtisswright4,curtisswright,child,curtisswright47,5,13-16-4_Curtiss-Wright_0001-001-007.tif,13-16-4_curtiss-wright_0001-001-007.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/curtisswright/13-16-4_curtiss-wright_0001-001-007.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/curtisswright/small/13-16-4_curtiss-wright_0001-001-007_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/curtisswright/thumbs/13-16-4_curtiss-wright_0001-001-007_th.jpg,,,,,Page 5,,,,RS 13/16/4,"Curtiss-Wright Engineering Cadettes Program, 1941-1945",http://n2t.net/ark:/87292/w9vt1gq4v,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Curtiss-Wright Engineering Cadettes collection,https://n2t.net/ark:/87292/w9xp6v330,,,reformatted digital
Curtiss-Wright_5,curtisswright5,curtisswright,child,curtisswright47,6,13-16-4_Curtiss-Wright_0001-001-008.tif,13-16-4_curtiss-wright_0001-001-008.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/curtisswright/13-16-4_curtiss-wright_0001-001-008.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/curtisswright/small/13-16-4_curtiss-wright_0001-001-008_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/curtisswright/thumbs/13-16-4_curtiss-wright_0001-001-008_th.jpg,,,,,Page 6,,,,RS 13/16/4,"Curtiss-Wright Engineering Cadettes Program, 1941-1945",http://n2t.net/ark:/87292/w9vt1gq4v,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Curtiss-Wright Engineering Cadettes collection,https://n2t.net/ark:/87292/w9xp6v330,,,reformatted digital
Curtiss-Wright_6,curtisswright6,curtisswright,child,curtisswright47,7,13-16-4_Curtiss-Wright_0001-001-009.tif,13-16-4_curtiss-wright_0001-001-009.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/curtisswright/13-16-4_curtiss-wright_0001-001-009.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/curtisswright/small/13-16-4_curtiss-wright_0001-001-009_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/curtisswright/thumbs/13-16-4_curtiss-wright_0001-001-009_th.jpg,,,,,Page 7,,,,RS 13/16/4,"Curtiss-Wright Engineering Cadettes Program, 1941-1945",http://n2t.net/ark:/87292/w9vt1gq4v,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Curtiss-Wright Engineering Cadettes collection,https://n2t.net/ark:/87292/w9xp6v330,,,reformatted digital
Curtiss-Wright_7,curtisswright7,curtisswright,child,curtisswright47,8,13-16-4_Curtiss-Wright_0001-001-010-001.tif,13-16-4_curtiss-wright_0001-001-010-001.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/curtisswright/13-16-4_curtiss-wright_0001-001-010-001.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/curtisswright/small/13-16-4_curtiss-wright_0001-001-010-001_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/curtisswright/thumbs/13-16-4_curtiss-wright_0001-001-010-001_th.jpg,,,,,Page 8,,,,RS 13/16/4,"Curtiss-Wright Engineering Cadettes Program, 1941-1945",http://n2t.net/ark:/87292/w9vt1gq4v,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Curtiss-Wright Engineering Cadettes collection,https://n2t.net/ark:/87292/w9xp6v330,,,reformatted digital
Curtiss-Wright_8,curtisswright8,curtisswright,child,curtisswright47,9,13-16-4_Curtiss-Wright_0001-001-010-002.tif,13-16-4_curtiss-wright_0001-001-010-002.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/curtisswright/13-16-4_curtiss-wright_0001-001-010-002.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/curtisswright/small/13-16-4_curtiss-wright_0001-001-010-002_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/curtisswright/thumbs/13-16-4_curtiss-wright_0001-001-010-002_th.jpg,,,,,Page 9,,,,RS 13/16/4,"Curtiss-Wright Engineering Cadettes Program, 1941-1945",http://n2t.net/ark:/87292/w9vt1gq4v,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Curtiss-Wright Engineering Cadettes collection,https://n2t.net/ark:/87292/w9xp6v330,,,reformatted digital
