legacy_id,objectid,collectionid,display_template,parentid,sequence,pres_file,filename,object_location,image_alt_text,image_small,image_thumb,object_ocr,object_hocr,object_transcript,object_pdf,title,ark,avian_id,uid,call_number,archival_collection,finding_aid_ark,archival_series_title,folder_title,box,folder_num,contributing_institution,contributing_institution_uri,personal_creator,personal_creator_uri,corporate_creator,corporate_creator_uri,interviewee,interviewee_uri,interviewer,interviewer_uri,personal_contributor,personal_contributor_uri,corporate_contributor,corporate_contributor_uri,description,disclaimer,language,chronological_subject,personal_name_subject,personal_name_subject_uri,corporate_name_subject,corporate_name_subject_uri,subject,subject_uri,location,location_uri,latitude,longitude,geodetic_datum,extent,medium,medium_uri,genre,genre_uri,type,format,rights,rightsstatement,date,date_digital,publisher,publisher_uri,issuance,issuance_start,issuance_end,frequency,digital_collection,digital_collection_ark,relation,relation_uri,digital_origin
Mezvinsky_3,mezvinsky3,mezvinsky,complex,,0,,,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mezvinsky/small/ms0274_mezvinsky_004_019i001_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mezvinsky/thumbs/ms0274_mezvinsky_004_019i001_th.jpg,,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mezvinsky/pdf/mezvinsky3.pdf,"Letter to William L. Hungate from Elizabeth Holtzman, Edward Mezvinsky and Robert F. Drinan, May 14, 1976",https://n2t.net/ark:/87292/w98z73,,,MS 274,Edward M. Mezvinsky papers,https://n2t.net/ark:/87292/w9gt9b,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Holtzman, Elizabeth;Mezvinsky, Edward M.;Drinan, Robert F.",http://id.loc.gov/authorities/names/n87838631;http://id.loc.gov/authorities/names/n89604784;http://id.loc.gov/authorities/names/n50029599,,,,,,,,,,,"Letter to William L. Hungate, chairman of the House of Representatives Subcommittee on Criminal Justice, from Elizabeth Holtzman, Edward Mezvinsky and Robert F. Drinan, discussing the pardoning of Richard Nixon.",,eng,1970s,"Nixon, Richard M. (Richard Milhous), 1913-1994",http://id.loc.gov/authorities/names/n79018757,United States. Congress. House,http://id.loc.gov/authorities/names/n79107874,,,Washington (D.C.),http://id.worldcat.org/fast/1204505,,,,3 pages,,,correspondence,http://vocab.getty.edu/aat/300026877,Text,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,1976-05-14,2018-08-28,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Edward M. Mezvinsky collection,https://n2t.net/ark:/87292/w9m32n92j,Edward Mezvinsky,https://n2t.net/ark:/87292/w9xw4823t,reformatted digital; Digitized with Plustek
Mezvinsky_0,mezvinsky0,mezvinsky,child,mezvinsky3,1,MS0274_Mezvinsky_004_019i001.tif,ms0274_mezvinsky_004_019i001.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mezvinsky/ms0274_mezvinsky_004_019i001.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mezvinsky/small/ms0274_mezvinsky_004_019i001_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mezvinsky/thumbs/ms0274_mezvinsky_004_019i001_th.jpg,,,,,Page 1,,,,MS 274,Edward M. Mezvinsky papers,https://n2t.net/ark:/87292/w9gt9b,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Edward M. Mezvinsky collection,https://n2t.net/ark:/87292/w9m32n92j,Edward Mezvinsky,https://n2t.net/ark:/87292/w9xw4823t,reformatted digital
Mezvinsky_1,mezvinsky1,mezvinsky,child,mezvinsky3,2,MS0274_Mezvinsky_004_019i002.tif,ms0274_mezvinsky_004_019i002.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mezvinsky/ms0274_mezvinsky_004_019i002.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mezvinsky/small/ms0274_mezvinsky_004_019i002_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mezvinsky/thumbs/ms0274_mezvinsky_004_019i002_th.jpg,,,,,Page 2,,,,MS 274,Edward M. Mezvinsky papers,https://n2t.net/ark:/87292/w9gt9b,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Edward M. Mezvinsky collection,https://n2t.net/ark:/87292/w9m32n92j,Edward Mezvinsky,https://n2t.net/ark:/87292/w9xw4823t,reformatted digital
Mezvinsky_2,mezvinsky2,mezvinsky,child,mezvinsky3,3,MS0274_Mezvinsky_004_019i003.tif,ms0274_mezvinsky_004_019i003.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mezvinsky/ms0274_mezvinsky_004_019i003.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mezvinsky/small/ms0274_mezvinsky_004_019i003_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mezvinsky/thumbs/ms0274_mezvinsky_004_019i003_th.jpg,,,,,Page 3,,,,MS 274,Edward M. Mezvinsky papers,https://n2t.net/ark:/87292/w9gt9b,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Edward M. Mezvinsky collection,https://n2t.net/ark:/87292/w9m32n92j,Edward Mezvinsky,https://n2t.net/ark:/87292/w9xw4823t,reformatted digital
Mezvinsky_10,mezvinsky10,mezvinsky,complex,,0,,,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mezvinsky/small/ms0274_mezvinsky_004_024i001_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mezvinsky/thumbs/ms0274_mezvinsky_004_024i001_th.jpg,,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mezvinsky/pdf/mezvinsky10.pdf,"Letter from Peter Loge to Edward Mezvinsky, December 23, 1998 containing a letter from Brad Sherman to members of the United States Senate",https://n2t.net/ark:/87292/w9556v,,,MS 274,Edward M. Mezvinsky papers,https://n2t.net/ark:/87292/w9gt9b,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Loge, Peter",,,,,,,,,,,,"Letter from Peter Loge, Presidential Chief of Staff to Edward Mezvinsky, containing a letter from Congressman Brad Sherman to members of the United States Senate regarding the impeachment of President Richard Nixon.",,eng,1990s,"Nixon, Richard M. (Richard Milhous), 1913-1994",http://id.loc.gov/authorities/names/n79018757,United States. Congress. House,http://id.loc.gov/authorities/names/n79107874,Impeachments,http://id.worldcat.org/fast/968081,Washington (D.C.),http://id.worldcat.org/fast/1204505,,,,6 pages,,,correspondence,http://vocab.getty.edu/aat/300026877,Text,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,1998-12-23,2018-08-28,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Edward M. Mezvinsky collection,https://n2t.net/ark:/87292/w9m32n92j,Edward Mezvinsky,https://n2t.net/ark:/87292/w9xw4823t,reformatted digital; Digitized with Plustek
Mezvinsky_4,mezvinsky4,mezvinsky,child,mezvinsky10,1,MS0274_Mezvinsky_004_024i001.tif,ms0274_mezvinsky_004_024i001.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mezvinsky/ms0274_mezvinsky_004_024i001.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mezvinsky/small/ms0274_mezvinsky_004_024i001_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mezvinsky/thumbs/ms0274_mezvinsky_004_024i001_th.jpg,,,,,Page 1,,,,MS 274,Edward M. Mezvinsky papers,https://n2t.net/ark:/87292/w9gt9b,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Edward M. Mezvinsky collection,https://n2t.net/ark:/87292/w9m32n92j,Edward Mezvinsky,https://n2t.net/ark:/87292/w9xw4823t,reformatted digital
Mezvinsky_5,mezvinsky5,mezvinsky,child,mezvinsky10,2,MS0274_Mezvinsky_004_024i002.tif,ms0274_mezvinsky_004_024i002.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mezvinsky/ms0274_mezvinsky_004_024i002.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mezvinsky/small/ms0274_mezvinsky_004_024i002_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mezvinsky/thumbs/ms0274_mezvinsky_004_024i002_th.jpg,,,,,Page 2,,,,MS 274,Edward M. Mezvinsky papers,https://n2t.net/ark:/87292/w9gt9b,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Edward M. Mezvinsky collection,https://n2t.net/ark:/87292/w9m32n92j,Edward Mezvinsky,https://n2t.net/ark:/87292/w9xw4823t,reformatted digital
Mezvinsky_6,mezvinsky6,mezvinsky,child,mezvinsky10,3,MS0274_Mezvinsky_004_024i003.tif,ms0274_mezvinsky_004_024i003.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mezvinsky/ms0274_mezvinsky_004_024i003.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mezvinsky/small/ms0274_mezvinsky_004_024i003_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mezvinsky/thumbs/ms0274_mezvinsky_004_024i003_th.jpg,,,,,Page 3,,,,MS 274,Edward M. Mezvinsky papers,https://n2t.net/ark:/87292/w9gt9b,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Edward M. Mezvinsky collection,https://n2t.net/ark:/87292/w9m32n92j,Edward Mezvinsky,https://n2t.net/ark:/87292/w9xw4823t,reformatted digital
Mezvinsky_7,mezvinsky7,mezvinsky,child,mezvinsky10,4,MS0274_Mezvinsky_004_024i004.tif,ms0274_mezvinsky_004_024i004.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mezvinsky/ms0274_mezvinsky_004_024i004.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mezvinsky/small/ms0274_mezvinsky_004_024i004_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mezvinsky/thumbs/ms0274_mezvinsky_004_024i004_th.jpg,,,,,Page 4,,,,MS 274,Edward M. Mezvinsky papers,https://n2t.net/ark:/87292/w9gt9b,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Edward M. Mezvinsky collection,https://n2t.net/ark:/87292/w9m32n92j,Edward Mezvinsky,https://n2t.net/ark:/87292/w9xw4823t,reformatted digital
Mezvinsky_8,mezvinsky8,mezvinsky,child,mezvinsky10,5,MS0274_Mezvinsky_004_024i005.tif,ms0274_mezvinsky_004_024i005.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mezvinsky/ms0274_mezvinsky_004_024i005.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mezvinsky/small/ms0274_mezvinsky_004_024i005_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mezvinsky/thumbs/ms0274_mezvinsky_004_024i005_th.jpg,,,,,Page 5,,,,MS 274,Edward M. Mezvinsky papers,https://n2t.net/ark:/87292/w9gt9b,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Edward M. Mezvinsky collection,https://n2t.net/ark:/87292/w9m32n92j,Edward Mezvinsky,https://n2t.net/ark:/87292/w9xw4823t,reformatted digital
