legacy_id,objectid,collectionid,display_template,parentid,sequence,pres_file,filename,object_location,image_alt_text,image_small,image_thumb,object_ocr,object_hocr,object_transcript,object_pdf,title,ark,avian_id,uid,call_number,archival_collection,finding_aid_ark,archival_series_title,folder_title,box,folder_num,contributing_institution,contributing_institution_uri,personal_creator,personal_creator_uri,corporate_creator,corporate_creator_uri,interviewee,interviewee_uri,interviewer,interviewer_uri,personal_contributor,personal_contributor_uri,corporate_contributor,corporate_contributor_uri,description,disclaimer,language,chronological_subject,personal_name_subject,personal_name_subject_uri,corporate_name_subject,corporate_name_subject_uri,subject,subject_uri,location,location_uri,latitude,longitude,geodetic_datum,extent,medium,medium_uri,genre,genre_uri,type,format,rights,rightsstatement,date,date_digital,publisher,publisher_uri,issuance,issuance_start,issuance_end,frequency,digital_collection,digital_collection_ark,relation,relation_uri,digital_origin
DSOH_AV205001,dsohav205001,dsoh,audio,,0,AV205001.mp3,av205001.mp3,https://iastate.aviaryplatform.com/r/sf2m61c90r,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/dsoh/small/extension_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/dsoh/small/extension_th.jpg,,,,,Interview with Norm Goodwin,https://n2t.net/ark:/87292/w9nc5sk1h,,AV205001,RS 13/12/54,Dorothy Schwieder papers,https://n2t.net/ark:/87292/w9tv24,"Media, 1971-1997, undated",,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,"Goodwin, Norm",,"Schwieder, Dorothy, 1933-2014",http://id.loc.gov/authorities/names/n83049872,,,,,Oral history interviews concerning the history of the Iowa State Extension Service.,,eng,20th century,,,Iowa State University. Cooperative Extension Service,http://id.loc.gov/authorities/names/n81066768,,,Iowa--Ames,http://id.worldcat.org/fast/1207548,,,,00:43:05,1/4 inch audio cassette,http://pbcore.org/pbcore-controlled-vocabularies/instantiationphysical-audio-vocabulary/#QuarterInchAudioCassette,oral histories (literary genre),http://vocab.getty.edu/aat/300202595,Sound,audio/mpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from the rights-holder.",http://rightsstatements.org/vocab/InC/1.0/,,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Dorothy Schwieder oral histories,https://n2t.net/ark:/87292/w9s46hc5n,,,reformatted digital
DSOH_AV205007,dsohav205007,dsoh,audio,,0,AV205007_1.mp3;AV205007_2.mp3,av205007_1.mp3;av205007_2.mp3,https://iastate.aviaryplatform.com/r/bz6154f72d,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/dsoh/small/extension_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/dsoh/small/extension_th.jpg,,,,,Interview with Ann Harrison,https://n2t.net/ark:/87292/w9hq3s503,,AV205007,RS 13/12/54,Dorothy Schwieder papers,https://n2t.net/ark:/87292/w9tv24,"Media, 1971-1997, undated",,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,"Harrison, Ann",,"Schwieder, Dorothy, 1933-2014",http://id.loc.gov/authorities/names/n83049872,,,,,Oral history interviews concerning the history of the Iowa State Extension Service.,,eng,1990s,,,Iowa State University. Cooperative Extension Service,http://id.loc.gov/authorities/names/n81066768,,,Iowa--Ames,http://id.worldcat.org/fast/1207548,,,,00:51:18,1/4 inch audio cassette,http://pbcore.org/pbcore-controlled-vocabularies/instantiationphysical-audio-vocabulary/#QuarterInchAudioCassette,oral histories (literary genre),http://vocab.getty.edu/aat/300202595,Sound,audio/mpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from the rights-holder.",http://rightsstatements.org/vocab/InC/1.0/,1991,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Dorothy Schwieder oral histories,https://n2t.net/ark:/87292/w9s46hc5n,,,reformatted digital
DSOH_AV205004,dsohav205004,dsoh,audio,,0,AV205004_2.mp3,av205004_2.mp3,https://iastate.aviaryplatform.com/r/2b8v97zz99,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/dsoh/small/extension_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/dsoh/small/extension_th.jpg,,,,,"Interview with E. Howard Hill, Bernice Lund, Herb Plambeck, Edith Zobrist, and Esther Whetstone",https://n2t.net/ark:/87292/w9cz32b6q,,AV205004,RS 13/12/54,Dorothy Schwieder papers,https://n2t.net/ark:/87292/w9tv24,"Media, 1971-1997, undated",,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,"Hill, E. Howard, 1908-;Lund, Bernice; Plambeck, Herb, 1908-2001;Zobrist, Edith; Whetstone, Esther",http://id.loc.gov/authorities/names/n86034260;;http://id.loc.gov/authorities/names/n84150849;;,"Schwieder, Dorothy, 1933-2014",http://id.loc.gov/authorities/names/n83049872,,,,,Oral history interviews concerning the history of the Iowa State Extension Service.,,eng,1980s,,,Iowa State University. Cooperative Extension Service,http://id.loc.gov/authorities/names/n81066768,,,Iowa--Ames,http://id.worldcat.org/fast/1207548,,,,00:16:55,1/4 inch audio cassette,http://pbcore.org/pbcore-controlled-vocabularies/instantiationphysical-audio-vocabulary/#QuarterInchAudioCassette,oral histories (literary genre),http://vocab.getty.edu/aat/300202595,Sound,audio/mpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from the rights-holder.",http://rightsstatements.org/vocab/InC/1.0/,1989,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Dorothy Schwieder oral histories,https://n2t.net/ark:/87292/w9s46hc5n,,,reformatted digital
DSOH_AV205002,dsohav205002,dsoh,audio,,0,AV205002_1.mp3;AV205002_2.mp3;AV205003.mp3,av205002_1.mp3;av205002_2.mp3;av205003.mp3,https://iastate.aviaryplatform.com/r/xp6tx35x1g,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/dsoh/small/extension_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/dsoh/small/extension_th.jpg,,,,,Interview with C. J. Gauger,https://n2t.net/ark:/87292/w9862bj2w,,AV205002,RS 13/12/54,Dorothy Schwieder papers,https://n2t.net/ark:/87292/w9tv24,"Media, 1971-1997, undated",,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,"Gauger, C. J.",,"Schwieder, Dorothy, 1933-2014",http://id.loc.gov/authorities/names/n83049872,,,,,Oral history interviews concerning the history of the Iowa State Extension Service.,,eng,1990s,,,Iowa State University. Cooperative Extension Service,http://id.loc.gov/authorities/names/n81066768,,,Iowa--Ames,http://id.worldcat.org/fast/1207548,,,,02:24:07,1/4 inch audio cassette,http://pbcore.org/pbcore-controlled-vocabularies/instantiationphysical-audio-vocabulary/#QuarterInchAudioCassette,oral histories (literary genre),http://vocab.getty.edu/aat/300202595,Sound,audio/mpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from the rights-holder.",http://rightsstatements.org/vocab/InC/1.0/,1990,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Dorothy Schwieder oral histories,https://n2t.net/ark:/87292/w9s46hc5n,,,reformatted digital
DSOH_AV204990,dsohav204990,dsoh,audio,,0,AV204990_1.mp3;AV204990_2.mp3,av204990_1.mp3;av204990_2.mp3,https://iastate.aviaryplatform.com/r/639k35ms6s,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/dsoh/small/extension_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/dsoh/small/extension_th.jpg,,,,,Interview with Julia Anderson,https://n2t.net/ark:/87292/w94f1mq84,,AV204990,RS 13/12/54,Dorothy Schwieder papers,https://n2t.net/ark:/87292/w9tv24,"Media, 1971-1997, undated",,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,"Anderson, Julia",,"Schwieder, Dorothy, 1933-2014",http://id.loc.gov/authorities/names/n83049872,,,,,Oral history interviews concerning the history of the Iowa State Extension Service.,,eng,1980s,,,Iowa State University. Cooperative Extension Service,http://id.loc.gov/authorities/names/n81066768,,,Iowa--Ames,http://id.worldcat.org/fast/1207548,,,,01:04:12,1/4 inch audio cassette,http://pbcore.org/pbcore-controlled-vocabularies/instantiationphysical-audio-vocabulary/#QuarterInchAudioCassette,oral histories (literary genre),http://vocab.getty.edu/aat/300202595,Sound,audio/mpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from the rights-holder.",http://rightsstatements.org/vocab/InC/1.0/,1988,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Dorothy Schwieder oral histories,https://n2t.net/ark:/87292/w9s46hc5n,,,reformatted digital
DSOH_AV204994,dsohav204994,dsoh,audio,,0,AV204994_1.mp3;AV204994_2.mp3,av204994_1.mp3;av204994_2.mp3,https://iastate.aviaryplatform.com/r/mp4vh5d273,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/dsoh/small/extension_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/dsoh/small/extension_th.jpg,,,,,Interview with Marie Bishop,https://n2t.net/ark:/87292/w90p0wx40,,AV204994,RS 13/12/54,Dorothy Schwieder papers,https://n2t.net/ark:/87292/w9tv24,"Media, 1971-1997, undated",,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,"Bishop, Marie",,"Schwieder, Dorothy, 1933-2014",http://id.loc.gov/authorities/names/n83049872,,,,,Oral history interviews concerning the history of the Iowa State Extension Service.,,eng,1980s,,,Iowa State University. Cooperative Extension Service,http://id.loc.gov/authorities/names/n81066768,,,Iowa--Ames,http://id.worldcat.org/fast/1207548,,,,00:48:48,1/4 inch audio cassette,http://pbcore.org/pbcore-controlled-vocabularies/instantiationphysical-audio-vocabulary/#QuarterInchAudioCassette,oral histories (literary genre),http://vocab.getty.edu/aat/300202595,Sound,audio/mpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from the rights-holder.",http://rightsstatements.org/vocab/InC/1.0/,1988,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Dorothy Schwieder oral histories,https://n2t.net/ark:/87292/w9s46hc5n,,,reformatted digital
DSOH_AV204997,dsohav204997,dsoh,audio,,0,AV204997_1.mp3;AV204997_2.mp3,av204997_1.mp3;av204997_2.mp3,https://iastate.aviaryplatform.com/r/xs5j96111v,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/dsoh/small/extension_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/dsoh/small/extension_th.jpg,,,,,Interview with Robert Crom,https://n2t.net/ark:/87292/w9vx06889,,AV204997,RS 13/12/54,Dorothy Schwieder papers,https://n2t.net/ark:/87292/w9tv24,"Media, 1971-1997, undated",,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,"Crom, Robert",,"Schwieder, Dorothy, 1933-2014",http://id.loc.gov/authorities/names/n83049872,,,,,Oral history interviews concerning the history of the Iowa State Extension Service.,,eng,1980s,,,Iowa State University. Cooperative Extension Service,http://id.loc.gov/authorities/names/n81066768,,,Iowa--Ames,http://id.worldcat.org/fast/1207548,,,,01:27:19,1/4 inch audio cassette,http://pbcore.org/pbcore-controlled-vocabularies/instantiationphysical-audio-vocabulary/#QuarterInchAudioCassette,oral histories (literary genre),http://vocab.getty.edu/aat/300202595,Sound,audio/mpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from the rights-holder.",http://rightsstatements.org/vocab/InC/1.0/,1988,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Dorothy Schwieder oral histories,https://n2t.net/ark:/87292/w9s46hc5n,,,reformatted digital
DSOH_AV204996,dsohav204996,dsoh,audio,,0,AV204996_1.mp3;AV204996_2.mp3,av204996_1.mp3;av204996_2.mp3,https://iastate.aviaryplatform.com/r/sq8qb9vt7c,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/dsoh/small/extension_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/dsoh/small/extension_th.jpg,,,,,Interview with Don Brashar,https://n2t.net/ark:/87292/w9r49gg4x,,AV204996,RS 13/12/54,Dorothy Schwieder papers,https://n2t.net/ark:/87292/w9tv24,"Media, 1971-1997, undated",,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,"Brashar, Don",,"Schwieder, Dorothy, 1933-2014",http://id.loc.gov/authorities/names/n83049872,,,,,Oral history interviews concerning the history of the Iowa State Extension Service.,,eng,1990s,,,Iowa State University. Cooperative Extension Service,http://id.loc.gov/authorities/names/n81066768,,,Iowa--Ames,http://id.worldcat.org/fast/1207548,,,,01:35:06,1/4 inch audio cassette,http://pbcore.org/pbcore-controlled-vocabularies/instantiationphysical-audio-vocabulary/#QuarterInchAudioCassette,oral histories (literary genre),http://vocab.getty.edu/aat/300202595,Sound,audio/mpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from the rights-holder.",http://rightsstatements.org/vocab/InC/1.0/,1990,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Dorothy Schwieder oral histories,https://n2t.net/ark:/87292/w9s46hc5n,,,reformatted digital
DSOH_AV205000,dsohav205000,dsoh,audio,,0,AV205000_1.mp3;AV205000_2.mp3,av205000_1.mp3;av205000_2.mp3,https://iastate.aviaryplatform.com/r/z892805p89,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/dsoh/small/extension_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/dsoh/small/extension_th.jpg,,,,,Interview with Beverly Everett,https://n2t.net/ark:/87292/w9mg7g240,,AV205000,RS 13/12/54,Dorothy Schwieder papers,https://n2t.net/ark:/87292/w9tv24,"Media, 1971-1997, undated",,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,"Everett, Beverly",,"Schwieder, Dorothy, 1933-2014",http://id.loc.gov/authorities/names/n83049872,,,,,Oral history interviews concerning the history of the Iowa State Extension Service.,,eng,1990s,,,Iowa State University. Cooperative Extension Service,http://id.loc.gov/authorities/names/n81066768,,,Iowa--Ames,http://id.worldcat.org/fast/1207548,,,,01:18:07,1/4 inch audio cassette,http://pbcore.org/pbcore-controlled-vocabularies/instantiationphysical-audio-vocabulary/#QuarterInchAudioCassette,oral histories (literary genre),http://vocab.getty.edu/aat/300202595,Sound,audio/mpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from the rights-holder.",http://rightsstatements.org/vocab/InC/1.0/,1991,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Dorothy Schwieder oral histories,https://n2t.net/ark:/87292/w9s46hc5n,,,reformatted digital
DSOH_AV204999,dsohav204999,dsoh,audio,,0,AV204999_1.mp3;AV204999_2.mp3,av204999_1.mp3;av204999_2.mp3,https://iastate.aviaryplatform.com/r/gx44q7r83t,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/dsoh/small/extension_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/dsoh/small/extension_th.jpg,,,,,Interview with Elizabeth Elliott,https://n2t.net/ark:/87292/w9gq6r80v,,AV204999,RS 13/12/54,Dorothy Schwieder papers,https://n2t.net/ark:/87292/w9tv24,"Media, 1971-1997, undated",,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,"Elliott, Elizabeth",,"Schwieder, Dorothy, 1933-2014",http://id.loc.gov/authorities/names/n83049872,,,,,Oral history interviews concerning the history of the Iowa State Extension Service.,,eng,1990s,,,Iowa State University. Cooperative Extension Service,http://id.loc.gov/authorities/names/n81066768,,,Iowa--Ames,http://id.worldcat.org/fast/1207548,,,,01:37:13,1/4 inch audio cassette,http://pbcore.org/pbcore-controlled-vocabularies/instantiationphysical-audio-vocabulary/#QuarterInchAudioCassette,oral histories (literary genre),http://vocab.getty.edu/aat/300202595,Sound,audio/mpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from the rights-holder.",http://rightsstatements.org/vocab/InC/1.0/,1990,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Dorothy Schwieder oral histories,https://n2t.net/ark:/87292/w9s46hc5n,,,reformatted digital
