legacy_id,objectid,collectionid,display_template,parentid,sequence,pres_file,filename,object_location,image_alt_text,image_small,image_thumb,object_ocr,object_hocr,object_transcript,object_pdf,title,ark,avian_id,uid,call_number,archival_collection,finding_aid_ark,archival_series_title,folder_title,box,folder_num,contributing_institution,contributing_institution_uri,personal_creator,personal_creator_uri,corporate_creator,corporate_creator_uri,interviewee,interviewee_uri,interviewer,interviewer_uri,personal_contributor,personal_contributor_uri,corporate_contributor,corporate_contributor_uri,description,disclaimer,language,chronological_subject,personal_name_subject,personal_name_subject_uri,corporate_name_subject,corporate_name_subject_uri,subject,subject_uri,location,location_uri,latitude,longitude,geodetic_datum,extent,medium,medium_uri,genre,genre_uri,type,format,rights,rightsstatement,date,date_digital,publisher,publisher_uri,issuance,issuance_start,issuance_end,frequency,digital_collection,digital_collection_ark,relation,relation_uri,digital_origin
DuMont_2,dumont2,dumont,complex,,0,,,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/dumont/small/ms0153b001f025i020_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/dumont/thumbs/ms0153b001f025i020_th.jpg,,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/dumont/pdf/dumont2.pdf,"Walter Rosene letter to Philip DuMont regarding Barred Owl observations and Goose identification, April 11, 1928",https://n2t.net/ark:/87292/w9qj77x8v,4190,,MS 153,Philip A. DuMont papers,https://n2t.net/ark:/87292/w9sr1d,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Rosene, Walter M., Sr., 1880-1941",http://id.loc.gov/authorities/names/no2022002853,,,,,,,"DuMont, Philip A. (Philip Atkinson), 1903-1996",http://id.loc.gov/authorities/names/no2010190453,,,"Letter from Walter Rosene to Philip DuMont dated April 11, 1928. Rosene discusses his observations of a Barred Owl, how he identifies geese, and some recent sightings.",,eng,,,,Des Moines Audubon Society,http://id.loc.gov/authorities/names/no2023045341,Bird watching;Birds--Behavior;Birds--Food;Birds--Identification;Birds--Nests;Water birds;Barred Owl (Strix varia);Snow Goose (Chen caerulescens);Canada Goose (Branta canadensis),http://id.worldcat.org/fast/832948;http://id.worldcat.org/fast/832976;http://id.worldcat.org/fast/833019;http://id.worldcat.org/fast/833029;http://id.worldcat.org/fast/833043;http://id.worldcat.org/fast/1171557;https://www.gbif.org/species/2497541;https://www.gbif.org/species/2498165;https://www.gbif.org/species/5232437,Ogden;Boone County;Long Pond,https://www.geonames.org/4869780;https://www.geonames.org/4849058;https://www.geonames.org/4865393,42.03915; 42.03655; 41.81311,-94.02773; -93.93167; -94.29165,WGS 84,2 pages,,,correspondence,http://vocab.getty.edu/aat/300026877,Text,image/jpeg,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,1928-04-11,2017-12-19,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Philip A. DuMont collection,https://n2t.net/ark:/87292/w97w6754s,Avian Archives of Iowa Online (avIAn),https://avian.lib.iastate.edu,reformatted digital
DuMont_0,dumont0,dumont,child,dumont2,1,MS0153b001f025i020.tif,ms0153b001f025i020.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/dumont/ms0153b001f025i020.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/dumont/small/ms0153b001f025i020_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/dumont/thumbs/ms0153b001f025i020_th.jpg,,,,,Page 1,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,,,,,,,,,Philip A. DuMont collection,https://n2t.net/ark:/87292/w97w6754s,,,reformatted digital
DuMont_1,dumont1,dumont,child,dumont2,2,MS0153b001f025i021.tif,ms0153b001f025i021.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/dumont/ms0153b001f025i021.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/dumont/small/ms0153b001f025i021_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/dumont/thumbs/ms0153b001f025i021_th.jpg,,,,,Page 2,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,,,,,,,,,Philip A. DuMont collection,https://n2t.net/ark:/87292/w97w6754s,,,reformatted digital
DuMont_5,dumont5,dumont,complex,,0,,,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/dumont/small/ms0153b001f016i006_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/dumont/thumbs/ms0153b001f016i006_th.jpg,,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/dumont/pdf/dumont5.pdf,"Dipper specimen at Macedonia, Iowa",https://n2t.net/ark:/87292/w9ks6j43n,4113,,MS 153,Philip A. DuMont papers,https://n2t.net/ark:/87292/w9sr1d,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Hendrickson, George O.",,,,,,,,,,,,"Draft article. Article written by George Hendrickson discusses Philip DuMont's examination of the Stempel collection and seeks to establish the Dipper as an accidental bird in Iowa. Published in Iowa Bird Life vol. 27, no. 3. This article describes the specimen discussed in: https://n2t.net/ark:/87292/w9z31nn75, https://n2t.net/ark:/87292/w9b56d43m, and https://n2t.net/ark:/87292/w94f1mh9x. The American Dipper described in this article was reviewed by the Iowa Ornithologists' Union Records Committee: https://n2t.net/ark:/87292/w9930nz0j.",,eng,,"Stempel, Guido Louis",,,,Rare birds;Zoological specimens;American Dipper (Cinclus mexicanus),http://id.worldcat.org/fast/1090092;http://id.worldcat.org/fast/1184690;https://www.gbif.org/species/9606873,Forneys Lake;Macedonia,https://www.geonames.org/4857456;https://www.geonames.org/4865798,40.85406; 41.19277,-95.78005; -95.42556,WGS 84,2 pages,,,drafts (documents);articles,http://vocab.getty.edu/aat/300026931;http://vocab.getty.edu/aat/300048715,Text,image/jpeg,"This item is protected by copyright and related rights. However, the rights-holder is unidentified or unlocatable. If you have information that can contribute to identifying or locating the rights-holder, please notify the Iowa State University Library, Digital Scholarship and Initiatives.",http://rightsstatements.org/vocab/InC-RUU/1.0/,,2017-12-18,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Philip A. DuMont collection,https://n2t.net/ark:/87292/w97w6754s,Avian Archives of Iowa Online (avIAn),https://avian.lib.iastate.edu,reformatted digital
DuMont_3,dumont3,dumont,child,dumont5,1,MS0153b001f016i006.tif,ms0153b001f016i006.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/dumont/ms0153b001f016i006.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/dumont/small/ms0153b001f016i006_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/dumont/thumbs/ms0153b001f016i006_th.jpg,,,,,Page 1,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,"This item is protected by copyright and related rights. However, the rights-holder is unidentified or unlocatable. If you have information that can contribute to identifying or locating the rights-holder, please notify the Iowa State University Library, Digital Scholarship and Initiatives.",http://rightsstatements.org/vocab/InC-RUU/1.0/,,,,,,,,,Philip A. DuMont collection,https://n2t.net/ark:/87292/w97w6754s,,,reformatted digital
DuMont_4,dumont4,dumont,child,dumont5,2,MS0153b001f016i007.tif,ms0153b001f016i007.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/dumont/ms0153b001f016i007.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/dumont/small/ms0153b001f016i007_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/dumont/thumbs/ms0153b001f016i007_th.jpg,,,,,Page 2,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,"This item is protected by copyright and related rights. However, the rights-holder is unidentified or unlocatable. If you have information that can contribute to identifying or locating the rights-holder, please notify the Iowa State University Library, Digital Scholarship and Initiatives.",http://rightsstatements.org/vocab/InC-RUU/1.0/,,,,,,,,,Philip A. DuMont collection,https://n2t.net/ark:/87292/w97w6754s,,,reformatted digital
DuMont_10,dumont10,dumont,complex,,0,,,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/dumont/small/ms0153b001f006i010_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/dumont/thumbs/ms0153b001f006i010_th.jpg,,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/dumont/pdf/dumont10.pdf,"Philip DuMont letter to George Hendrickson regarding editorial changes to the revised checklist, November 29, 1956",https://n2t.net/ark:/87292/w9g15t996,4104,,MS 153,Philip A. DuMont papers,https://n2t.net/ark:/87292/w9sr1d,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"DuMont, Philip A. (Philip Atkinson), 1903-1996",http://id.loc.gov/authorities/names/no2010190453,,,,,,,"Ennis, J. Harold",,,,"Letter from Philip DuMont to George Hendrickson dated November 29, 1956. In this letter to George Hendrickson (copied to Martin Grant and Harold Ennis) DuMont details some changes that he made to the revised checklist and notes that he had Fred Lincoln, who is in the process of reviewing the American Ornithologists' Union checklist, double check his corrections. Included is Philip DuMont's edited revised Check-list of Iowa Birds. This document is in response to a letter from Hendrickson: https://n2t.net/ark:/87292/w9w08wg2d.",,eng,,"Lincoln, Frederick Charles, 1892-1960",http://id.loc.gov/authorities/names/n80013568,American Ornithologists' Union,http://id.loc.gov/authorities/names/n50063586,Bird watching;Birds--Nomenclature;Classification;Copy editing,http://id.worldcat.org/fast/832948;http://id.worldcat.org/fast/833044;http://id.worldcat.org/fast/1697073;http://id.worldcat.org/fast/1715705,Iowa,https://www.geonames.org/4862182,42.00027,-93.50049,WGS 84,4 pages,,,checklists;correspondence,http://vocab.getty.edu/aat/300027123;http://vocab.getty.edu/aat/300026877,Text,image/jpeg,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,1956-11-29,2017-12-18,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Philip A. DuMont collection,https://n2t.net/ark:/87292/w97w6754s,Avian Archives of Iowa Online (avIAn),https://avian.lib.iastate.edu,reformatted digital
DuMont_6,dumont6,dumont,child,dumont10,1,MS0153b001f006i010.tif,ms0153b001f006i010.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/dumont/ms0153b001f006i010.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/dumont/small/ms0153b001f006i010_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/dumont/thumbs/ms0153b001f006i010_th.jpg,,,,,Page 1,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,,,,,,,,,Philip A. DuMont collection,https://n2t.net/ark:/87292/w97w6754s,,,reformatted digital
DuMont_7,dumont7,dumont,child,dumont10,2,MS0153b001f006i011.tif,ms0153b001f006i011.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/dumont/ms0153b001f006i011.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/dumont/small/ms0153b001f006i011_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/dumont/thumbs/ms0153b001f006i011_th.jpg,,,,,Page 2,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,,,,,,,,,Philip A. DuMont collection,https://n2t.net/ark:/87292/w97w6754s,,,reformatted digital
DuMont_8,dumont8,dumont,child,dumont10,3,MS0153b001f006i012.tif,ms0153b001f006i012.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/dumont/ms0153b001f006i012.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/dumont/small/ms0153b001f006i012_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/dumont/thumbs/ms0153b001f006i012_th.jpg,,,,,Page 3,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,,,,,,,,,Philip A. DuMont collection,https://n2t.net/ark:/87292/w97w6754s,,,reformatted digital
