legacy_id,objectid,collectionid,display_template,parentid,sequence,pres_file,filename,object_location,image_alt_text,image_small,image_thumb,object_ocr,object_hocr,object_transcript,object_pdf,title,ark,avian_id,uid,call_number,archival_collection,finding_aid_ark,archival_series_title,folder_title,box,folder_num,contributing_institution,contributing_institution_uri,personal_creator,personal_creator_uri,corporate_creator,corporate_creator_uri,interviewee,interviewee_uri,interviewer,interviewer_uri,personal_contributor,personal_contributor_uri,corporate_contributor,corporate_contributor_uri,description,disclaimer,language,chronological_subject,personal_name_subject,personal_name_subject_uri,corporate_name_subject,corporate_name_subject_uri,subject,subject_uri,location,location_uri,latitude,longitude,geodetic_datum,extent,medium,medium_uri,genre,genre_uri,type,format,rights,rightsstatement,date,date_digital,publisher,publisher_uri,issuance,issuance_start,issuance_end,frequency,digital_collection,digital_collection_ark,relation,relation_uri,digital_origin
FairfieldBirdClub_81,fairfieldbirdclub81,fairfieldbirdclub,complex,,0,,,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/fairfieldbirdclub/small/ms0389b001f004i0080_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/fairfieldbirdclub/thumbs/ms0389b001f004i0080_th.jpg,,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/fairfieldbirdclub/pdf/fairfieldbirdclub81.pdf,"Fairfield Bird Club meeting minutes, 1943-1952",https://n2t.net/ark:/87292/w9hh6c99b,10382,,MS 386,Fairfield (Iowa) Bird Club Records,https://n2t.net/ark:/87292/w9px8v,,,1,4,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Lowell, Margaret Herdliska; Scheffel, Iva; Williamson, Estella M.; Roth, Emma; Thada, Lillian B.",,Fairfield Bird Club,http://id.loc.gov/authorities/names/no2021119431,,,,,,,,,"Handwritten minutes for the Fairfield Bird Club covering the years 1943-1952. The minutes were recorded by the person who held the office of secretary for the club for that year and provide an overview of what happened what happened when the club met, including the locations of the meetings, guests who attended the meetings, subjects of the programs presented, and treasurer's reports.",,eng,,"Ayres, Charles C., Jr.; Schreiner, Keith M.; Dole, J. Wilbur; Von Ohlen, Floyd W.; Taylor, Ben J.; Hayward, Viola; Baumgartner, Jo; Calvert, Grace A.; Hoover, Mildred; Lawson, Lulu Faye",; http://id.loc.gov/authorities/names/no2021017150; ; ; ; ; ; ; ;,,,"Ornithology--Societies, etc; Meetings",http://id.worldcat.org/fast/1048364; http://id.worldcat.org/fast/1015496,Fairfield; Waterworks Park; Fairfield High School; Parsons College,https://www.geonames.org/4855967; https://www.geonames.org/4880935; https://www.geonames.org/4855978; https://www.geonames.org/4870778,41.00863; 41.02002; 41.00817; 41.01669,-91.96267; -91.95573; -91.95554; -91.96684,WGS 84,81 pages,,,administrative records,http://vocab.getty.edu/aat/300027425,Text,image/jpeg,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,1943-04-01/1952-11-20,2018-11-14,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Fairfield (Iowa) Bird Club collection,https://n2t.net/ark:/87292/w9r785p8g,,,reformatted digital; Digitized with Epson - sheet feed/flatbed
FairfieldBirdClub_0,fairfieldbirdclub0,fairfieldbirdclub,child,fairfieldbirdclub81,1,MS0389b001f004i0080.tif,ms0389b001f004i0080.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/fairfieldbirdclub/ms0389b001f004i0080.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/fairfieldbirdclub/small/ms0389b001f004i0080_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/fairfieldbirdclub/thumbs/ms0389b001f004i0080_th.jpg,,,,,Page 1,,,,MS 386,Fairfield (Iowa) Bird Club Records,https://n2t.net/ark:/87292/w9px8v,,,1,4,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,,,,,,,,,Fairfield (Iowa) Bird Club collection,https://n2t.net/ark:/87292/w9r785p8g,,,reformatted digital
FairfieldBirdClub_1,fairfieldbirdclub1,fairfieldbirdclub,child,fairfieldbirdclub81,2,MS0386b001f004i0001.tif,ms0386b001f004i0001.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/fairfieldbirdclub/ms0386b001f004i0001.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/fairfieldbirdclub/small/ms0386b001f004i0001_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/fairfieldbirdclub/thumbs/ms0386b001f004i0001_th.jpg,,,,,Page 2,,,,MS 386,Fairfield (Iowa) Bird Club Records,https://n2t.net/ark:/87292/w9px8v,,,1,4,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,,,,,,,,,Fairfield (Iowa) Bird Club collection,https://n2t.net/ark:/87292/w9r785p8g,,,reformatted digital
FairfieldBirdClub_2,fairfieldbirdclub2,fairfieldbirdclub,child,fairfieldbirdclub81,3,MS0386b001f004i0002.tif,ms0386b001f004i0002.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/fairfieldbirdclub/ms0386b001f004i0002.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/fairfieldbirdclub/small/ms0386b001f004i0002_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/fairfieldbirdclub/thumbs/ms0386b001f004i0002_th.jpg,,,,,Page 3,,,,MS 386,Fairfield (Iowa) Bird Club Records,https://n2t.net/ark:/87292/w9px8v,,,1,4,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,,,,,,,,,Fairfield (Iowa) Bird Club collection,https://n2t.net/ark:/87292/w9r785p8g,,,reformatted digital
FairfieldBirdClub_3,fairfieldbirdclub3,fairfieldbirdclub,child,fairfieldbirdclub81,4,MS0386b001f004i0003.tif,ms0386b001f004i0003.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/fairfieldbirdclub/ms0386b001f004i0003.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/fairfieldbirdclub/small/ms0386b001f004i0003_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/fairfieldbirdclub/thumbs/ms0386b001f004i0003_th.jpg,,,,,Page 4,,,,MS 386,Fairfield (Iowa) Bird Club Records,https://n2t.net/ark:/87292/w9px8v,,,1,4,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,,,,,,,,,Fairfield (Iowa) Bird Club collection,https://n2t.net/ark:/87292/w9r785p8g,,,reformatted digital
FairfieldBirdClub_4,fairfieldbirdclub4,fairfieldbirdclub,child,fairfieldbirdclub81,5,MS0386b001f004i0004.tif,ms0386b001f004i0004.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/fairfieldbirdclub/ms0386b001f004i0004.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/fairfieldbirdclub/small/ms0386b001f004i0004_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/fairfieldbirdclub/thumbs/ms0386b001f004i0004_th.jpg,,,,,Page 5,,,,MS 386,Fairfield (Iowa) Bird Club Records,https://n2t.net/ark:/87292/w9px8v,,,1,4,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,,,,,,,,,Fairfield (Iowa) Bird Club collection,https://n2t.net/ark:/87292/w9r785p8g,,,reformatted digital
FairfieldBirdClub_5,fairfieldbirdclub5,fairfieldbirdclub,child,fairfieldbirdclub81,6,MS0386b001f004i0005.tif,ms0386b001f004i0005.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/fairfieldbirdclub/ms0386b001f004i0005.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/fairfieldbirdclub/small/ms0386b001f004i0005_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/fairfieldbirdclub/thumbs/ms0386b001f004i0005_th.jpg,,,,,Page 6,,,,MS 386,Fairfield (Iowa) Bird Club Records,https://n2t.net/ark:/87292/w9px8v,,,1,4,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,,,,,,,,,Fairfield (Iowa) Bird Club collection,https://n2t.net/ark:/87292/w9r785p8g,,,reformatted digital
FairfieldBirdClub_6,fairfieldbirdclub6,fairfieldbirdclub,child,fairfieldbirdclub81,7,MS0386b001f004i0006.tif,ms0386b001f004i0006.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/fairfieldbirdclub/ms0386b001f004i0006.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/fairfieldbirdclub/small/ms0386b001f004i0006_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/fairfieldbirdclub/thumbs/ms0386b001f004i0006_th.jpg,,,,,Page 7,,,,MS 386,Fairfield (Iowa) Bird Club Records,https://n2t.net/ark:/87292/w9px8v,,,1,4,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,,,,,,,,,Fairfield (Iowa) Bird Club collection,https://n2t.net/ark:/87292/w9r785p8g,,,reformatted digital
FairfieldBirdClub_7,fairfieldbirdclub7,fairfieldbirdclub,child,fairfieldbirdclub81,8,MS0386b001f004i0007.tif,ms0386b001f004i0007.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/fairfieldbirdclub/ms0386b001f004i0007.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/fairfieldbirdclub/small/ms0386b001f004i0007_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/fairfieldbirdclub/thumbs/ms0386b001f004i0007_th.jpg,,,,,Page 8,,,,MS 386,Fairfield (Iowa) Bird Club Records,https://n2t.net/ark:/87292/w9px8v,,,1,4,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,,,,,,,,,Fairfield (Iowa) Bird Club collection,https://n2t.net/ark:/87292/w9r785p8g,,,reformatted digital
FairfieldBirdClub_8,fairfieldbirdclub8,fairfieldbirdclub,child,fairfieldbirdclub81,9,MS0386b001f004i0008.tif,ms0386b001f004i0008.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/fairfieldbirdclub/ms0386b001f004i0008.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/fairfieldbirdclub/small/ms0386b001f004i0008_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/fairfieldbirdclub/thumbs/ms0386b001f004i0008_th.jpg,,,,,Page 9,,,,MS 386,Fairfield (Iowa) Bird Club Records,https://n2t.net/ark:/87292/w9px8v,,,1,4,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,,,,,,,,,Fairfield (Iowa) Bird Club collection,https://n2t.net/ark:/87292/w9r785p8g,,,reformatted digital
