legacy_id,objectid,collectionid,display_template,parentid,sequence,pres_file,filename,object_location,image_alt_text,image_small,image_thumb,object_ocr,object_hocr,object_transcript,object_pdf,title,ark,avian_id,uid,call_number,archival_collection,finding_aid_ark,archival_series_title,folder_title,box,folder_num,contributing_institution,contributing_institution_uri,personal_creator,personal_creator_uri,corporate_creator,corporate_creator_uri,interviewee,interviewee_uri,interviewer,interviewer_uri,personal_contributor,personal_contributor_uri,corporate_contributor,corporate_contributor_uri,description,disclaimer,language,chronological_subject,personal_name_subject,personal_name_subject_uri,corporate_name_subject,corporate_name_subject_uri,subject,subject_uri,location,location_uri,latitude,longitude,geodetic_datum,extent,medium,medium_uri,genre,genre_uri,type,format,rights,rightsstatement,date,date_digital,publisher,publisher_uri,issuance,issuance_start,issuance_end,frequency,digital_collection,digital_collection_ark,relation,relation_uri,digital_origin
FPM_0,fpm0,fpm,simple,,0,04-08-10_FPMLandscapeDesign_0001-001-011.tif,04-08-10_fpmlandscapedesign_0001-001-011.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/fpm/04-08-10_fpmlandscapedesign_0001-001-011.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/fpm/small/04-08-10_fpmlandscapedesign_0001-001-011_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/fpm/thumbs/04-08-10_fpmlandscapedesign_0001-001-011_th.jpg,,,,,"Accessibility: handrails, ramps, walkways",https://n2t.net/ark:/87292/w9bn67,,,RS 4/8,Iowa State University. Facilities Planning and Management records,https://n2t.net/ark:/87292/w9cx82,2.1 Landscape and Landscape Planning Activities,Accessibility: patios,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,Iowa State University. Office of Facilities Planning and Management,http://id.loc.gov/authorities/names/no2018059298,,,,,,,,,,,zxx,,,,,,Universities and colleges--Landscape architecture;Campus planning;Barrier-free design,http://id.worldcat.org/fast/1161815;http://id.worldcat.org/fast/845009;http://id.worldcat.org/fast/827762,Iowa--Story County,http://id.worldcat.org/fast/1221286,,,,35 mm,,,color slides,http://vocab.getty.edu/aat/300128366,Image,image/jpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC/1.0/,,2016-04-26,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Iowa State University Facilities Planning and Management collection,https://n2t.net/ark:/87292/w9wp9t63r,,,reformatted digital
FPM_1,fpm1,fpm,simple,,0,04-08-10_FPMLandscapeDesign_0001-001-004.tif,04-08-10_fpmlandscapedesign_0001-001-004.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/fpm/04-08-10_fpmlandscapedesign_0001-001-004.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/fpm/small/04-08-10_fpmlandscapedesign_0001-001-004_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/fpm/thumbs/04-08-10_fpmlandscapedesign_0001-001-004_th.jpg,,,,,"Accessibility: handrails, ramps, walkways",https://n2t.net/ark:/87292/w96z63,,,RS 4/8,Iowa State University. Facilities Planning and Management records,https://n2t.net/ark:/87292/w9cx82,2.1 Landscape and Landscape Planning Activities,Accessibility: patios,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,Iowa State University. Office of Facilities Planning and Management,http://id.loc.gov/authorities/names/no2018059298,,,,,,,,,,,zxx,,,,,,Universities and colleges--Landscape architecture;Campus planning;Barrier-free design,http://id.worldcat.org/fast/1161815;http://id.worldcat.org/fast/845009;http://id.worldcat.org/fast/827762,Iowa--Story County,http://id.worldcat.org/fast/1221286,,,,35 mm,,,color slides,http://vocab.getty.edu/aat/300128366,Image,image/jpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC/1.0/,,2016-04-26,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Iowa State University Facilities Planning and Management collection,https://n2t.net/ark:/87292/w9wp9t63r,,,reformatted digital
FPM_2,fpm2,fpm,simple,,0,04-08-10_FPMLandscapeDesign_0001-001-010.tif,04-08-10_fpmlandscapedesign_0001-001-010.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/fpm/04-08-10_fpmlandscapedesign_0001-001-010.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/fpm/small/04-08-10_fpmlandscapedesign_0001-001-010_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/fpm/thumbs/04-08-10_fpmlandscapedesign_0001-001-010_th.jpg,,,,,"Accessibility: handrails, ramps, walkways",https://n2t.net/ark:/87292/w9v96f,,,RS 4/8,Iowa State University. Facilities Planning and Management records,https://n2t.net/ark:/87292/w9cx82,2.1 Landscape and Landscape Planning Activities,Accessibility: patios,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,Iowa State University. Office of Facilities Planning and Management,http://id.loc.gov/authorities/names/no2018059298,,,,,,,,,,,zxx,,,,,,Universities and colleges--Landscape architecture;Campus planning;Barrier-free design,http://id.worldcat.org/fast/1161815;http://id.worldcat.org/fast/845009;http://id.worldcat.org/fast/827762,Iowa--Story County,http://id.worldcat.org/fast/1221286,,,,35 mm,,,color slides,http://vocab.getty.edu/aat/300128366,Image,image/jpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC/1.0/,1991-08-21,2016-04-26,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Iowa State University Facilities Planning and Management collection,https://n2t.net/ark:/87292/w9wp9t63r,,,reformatted digital
FPM_3,fpm3,fpm,simple,,0,04-08-10_FPMLandscapeDesign_0001-001-017.tif,04-08-10_fpmlandscapedesign_0001-001-017.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/fpm/04-08-10_fpmlandscapedesign_0001-001-017.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/fpm/small/04-08-10_fpmlandscapedesign_0001-001-017_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/fpm/thumbs/04-08-10_fpmlandscapedesign_0001-001-017_th.jpg,,,,,Patios,https://n2t.net/ark:/87292/w9zg0t,,,RS 4/8,Iowa State University. Facilities Planning and Management records,https://n2t.net/ark:/87292/w9cx82,2.1 Landscape and Landscape Planning Activities,Accessibility: patios,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,Iowa State University. Office of Facilities Planning and Management,http://id.loc.gov/authorities/names/no2018059298,,,,,,,,,,,zxx,,,,,,Universities and colleges--Landscape architecture;Campus planning;Courtyards,http://id.worldcat.org/fast/1161815;http://id.worldcat.org/fast/845009;http://id.worldcat.org/fast/881890,Iowa--Story County,http://id.worldcat.org/fast/1221286,,,,35 mm,,,color slides,http://vocab.getty.edu/aat/300128366,Image,image/jpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC/1.0/,,2016-04-26,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Iowa State University Facilities Planning and Management collection,https://n2t.net/ark:/87292/w9wp9t63r,,,reformatted digital
FPM_4,fpm4,fpm,simple,,0,04-08-10_FPMLandscapeDesign_0001-001-018.tif,04-08-10_fpmlandscapedesign_0001-001-018.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/fpm/04-08-10_fpmlandscapedesign_0001-001-018.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/fpm/small/04-08-10_fpmlandscapedesign_0001-001-018_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/fpm/thumbs/04-08-10_fpmlandscapedesign_0001-001-018_th.jpg,,,,,Patios,https://n2t.net/ark:/87292/w9tn8b,,,RS 4/8,Iowa State University. Facilities Planning and Management records,https://n2t.net/ark:/87292/w9cx82,2.1 Landscape and Landscape Planning Activities,Accessibility: patios,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,Iowa State University. Office of Facilities Planning and Management,http://id.loc.gov/authorities/names/no2018059298,,,,,,,,,,,zxx,,,,,,Universities and colleges--Landscape architecture;Campus planning;Courtyards,http://id.worldcat.org/fast/1161815;http://id.worldcat.org/fast/845009;http://id.worldcat.org/fast/881890,Iowa--Story County,http://id.worldcat.org/fast/1221286,,,,35 mm,,,color slides,http://vocab.getty.edu/aat/300128366,Image,image/jpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC/1.0/,,2016-04-26,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Iowa State University Facilities Planning and Management collection,https://n2t.net/ark:/87292/w9wp9t63r,,,reformatted digital
FPM_5,fpm5,fpm,simple,,0,04-08-10_FPMLandscapeDesign_0001-001-020.tif,04-08-10_fpmlandscapedesign_0001-001-020.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/fpm/04-08-10_fpmlandscapedesign_0001-001-020.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/fpm/small/04-08-10_fpmlandscapedesign_0001-001-020_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/fpm/thumbs/04-08-10_fpmlandscapedesign_0001-001-020_th.jpg,,,,,"Accessibility: handicapped, handrails, ramps",https://n2t.net/ark:/87292/w9pz4p,,,RS 4/8,Iowa State University. Facilities Planning and Management records,https://n2t.net/ark:/87292/w9cx82,2.1 Landscape and Landscape Planning Activities,Accessibility: patios,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,Iowa State University. Office of Facilities Planning and Management,http://id.loc.gov/authorities/names/no2018059298,,,,,,,,,,,zxx,,,,,,Universities and colleges--Landscape architecture;Campus planning;Barrier-free design,http://id.worldcat.org/fast/1161815;http://id.worldcat.org/fast/845009;http://id.worldcat.org/fast/827762,Iowa--Story County,http://id.worldcat.org/fast/1221286,,,,35 mm,,,color slides,http://vocab.getty.edu/aat/300128366,Image,image/jpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC/1.0/,,2016-04-27,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Iowa State University Facilities Planning and Management collection,https://n2t.net/ark:/87292/w9wp9t63r,,,reformatted digital
FPM_6,fpm6,fpm,simple,,0,04-08-10_FPMLandscapeDesign_0001-001-051.tif,04-08-10_fpmlandscapedesign_0001-001-051.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/fpm/04-08-10_fpmlandscapedesign_0001-001-051.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/fpm/small/04-08-10_fpmlandscapedesign_0001-001-051_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/fpm/thumbs/04-08-10_fpmlandscapedesign_0001-001-051_th.jpg,,,,,Greenhouses,https://n2t.net/ark:/87292/w9k53f,,,RS 4/8,Iowa State University. Facilities Planning and Management records,https://n2t.net/ark:/87292/w9cx82,2.1 Landscape and Landscape Planning Activities,Accessibility: patios,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,Iowa State University. Office of Facilities Planning and Management,http://id.loc.gov/authorities/names/no2018059298,,,,,,,,,,,zxx,,,,,,Universities and colleges--Landscape architecture;Campus planning;Barrier-free design,http://id.worldcat.org/fast/1161815;http://id.worldcat.org/fast/845009;http://id.worldcat.org/fast/827762,Iowa--Story County,http://id.worldcat.org/fast/1221286,,,,35 mm,,,color slides,http://vocab.getty.edu/aat/300128366,Image,image/jpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC/1.0/,,2016-04-27,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Iowa State University Facilities Planning and Management collection,https://n2t.net/ark:/87292/w9wp9t63r,,,reformatted digital
FPM_7,fpm7,fpm,simple,,0,04-08-10_FPMLandscapeDesign_0001-003-003.tif,04-08-10_fpmlandscapedesign_0001-003-003.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/fpm/04-08-10_fpmlandscapedesign_0001-003-003.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/fpm/small/04-08-10_fpmlandscapedesign_0001-003-003_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/fpm/thumbs/04-08-10_fpmlandscapedesign_0001-003-003_th.jpg,,,,,Campus model,https://n2t.net/ark:/87292/w9ff97,,,RS 4/8,Iowa State University. Facilities Planning and Management records,https://n2t.net/ark:/87292/w9cx82,2.1 Landscape and Landscape Planning Activities,Campus Model,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,Iowa State University. Office of Facilities Planning and Management,http://id.loc.gov/authorities/names/no2018059298,,,,,,,,,,,zxx,,,,,,Universities and colleges--Landscape architecture;Campus planning;Architectural models,http://id.worldcat.org/fast/1161815;http://id.worldcat.org/fast/845009;http://id.worldcat.org/fast/813283,Iowa--Story County,http://id.worldcat.org/fast/1221286,,,,35 mm,,,color slides,http://vocab.getty.edu/aat/300128366,Image,image/jpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC/1.0/,1977-06,2016-04-27,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Iowa State University Facilities Planning and Management collection,https://n2t.net/ark:/87292/w9wp9t63r,,,reformatted digital
FPM_8,fpm8,fpm,simple,,0,04-08-10_FPMLandscapeDesign_0001-003-017.tif,04-08-10_fpmlandscapedesign_0001-003-017.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/fpm/04-08-10_fpmlandscapedesign_0001-003-017.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/fpm/small/04-08-10_fpmlandscapedesign_0001-003-017_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/fpm/thumbs/04-08-10_fpmlandscapedesign_0001-003-017_th.jpg,,,,,Campus model,https://n2t.net/ark:/87292/w99r7b,,,RS 4/8,Iowa State University. Facilities Planning and Management records,https://n2t.net/ark:/87292/w9cx82,2.1 Landscape and Landscape Planning Activities,Campus Model,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,Iowa State University. Office of Facilities Planning and Management,http://id.loc.gov/authorities/names/no2018059298,,,,,,,,,,,zxx,,,,,,Universities and colleges--Landscape architecture;Campus planning;Architectural models,http://id.worldcat.org/fast/1161815;http://id.worldcat.org/fast/845009;http://id.worldcat.org/fast/813283,Iowa--Story County,http://id.worldcat.org/fast/1221286,,,,35 mm,,,color slides,http://vocab.getty.edu/aat/300128366,Image,image/jpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC/1.0/,,2016-05-02,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Iowa State University Facilities Planning and Management collection,https://n2t.net/ark:/87292/w9wp9t63r,,,reformatted digital
FPM_9,fpm9,fpm,simple,,0,04-08-10_FPMLandscapeDesign_0001-003-019.tif,04-08-10_fpmlandscapedesign_0001-003-019.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/fpm/04-08-10_fpmlandscapedesign_0001-003-019.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/fpm/small/04-08-10_fpmlandscapedesign_0001-003-019_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/fpm/thumbs/04-08-10_fpmlandscapedesign_0001-003-019_th.jpg,,,,,Campus model,https://n2t.net/ark:/87292/w9z40c,,,RS 4/8,Iowa State University. Facilities Planning and Management records,https://n2t.net/ark:/87292/w9cx82,2.1 Landscape and Landscape Planning Activities,Campus Model,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,Iowa State University. Office of Facilities Planning and Management,http://id.loc.gov/authorities/names/no2018059298,,,,,,,,,,,zxx,,,,,,Universities and colleges--Landscape architecture;Campus planning;Architectural models,http://id.worldcat.org/fast/1161815;http://id.worldcat.org/fast/845009;http://id.worldcat.org/fast/813283,Iowa--Story County,http://id.worldcat.org/fast/1221286,,,,35 mm,,,color slides,http://vocab.getty.edu/aat/300128366,Image,image/jpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC/1.0/,,2016-05-02,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Iowa State University Facilities Planning and Management collection,https://n2t.net/ark:/87292/w9wp9t63r,,,reformatted digital
