legacy_id,objectid,collectionid,display_template,parentid,sequence,pres_file,filename,object_location,image_alt_text,image_small,image_thumb,object_ocr,object_hocr,object_transcript,object_pdf,title,ark,avian_id,uid,call_number,archival_collection,finding_aid_ark,archival_series_title,folder_title,box,folder_num,contributing_institution,contributing_institution_uri,personal_creator,personal_creator_uri,corporate_creator,corporate_creator_uri,interviewee,interviewee_uri,interviewer,interviewer_uri,personal_contributor,personal_contributor_uri,corporate_contributor,corporate_contributor_uri,description,disclaimer,language,chronological_subject,personal_name_subject,personal_name_subject_uri,corporate_name_subject,corporate_name_subject_uri,subject,subject_uri,location,location_uri,latitude,longitude,geodetic_datum,extent,medium,medium_uri,genre,genre_uri,type,format,rights,rightsstatement,date,date_digital,publisher,publisher_uri,issuance,issuance_start,issuance_end,frequency,digital_collection,digital_collection_ark,relation,relation_uri,digital_origin
Harker_0,harker0,harker,simple,,0,661_HBPhotographs_33.tif,661_hbphotographs_33.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/harker/661_hbphotographs_33.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/harker/small/661_hbphotographs_33_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/harker/thumbs/661_hbphotographs_33_th.jpg,,,,,Photograph of barn and fence,https://n2t.net/ark:/87292/w96p6b,,,MS 661,Michael P. Harker photographs,https://n2t.net/ark:/87292/w9bn2q,,,1,36,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Harker, Michael P., 1950-",http://id.loc.gov/authorities/names/n2002153466,,,,,,,,,,,"Photograph of a barn taken in West Amana, Iowa, entitled ""Barn and Fence.""",,eng;zxx,1990s,,,,,Barns,http://id.worldcat.org/fast/827680,Iowa--Amana,http://id.worldcat.org/fast/1218912,,,,1 photograph,,,photographs,http://vocab.getty.edu/aat/300046300,Image,image/jpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from Michael P. Harker.",http://rightsstatements.org/vocab/InC/1.0/,1998?,3/18/2005,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Michael P. Harker photographs,https://n2t.net/ark:/87292/w9gb1xg98,,,reformatted digital; Digitized with Scanned with Creo iQsmart3
Harker_1,harker1,harker,simple,,0,661_HBPhotographs_23.tif,661_hbphotographs_23.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/harker/661_hbphotographs_23.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/harker/small/661_hbphotographs_23_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/harker/thumbs/661_hbphotographs_23_th.jpg,,,,,Photograph of silos and tractor,https://n2t.net/ark:/87292/w92w31,,,MS 661,Michael P. Harker photographs,https://n2t.net/ark:/87292/w9bn2q,,,1,26,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Harker, Michael P., 1950-",http://id.loc.gov/authorities/names/n2002153466,,,,,,,,,,,"Photograph of a barn taken in Clutier, Iowa, entitled ""Silos and Tractor.""",,eng;zxx,2000s,,,,,Barns;Tractors,http://id.worldcat.org/fast/827680;http://id.worldcat.org/fast/1153726,Iowa--Tama County,http://id.worldcat.org/fast/1216390,,,,1 photograph,,,photographs,http://vocab.getty.edu/aat/300046300,Image,image/jpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from Michael P. Harker.",http://rightsstatements.org/vocab/InC/1.0/,2000,3/11/2005,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Michael P. Harker photographs,https://n2t.net/ark:/87292/w9gb1xg98,,,reformatted digital; Digitized with Scanned with Creo iQsmart3
Harker_2,harker2,harker,simple,,0,661_HBPhotographs_35.tif,661_hbphotographs_35.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/harker/661_hbphotographs_35.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/harker/small/661_hbphotographs_35_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/harker/thumbs/661_hbphotographs_35_th.jpg,,,,,Photograph of lone tree elevator,https://n2t.net/ark:/87292/w9z61f,,,MS 661,Michael P. Harker photographs,https://n2t.net/ark:/87292/w9bn2q,,,1,38,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Harker, Michael P., 1950-",http://id.loc.gov/authorities/names/n2002153466,,,,,,,,,,,"Photograph of a elevator taken in Lone Tree, Iowa, ""Lone Tree Elevator.""",,eng;zxx,1990s,,,,,Barns,http://id.worldcat.org/fast/827680,Iowa--Johnston,http://id.worldcat.org/fast/1227464,,,,1 photograph,,,photographs,http://vocab.getty.edu/aat/300046300,Image,image/jpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from Michael P. Harker.",http://rightsstatements.org/vocab/InC/1.0/,1998,3/18/2005,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Michael P. Harker photographs,https://n2t.net/ark:/87292/w9gb1xg98,,,reformatted digital; Digitized with Scanned with Creo iQsmart3
Harker_3,harker3,harker,simple,,0,661_HBPhotographs_5.tif,661_hbphotographs_5.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/harker/661_hbphotographs_5.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/harker/small/661_hbphotographs_5_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/harker/thumbs/661_hbphotographs_5_th.jpg,,,,,Photograph of limestone barn,https://n2t.net/ark:/87292/w9tc8k,,,MS 661,Michael P. Harker photographs,https://n2t.net/ark:/87292/w9bn2q,,,1,8,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Harker, Michael P., 1950-",http://id.loc.gov/authorities/names/n2002153466,,,,,,,,,,,"Photograph of a barn taken in Charles City, Iowa, entitled ""Limestone Barn.""",,eng;zxx,2000s,,,,,Barns;Water,http://id.worldcat.org/fast/827680;http://id.worldcat.org/fast/1171139,Iowa--Charles City;Iowa--Floyd County,http://id.worldcat.org/fast/1228836;http://id.worldcat.org/fast/1212217,,,,1 photograph,,,photographs,http://vocab.getty.edu/aat/300046300,Image,image/jpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from Michael P. Harker.",http://rightsstatements.org/vocab/InC/1.0/,2000,3/11/2018,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Michael P. Harker photographs,https://n2t.net/ark:/87292/w9gb1xg98,,,reformatted digital; Digitized with Scanned with Creo iQsmart3
Harker_4,harker4,harker,simple,,0,661_HBPhotographs_18.tif,661_hbphotographs_18.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/harker/661_hbphotographs_18.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/harker/small/661_hbphotographs_18_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/harker/thumbs/661_hbphotographs_18_th.jpg,,,,,Photograph of barn facade with bern and silo,https://n2t.net/ark:/87292/w9pp6p,,,MS 661,Michael P. Harker photographs,https://n2t.net/ark:/87292/w9bn2q,,,1,21,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Harker, Michael P., 1950-",http://id.loc.gov/authorities/names/n2002153466,,,,,,,,,,,"Photograph of a barn taken in Dubuque, Iowa, entitled ""Barn Facade with Berm and Silo.""",,eng;zxx,1990s,,,,,Barns;Snow;Silos,http://id.worldcat.org/fast/827680;http://id.worldcat.org/fast/1121907;http://id.worldcat.org/fast/1118809,Iowa--Dubuque;Iowa--Dubuque County,http://id.worldcat.org/fast/1217313;http://id.worldcat.org/fast/1212637,,,,1 photograph,,,photographs,http://vocab.getty.edu/aat/300046300,Image,image/jpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from Michael P. Harker.",http://rightsstatements.org/vocab/InC/1.0/,1910?/1913,3/11/2018,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Michael P. Harker photographs,https://n2t.net/ark:/87292/w9gb1xg98,,,reformatted digital; Digitized with Scanned with Creo iQsmart3
Harker_5,harker5,harker,simple,,0,661_HBPhotographs_50.tif,661_hbphotographs_50.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/harker/661_hbphotographs_50.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/harker/small/661_hbphotographs_50_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/harker/thumbs/661_hbphotographs_50_th.jpg,,,,,Photograph of barn with small windows,https://n2t.net/ark:/87292/w9jw3c,,,MS 661,Michael P. Harker photographs,https://n2t.net/ark:/87292/w9bn2q,,,1,53,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Harker, Michael P., 1950-",http://id.loc.gov/authorities/names/n2002153466,,,,,,,,,,,"Photograph of a barn taken in Eldridge, Iowa, ""Barn with Small Windows.""",,eng;zxx,1990s,,,,,Barns;Windmills,http://id.worldcat.org/fast/827680;http://id.worldcat.org/fast/1175762,Iowa--Scott County,http://id.worldcat.org/fast/1212225,,,,1 photograph,,,photographs,http://vocab.getty.edu/aat/300046300,Image,image/jpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from Michael P. Harker.",http://rightsstatements.org/vocab/InC/1.0/,1999~,3/18/2005,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Michael P. Harker photographs,https://n2t.net/ark:/87292/w9gb1xg98,,,reformatted digital; Digitized with Scanned with Creo iQsmart3
Harker_6,harker6,harker,simple,,0,661_HBPhotographs_62.tif,661_hbphotographs_62.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/harker/661_hbphotographs_62.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/harker/small/661_hbphotographs_62_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/harker/thumbs/661_hbphotographs_62_th.jpg,,,,,Photograph of barn and silo,https://n2t.net/ark:/87292/w9f625,,,MS 661,Michael P. Harker photographs,https://n2t.net/ark:/87292/w9bn2q,,,1,65,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Harker, Michael P., 1950-",http://id.loc.gov/authorities/names/n2002153466,,,,,,,,,,,"Photograph of a barn taken in Grundy Center, Iowa, ""Barn and Silo.""",,eng;zxx,2000s,,,,,Barns;Silos,http://id.worldcat.org/fast/827680;http://id.worldcat.org/fast/1118809,Iowa--Grundy Center;Iowa--Grundy County,http://id.worldcat.org/fast/1218566;http://id.worldcat.org/fast/1218586,,,,1 photograph,,,photographs,http://vocab.getty.edu/aat/300046300,Image,image/jpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from Michael P. Harker.",http://rightsstatements.org/vocab/InC/1.0/,2001,3/18/2005,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Michael P. Harker photographs,https://n2t.net/ark:/87292/w9gb1xg98,,,reformatted digital; Digitized with Scanned with Creo iQsmart3
Harker_7,harker7,harker,simple,,0,661_HBPhotographs_4.tif,661_hbphotographs_4.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/harker/661_hbphotographs_4.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/harker/small/661_hbphotographs_4_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/harker/thumbs/661_hbphotographs_4_th.jpg,,,,,Photograph of barn before the demolition,https://n2t.net/ark:/87292/w99c8x,,,MS 661,Michael P. Harker photographs,https://n2t.net/ark:/87292/w9bn2q,,,1,7,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Harker, Michael P., 1950-",http://id.loc.gov/authorities/names/n2002153466,,,,,,,,,,,"Photograph of a barn taken in Newhall, Iowa, entitled ""Before the Demolition.""",,eng;zxx,2000s,,,,,Barns,http://id.worldcat.org/fast/827680,Iowa--Newhall;Iowa--Benton County,http://id.worldcat.org/fast/1283922;http://id.worldcat.org/fast/1224416,,,,1 photograph,,,photographs,http://vocab.getty.edu/aat/300046300,Image,image/jpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from Michael P. Harker.",http://rightsstatements.org/vocab/InC/1.0/,2000~,3/11/2005,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Michael P. Harker photographs,https://n2t.net/ark:/87292/w9gb1xg98,,,reformatted digital; Digitized with Scanned with Creo iQsmart3
Harker_8,harker8,harker,simple,,0,661_HBPhotographs_12.tif,661_hbphotographs_12.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/harker/661_hbphotographs_12.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/harker/small/661_hbphotographs_12_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/harker/thumbs/661_hbphotographs_12_th.jpg,,,,,Photograph of cows and barn,https://n2t.net/ark:/87292/w95p7d,,,MS 661,Michael P. Harker photographs,https://n2t.net/ark:/87292/w9bn2q,,,1,15,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Harker, Michael P., 1950-",http://id.loc.gov/authorities/names/n2002153466,,,,,,,,,,,"Photograph of a barn taken in West Branch, Iowa, entitled ""Cows and Barn # 2.""",,eng;zxx,2000s,,,,,Barns;Cattle,http://id.worldcat.org/fast/827680;http://id.worldcat.org/fast/849460,Iowa--West Branch;Iowa--Johnston,http://id.worldcat.org/fast/1204174;http://id.worldcat.org/fast/1227464,,,,1 photograph,,,photographs,http://vocab.getty.edu/aat/300046300,Image,image/jpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from Michael P. Harker.",http://rightsstatements.org/vocab/InC/1.0/,2000,3/11/2015,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Michael P. Harker photographs,https://n2t.net/ark:/87292/w9gb1xg98,,,reformatted digital; Digitized with Scanned with Creo iQsmart3
Harker_9,harker9,harker,simple,,0,661_HBPhotographs_2.tif,661_hbphotographs_2.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/harker/661_hbphotographs_2.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/harker/small/661_hbphotographs_2_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/harker/thumbs/661_hbphotographs_2_th.jpg,,,,,Photograph of Wickfield sales pavilion,https://n2t.net/ark:/87292/w91w3q,,,MS 661,Michael P. Harker photographs,https://n2t.net/ark:/87292/w9bn2q,,,1,5,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Harker, Michael P., 1950-",http://id.loc.gov/authorities/names/n2002153466,,,,,,,,,,,"Photograph of a Barn taken in Cantril, Iowa, entitled ""Wickfield Sales Pavilion.""",,eng;zxx,2000s,,,,,Barns,http://id.worldcat.org/fast/827680,Iowa--Van Buren County,http://id.worldcat.org/fast/1216955,,,,1 photograph,,,photographs,http://vocab.getty.edu/aat/300046300,Image,image/jpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from Michael P. Harker.",http://rightsstatements.org/vocab/InC/1.0/,2001,3/10/2005,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Michael P. Harker photographs,https://n2t.net/ark:/87292/w9gb1xg98,,,reformatted digital; Digitized with Scanned with Creo iQsmart3
