legacy_id,objectid,collectionid,display_template,parentid,sequence,pres_file,filename,object_location,image_alt_text,image_small,image_thumb,object_ocr,object_hocr,object_transcript,object_pdf,title,ark,avian_id,uid,call_number,archival_collection,finding_aid_ark,archival_series_title,folder_title,box,folder_num,contributing_institution,contributing_institution_uri,personal_creator,personal_creator_uri,corporate_creator,corporate_creator_uri,interviewee,interviewee_uri,interviewer,interviewer_uri,personal_contributor,personal_contributor_uri,corporate_contributor,corporate_contributor_uri,description,disclaimer,language,chronological_subject,personal_name_subject,personal_name_subject_uri,corporate_name_subject,corporate_name_subject_uri,subject,subject_uri,location,location_uri,latitude,longitude,geodetic_datum,extent,medium,medium_uri,genre,genre_uri,type,format,rights,rightsstatement,date,date_digital,publisher,publisher_uri,issuance,issuance_start,issuance_end,frequency,digital_collection,digital_collection_ark,relation,relation_uri,digital_origin
HaydenAda_1,haydenada1,haydenada,simple,,0,13-05-55_Hayden_LS_002.tif,13-05-55_hayden_ls_002.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/haydenada/13-05-55_hayden_ls_002.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/haydenada/small/13-05-55_hayden_ls_002_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/haydenada/thumbs/13-05-55_hayden_ls_002_th.jpg,,,,,Echinacea purpurea (Coneflower),https://n2t.net/ark:/87292/w96p7q,,,RS 13/5/55,Ada Hayden papers,https://n2t.net/ark:/87292/w9sb7j,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Hayden, Ada, 1884-1950",,,,,,,,,,,,"Echinacea purpurea (Coneflower) specimen(black and white), including flowers and leaves, identified as negative 398.",,zxx,,,,,,Botany;Plant ecology;Prairie ecology;Prairie plants,http://id.worldcat.org/fast/836869;http://id.worldcat.org/fast/1065415;http://id.worldcat.org/fast/1074601;http://id.worldcat.org/fast/1074609,,,,,,10.2 x 8.3 cm,lantern slides,http://vocab.getty.edu/aat/300134977,photographs,http://vocab.getty.edu/aat/300046300,Image,image/jpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC/1.0/,,2012-05,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Ada Hayden,http://n2t.net/ark:/87292/w9s46h57x,,,reformatted digital; Digitized with Manager's Power Mac G5; Mac OS X; Creo iQsmart3; Kodak oXYgen Scan ver 2.6.3
HaydenAda_0,haydenada0,haydenada,simple,,0,13-05-55_Hayden_LS_001.tif,13-05-55_hayden_ls_001.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/haydenada/13-05-55_hayden_ls_001.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/haydenada/small/13-05-55_hayden_ls_001_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/haydenada/thumbs/13-05-55_hayden_ls_001_th.jpg,,,,,Erigeron strigosus (Daisy),https://n2t.net/ark:/87292/w9bg9n,,,RS 13/5/55,Ada Hayden papers,https://n2t.net/ark:/87292/w9sb7j,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Hayden, Ada, 1884-1950",,,,,,,,,,,,"Erigeron strigosus (Daisy) specimen, including flower, leaves and root, identified as negative 158.",,zxx,,,,,,Botany;Plant ecology;Prairie ecology;Prairie plants,http://id.worldcat.org/fast/836869;http://id.worldcat.org/fast/1065415;http://id.worldcat.org/fast/1074601;http://id.worldcat.org/fast/1074609,,,,,,10.2 x 8.3 cm,lantern slides,http://vocab.getty.edu/aat/300134977,photographs,http://vocab.getty.edu/aat/300046300,Image,image/jpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC/1.0/,,2012-05,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Ada Hayden,http://n2t.net/ark:/87292/w9s46h57x,,,reformatted digital; Digitized with Manager's Power Mac G5; Mac OS X; Creo iQsmart3; Kodak oXYgen Scan ver 2.6.3
HaydenAda_2,haydenada2,haydenada,simple,,0,13-05-55_Hayden_LS_003.tif,13-05-55_hayden_ls_003.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/haydenada/13-05-55_hayden_ls_003.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/haydenada/small/13-05-55_hayden_ls_003_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/haydenada/thumbs/13-05-55_hayden_ls_003_th.jpg,,,,,Populus tremuloides (Aspen),https://n2t.net/ark:/87292/w9304r,,,RS 13/5/55,Ada Hayden papers,https://n2t.net/ark:/87292/w9sb7j,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Hayden, Ada, 1884-1950",,,,,,,,,,,,"Populus tremuloides (Aspen) specimen (black and white), including flowers and leaves, identified as negative 469.",,zxx,,,,,,Botany;Plant ecology;Prairie ecology;Prairie plants,http://id.worldcat.org/fast/836869;http://id.worldcat.org/fast/1065415;http://id.worldcat.org/fast/1074601;http://id.worldcat.org/fast/1074609,,,,,,10.2 x 8.3 cm,lantern slides,http://vocab.getty.edu/aat/300134977,photographs,http://vocab.getty.edu/aat/300046300,Image,image/jpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC/1.0/,,2012-05,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Ada Hayden,http://n2t.net/ark:/87292/w9s46h57x,,,reformatted digital; Digitized with Manager's Power Mac G5; Mac OS X; Creo iQsmart3; Kodak oXYgen Scan ver 2.6.3
HaydenAda_3,haydenada3,haydenada,simple,,0,13-05-55_Hayden_LS_004.tif,13-05-55_hayden_ls_004.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/haydenada/13-05-55_hayden_ls_004.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/haydenada/small/13-05-55_hayden_ls_004_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/haydenada/thumbs/13-05-55_hayden_ls_004_th.jpg,,,,,Plant specimen,https://n2t.net/ark:/87292/w9z62t,,,RS 13/5/55,Ada Hayden papers,https://n2t.net/ark:/87292/w9sb7j,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Hayden, Ada, 1884-1950",,,,,,,,,,,,"Plant specimen (black and white), including flowers and leaves, identified as negative 669.",,zxx,,,,,,Botany;Plant ecology;Prairie ecology;Prairie plants,http://id.worldcat.org/fast/836869;http://id.worldcat.org/fast/1065415;http://id.worldcat.org/fast/1074601;http://id.worldcat.org/fast/1074609,,,,,,10.2 x 8.3 cm,lantern slides,http://vocab.getty.edu/aat/300134977,photographs,http://vocab.getty.edu/aat/300046300,Image,image/jpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC/1.0/,,2012-05,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Ada Hayden,http://n2t.net/ark:/87292/w9s46h57x,,,reformatted digital; Digitized with Manager's Power Mac G5; Mac OS X; Creo iQsmart3; Kodak oXYgen Scan ver 2.6.3
HaydenAda_4,haydenada4,haydenada,simple,,0,13-05-55_Hayden_LS_005.tif,13-05-55_hayden_ls_005.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/haydenada/13-05-55_hayden_ls_005.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/haydenada/small/13-05-55_hayden_ls_005_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/haydenada/thumbs/13-05-55_hayden_ls_005_th.jpg,,,,,Plant specimen,https://n2t.net/ark:/87292/w9tg90,,,RS 13/5/55,Ada Hayden papers,https://n2t.net/ark:/87292/w9sb7j,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Hayden, Ada, 1884-1950",,,,,,,,,,,,"Plant specimen (black and white), including flowers and leaves, identified as negative 686.",,zxx,,,,,,Botany;Plant ecology;Prairie ecology;Prairie plants,http://id.worldcat.org/fast/836869;http://id.worldcat.org/fast/1065415;http://id.worldcat.org/fast/1074601;http://id.worldcat.org/fast/1074609,,,,,,10.2 x 8.3 cm,lantern slides,http://vocab.getty.edu/aat/300134977,photographs,http://vocab.getty.edu/aat/300046300,Image,image/jpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC/1.0/,,2012-05,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Ada Hayden,http://n2t.net/ark:/87292/w9s46h57x,,,reformatted digital; Digitized with Manager's Power Mac G5; Mac OS X; Creo iQsmart3; Kodak oXYgen Scan ver 2.6.3
HaydenAda_5,haydenada5,haydenada,simple,,0,13-05-55_Hayden_LS_006.tif,13-05-55_hayden_ls_006.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/haydenada/13-05-55_hayden_ls_006.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/haydenada/small/13-05-55_hayden_ls_006_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/haydenada/thumbs/13-05-55_hayden_ls_006_th.jpg,,,,,Erigeron (Fleabane),https://n2t.net/ark:/87292/w9pp72,,,RS 13/5/55,Ada Hayden papers,https://n2t.net/ark:/87292/w9sb7j,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Hayden, Ada, 1884-1950",,,,,,,,,,,,"Erigeron (Fleabane) specimens (hand colored), including flowers and leaves, identified as negative 872. Suburban Isle Park.",,zxx,1910s,,,,,Botany;Plant ecology;Prairie ecology;Prairie plants,http://id.worldcat.org/fast/836869;http://id.worldcat.org/fast/1065415;http://id.worldcat.org/fast/1074601;http://id.worldcat.org/fast/1074609,,,,,,10.2 x 8.3 cm,lantern slides,http://vocab.getty.edu/aat/300134977,photographs,http://vocab.getty.edu/aat/300046300,Image,image/jpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC/1.0/,1918-05-31,2012-05,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Ada Hayden,http://n2t.net/ark:/87292/w9s46h57x,,,reformatted digital; Digitized with Manager's Power Mac G5; Mac OS X; Creo iQsmart3; Kodak oXYgen Scan ver 2.6.3
HaydenAda_6,haydenada6,haydenada,simple,,0,13-05-55_Hayden_LS_007.tif,13-05-55_hayden_ls_007.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/haydenada/13-05-55_hayden_ls_007.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/haydenada/small/13-05-55_hayden_ls_007_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/haydenada/thumbs/13-05-55_hayden_ls_007_th.jpg,,,,,Erigeron (Fleabane),https://n2t.net/ark:/87292/w9k03q,,,RS 13/5/55,Ada Hayden papers,https://n2t.net/ark:/87292/w9sb7j,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Hayden, Ada, 1884-1950",,,,,,,,,,,,"Erigeron (Fleabane) specimen (hand colored), including flowers and leaves, identified as negative 872. Location: Suburban Isle Park.",,zxx,1910s,,,,,Botany;Plant ecology;Prairie ecology;Prairie plants,http://id.worldcat.org/fast/836869;http://id.worldcat.org/fast/1065415;http://id.worldcat.org/fast/1074601;http://id.worldcat.org/fast/1074609,,,,,,10.2 x 8.3 cm,lantern slides,http://vocab.getty.edu/aat/300134977,photographs,http://vocab.getty.edu/aat/300046300,Image,image/jpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC/1.0/,1918-05-01,2012-05,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Ada Hayden,http://n2t.net/ark:/87292/w9s46h57x,,,reformatted digital; Digitized with Manager's Power Mac G5; Mac OS X; Creo iQsmart3; Kodak oXYgen Scan ver 2.6.3
HaydenAda_7,haydenada7,haydenada,simple,,0,13-05-55_Hayden_LS_008.tif,13-05-55_hayden_ls_008.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/haydenada/13-05-55_hayden_ls_008.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/haydenada/small/13-05-55_hayden_ls_008_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/haydenada/thumbs/13-05-55_hayden_ls_008_th.jpg,,,,,Hieracium canadense (Canada hawkweed),https://n2t.net/ark:/87292/w9f90f,,,RS 13/5/55,Ada Hayden papers,https://n2t.net/ark:/87292/w9sb7j,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Hayden, Ada, 1884-1950",,,,,,,,,,,,"Hieracium canadense (Canada hawkweed) specimen (hand colored), including flowers and leaves,identified as negative 880. Location: Spencer Creek.",,zxx,1910s,,,,,Botany;Plant ecology;Prairie ecology;Prairie plants,http://id.worldcat.org/fast/836869;http://id.worldcat.org/fast/1065415;http://id.worldcat.org/fast/1074601;http://id.worldcat.org/fast/1074609,,,,,,10.2 x 8.3 cm,lantern slides,http://vocab.getty.edu/aat/300134977,photographs,http://vocab.getty.edu/aat/300046300,Image,image/jpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC/1.0/,1918-06-03,2012-05,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Ada Hayden,http://n2t.net/ark:/87292/w9s46h57x,,,reformatted digital; Digitized with Manager's Power Mac G5; Mac OS X; Creo iQsmart3; Kodak oXYgen Scan ver 2.6.3
HaydenAda_8,haydenada8,haydenada,simple,,0,13-05-55_Hayden_LS_009.tif,13-05-55_hayden_ls_009.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/haydenada/13-05-55_hayden_ls_009.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/haydenada/small/13-05-55_hayden_ls_009_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/haydenada/thumbs/13-05-55_hayden_ls_009_th.jpg,,,,,Rudbeckia hirta (Black-eyed Susan),https://n2t.net/ark:/87292/w99g8z,,,RS 13/5/55,Ada Hayden papers,https://n2t.net/ark:/87292/w9sb7j,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Hayden, Ada, 1884-1950",,,,,,,,,,,,"Rudbeckia hirta (Black-eyed Susan) specimen (hand colored), including flowers and leaf, identified as negative 900. Location: Suburban Isle Park.",,zxx,1910s,,,,,Botany;Plant ecology;Prairie ecology;Prairie plants,http://id.worldcat.org/fast/836869;http://id.worldcat.org/fast/1065415;http://id.worldcat.org/fast/1074601;http://id.worldcat.org/fast/1074609,,,,,,10.2 x 8.3 cm,lantern slides,http://vocab.getty.edu/aat/300134977,photographs,http://vocab.getty.edu/aat/300046300,Image,image/jpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC/1.0/,1918-06-21,2012-05,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Ada Hayden,http://n2t.net/ark:/87292/w9s46h57x,,,reformatted digital; Digitized with Manager's Power Mac G5; Mac OS X; Creo iQsmart3; Kodak oXYgen Scan ver 2.6.3
HaydenAda_9,haydenada9,haydenada,simple,,0,13-05-55_Hayden_LS_010.tif,13-05-55_hayden_ls_010.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/haydenada/13-05-55_hayden_ls_010.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/haydenada/small/13-05-55_hayden_ls_010_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/haydenada/thumbs/13-05-55_hayden_ls_010_th.jpg,,,,,Monarda fistulosa (Wild bergamot) specimen,https://n2t.net/ark:/87292/w95s5p,,,RS 13/5/55,Ada Hayden papers,https://n2t.net/ark:/87292/w9sb7j,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Hayden, Ada, 1884-1950",,,,,,,,,,,,"Monarda fistulosa (Wild bergamot) specimen (hand colored), including flowers and leaves, identified as negative 928.",,zxx,1910s,,,,,Botany;Plant ecology;Prairie ecology;Prairie plants,http://id.worldcat.org/fast/836869;http://id.worldcat.org/fast/1065415;http://id.worldcat.org/fast/1074601;http://id.worldcat.org/fast/1074609,,,,,,10.2 x 8.3 cm,lantern slides,http://vocab.getty.edu/aat/300134977,photographs,http://vocab.getty.edu/aat/300046300,Image,image/jpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC/1.0/,1918-07-14,2012-05,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Ada Hayden,http://n2t.net/ark:/87292/w9s46h57x,,,reformatted digital; Digitized with Manager's Power Mac G5; Mac OS X; Creo iQsmart3; Kodak oXYgen Scan ver 2.6.3
