legacy_id,objectid,collectionid,display_template,parentid,sequence,pres_file,filename,object_location,image_alt_text,image_small,image_thumb,object_ocr,object_hocr,object_transcript,object_pdf,title,ark,avian_id,uid,call_number,archival_collection,finding_aid_ark,archival_series_title,folder_title,box,folder_num,contributing_institution,contributing_institution_uri,personal_creator,personal_creator_uri,corporate_creator,corporate_creator_uri,interviewee,interviewee_uri,interviewer,interviewer_uri,personal_contributor,personal_contributor_uri,corporate_contributor,corporate_contributor_uri,description,disclaimer,language,chronological_subject,personal_name_subject,personal_name_subject_uri,corporate_name_subject,corporate_name_subject_uri,subject,subject_uri,location,location_uri,latitude,longitude,geodetic_datum,extent,medium,medium_uri,genre,genre_uri,type,format,rights,rightsstatement,date,date_digital,publisher,publisher_uri,issuance,issuance_start,issuance_end,frequency,digital_collection,digital_collection_ark,relation,relation_uri,digital_origin
HIST489_AV203157,hist489av203157,hist489,audio,,0,MS0730_Workman.MP3,ms0730_workman.mp3,https://iastate.aviaryplatform.com/r/gb1xd0r90v,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/hist489/small/vietnam_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/hist489/small/vietnam_th.jpg,,,,,Interview with Linda and Larry Workman,https://n2t.net/ark:/87292/w9xd0r435,,AV203157,MS 0730,HIST 489: Vietnam War Oral History Project,https://n2t.net/ark:/87292/w9125qg7j,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,"Workman, Linda",,"Workman, Larry",,"Rutenberg, Amy J., 1977-",http://id.loc.gov/authorities/names/no2018153066,,,"Interviews conducted by students as part of Professor Amy Rutenberg's class HIST 489: The World at War, The Vietnam War, Fall 2019.",,eng,2010s,,,Iowa State University,http://id.loc.gov/authorities/names/n81041658,Vietnam War (1961-1975),http://id.worldcat.org/fast/1431664,Iowa--Ames,http://id.worldcat.org/fast/1207548,,,,00:27:10,digital audio formats,http://vocab.getty.edu/aat/300312045,oral histories (literary genre),http://vocab.getty.edu/aat/300202595,Sound,audio/mpeg,"To the extent that the donor owns copyright, copyright has been retained by the donor. The donor has granted to Iowa State University and the State of Iowa a limited license to grant publication rights. Copyright in some items in this collection may be held by their respective creators. It is the responsibility of the user to make a final determination of copyright status and conduct their own due diligence regarding their intended use of the material(s) and to identify any permissions required. The user is responsible for obtaining permission from the rights-holder(s) for uses not otherwise permitted by law or regulation.",http://rightsstatements.org/vocab/InC/1.0/,2019,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Vietnam War (HIST 489) oral histories,https://n2t.net/ark:/87292/w9251fr84,,,born digital
HIST489_AV203156,hist489av203156,hist489,audio,,0,MS0730_Wilkinson.mp3,ms0730_wilkinson.mp3,https://iastate.aviaryplatform.com/r/fq9q23rf3h,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/hist489/small/vietnam_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/hist489/small/vietnam_th.jpg,,,,,Interview with Phyllis Wubben,https://n2t.net/ark:/87292/w9sq8qq2s,,AV203156,MS 0730,HIST 489: Vietnam War Oral History Project,https://n2t.net/ark:/87292/w9125qg7j,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,"Wubben, Phyllis",,"Wilkinson, Peter",,"Rutenberg, Amy J., 1977-",http://id.loc.gov/authorities/names/no2018153066,,,"Interviews conducted by students as part of Professor Amy Rutenberg's class HIST 489: The World at War, The Vietnam War, Fall 2019.",,eng,2010s,,,Iowa State University,http://id.loc.gov/authorities/names/n81041658,Vietnam War (1961-1975),http://id.worldcat.org/fast/1431664,Iowa--Ames,http://id.worldcat.org/fast/1207548,,,,00:22:35,digital audio formats,http://vocab.getty.edu/aat/300312045,oral histories (literary genre),http://vocab.getty.edu/aat/300202595,Sound,audio/mpeg,"To the extent that the donor owns copyright, copyright has been retained by the donor. The donor has granted to Iowa State University and the State of Iowa a limited license to grant publication rights. Copyright in some items in this collection may be held by their respective creators. It is the responsibility of the user to make a final determination of copyright status and conduct their own due diligence regarding their intended use of the material(s) and to identify any permissions required. The user is responsible for obtaining permission from the rights-holder(s) for uses not otherwise permitted by law or regulation.",http://rightsstatements.org/vocab/InC/1.0/,2019-10-12,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Vietnam War (HIST 489) oral histories,https://n2t.net/ark:/87292/w9251fr84,,,born digital
HIST489_AV203138,hist489av203138,hist489,audio,,0,MS0730_Cozart.mp3,ms0730_cozart.mp3,https://iastate.aviaryplatform.com/r/m61bk1769s,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/hist489/small/vietnam_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/hist489/small/vietnam_th.jpg,,,,,Interview with Dave Lehmer,https://n2t.net/ark:/87292/w9nz80w8d,,AV203138,MS 0730,HIST 489: Vietnam War Oral History Project,https://n2t.net/ark:/87292/w9125qg7j,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,"Lehmer, Dave",,"Cozart, Aidan",,"Rutenberg, Amy J., 1977-",http://id.loc.gov/authorities/names/no2018153066,,,"Interviews conducted by students as part of Professor Amy Rutenberg's class HIST 489: The World at War, The Vietnam War, Fall 2019.",,eng,2010s,,,Iowa State University,http://id.loc.gov/authorities/names/n81041658,Vietnam War (1961-1975),http://id.worldcat.org/fast/1431664,Iowa--Ames,http://id.worldcat.org/fast/1207548,,,,00:25:16,digital audio formats,http://vocab.getty.edu/aat/300312045,oral histories (literary genre),http://vocab.getty.edu/aat/300202595,Sound,audio/mpeg,"To the extent that the donor owns copyright, copyright has been retained by the donor. The donor has granted to Iowa State University and the State of Iowa a limited license to grant publication rights. Copyright in some items in this collection may be held by their respective creators. It is the responsibility of the user to make a final determination of copyright status and conduct their own due diligence regarding their intended use of the material(s) and to identify any permissions required. The user is responsible for obtaining permission from the rights-holder(s) for uses not otherwise permitted by law or regulation.",http://rightsstatements.org/vocab/InC/1.0/,2019-09-28,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Vietnam War (HIST 489) oral histories,https://n2t.net/ark:/87292/w9251fr84,,,born digital
HIST489_AV203141,hist489av203141,hist489,audio,,0,MS0730_Hotvedt.mp3,ms0730_hotvedt.mp3,https://iastate.aviaryplatform.com/r/542j67961g,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/hist489/small/vietnam_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/hist489/small/vietnam_th.jpg,,,,,Interview with Dale Nelson,https://n2t.net/ark:/87292/w9j679340,,AV203141,MS 0730,HIST 489: Vietnam War Oral History Project,https://n2t.net/ark:/87292/w9125qg7j,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,"Nelson, Dale",,"Hotvedt, Matthew",,"Rutenberg, Amy J., 1977-",http://id.loc.gov/authorities/names/no2018153066,,,"Interviews conducted by students as part of Professor Amy Rutenberg's class HIST 489: The World at War, The Vietnam War, Fall 2019.",,eng,2010s,,,Iowa State University,http://id.loc.gov/authorities/names/n81041658,Vietnam War (1961-1975),http://id.worldcat.org/fast/1431664,Iowa--Ames,http://id.worldcat.org/fast/1207548,,,,00:30:15,digital audio formats,http://vocab.getty.edu/aat/300312045,oral histories (literary genre),http://vocab.getty.edu/aat/300202595,Sound,audio/mpeg,"To the extent that the donor owns copyright, copyright has been retained by the donor. The donor has granted to Iowa State University and the State of Iowa a limited license to grant publication rights. Copyright in some items in this collection may be held by their respective creators. It is the responsibility of the user to make a final determination of copyright status and conduct their own due diligence regarding their intended use of the material(s) and to identify any permissions required. The user is responsible for obtaining permission from the rights-holder(s) for uses not otherwise permitted by law or regulation.",http://rightsstatements.org/vocab/InC/1.0/,2019,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Vietnam War (HIST 489) oral histories,https://n2t.net/ark:/87292/w9251fr84,,,born digital
HIST489_AV203137,hist489av203137,hist489,audio,,0,MS0730_Brandenburgh.mp3,ms0730_brandenburgh.mp3,https://iastate.aviaryplatform.com/r/vt1gh9bz5p,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/hist489/small/vietnam_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/hist489/small/vietnam_th.jpg,,,,,Interview with James McCormick,https://n2t.net/ark:/87292/w9df6k90v,,AV203137,MS 0730,HIST 489: Vietnam War Oral History Project,https://n2t.net/ark:/87292/w9125qg7j,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,"McCormick, James M.",,"Brandenburgh, Crystal",,"Rutenberg, Amy J., 1977-",http://id.loc.gov/authorities/names/no2018153066,,,"Interviews conducted by students as part of Professor Amy Rutenberg's class HIST 489: The World at War, The Vietnam War, Fall 2019.",,eng,2010s,,,Iowa State University,http://id.loc.gov/authorities/names/n81041658,Vietnam War (1961-1975),http://id.worldcat.org/fast/1431664,Iowa--Ames,http://id.worldcat.org/fast/1207548,,,,00:20:22,digital audio formats,http://vocab.getty.edu/aat/300312045,oral histories (literary genre),http://vocab.getty.edu/aat/300202595,Sound,audio/mpeg,"To the extent that the donor owns copyright, copyright has been retained by the donor. The donor has granted to Iowa State University and the State of Iowa a limited license to grant publication rights. Copyright in some items in this collection may be held by their respective creators. It is the responsibility of the user to make a final determination of copyright status and conduct their own due diligence regarding their intended use of the material(s) and to identify any permissions required. The user is responsible for obtaining permission from the rights-holder(s) for uses not otherwise permitted by law or regulation.",http://rightsstatements.org/vocab/InC/1.0/,2019-10-22,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Vietnam War (HIST 489) oral histories,https://n2t.net/ark:/87292/w9251fr84,,,born digital
HIST489_AV203140,hist489av203140,hist489,audio,,0,MS0730_Henderson.mp3,ms0730_henderson.mp3,https://iastate.aviaryplatform.com/r/sf2m61c72t,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/hist489/small/vietnam_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/hist489/small/vietnam_th.jpg,,,,,Interview with Lauretta Eleanor Oakland,https://n2t.net/ark:/87292/w98p5vg63,,AV203140,MS 0730,HIST 489: Vietnam War Oral History Project,https://n2t.net/ark:/87292/w9125qg7j,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,"Oakland, Lauretta Eleanor",,"Henderson, Brooklyn",,"Rutenberg, Amy J., 1977-",http://id.loc.gov/authorities/names/no2018153066,,,"Interviews conducted by students as part of Professor Amy Rutenberg's class HIST 489: The World at War, The Vietnam War, Fall 2019.",,eng,2010s,,,Iowa State University,http://id.loc.gov/authorities/names/n81041658,Vietnam War (1961-1975),http://id.worldcat.org/fast/1431664,Iowa--Ames,http://id.worldcat.org/fast/1207548,,,,00:18:26,digital audio formats,http://vocab.getty.edu/aat/300312045,oral histories (literary genre),http://vocab.getty.edu/aat/300202595,Sound,audio/mpeg,"To the extent that the donor owns copyright, copyright has been retained by the donor. The donor has granted to Iowa State University and the State of Iowa a limited license to grant publication rights. Copyright in some items in this collection may be held by their respective creators. It is the responsibility of the user to make a final determination of copyright status and conduct their own due diligence regarding their intended use of the material(s) and to identify any permissions required. The user is responsible for obtaining permission from the rights-holder(s) for uses not otherwise permitted by law or regulation.",http://rightsstatements.org/vocab/InC/1.0/,2019-10-22,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Vietnam War (HIST 489) oral histories,https://n2t.net/ark:/87292/w9251fr84,,,born digital
HIST489_AV203136,hist489av203136,hist489,audio,,0,MS0730_Bailey.m4a,ms0730_bailey.m4a,https://iastate.aviaryplatform.com/r/1c1td9nc9j,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/hist489/small/vietnam_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/hist489/small/vietnam_th.jpg,,,,,Interview with John Landefeld,https://n2t.net/ark:/87292/w94x54p3t,,AV203136,MS 0730,HIST 489: Vietnam War Oral History Project,https://n2t.net/ark:/87292/w9125qg7j,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,"Landefeld, John",,"Bailey, Griffin",,"Rutenberg, Amy J., 1977-",http://id.loc.gov/authorities/names/no2018153066,,,"Interviews conducted by students as part of Professor Amy Rutenberg's class HIST 489: The World at War, The Vietnam War, Fall 2019.",,eng,2010s,,,Iowa State University,http://id.loc.gov/authorities/names/n81041658,Vietnam War (1961-1975),http://id.worldcat.org/fast/1431664,Iowa--Ames,http://id.worldcat.org/fast/1207548,,,,01:48:20,digital audio formats,http://vocab.getty.edu/aat/300312045,oral histories (literary genre),http://vocab.getty.edu/aat/300202595,Sound,audio/mpeg,"To the extent that the donor owns copyright, copyright has been retained by the donor. The donor has granted to Iowa State University and the State of Iowa a limited license to grant publication rights. Copyright in some items in this collection may be held by their respective creators. It is the responsibility of the user to make a final determination of copyright status and conduct their own due diligence regarding their intended use of the material(s) and to identify any permissions required. The user is responsible for obtaining permission from the rights-holder(s) for uses not otherwise permitted by law or regulation.",http://rightsstatements.org/vocab/InC/1.0/,2019-10-21,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Vietnam War (HIST 489) oral histories,https://n2t.net/ark:/87292/w9251fr84,,,born digital
HIST489_AV203146,hist489av203146,hist489,audio,,0,MS0730_Gosney.mp3,ms0730_gosney.mp3,https://iastate.aviaryplatform.com/r/ns0ks6jp61,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/hist489/small/vietnam_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/hist489/small/vietnam_th.jpg,,,,,Interview with Joy Gosney,https://n2t.net/ark:/87292/w9154dv9c,,AV203146,MS 0730,HIST 489: Vietnam War Oral History Project,https://n2t.net/ark:/87292/w9125qg7j,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,"Gosney, Joy",,"Meisch, Sarah",,"Rutenberg, Amy J., 1977-",http://id.loc.gov/authorities/names/no2018153066,,,"Interviews conducted by students as part of Professor Amy Rutenberg's class HIST 489: The World at War, The Vietnam War, Fall 2019.",,eng,2010s,,,Iowa State University,http://id.loc.gov/authorities/names/n81041658,Vietnam War (1961-1975),http://id.worldcat.org/fast/1431664,Iowa--Ames,http://id.worldcat.org/fast/1207548,,,,00:38:11,digital audio formats,http://vocab.getty.edu/aat/300312045,oral histories (literary genre),http://vocab.getty.edu/aat/300202595,Sound,audio/mpeg,"To the extent that the donor owns copyright, copyright has been retained by the donor. The donor has granted to Iowa State University and the State of Iowa a limited license to grant publication rights. Copyright in some items in this collection may be held by their respective creators. It is the responsibility of the user to make a final determination of copyright status and conduct their own due diligence regarding their intended use of the material(s) and to identify any permissions required. The user is responsible for obtaining permission from the rights-holder(s) for uses not otherwise permitted by law or regulation.",http://rightsstatements.org/vocab/InC/1.0/,2019-10-19,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Vietnam War (HIST 489) oral histories,https://n2t.net/ark:/87292/w9251fr84,,,born digital
HIST489_AV203148,hist489av203148,hist489,audio,,0,MS0730_Morales.m4a,ms0730_morales.m4a,https://iastate.aviaryplatform.com/r/7w6736mf37,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/hist489/small/vietnam_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/hist489/small/vietnam_th.jpg,,,,,Interview with Patricia Midriff-Hall,https://n2t.net/ark:/87292/w9wh2dm67,,AV203148,MS 0730,HIST 489: Vietnam War Oral History Project,https://n2t.net/ark:/87292/w9125qg7j,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,"Midriff-Hall, Patricia",,"Morales, Ruby",,"Rutenberg, Amy J., 1977-",http://id.loc.gov/authorities/names/no2018153066,,,"Interviews conducted by students as part of Professor Amy Rutenberg's class HIST 489: The World at War, The Vietnam War, Fall 2019.",,eng,2010s,,,Iowa State University,http://id.loc.gov/authorities/names/n81041658,Vietnam War (1961-1975),http://id.worldcat.org/fast/1431664,Iowa--Ames,http://id.worldcat.org/fast/1207548,,,,00:22:28,digital audio formats,http://vocab.getty.edu/aat/300312045,oral histories (literary genre),http://vocab.getty.edu/aat/300202595,Sound,audio/mpeg,"To the extent that the donor owns copyright, copyright has been retained by the donor. The donor has granted to Iowa State University and the State of Iowa a limited license to grant publication rights. Copyright in some items in this collection may be held by their respective creators. It is the responsibility of the user to make a final determination of copyright status and conduct their own due diligence regarding their intended use of the material(s) and to identify any permissions required. The user is responsible for obtaining permission from the rights-holder(s) for uses not otherwise permitted by law or regulation.",http://rightsstatements.org/vocab/InC/1.0/,2019,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Vietnam War (HIST 489) oral histories,https://n2t.net/ark:/87292/w9251fr84,,,born digital
HIST489_AV203139,hist489av203139,hist489,audio,,0,MS0730_gray.mp3,ms0730_gray.mp3,https://iastate.aviaryplatform.com/r/xk84j0bn72,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/hist489/small/vietnam_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/hist489/small/vietnam_th.jpg,,,,,Interview with Royce Gray,https://n2t.net/ark:/87292/w9rr1pt23,,AV203139,MS 0730,HIST 489: Vietnam War Oral History Project,https://n2t.net/ark:/87292/w9125qg7j,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,"Gray, Royce",,"Gray, Olivia",,"Rutenberg, Amy J., 1977-",http://id.loc.gov/authorities/names/no2018153066,,,"Interviews conducted by students as part of Professor Amy Rutenberg's class HIST 489: The World at War, The Vietnam War, Fall 2019.",,eng,2010s,,,Iowa State University,http://id.loc.gov/authorities/names/n81041658,Vietnam War (1961-1975),http://id.worldcat.org/fast/1431664,Iowa--Ames,http://id.worldcat.org/fast/1207548,,,,00:29:21,digital audio formats,http://vocab.getty.edu/aat/300312045,oral histories (literary genre),http://vocab.getty.edu/aat/300202595,Sound,audio/mpeg,"To the extent that the donor owns copyright, copyright has been retained by the donor. The donor has granted to Iowa State University and the State of Iowa a limited license to grant publication rights. Copyright in some items in this collection may be held by their respective creators. It is the responsibility of the user to make a final determination of copyright status and conduct their own due diligence regarding their intended use of the material(s) and to identify any permissions required. The user is responsible for obtaining permission from the rights-holder(s) for uses not otherwise permitted by law or regulation.",http://rightsstatements.org/vocab/InC/1.0/,2019-10-02,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Vietnam War (HIST 489) oral histories,https://n2t.net/ark:/87292/w9251fr84,,,born digital
