legacy_id,objectid,collectionid,display_template,parentid,sequence,pres_file,filename,object_location,image_alt_text,image_small,image_thumb,object_ocr,object_hocr,object_transcript,object_pdf,title,ark,avian_id,uid,call_number,archival_collection,finding_aid_ark,archival_series_title,folder_title,box,folder_num,contributing_institution,contributing_institution_uri,personal_creator,personal_creator_uri,corporate_creator,corporate_creator_uri,interviewee,interviewee_uri,interviewer,interviewer_uri,personal_contributor,personal_contributor_uri,corporate_contributor,corporate_contributor_uri,description,disclaimer,language,chronological_subject,personal_name_subject,personal_name_subject_uri,corporate_name_subject,corporate_name_subject_uri,subject,subject_uri,location,location_uri,latitude,longitude,geodetic_datum,extent,medium,medium_uri,genre,genre_uri,type,format,rights,rightsstatement,date,date_digital,publisher,publisher_uri,issuance,issuance_start,issuance_end,frequency,digital_collection,digital_collection_ark,relation,relation_uri,digital_origin
IowaOrnithAssoc_108,iowaornithassoc108,iowaornithassoc,complex,,0,,,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/iowaornithassoc/small/ms0581b001f001i0001_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/iowaornithassoc/thumbs/ms0581b001f001i0001_th.jpg,,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/iowaornithassoc/pdf/iowaornithassoc108.pdf,Record book of the Iowa Ornithologists' Association,https://n2t.net/ark:/87292/w9736m679,10385,,MS 581,Iowa Ornithological Association records,https://n2t.net/ark:/87292/w9vx8d,,"Record Book, 1895-1897",1,1,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,Iowa Ornithological Association,,,,,,"Bartsch, Paul, 1871-1960;Merriam, C. Hart (Clinton Hart), 1855-1942;Currier, Edmonde S.;Giddings, Harold Joseph;Henning, Carl Fritz;Hoover, George C.;Rich, Guy C.;Savage, David L.;Bailey, Bert Heald;Heaton, Hiram;Irons, Ernest E. (Ernest Edward), 1877-;Law, John Eugene, 1877-1931;Goss, R. D.",http://id.loc.gov/authorities/names/n88013379;http://id.loc.gov/authorities/names/n80024499;;;;;;;;;http://id.loc.gov/authorities/names/no99076166;http://id.loc.gov/authorities/names/n92048088;,,,"Record book for the Iowa Ornithological Association. The book covers the period from the group's founding as the Iowa Ornithologist's Association on June 15, 1894 to January 16, 1898. The record book includes meeting minutes, copies of the organization's constitution, financial reports, officer and membership lists, and letters regarding the Iowa Ornithological Association.",,eng,,"Brown, J.H.;Keyes, Charles R. (Charles Reuben), 1871-1951",;http://id.loc.gov/authorities/names/n88218780,,,"Ornithology--Societies, etc;Meetings;Societies--History, organization, etc",http://id.worldcat.org/fast/1048364;http://id.worldcat.org/fast/1015496;http://id.worldcat.org/fast/1123789,Iowa City;Iowa;Mount Vernon;Salem;Manchester,http://www.geonames.org/4862034;http://www.geonames.org/4862182;http://www.geonames.org/4868251;http://www.geonames.org/4875384;http://www.geonames.org/4865996,41.66113;42.00027;41.92195;40.85281;42.48415,-91.53017; -93.50049; -91.41684; -91.62016; -91.45543,WGS 84,108 pages,,,administrative records;clippings (information artifacts);correspondence,http://vocab.getty.edu/aat/300027425;http://vocab.getty.edu/aat/300026867;http://vocab.getty.edu/aat/300026877,Text,image/jpeg,"This complex item has mixed rights protection.;For portions in which Iowa State University is the copyright holder, no permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.;The Iowa State University Library believes that portions of this item are in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",;https://creativecommons.org/licenses/by-nc/4.0/;http://rightsstatements.org/vocab/NoC-US/1.0/,1894-06-15/1898-01-16,2019-01-15,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Iowa Ornithological Association records,https://n2t.net/ark:/87292/w91v5bd2m,Avian Archives of Iowa Online (avIAn),https://avian.lib.iastate.edu,reformatted digital; Digitized with Nikon - camera
IowaOrnithAssoc_0,iowaornithassoc0,iowaornithassoc,child,iowaornithassoc108,1,MS0581b001f001i0001.tif,ms0581b001f001i0001.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/iowaornithassoc/ms0581b001f001i0001.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/iowaornithassoc/small/ms0581b001f001i0001_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/iowaornithassoc/thumbs/ms0581b001f001i0001_th.jpg,,,,,Page 1,,,,MS 581,Iowa Ornithological Association records,https://n2t.net/ark:/87292/w9vx8d,,,1,1,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,"This complex item has mixed rights protection.;For portions in which Iowa State University is the copyright holder, no permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.;The Iowa State University Library believes that portions of this item are in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",;https://creativecommons.org/licenses/by-nc/4.0/;http://rightsstatements.org/vocab/NoC-US/1.0/,,,,,,,,,Iowa Ornithological Association records,https://n2t.net/ark:/87292/w91v5bd2m,,,reformatted digital
IowaOrnithAssoc_1,iowaornithassoc1,iowaornithassoc,child,iowaornithassoc108,2,MS0581b001f001i0002.tif,ms0581b001f001i0002.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/iowaornithassoc/ms0581b001f001i0002.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/iowaornithassoc/small/ms0581b001f001i0002_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/iowaornithassoc/thumbs/ms0581b001f001i0002_th.jpg,,,,,Page 2,,,,MS 581,Iowa Ornithological Association records,https://n2t.net/ark:/87292/w9vx8d,,,1,1,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,"This complex item has mixed rights protection.;For portions in which Iowa State University is the copyright holder, no permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.;The Iowa State University Library believes that portions of this item are in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",;https://creativecommons.org/licenses/by-nc/4.0/;http://rightsstatements.org/vocab/NoC-US/1.0/,,,,,,,,,Iowa Ornithological Association records,https://n2t.net/ark:/87292/w91v5bd2m,,,reformatted digital
IowaOrnithAssoc_2,iowaornithassoc2,iowaornithassoc,child,iowaornithassoc108,3,MS0581b001f001i0003.tif,ms0581b001f001i0003.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/iowaornithassoc/ms0581b001f001i0003.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/iowaornithassoc/small/ms0581b001f001i0003_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/iowaornithassoc/thumbs/ms0581b001f001i0003_th.jpg,,,,,Page 3,,,,MS 581,Iowa Ornithological Association records,https://n2t.net/ark:/87292/w9vx8d,,,1,1,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,"This complex item has mixed rights protection.;For portions in which Iowa State University is the copyright holder, no permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.;The Iowa State University Library believes that portions of this item are in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",;https://creativecommons.org/licenses/by-nc/4.0/;http://rightsstatements.org/vocab/NoC-US/1.0/,,,,,,,,,Iowa Ornithological Association records,https://n2t.net/ark:/87292/w91v5bd2m,,,reformatted digital
IowaOrnithAssoc_3,iowaornithassoc3,iowaornithassoc,child,iowaornithassoc108,4,MS0581b001f001i0004.tif,ms0581b001f001i0004.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/iowaornithassoc/ms0581b001f001i0004.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/iowaornithassoc/small/ms0581b001f001i0004_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/iowaornithassoc/thumbs/ms0581b001f001i0004_th.jpg,,,,,Page 4,,,,MS 581,Iowa Ornithological Association records,https://n2t.net/ark:/87292/w9vx8d,,,1,1,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,"This complex item has mixed rights protection.;For portions in which Iowa State University is the copyright holder, no permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.;The Iowa State University Library believes that portions of this item are in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",;https://creativecommons.org/licenses/by-nc/4.0/;http://rightsstatements.org/vocab/NoC-US/1.0/,,,,,,,,,Iowa Ornithological Association records,https://n2t.net/ark:/87292/w91v5bd2m,,,reformatted digital
IowaOrnithAssoc_4,iowaornithassoc4,iowaornithassoc,child,iowaornithassoc108,5,MS0581b001f001i0005.tif,ms0581b001f001i0005.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/iowaornithassoc/ms0581b001f001i0005.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/iowaornithassoc/small/ms0581b001f001i0005_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/iowaornithassoc/thumbs/ms0581b001f001i0005_th.jpg,,,,,Page 5,,,,MS 581,Iowa Ornithological Association records,https://n2t.net/ark:/87292/w9vx8d,,,1,1,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,"This complex item has mixed rights protection.;For portions in which Iowa State University is the copyright holder, no permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.;The Iowa State University Library believes that portions of this item are in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",;https://creativecommons.org/licenses/by-nc/4.0/;http://rightsstatements.org/vocab/NoC-US/1.0/,,,,,,,,,Iowa Ornithological Association records,https://n2t.net/ark:/87292/w91v5bd2m,,,reformatted digital
IowaOrnithAssoc_5,iowaornithassoc5,iowaornithassoc,child,iowaornithassoc108,6,MS0581b001f001i0006.tif,ms0581b001f001i0006.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/iowaornithassoc/ms0581b001f001i0006.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/iowaornithassoc/small/ms0581b001f001i0006_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/iowaornithassoc/thumbs/ms0581b001f001i0006_th.jpg,,,,,Page 6,,,,MS 581,Iowa Ornithological Association records,https://n2t.net/ark:/87292/w9vx8d,,,1,1,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,"This complex item has mixed rights protection.;For portions in which Iowa State University is the copyright holder, no permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.;The Iowa State University Library believes that portions of this item are in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",;https://creativecommons.org/licenses/by-nc/4.0/;http://rightsstatements.org/vocab/NoC-US/1.0/,,,,,,,,,Iowa Ornithological Association records,https://n2t.net/ark:/87292/w91v5bd2m,,,reformatted digital
IowaOrnithAssoc_6,iowaornithassoc6,iowaornithassoc,child,iowaornithassoc108,7,MS0581b001f001i0007.tif,ms0581b001f001i0007.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/iowaornithassoc/ms0581b001f001i0007.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/iowaornithassoc/small/ms0581b001f001i0007_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/iowaornithassoc/thumbs/ms0581b001f001i0007_th.jpg,,,,,Page 7,,,,MS 581,Iowa Ornithological Association records,https://n2t.net/ark:/87292/w9vx8d,,,1,1,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,"This complex item has mixed rights protection.;For portions in which Iowa State University is the copyright holder, no permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.;The Iowa State University Library believes that portions of this item are in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",;https://creativecommons.org/licenses/by-nc/4.0/;http://rightsstatements.org/vocab/NoC-US/1.0/,,,,,,,,,Iowa Ornithological Association records,https://n2t.net/ark:/87292/w91v5bd2m,,,reformatted digital
IowaOrnithAssoc_7,iowaornithassoc7,iowaornithassoc,child,iowaornithassoc108,8,MS0581b001f001i0008.tif,ms0581b001f001i0008.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/iowaornithassoc/ms0581b001f001i0008.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/iowaornithassoc/small/ms0581b001f001i0008_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/iowaornithassoc/thumbs/ms0581b001f001i0008_th.jpg,,,,,Page 8,,,,MS 581,Iowa Ornithological Association records,https://n2t.net/ark:/87292/w9vx8d,,,1,1,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,"This complex item has mixed rights protection.;For portions in which Iowa State University is the copyright holder, no permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.;The Iowa State University Library believes that portions of this item are in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",;https://creativecommons.org/licenses/by-nc/4.0/;http://rightsstatements.org/vocab/NoC-US/1.0/,,,,,,,,,Iowa Ornithological Association records,https://n2t.net/ark:/87292/w91v5bd2m,,,reformatted digital
IowaOrnithAssoc_8,iowaornithassoc8,iowaornithassoc,child,iowaornithassoc108,9,MS0581b001f001i0009.tif,ms0581b001f001i0009.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/iowaornithassoc/ms0581b001f001i0009.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/iowaornithassoc/small/ms0581b001f001i0009_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/iowaornithassoc/thumbs/ms0581b001f001i0009_th.jpg,,,,,Page 9,,,,MS 581,Iowa Ornithological Association records,https://n2t.net/ark:/87292/w9vx8d,,,1,1,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,"This complex item has mixed rights protection.;For portions in which Iowa State University is the copyright holder, no permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.;The Iowa State University Library believes that portions of this item are in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",;https://creativecommons.org/licenses/by-nc/4.0/;http://rightsstatements.org/vocab/NoC-US/1.0/,,,,,,,,,Iowa Ornithological Association records,https://n2t.net/ark:/87292/w91v5bd2m,,,reformatted digital
IowaOrnithAssoc_9,iowaornithassoc9,iowaornithassoc,child,iowaornithassoc108,10,MS0581b001f001i0010.tif,ms0581b001f001i0010.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/iowaornithassoc/ms0581b001f001i0010.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/iowaornithassoc/small/ms0581b001f001i0010_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/iowaornithassoc/thumbs/ms0581b001f001i0010_th.jpg,,,,,Page 10,,,,MS 581,Iowa Ornithological Association records,https://n2t.net/ark:/87292/w9vx8d,,,1,1,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,"This complex item has mixed rights protection.;For portions in which Iowa State University is the copyright holder, no permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.;The Iowa State University Library believes that portions of this item are in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",;https://creativecommons.org/licenses/by-nc/4.0/;http://rightsstatements.org/vocab/NoC-US/1.0/,,,,,,,,,Iowa Ornithological Association records,https://n2t.net/ark:/87292/w91v5bd2m,,,reformatted digital
