legacy_id,objectid,collectionid,display_template,parentid,sequence,pres_file,filename,object_location,image_alt_text,image_small,image_thumb,object_ocr,object_hocr,object_transcript,object_pdf,title,ark,avian_id,uid,call_number,archival_collection,finding_aid_ark,archival_series_title,folder_title,box,folder_num,contributing_institution,contributing_institution_uri,personal_creator,personal_creator_uri,corporate_creator,corporate_creator_uri,interviewee,interviewee_uri,interviewer,interviewer_uri,personal_contributor,personal_contributor_uri,corporate_contributor,corporate_contributor_uri,description,disclaimer,language,chronological_subject,personal_name_subject,personal_name_subject_uri,corporate_name_subject,corporate_name_subject_uri,subject,subject_uri,location,location_uri,latitude,longitude,geodetic_datum,extent,medium,medium_uri,genre,genre_uri,type,format,rights,rightsstatement,date,date_digital,publisher,publisher_uri,issuance,issuance_start,issuance_end,frequency,digital_collection,digital_collection_ark,relation,relation_uri,digital_origin
IowaStateParks_2,iowastateparks2,iowastateparks,complex,,0,,,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/iowastateparks/small/04-08-l_offcampus_0377-013-001a_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/iowastateparks/thumbs/04-08-l_offcampus_0377-013-001a_th.jpg,,,,,Tent at Ledges Park,https://n2t.net/ark:/87292/w9x62h,,,RS 4/8,Iowa State University. Facilities Planning and Management records,https://n2t.net/ark:/87292/w9cx82,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,Black and white photograph showing a tent at Ledges Park.,,eng,,,,,,Camping--Equipment and supplies;Tents,http://id.worldcat.org/fast/844930;http://id.worldcat.org/fast/1147746,Iowa--Boone County;Iowa--Ledges State Park,http://id.worldcat.org/fast/1212206;,,,,1 item,,,,,Image,image/jpeg,"This item is protected by copyright and related rights. However, the rights-holder is unidentified or unlocatable. If you have information that can contribute to identifying or locating the rights-holder, please notify the Iowa State University Library, Digital Scholarship and Initiatives.",http://rightsstatements.org/vocab/InC-RUU/1.0/,1903,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Iowa state parks collection,https://n2t.net/ark:/87292/w9dj58g4z,,,reformatted digital
IowaStateParks_0,iowastateparks0,iowastateparks,child,iowastateparks2,1,04-08-L_OffCampus_0377-013-001a.tif,04-08-l_offcampus_0377-013-001a.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/iowastateparks/04-08-l_offcampus_0377-013-001a.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/iowastateparks/small/04-08-l_offcampus_0377-013-001a_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/iowastateparks/thumbs/04-08-l_offcampus_0377-013-001a_th.jpg,,,,,Front,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Iowa state parks collection,https://n2t.net/ark:/87292/w9dj58g4z,,,reformatted digital
IowaStateParks_1,iowastateparks1,iowastateparks,child,iowastateparks2,2,04-08-L_OffCampus_0377-013-001b.tif,04-08-l_offcampus_0377-013-001b.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/iowastateparks/04-08-l_offcampus_0377-013-001b.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/iowastateparks/small/04-08-l_offcampus_0377-013-001b_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/iowastateparks/thumbs/04-08-l_offcampus_0377-013-001b_th.jpg,,,,,Back,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Iowa state parks collection,https://n2t.net/ark:/87292/w9dj58g4z,,,reformatted digital
IowaStateParks_5,iowastateparks5,iowastateparks,complex,,0,,,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/iowastateparks/small/04-08-l_offcampus_0377-013-002a_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/iowastateparks/thumbs/04-08-l_offcampus_0377-013-002a_th.jpg,,,,,Swimming at Ledges Park,https://n2t.net/ark:/87292/w9sc9n,,,RS 4/8,Iowa State University. Facilities Planning and Management records,https://n2t.net/ark:/87292/w9cx82,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,Black and white photograph showing people swimming at Ledges Park.,,eng,,,,,,Swimming,http://id.worldcat.org/fast/1140328,Iowa--Boone County;Iowa--Ledges State Park,http://id.worldcat.org/fast/1212206;,,,,1 item,,,,,Image,image/jpeg,"This item is protected by copyright and related rights. However, the rights-holder is unidentified or unlocatable. If you have information that can contribute to identifying or locating the rights-holder, please notify the Iowa State University Library, Digital Scholarship and Initiatives.",http://rightsstatements.org/vocab/InC-RUU/1.0/,1903,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Iowa state parks collection,https://n2t.net/ark:/87292/w9dj58g4z,,,reformatted digital
IowaStateParks_3,iowastateparks3,iowastateparks,child,iowastateparks5,1,04-08-L_OffCampus_0377-013-002a.tif,04-08-l_offcampus_0377-013-002a.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/iowastateparks/04-08-l_offcampus_0377-013-002a.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/iowastateparks/small/04-08-l_offcampus_0377-013-002a_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/iowastateparks/thumbs/04-08-l_offcampus_0377-013-002a_th.jpg,,,,,Front,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Iowa state parks collection,https://n2t.net/ark:/87292/w9dj58g4z,,,reformatted digital
IowaStateParks_4,iowastateparks4,iowastateparks,child,iowastateparks5,2,04-08-L_OffCampus_0377-013-002b.tif,04-08-l_offcampus_0377-013-002b.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/iowastateparks/04-08-l_offcampus_0377-013-002b.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/iowastateparks/small/04-08-l_offcampus_0377-013-002b_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/iowastateparks/thumbs/04-08-l_offcampus_0377-013-002b_th.jpg,,,,,Back,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Iowa state parks collection,https://n2t.net/ark:/87292/w9dj58g4z,,,reformatted digital
IowaStateParks_8,iowastateparks8,iowastateparks,complex,,0,,,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/iowastateparks/small/04-08-l_offcampus_0377-013-002c_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/iowastateparks/thumbs/04-08-l_offcampus_0377-013-002c_th.jpg,,,,,Tents at Camp Cladonia at Ledges Park,https://n2t.net/ark:/87292/w9np6c,,,RS 4/8,Iowa State University. Facilities Planning and Management records,https://n2t.net/ark:/87292/w9cx82,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,"Black and white photograph showing tents at Camp Cladonia, located in Ledges Park.",,eng,,,,,,Camping--Equipment and supplies;Tents,http://id.worldcat.org/fast/844930;http://id.worldcat.org/fast/1147746,Iowa--Boone County;Iowa--Ledges State Park,http://id.worldcat.org/fast/1212206;,,,,1 item,,,,,Image,image/jpeg,"This item is protected by copyright and related rights. However, the rights-holder is unidentified or unlocatable. If you have information that can contribute to identifying or locating the rights-holder, please notify the Iowa State University Library, Digital Scholarship and Initiatives.",http://rightsstatements.org/vocab/InC-RUU/1.0/,1903,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Iowa state parks collection,https://n2t.net/ark:/87292/w9dj58g4z,,,reformatted digital
IowaStateParks_6,iowastateparks6,iowastateparks,child,iowastateparks8,1,04-08-L_OffCampus_0377-013-002c.tif,04-08-l_offcampus_0377-013-002c.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/iowastateparks/04-08-l_offcampus_0377-013-002c.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/iowastateparks/small/04-08-l_offcampus_0377-013-002c_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/iowastateparks/thumbs/04-08-l_offcampus_0377-013-002c_th.jpg,,,,,Front,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Iowa state parks collection,https://n2t.net/ark:/87292/w9dj58g4z,,,reformatted digital
IowaStateParks_7,iowastateparks7,iowastateparks,child,iowastateparks8,2,04-08-L_OffCampus_0377-013-002d.tif,04-08-l_offcampus_0377-013-002d.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/iowastateparks/04-08-l_offcampus_0377-013-002d.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/iowastateparks/small/04-08-l_offcampus_0377-013-002d_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/iowastateparks/thumbs/04-08-l_offcampus_0377-013-002d_th.jpg,,,,,Back,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Iowa state parks collection,https://n2t.net/ark:/87292/w9dj58g4z,,,reformatted digital
IowaStateParks_11,iowastateparks11,iowastateparks,complex,,0,,,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/iowastateparks/small/04-08-l_offcampus_0377-013-003a_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/iowastateparks/thumbs/04-08-l_offcampus_0377-013-003a_th.jpg,,,,,Afternoon in camp at Ledges Park,https://n2t.net/ark:/87292/w9hw4f,,,RS 4/8,Iowa State University. Facilities Planning and Management records,https://n2t.net/ark:/87292/w9cx82,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,A black and white photograph of a group of people in a camp site in Ledges Park.,,eng,,,,,,Tents;Camping--Equipment and supplies,http://id.worldcat.org/fast/1147746;http://id.worldcat.org/fast/844930,Iowa--Boone County;Iowa--Ledges State Park,http://id.worldcat.org/fast/1212206;,,,,1 item,,,,,Image,image/jpeg,"This item is protected by copyright and related rights. However, the rights-holder is unidentified or unlocatable. If you have information that can contribute to identifying or locating the rights-holder, please notify the Iowa State University Library, Digital Scholarship and Initiatives.",http://rightsstatements.org/vocab/InC-RUU/1.0/,1903,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Iowa state parks collection,https://n2t.net/ark:/87292/w9dj58g4z,,,reformatted digital
