legacy_id,objectid,collectionid,display_template,parentid,sequence,pres_file,filename,object_location,image_alt_text,image_small,image_thumb,object_ocr,object_hocr,object_transcript,object_pdf,title,ark,avian_id,uid,call_number,archival_collection,finding_aid_ark,archival_series_title,folder_title,box,folder_num,contributing_institution,contributing_institution_uri,personal_creator,personal_creator_uri,corporate_creator,corporate_creator_uri,interviewee,interviewee_uri,interviewer,interviewer_uri,personal_contributor,personal_contributor_uri,corporate_contributor,corporate_contributor_uri,description,disclaimer,language,chronological_subject,personal_name_subject,personal_name_subject_uri,corporate_name_subject,corporate_name_subject_uri,subject,subject_uri,location,location_uri,latitude,longitude,geodetic_datum,extent,medium,medium_uri,genre,genre_uri,type,format,rights,rightsstatement,date,date_digital,publisher,publisher_uri,issuance,issuance_start,issuance_end,frequency,digital_collection,digital_collection_ark,relation,relation_uri,digital_origin
ISUOH_AV205612,isuohav205612,isuoh,audio,,0,RS000-017-003_Hendrich.mp3,rs000-017-003_hendrich.mp3,https://iastate.aviaryplatform.com/r/6q1sf2mn9z,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/isuoh/small/isc_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/isuoh/thumbs/isc_th.jpg,,,,,Interview with Suzanne Hendrich,https://n2t.net/ark:/87292/w9np1wr03,,AV205612,RS 0/17/3,Iowa State Oral History Project,https://n2t.net/ark:/87292/w9h19q,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,"Hendrich, Suzanne",http://id.loc.gov/authorities/names/no2006008264,,,,,,,Oral history interviews with members of the Iowa State University community.,,eng,2010s,,,Iowa State University,http://id.loc.gov/authorities/names/n81041658,Universities and colleges--Faculty;Oral history,http://id.worldcat.org/fast/1161748;http://id.worldcat.org/fast/1047055,Iowa--Ames,http://id.worldcat.org/fast/1207548,,,,01:53:42,MP3,http://vocab.getty.edu/aat/300312047,oral histories (literary genre),http://vocab.getty.edu/aat/300202595,Sound,audio/mpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from the rights-holder.",http://rightsstatements.org/vocab/InC/1.0/,2017-11-07,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Iowa State University oral histories,https://n2t.net/ark:/87292/w9sf2mj47,,,reformatted digital
ISUOH_AV205613,isuohav205613,isuoh,audio,,0,RS000-017-003_HirataMichimasa_part1.mp3;RS000-017-003_HirataMichimasa_part2.mp3;RS000-017-003_HirataMichimasa_part3.mp3;RS000-017-003_HirataMichimasa_part4.mp3;RS000-017-003_HirataMichimasa_part5.mp3,rs000-017-003_hiratamichimasa_part1.mp3;rs000-017-003_hiratamichimasa_part2.mp3;rs000-017-003_hiratamichimasa_part3.mp3;rs000-017-003_hiratamichimasa_part4.mp3;rs000-017-003_hiratamichimasa_part5.mp3,https://iastate.aviaryplatform.com/r/v97zk56454,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/isuoh/small/michi_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/isuoh/thumbs/michi_th.jpg,,,,,Interview with Michimasa Hirata,https://n2t.net/ark:/87292/w9hx15x57,,AV205613,RS 0/17/3,Iowa State Oral History Project,https://n2t.net/ark:/87292/w9h19q,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,"Hirata, Michimasa",,"Hartwig, Daniel",http://id.loc.gov/authorities/names/no2022086683,,,,,"In this five-part oral history Michimasa (Michi) Hirata discusses his life and activism, centered on his survival of the Hiroshima atomic bomb on August 6, 1945. Part 1: Background, Early Life, WWII, Hiroshima. Part 2: Hiroshima, End of WWII. Part 3: Occupied Japan, Press Code, Education. Part 4: Professional Career, Family, Activism. Part 5: Activism, Reflections.",,eng,2020s,,,Iowa State University,http://id.loc.gov/authorities/names/n81041658,"Universities and colleges--Alumni and alumnae;Oral history;Atomic bomb victims;Bombardment of Hiroshima-shi (Hiroshima-shi, Japan : 1945);World War (1939-1945)",http://id.worldcat.org/fast/1161636;http://id.worldcat.org/fast/1047055;http://id.worldcat.org/fast/820593;http://id.worldcat.org/fast/1352071;http://id.worldcat.org/fast/1180924,Iowa--Ames;Japan--Hiroshima-shi,http://id.worldcat.org/fast/1207548;http://id.worldcat.org/fast/1209723,,,,08:27:16,MP3,http://vocab.getty.edu/aat/300312047,oral histories (literary genre),http://vocab.getty.edu/aat/300202595,Sound,audio/mpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from the rights-holder.",http://rightsstatements.org/vocab/InC/1.0/,2020-05,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Iowa State University oral histories,https://n2t.net/ark:/87292/w9sf2mj47,,,reformatted digital
ISUOH_AV205616,isuohav205616,isuoh,audio,,0,RS000-017-003_Kuhn.mp3,rs000-017-003_kuhn.mp3,https://iastate.aviaryplatform.com/r/mp4vh5cz6q,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/isuoh/small/isc_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/isuoh/thumbs/isc_th.jpg,,,,,Interview with Warren Kuhn,https://n2t.net/ark:/87292/w9d50g41t,,AV205616,RS 0/17/3,Iowa State Oral History Project,https://n2t.net/ark:/87292/w9h19q,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,"Kuhn, Warren B.",http://id.loc.gov/authorities/names/no2010017720,"Goedeken, Ed",,,,,,Oral history interviews with members of the Iowa State University community.,,eng,2010s,,,Iowa State University,http://id.loc.gov/authorities/names/n81041658,Universities and colleges--Faculty;Oral history,http://id.worldcat.org/fast/1161748;http://id.worldcat.org/fast/1047055,Iowa--Ames,http://id.worldcat.org/fast/1207548,,,,01:08:28,MP3,http://vocab.getty.edu/aat/300312047,oral histories (literary genre),http://vocab.getty.edu/aat/300202595,Sound,audio/mpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from the rights-holder.",http://rightsstatements.org/vocab/InC/1.0/,2012,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Iowa State University oral histories,https://n2t.net/ark:/87292/w9sf2mj47,,,reformatted digital
ISUOH_AV205619,isuohav205619,isuoh,audio,,0,RS000-017-003_Regan.mp3,rs000-017-003_regan.mp3,https://iastate.aviaryplatform.com/r/f47gq6rh10,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/isuoh/small/isc_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/isuoh/thumbs/isc_th.jpg,,,,,Interview with Kyle Regan,https://n2t.net/ark:/87292/w98c9r97h,,AV205619,RS 0/17/3,Iowa State Oral History Project,https://n2t.net/ark:/87292/w9h19q,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,"Regan, Kyle",,,,,,,,Oral history interviews with members of the Iowa State University community.,,eng,2000s,,,Iowa State University,http://id.loc.gov/authorities/names/n81041658,Universities and colleges--Faculty;Oral history,http://id.worldcat.org/fast/1161748;http://id.worldcat.org/fast/1047055,Iowa--Ames,http://id.worldcat.org/fast/1207548,,,,01:14:23,MP3,http://vocab.getty.edu/aat/300312047,oral histories (literary genre),http://vocab.getty.edu/aat/300202595,Sound,audio/mpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from the rights-holder.",http://rightsstatements.org/vocab/InC/1.0/,2006-10-19,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Iowa State University oral histories,https://n2t.net/ark:/87292/w9sf2mj47,,,reformatted digital
ISUOH_AV205618,isuohav205618,isuoh,audio,,0,RS000-017-003_Parsons.mp3,rs000-017-003_parsons.mp3,https://iastate.aviaryplatform.com/r/fq9q23rf54,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/isuoh/small/isc_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/isuoh/thumbs/isc_th.jpg,,,,,Interview with Gerald Parsons,https://n2t.net/ark:/87292/w94m91h47,,AV205618,RS 0/17/3,Iowa State Oral History Project,https://n2t.net/ark:/87292/w9h19q,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,"Parsons, Gerald",,,,,,,,Oral history interviews with members of the Iowa State University community.,,eng,2010s,,,Iowa State University,http://id.loc.gov/authorities/names/n81041658,Universities and colleges--Faculty;Oral history,http://id.worldcat.org/fast/1161748;http://id.worldcat.org/fast/1047055,Iowa--Ames,http://id.worldcat.org/fast/1207548,,,,01:46:31,MP3,http://vocab.getty.edu/aat/300312047,oral histories (literary genre),http://vocab.getty.edu/aat/300202595,Sound,audio/mpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from the rights-holder.",http://rightsstatements.org/vocab/InC/1.0/,2011-11-21,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Iowa State University oral histories,https://n2t.net/ark:/87292/w9sf2mj47,,,reformatted digital
ISUOH_AV205614,isuohav205614,isuoh,audio,,0,RS000-017-003_Jensen.mp3,rs000-017-003_jensen.mp3,https://iastate.aviaryplatform.com/r/wh2d79617r,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/isuoh/small/isc_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/isuoh/thumbs/isc_th.jpg,,,,,Interview with Larry Jensen,https://n2t.net/ark:/87292/w90v89q03,,AV205614,RS 0/17/3,Iowa State Oral History Project,https://n2t.net/ark:/87292/w9h19q,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,"Jensen, Larry",,,,,,,,Oral history interviews with members of the Iowa State University community.,,eng,2010s,,,Iowa State University,http://id.loc.gov/authorities/names/n81041658,Universities and colleges--Faculty;Oral history,http://id.worldcat.org/fast/1161748;http://id.worldcat.org/fast/1047055,Iowa--Ames,http://id.worldcat.org/fast/1207548,,,,01:19:19,MP3,http://vocab.getty.edu/aat/300312047,oral histories (literary genre),http://vocab.getty.edu/aat/300202595,Sound,audio/mpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from the rights-holder.",http://rightsstatements.org/vocab/InC/1.0/,2012-05-09,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Iowa State University oral histories,https://n2t.net/ark:/87292/w9sf2mj47,,,reformatted digital
ISUOH_AV205617,isuohav205617,isuoh,audio,,0,RS000-017-003_Moore.mp3,rs000-017-003_moore.mp3,https://iastate.aviaryplatform.com/r/tx3513vk2t,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/isuoh/small/isc_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/isuoh/thumbs/isc_th.jpg,,,,,Interview with Wayne Moore,https://n2t.net/ark:/87292/w9w669f84,,AV205617,RS 0/17/3,Iowa State Oral History Project,https://n2t.net/ark:/87292/w9h19q,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,"Moore, Wayne",,,,,,,,Oral history interviews with members of the Iowa State University community.,,eng,2000s,,,Iowa State University,http://id.loc.gov/authorities/names/n81041658,Universities and colleges--Faculty;Oral history,http://id.worldcat.org/fast/1161748;http://id.worldcat.org/fast/1047055,Iowa--Ames,http://id.worldcat.org/fast/1207548,,,,01:29:20,MP3,http://vocab.getty.edu/aat/300312047,oral histories (literary genre),http://vocab.getty.edu/aat/300202595,Sound,audio/mpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from the rights-holder.",http://rightsstatements.org/vocab/InC/1.0/,2007-10-19,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Iowa State University oral histories,https://n2t.net/ark:/87292/w9sf2mj47,,,reformatted digital
ISUOH_AV205621,isuohav205621,isuoh,audio,,0,RS000-017-003_White.mp3,rs000-017-003_white.mp3,https://iastate.aviaryplatform.com/r/kk94747805,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/isuoh/small/isc_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/isuoh/thumbs/isc_th.jpg,,,,,Interview with Pam White,https://n2t.net/ark:/87292/w9rf5kn40,,AV205621,RS 0/17/3,Iowa State Oral History Project,https://n2t.net/ark:/87292/w9h19q,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,"White, Pam",,,,,,,,Oral history interviews with members of the Iowa State University community.,,eng,2010s,,,Iowa State University,http://id.loc.gov/authorities/names/n81041658,Universities and colleges--Faculty;Oral history,http://id.worldcat.org/fast/1161748;http://id.worldcat.org/fast/1047055,Iowa--Ames,http://id.worldcat.org/fast/1207548,,,,00:57:48,MP3,http://vocab.getty.edu/aat/300312047,oral histories (literary genre),http://vocab.getty.edu/aat/300202595,Sound,audio/mpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from the rights-holder.",http://rightsstatements.org/vocab/InC/1.0/,2016-06-02,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Iowa State University oral histories,https://n2t.net/ark:/87292/w9sf2mj47,,,reformatted digital
ISUOH_AV205615,isuohav205615,isuoh,audio,,0,RS000-017-003_Johnson.mp3,rs000-017-003_johnson.mp3,https://iastate.aviaryplatform.com/r/ww76t0hn35,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/isuoh/small/isc_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/isuoh/thumbs/isc_th.jpg,,,,,Interview with Howard Johnson,https://n2t.net/ark:/87292/w9mp4vt9r,,AV205615,RS 0/17/3,Iowa State Oral History Project,https://n2t.net/ark:/87292/w9h19q,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,"Johnson, Howard",,,,,,,,Oral history interviews with members of the Iowa State University community.,,eng,2010s,,,Iowa State University,http://id.loc.gov/authorities/names/n81041658,Universities and colleges--Faculty;Oral history,http://id.worldcat.org/fast/1161748;http://id.worldcat.org/fast/1047055,Iowa--Ames,http://id.worldcat.org/fast/1207548,,,,01:26:26,MP3,http://vocab.getty.edu/aat/300312047,oral histories (literary genre),http://vocab.getty.edu/aat/300202595,Sound,audio/mpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from the rights-holder.",http://rightsstatements.org/vocab/InC/1.0/,2016,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Iowa State University oral histories,https://n2t.net/ark:/87292/w9sf2mj47,,,reformatted digital
ISUOH_AV205620,isuohav205620,isuoh,audio,,0,RS000-017-003_Schwieder.mp3,rs000-017-003_schwieder.mp3,https://iastate.aviaryplatform.com/r/wd3pv6bv0n,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/isuoh/small/isc_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/isuoh/thumbs/isc_th.jpg,,,,,Interview with Dorothy Schwieder,https://n2t.net/ark:/87292/w9gx4515d,,AV205620,RS 0/17/3,Iowa State Oral History Project,https://n2t.net/ark:/87292/w9h19q,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,"Schwieder, Dorothy, 1933-2014",http://id.loc.gov/authorities/names/n83049872,,,,,,,Oral history interviews with members of the Iowa State University community.,,eng,20th century,,,Iowa State University,http://id.loc.gov/authorities/names/n81041658,Universities and colleges--Faculty;Oral history,http://id.worldcat.org/fast/1161748;http://id.worldcat.org/fast/1047055,Iowa--Ames,http://id.worldcat.org/fast/1207548,,,,01:35:26,MP3,http://vocab.getty.edu/aat/300312047,oral histories (literary genre),http://vocab.getty.edu/aat/300202595,Sound,audio/mpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from the rights-holder.",http://rightsstatements.org/vocab/InC/1.0/,,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Iowa State University oral histories,https://n2t.net/ark:/87292/w9sf2mj47,,,reformatted digital
