legacy_id,objectid,collectionid,display_template,parentid,sequence,pres_file,filename,object_location,image_alt_text,image_small,image_thumb,object_ocr,object_hocr,object_transcript,object_pdf,title,ark,avian_id,uid,call_number,archival_collection,finding_aid_ark,archival_series_title,folder_title,box,folder_num,contributing_institution,contributing_institution_uri,personal_creator,personal_creator_uri,corporate_creator,corporate_creator_uri,interviewee,interviewee_uri,interviewer,interviewer_uri,personal_contributor,personal_contributor_uri,corporate_contributor,corporate_contributor_uri,description,disclaimer,language,chronological_subject,personal_name_subject,personal_name_subject_uri,corporate_name_subject,corporate_name_subject_uri,subject,subject_uri,location,location_uri,latitude,longitude,geodetic_datum,extent,medium,medium_uri,genre,genre_uri,type,format,rights,rightsstatement,date,date_digital,publisher,publisher_uri,issuance,issuance_start,issuance_end,frequency,digital_collection,digital_collection_ark,relation,relation_uri,digital_origin
JackTrice_25,jacktrice25,jacktrice,complex,,0,,,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/jacktrice/small/21-07-023_trice_01-08-01-01_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/jacktrice/thumbs/21-07-023_trice_01-08-01-01_th.jpg,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/jacktrice/transcripts/jacktrice25.txt,https://isuu00001library102stg.blob.core.windows.net/digital-objects/jacktrice/pdf/jacktrice25.pdf,"Jack Trice ""Last Letter,"" October 5, 1923",https://n2t.net/ark:/87292/w9261c,,,RS 21/07/023,Jack Trice papers,https://n2t.net/ark:/87292/w97r5z,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Trice, Jack, 1902-1923",http://id.loc.gov/authorities/names/n2001100440,,,,,,,,,,,"Letter written October 5, 1923, by Jack Trice, football player and the first African American athlete at Iowa State, the night before playing his last football game against the University of Minnesota. Trice died on October 8 from injuries sustained in the game.",,eng,1920s,"Trice, Jack, 1902-1923",http://id.loc.gov/authorities/names/n2001100440,Iowa State College,http://id.loc.gov/authorities/names/n82049648,Alumni and alumnae;Football,http://id.worldcat.org/fast/1198533;http://id.worldcat.org/fast/931362,Minnesota--Minneapolis,http://id.worldcat.org/fast/1204260,,,,2 pages,,,correspondence,http://vocab.getty.edu/aat/300026877,Text,image/jpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. No permission is required for noncommercial uses. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC-NC/1.0/,1923-10-05,2007-04-11,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Jack Trice collection,https://n2t.net/ark:/87292/w9n872z9b,,,reformatted digital; Digitized with Manager's Power Mac G5; Mac OS X; Creo iQsmart3; Kodak oXYgen Scan ver 2.6.4
JackTrice_23,jacktrice23,jacktrice,child,jacktrice25,1,21-07-023_Trice_01-08-01-01.tif,21-07-023_trice_01-08-01-01.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/jacktrice/21-07-023_trice_01-08-01-01.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/jacktrice/small/21-07-023_trice_01-08-01-01_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/jacktrice/thumbs/21-07-023_trice_01-08-01-01_th.jpg,,,,,Front,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. No permission is required for noncommercial uses. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC-NC/1.0/,1923-10-05,2007-04-11,,,,,,,Jack Trice collection,https://n2t.net/ark:/87292/w9n872z9b,,,reformatted digital; Digitized with Manager's Power Mac G5; Mac OS X; Creo iQsmart3; Kodak oXYgen Scan ver 2.6.5
JackTrice_24,jacktrice24,jacktrice,child,jacktrice25,2,21-07-023_Trice_01-08-01-02.tif,21-07-023_trice_01-08-01-02.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/jacktrice/21-07-023_trice_01-08-01-02.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/jacktrice/small/21-07-023_trice_01-08-01-02_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/jacktrice/thumbs/21-07-023_trice_01-08-01-02_th.jpg,,,,,Back,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. No permission is required for noncommercial uses. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC-NC/1.0/,1923-10-05,2007-04-11,,,,,,,Jack Trice collection,https://n2t.net/ark:/87292/w9n872z9b,,,reformatted digital; Digitized with Manager's Power Mac G5; Mac OS X; Creo iQsmart3; Kodak oXYgen Scan ver 2.6.6
JackTrice_30,jacktrice30,jacktrice,complex,,0,,,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/jacktrice/small/21-07-023_trice_01-06-02-01_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/jacktrice/thumbs/21-07-023_trice_01-06-02-01_th.jpg,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/jacktrice/transcripts/jacktrice30.txt,https://isuu00001library102stg.blob.core.windows.net/digital-objects/jacktrice/pdf/jacktrice30.pdf,"Cora Mae Trice Greene letter to David Lendt, August 3, 1988",https://n2t.net/ark:/87292/w9dc8v,,,RS 21/07/023,Jack Trice papers,https://n2t.net/ark:/87292/w97r5z,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Greene, Cora Mae Trice",,,,,,,,,,,,"Letters from Cora Mae Trice Greene, Jack Trice's widow (later remarried to Horace Greene), to David Lendt, Director of Information at Iowa State University. In the first letter, Greene thanks Lendt for the information sent to her family regarding the dedication of memorials on campus to Jack Trice. She also shares her memories of the days surrounding Trice's death in 1923. In the second letter, Greene grants permission to place her letters and other documents pertaining to Trice in the archives of the Iowa State University Department of Special Collections.",,eng,1920s;1980s,"Trice, Jack, 1902-1923;Greene, Cora Mae Trice;Armstrong, Betty;Lendt, David",http://id.loc.gov/authorities/names/n2001100440;;;,Iowa State University,http://id.loc.gov/authorities/names/n81041658,Alumni and alumnae;Football;Memorials,http://id.worldcat.org/fast/1198533;http://id.worldcat.org/fast/931362;http://id.worldcat.org/fast/1015903,Iowa--Ames,http://id.worldcat.org/fast/1207548,,,,4 pages,,,correspondence,http://vocab.getty.edu/aat/300026877,Text,image/jpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. No permission is required for noncommercial uses. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC-NC/1.0/,1988-08-03,2013-08-01,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Jack Trice collection,https://n2t.net/ark:/87292/w9n872z9b,,,reformatted digital; Digitized with Dell OptiPlex 755; Windows 7 Enterprise; Epson GT-2500; Epson Scan ver. 3.49A
JackTrice_26,jacktrice26,jacktrice,child,jacktrice30,1,21-07-023_Trice_01-06-02-01.tif,21-07-023_trice_01-06-02-01.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/jacktrice/21-07-023_trice_01-06-02-01.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/jacktrice/small/21-07-023_trice_01-06-02-01_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/jacktrice/thumbs/21-07-023_trice_01-06-02-01_th.jpg,,,,,Page 1,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. No permission is required for noncommercial uses. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC-NC/1.0/,1988-08-03,2013-08-01,,,,,,,Jack Trice collection,https://n2t.net/ark:/87292/w9n872z9b,,,reformatted digital; Digitized with Dell OptiPlex 755; Windows 7 Enterprise; Epson GT-2500; Epson Scan ver. 3.49A
JackTrice_27,jacktrice27,jacktrice,child,jacktrice30,2,21-07-023_Trice_01-06-02-02.tif,21-07-023_trice_01-06-02-02.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/jacktrice/21-07-023_trice_01-06-02-02.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/jacktrice/small/21-07-023_trice_01-06-02-02_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/jacktrice/thumbs/21-07-023_trice_01-06-02-02_th.jpg,,,,,Page 2,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. No permission is required for noncommercial uses. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC-NC/1.0/,1988-08-03,2013-08-01,,,,,,,Jack Trice collection,https://n2t.net/ark:/87292/w9n872z9b,,,reformatted digital; Digitized with Dell OptiPlex 755; Windows 7 Enterprise; Epson GT-2500; Epson Scan ver. 3.49A
JackTrice_28,jacktrice28,jacktrice,child,jacktrice30,3,21-07-023_Trice_01-06-02-03.tif,21-07-023_trice_01-06-02-03.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/jacktrice/21-07-023_trice_01-06-02-03.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/jacktrice/small/21-07-023_trice_01-06-02-03_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/jacktrice/thumbs/21-07-023_trice_01-06-02-03_th.jpg,,,,,Page 3,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. No permission is required for noncommercial uses. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC-NC/1.0/,1988-08-03,2013-08-01,,,,,,,Jack Trice collection,https://n2t.net/ark:/87292/w9n872z9b,,,reformatted digital; Digitized with Dell OptiPlex 755; Windows 7 Enterprise; Epson GT-2500; Epson Scan ver. 3.49A
JackTrice_29,jacktrice29,jacktrice,child,jacktrice30,4,21-07-023_Trice_01-06-02-04.tif,21-07-023_trice_01-06-02-04.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/jacktrice/21-07-023_trice_01-06-02-04.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/jacktrice/small/21-07-023_trice_01-06-02-04_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/jacktrice/thumbs/21-07-023_trice_01-06-02-04_th.jpg,,,,,"Cora Mae Trice Greene letter to David Lendt, August 24, 1988",,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. No permission is required for noncommercial uses. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC-NC/1.0/,1988-08-03,2013-08-01,,,,,,,Jack Trice collection,https://n2t.net/ark:/87292/w9n872z9b,,,reformatted digital; Digitized with Dell OptiPlex 755; Windows 7 Enterprise; Epson GT-2500; Epson Scan ver. 3.49A
JackTrice_31,jacktrice31,jacktrice,simple,,0,21-07-023_Trice_01-24-01.tif,21-07-023_trice_01-24-01.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/jacktrice/21-07-023_trice_01-24-01.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/jacktrice/small/21-07-023_trice_01-24-01_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/jacktrice/thumbs/21-07-023_trice_01-24-01_th.jpg,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/jacktrice/transcripts/jacktrice31.txt,https://isuu00001library102stg.blob.core.windows.net/digital-objects/jacktrice/pdf/jacktrice31.pdf,"Chester L. Brewer letter to Samuel W. Beyer regarding football game at University of Missouri, October 8, 1923",https://n2t.net/ark:/87292/w98p7b,,,RS 21/07/023,Jack Trice papers,https://n2t.net/ark:/87292/w97r5z,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Brewer, Chester L., 1875-1953",,,,,,,,,,,,"Letter written October 8, 1923, by Chester L. Brewer, Director of Athletics at the University of Missouri at Columbia, informing Samuel W. Beyer, a dean at Iowa State and the college's ""godfather"" of athletics, that he would not permit the racially integrated Iowa State team to play football at Missouri.",,eng,1920s,"Trice, Jack, 1902-1923;Brewer, Chester L., 1875-1953;Beyer, Samuel W.",http://id.loc.gov/authorities/names/n2001100440;;,Iowa State College;University of Missouri--Columbia,http://id.loc.gov/authorities/names/n82049648;http://id.loc.gov/authorities/names/n80126275,Football;Racism in sports,http://id.worldcat.org/fast/931362;http://id.worldcat.org/fast/1086664,Missouri,http://id.worldcat.org/fast/1204724,,,,1 page,,,correspondence,http://vocab.getty.edu/aat/300026877,Text,image/jpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. No permission is required for noncommercial uses. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC-NC/1.0/,1923-10-08,2009-04-14,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Jack Trice collection,https://n2t.net/ark:/87292/w9n872z9b,,,reformatted digital; Digitized with Manager's Power Mac G5; Mac OS X; Creo iQsmart3; Kodak oXYgen Scan ver 2.6.4
JackTrice_32,jacktrice32,jacktrice,simple,,0,21-07-A_Trice_1578-01-02.tif,21-07-a_trice_1578-01-02.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/jacktrice/21-07-a_trice_1578-01-02.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/jacktrice/small/21-07-a_trice_1578-01-02_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/jacktrice/thumbs/21-07-a_trice_1578-01-02_th.jpg,,,,,Jack Trice,https://n2t.net/ark:/87292/w94w5d,,,RS 21/07/A,University Photographs,https://n2t.net/ark:/87292/w9cv4bz30,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,Photograph of Jack Trice in winter.,,zxx,1920s,"Trice, Jack, 1902-1923",http://id.loc.gov/authorities/names/n2001100440,Iowa State College,http://id.loc.gov/authorities/names/n82049648,African Americans;Black people;Alumni and alumnae;College athletes;Football,http://id.worldcat.org/fast/799558;http://id.worldcat.org/fast/833880;http://id.worldcat.org/fast/1198533;http://id.worldcat.org/fast/867688;http://id.worldcat.org/fast/931362,Iowa--Ames,http://id.worldcat.org/fast/1207548,,,,1 photograph,,,photographs,http://vocab.getty.edu/aat/300046300,Image,image/jpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. No permission is required for noncommercial uses. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC-NC/1.0/,1920/1929,2009-09-17,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Jack Trice collection,https://n2t.net/ark:/87292/w9n872z9b,,,reformatted digital; Digitized with Manager's Power Mac G5; Mac OS X; Creo iQsmart3; Kodak oXYgen Scan ver 2.6.4
