legacy_id,objectid,collectionid,display_template,parentid,sequence,pres_file,filename,object_location,image_alt_text,image_small,image_thumb,object_ocr,object_hocr,object_transcript,object_pdf,title,ark,avian_id,uid,call_number,archival_collection,finding_aid_ark,archival_series_title,folder_title,box,folder_num,contributing_institution,contributing_institution_uri,personal_creator,personal_creator_uri,corporate_creator,corporate_creator_uri,interviewee,interviewee_uri,interviewer,interviewer_uri,personal_contributor,personal_contributor_uri,corporate_contributor,corporate_contributor_uri,description,disclaimer,language,chronological_subject,personal_name_subject,personal_name_subject_uri,corporate_name_subject,corporate_name_subject_uri,subject,subject_uri,location,location_uri,latitude,longitude,geodetic_datum,extent,medium,medium_uri,genre,genre_uri,type,format,rights,rightsstatement,date,date_digital,publisher,publisher_uri,issuance,issuance_start,issuance_end,frequency,digital_collection,digital_collection_ark,relation,relation_uri,digital_origin
LGBT__6,lgbt6,lgbt,complex,,0,,,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/lgbt/small/rs022-004-000-001b002i015_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/lgbt/thumbs/rs022-004-000-001b002i015_th.jpg,,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/lgbt/pdf/lgbt6.pdf,Coleus and dogbreath too,https://n2t.net/ark:87292/w9cz3284v,,,RS 22/4/0/1,"Iowa State University. Student Organizations - Political and Social Action Organizations records. Subject files, 1916-2014, undated",https://n2t.net/ark:/87292/w9k221,,Gay People's Liberation Alliance,2,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,"Lloyd, Cecil;Kenard, G.",,,,Zine published by the Gay People's Alliance (GPA) where they share various works from LGBT+ community members.,,eng,1970s,"Lloyd, Cecil;Kenard, G.",,Iowa State University,http://id.loc.gov/authorities/names/n81041658,Universities and colleges; Gay liberation movement; Gays; Lesbians; Sexual minorities--Population;LGBTQ+ people; Gay men; Gay movement,http://id.worldcat.org/fast/1161597;http://id.worldcat.org/fast/939104;http://id.worldcat.org/fast/939255;http://id.worldcat.org/fast/996540;http://id.worldcat.org/fast/1904666;https://homosaurus.org/v3/homoit0000915; https://homosaurus.org/v3/homoit0000506; https://homosaurus.org/v3/homoit0000510,Iowa--Ames;Iowa--Story County,http://id.worldcat.org/fast/1207548;http://id.worldcat.org/fast/1221286,,,,6 pages,,,fanzines,http://vocab.getty.edu/aat/300252980,Text,image/jpeg,"This item is protected by copyright and related rights. However, the rights-holder is unidentified or unlocatable. If you have information that can contribute to identifying or locating the rights-holder, please notify the Iowa State University Library, Digital Scholarship and Initiatives.",http://rightsstatements.org/vocab/InC-RUU/1.0/,1974,2019-04-09,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,LGBT+ student life at Iowa State University collection,https://n2t.net/ark:/87292/w9wp9tb1k,,,reformatted digital
LGBT__0,lgbt0,lgbt,child,lgbt6,1,RS022-004-000-001b002i015.tif,rs022-004-000-001b002i015.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/lgbt/rs022-004-000-001b002i015.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/lgbt/small/rs022-004-000-001b002i015_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/lgbt/thumbs/rs022-004-000-001b002i015_th.jpg,,,,,Page 1,,,,RS 22/4/0/1,"Iowa State University. Student Organizations - Political and Social Action Organizations records. Subject files, 1916-2014, undated",https://n2t.net/ark:/87292/w9k221,,Gay People's Liberation Alliance,2,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,2019-04-09,,,,,,,LGBT+ student life at Iowa State University collection,https://n2t.net/ark:/87292/w9wp9tb1k,,,reformatted digital
LGBT__1,lgbt1,lgbt,child,lgbt6,2,RS022-004-000-001b002i016.tif,rs022-004-000-001b002i016.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/lgbt/rs022-004-000-001b002i016.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/lgbt/small/rs022-004-000-001b002i016_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/lgbt/thumbs/rs022-004-000-001b002i016_th.jpg,,,,,Page 2,,,,RS 22/4/0/1,"Iowa State University. Student Organizations - Political and Social Action Organizations records. Subject files, 1916-2014, undated",https://n2t.net/ark:/87292/w9k221,,Gay People's Liberation Alliance,2,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,2019-04-09,,,,,,,LGBT+ student life at Iowa State University collection,https://n2t.net/ark:/87292/w9wp9tb1k,,,reformatted digital
LGBT__2,lgbt2,lgbt,child,lgbt6,3,RS022-004-000-001b002i017.tif,rs022-004-000-001b002i017.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/lgbt/rs022-004-000-001b002i017.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/lgbt/small/rs022-004-000-001b002i017_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/lgbt/thumbs/rs022-004-000-001b002i017_th.jpg,,,,,Page 3,,,,RS 22/4/0/1,"Iowa State University. Student Organizations - Political and Social Action Organizations records. Subject files, 1916-2014, undated",https://n2t.net/ark:/87292/w9k221,,Gay People's Liberation Alliance,2,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,2019-04-09,,,,,,,LGBT+ student life at Iowa State University collection,https://n2t.net/ark:/87292/w9wp9tb1k,,,reformatted digital
LGBT__3,lgbt3,lgbt,child,lgbt6,4,RS022-004-000-001b002i018.tif,rs022-004-000-001b002i018.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/lgbt/rs022-004-000-001b002i018.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/lgbt/small/rs022-004-000-001b002i018_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/lgbt/thumbs/rs022-004-000-001b002i018_th.jpg,,,,,Page 4,,,,RS 22/4/0/1,"Iowa State University. Student Organizations - Political and Social Action Organizations records. Subject files, 1916-2014, undated",https://n2t.net/ark:/87292/w9k221,,Gay People's Liberation Alliance,2,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,2019-04-09,,,,,,,LGBT+ student life at Iowa State University collection,https://n2t.net/ark:/87292/w9wp9tb1k,,,reformatted digital
LGBT__4,lgbt4,lgbt,child,lgbt6,5,RS022-004-000-001b002i019.tif,rs022-004-000-001b002i019.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/lgbt/rs022-004-000-001b002i019.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/lgbt/small/rs022-004-000-001b002i019_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/lgbt/thumbs/rs022-004-000-001b002i019_th.jpg,,,,,Page 5,,,,RS 22/4/0/1,"Iowa State University. Student Organizations - Political and Social Action Organizations records. Subject files, 1916-2014, undated",https://n2t.net/ark:/87292/w9k221,,Gay People's Liberation Alliance,2,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,2019-04-09,,,,,,,LGBT+ student life at Iowa State University collection,https://n2t.net/ark:/87292/w9wp9tb1k,,,reformatted digital
LGBT__5,lgbt5,lgbt,child,lgbt6,6,RS022-004-000-001b002i020.tif,rs022-004-000-001b002i020.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/lgbt/rs022-004-000-001b002i020.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/lgbt/small/rs022-004-000-001b002i020_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/lgbt/thumbs/rs022-004-000-001b002i020_th.jpg,,,,,Page 6,,,,RS 22/4/0/1,"Iowa State University. Student Organizations - Political and Social Action Organizations records. Subject files, 1916-2014, undated",https://n2t.net/ark:/87292/w9k221,,Gay People's Liberation Alliance,2,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,2019-04-09,,,,,,,LGBT+ student life at Iowa State University collection,https://n2t.net/ark:/87292/w9wp9tb1k,,,reformatted digital
LGBT__9,lgbt9,lgbt,complex,,0,,,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/lgbt/small/rs022-004-000-001b002i002_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/lgbt/thumbs/rs022-004-000-001b002i002_th.jpg,,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/lgbt/pdf/lgbt9.pdf,Most offensive part was back page (Iowa State daily),https://n2t.net/ark:87292/w98911v4t,,,RS 22/4/0/1,"Iowa State University. Student Organizations - Political and Social Action Organizations records. Subject files, 1916-2014, undated",https://n2t.net/ark:/87292/w9k221,,Gay People's Liberation Alliance,2,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Hueholt, Claire",,,,,,,,,,,,"Iowa State Daily Article, ""Most offensive part was back page."" Article discusses Claire Hueholt reactions to the Campus Review issue against LGBT+ students.",,eng,1980s,"Hueholt, Claire",,Iowa State University,http://id.loc.gov/authorities/names/n81041658,Universities and colleges; Gay liberation movement; Gays; Lesbians; Sexual minorities--Population;LGBTQ+ people; Gay men; Gay movement,http://id.worldcat.org/fast/1161597;http://id.worldcat.org/fast/939104;http://id.worldcat.org/fast/939255;http://id.worldcat.org/fast/996540;http://id.worldcat.org/fast/1904666;https://homosaurus.org/v3/homoit0000915; https://homosaurus.org/v3/homoit0000506; https://homosaurus.org/v3/homoit0000510,Iowa--Ames;Iowa--Story County,http://id.worldcat.org/fast/1207548;http://id.worldcat.org/fast/1221286,,,,2 pages,,,clippings (information artifacts),http://vocab.getty.edu/aat/300026867,Text,image/jpeg,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,1988-04-13,2019-04-09,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,LGBT+ student life at Iowa State University collection,https://n2t.net/ark:/87292/w9wp9tb1k,,,reformatted digital
LGBT__7,lgbt7,lgbt,child,lgbt9,1,RS022-004-000-001b002i002.tif,rs022-004-000-001b002i002.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/lgbt/rs022-004-000-001b002i002.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/lgbt/small/rs022-004-000-001b002i002_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/lgbt/thumbs/rs022-004-000-001b002i002_th.jpg,,,,,Page 1,,,,RS 22/4/0/1,"Iowa State University. Student Organizations - Political and Social Action Organizations records. Subject files, 1916-2014, undated",https://n2t.net/ark:/87292/w9k221,,Gay People's Liberation Alliance,2,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,2019-04-09,,,,,,,LGBT+ student life at Iowa State University collection,https://n2t.net/ark:/87292/w9wp9tb1k,,,reformatted digital
LGBT__8,lgbt8,lgbt,child,lgbt9,2,RS022-004-000-001b002i003.tif,rs022-004-000-001b002i003.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/lgbt/rs022-004-000-001b002i003.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/lgbt/small/rs022-004-000-001b002i003_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/lgbt/thumbs/rs022-004-000-001b002i003_th.jpg,,,,,Page 2,,,,RS 22/4/0/1,"Iowa State University. Student Organizations - Political and Social Action Organizations records. Subject files, 1916-2014, undated",https://n2t.net/ark:/87292/w9k221,,Gay People's Liberation Alliance,2,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,2019-04-09,,,,,,,LGBT+ student life at Iowa State University collection,https://n2t.net/ark:/87292/w9wp9tb1k,,,reformatted digital
