legacy_id,objectid,collectionid,display_template,parentid,sequence,pres_file,filename,object_location,image_alt_text,image_small,image_thumb,object_ocr,object_hocr,object_transcript,object_pdf,title,ark,avian_id,uid,call_number,archival_collection,finding_aid_ark,archival_series_title,folder_title,box,folder_num,contributing_institution,contributing_institution_uri,personal_creator,personal_creator_uri,corporate_creator,corporate_creator_uri,interviewee,interviewee_uri,interviewer,interviewer_uri,personal_contributor,personal_contributor_uri,corporate_contributor,corporate_contributor_uri,description,disclaimer,language,chronological_subject,personal_name_subject,personal_name_subject_uri,corporate_name_subject,corporate_name_subject_uri,subject,subject_uri,location,location_uri,latitude,longitude,geodetic_datum,extent,medium,medium_uri,genre,genre_uri,type,format,rights,rightsstatement,date,date_digital,publisher,publisher_uri,issuance,issuance_start,issuance_end,frequency,digital_collection,digital_collection_ark,relation,relation_uri,digital_origin
ManningWarren_1048-19-5-7,manningwarren10481957,manningwarren,simple,,0,MS0218_MC-C401-D10-1048-19-5-7.tif,ms0218_mc-c401-d10-1048-19-5-7.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/manningwarren/ms0218_mc-c401-d10-1048-19-5-7.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/manningwarren/small/ms0218_mc-c401-d10-1048-19-5-7_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/manningwarren/thumbs/ms0218_mc-c401-d10-1048-19-5-7_th.jpg,,,,,"Sketch map, Billerica Garden Suburb (1048-19-5-7)",https://n2t.net/ark:/87292/w9h12vf07,,,MS 218,Warren H. Manning papers,https://n2t.net/ark:/87292/w9z76p,"Series 2, Drawings, 1891-1929, undated","1048-19-5-7: Sketch map, Billerica Garden Suburb. (Blackline print. 18"" x 23"". No scale. 7/29/1914), 1914",Map case C401 D10,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Comey, Arthur C. (Arthur Coleman), 1886-1954; Manning, Warren H. (Warren Henry), 1860-1938",http://id.loc.gov/authorities/names/no96039157; http://id.loc.gov/authorities/names/n82207972,,,,,,,,,,,"Item from a series that includes aerial perspectives, drawings, floor plans, maps, planting plans, site plans, sketches, and surveys. The locations are in the East and Midwest and include Milwaukee parks (Wisconsin), the University of Minnesota, Rock City Amusement Park (New York), Cleveland Museum of Art, the Mackinac Island State Park commission (Michigan), Oak Hill Cemetery (Youngstown, Ohio), Asheville University (North Carolina), and Western Reserve Academy (Ohio). The project numbers are indicated with the title of each object.  Cco: Blackline print; 18 x 23 inches",,zxx,1910s,,,,,City planning,http://id.worldcat.org/fast/862177,Massachusetts--North Billerica,http://id.worldcat.org/fast/1305938,,,,1 sheet,paper (fiber product); blackline prints,http://vocab.getty.edu/aat/300014109; http://vocab.getty.edu/aat/300115217,site plans; cartographic materials,http://vocab.getty.edu/aat/300034122; http://vocab.getty.edu/aat/300028052,Image,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,1914-07-29,2022-03-31,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Warren H. Manning collection,https://n2t.net/ark:/87292/w92804z4t,,,reformatted digital; Digitized with Contex HD iFlex
ManningWarren_1058-8,manningwarren10588,manningwarren,simple,,0,MS0218_T-49-1058-8.tif,ms0218_t-49-1058-8.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/manningwarren/ms0218_t-49-1058-8.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/manningwarren/small/ms0218_t-49-1058-8_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/manningwarren/thumbs/ms0218_t-49-1058-8_th.jpg,,,,,"Site plan, study of arrangement of amusement park (1058-8)",https://n2t.net/ark:/87292/w96h4cx0h,,,MS 218,Warren H. Manning papers,https://n2t.net/ark:/87292/w9z76p,"Series 2, Drawings, 1891-1929, undated","1058-8: Site plan, study of arrangement of amusement park. (Blueprint. 42 1/2"" x 34 1/2"". 1"", 1914)",Tube 49,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Manning, Warren H. (Warren Henry), 1860-1938",http://id.loc.gov/authorities/names/n82207972,,,,,,,,,,,"Item from a series that includes aerial perspectives, drawings, floor plans, maps, planting plans, site plans, sketches, and surveys. The locations are in the East and Midwest and include Milwaukee parks (Wisconsin), the University of Minnesota, Rock City Amusement Park (New York), Cleveland Museum of Art, the Mackinac Island State Park commission (Michigan), Oak Hill Cemetery (Youngstown, Ohio), Asheville University (North Carolina), and Western Reserve Academy (Ohio). The project numbers are indicated with the title of each object.  Cco: Blueprint; 42.5 x 34.5 inches",,zxx,1910s,,,,,Amusement parks,http://id.worldcat.org/fast/808076,Alabama--Birmingham,http://id.worldcat.org/fast/1204958,,,,1 sheet,paper (fiber product); blueprints (reprographic copies),http://vocab.getty.edu/aat/300014109; http://vocab.getty.edu/aat/300028499,site plans; cartographic materials,http://vocab.getty.edu/aat/300034122; http://vocab.getty.edu/aat/300028052,Image,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,1914-06,2021-02-22,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Warren H. Manning collection,https://n2t.net/ark:/87292/w92804z4t,,,reformatted digital; Digitized with Contex HD iFlex
ManningWarren_1108-43-18,manningwarren11084318,manningwarren,simple,,0,MS0218_MC-C401-D10-1108-43-18.tif,ms0218_mc-c401-d10-1108-43-18.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/manningwarren/ms0218_mc-c401-d10-1108-43-18.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/manningwarren/small/ms0218_mc-c401-d10-1108-43-18_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/manningwarren/thumbs/ms0218_mc-c401-d10-1108-43-18_th.jpg,,,,,"Land survey, plat of Fairlawn Heights (1108-43-18)",https://n2t.net/ark:/87292/w9c824m6v,,,MS 218,Warren H. Manning papers,https://n2t.net/ark:/87292/w9z76p,"Series 2, Drawings, 1891-1929, undated","1108-43-18: Land survey, plat of Fairlawn Heights. (Blackline print. 18"" x 23"". No scale. 10/1917), 1917",Map case C401 D10,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Manning, Warren H. (Warren Henry), 1860-1938",http://id.loc.gov/authorities/names/n82207972,,,,,,,,,,,"Item from a series that includes aerial perspectives, drawings, floor plans, maps, planting plans, site plans, sketches, and surveys. The locations are in the East and Midwest and include Milwaukee parks (Wisconsin), the University of Minnesota, Rock City Amusement Park (New York), Cleveland Museum of Art, the Mackinac Island State Park commission (Michigan), Oak Hill Cemetery (Youngstown, Ohio), Asheville University (North Carolina), and Western Reserve Academy (Ohio). The project numbers are indicated with the title of each object.  Cco: Blackline print; 18 x 23 inches",,zxx,,,,,,City planning,http://id.worldcat.org/fast/862177,Ohio--Akron,http://id.worldcat.org/fast/1207143,,,,1 sheet,paper (fiber product); blackline prints,http://vocab.getty.edu/aat/300014109; http://vocab.getty.edu/aat/300115217,cadastral maps; cartographic materials,http://vocab.getty.edu/aat/300028102; http://vocab.getty.edu/aat/300028052,Image,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,,2021-04-06,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Warren H. Manning collection,https://n2t.net/ark:/87292/w92804z4t,,,reformatted digital; Digitized with Contex HD iFlex
ManningWarren_1135-1,manningwarren11351,manningwarren,simple,,0,MS0218_T-50-1135-1.tif,ms0218_t-50-1135-1.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/manningwarren/ms0218_t-50-1135-1.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/manningwarren/small/ms0218_t-50-1135-1_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/manningwarren/thumbs/ms0218_t-50-1135-1_th.jpg,,,,,"Data, from Forestry Association study plotted on Massachusetts Highway Comm. Maps (1135-1)",https://n2t.net/ark:/87292/w92r3p365,,,MS 218,Warren H. Manning papers,https://n2t.net/ark:/87292/w9z76p,"Series 2, Drawings, 1891-1929, undated","1135-1: Data, from Forestry Association study plotted on Massachusetts Highway Comm. Maps. (Ink on linen. 53 1/2"" x 13' 9"". 1"", 1916)",Tube 50,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,Massachusetts Forestry Association,http://id.loc.gov/authorities/names/n89634771,,,,,,,,,"Item from a series that includes aerial perspectives, drawings, floor plans, maps, planting plans, site plans, sketches, and surveys. The locations are in the East and Midwest and include Milwaukee parks (Wisconsin), the University of Minnesota, Rock City Amusement Park (New York), Cleveland Museum of Art, the Mackinac Island State Park commission (Michigan), Oak Hill Cemetery (Youngstown, Ohio), Asheville University (North Carolina), and Western Reserve Academy (Ohio). The project numbers are indicated with the title of each object.  Cco: Ink on linen; 53.5 x 13 feet 9 inches",,zxx,,,,,,Land use,http://id.worldcat.org/fast/991472,Massachusetts,http://id.worldcat.org/fast/1204307,,,,1 sheet,textile materials; tracing cloth,http://vocab.getty.edu/aat/300231565; http://vocab.getty.edu/aat/300126981,maps (documents); cartographic materials,http://vocab.getty.edu/aat/300028094; http://vocab.getty.edu/aat/300028052,Image,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,,2021-05-27,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Warren H. Manning collection,https://n2t.net/ark:/87292/w92804z4t,,,reformatted digital; Digitized with Contex HD iFlex
ManningWarren_1416-20-1,manningwarren1416201,manningwarren,simple,,0,MS0218_T-52-1416-20-1.tif,ms0218_t-52-1416-20-1.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/manningwarren/ms0218_t-52-1416-20-1.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/manningwarren/small/ms0218_t-52-1416-20-1_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/manningwarren/thumbs/ms0218_t-52-1416-20-1_th.jpg,,,,,"Site plan, roads, walks, building locations, planting study (1416-20-1)",https://n2t.net/ark:/87292/w9z02zg13,,,MS 218,Warren H. Manning papers,https://n2t.net/ark:/87292/w9z76p,"Series 2, Drawings, 1891-1929, undated","1416-20-1: Site plan, roads, walks, building locations, planting study. (Blueprint. 51"" x 43"". 1"", 1924)",Tube 52,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Manning, Warren H. (Warren Henry), 1860-1938",http://id.loc.gov/authorities/names/n82207972,,,,,,,,,,,"Item from a series that includes aerial perspectives, drawings, floor plans, maps, planting plans, site plans, sketches, and surveys. The locations are in the East and Midwest and include Milwaukee parks (Wisconsin), the University of Minnesota, Rock City Amusement Park (New York), Cleveland Museum of Art, the Mackinac Island State Park commission (Michigan), Oak Hill Cemetery (Youngstown, Ohio), Asheville University (North Carolina), and Western Reserve Academy (Ohio). The project numbers are indicated with the title of each object.  Cco: Blueprint; 51 x 43 inches",,zxx,1920s,,,,,Cemeteries,http://id.worldcat.org/fast/850521,Ohio--Youngstown,http://id.worldcat.org/fast/1213545,,,,1 sheet,paper (fiber product); blueprints (reprographic copies),http://vocab.getty.edu/aat/300014109; http://vocab.getty.edu/aat/300028499,planting plans; cartographic materials,http://vocab.getty.edu/aat/300034145; http://vocab.getty.edu/aat/300028052,Image,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,1924-03-10,2021-05-11,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Warren H. Manning collection,https://n2t.net/ark:/87292/w92804z4t,,,reformatted digital; Digitized with Contex HD iFlex
ManningWarren_1422-24,manningwarren142224,manningwarren,simple,,0,MS0218_MC-C401-D11-1422-24.tif,ms0218_mc-c401-d11-1422-24.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/manningwarren/ms0218_mc-c401-d11-1422-24.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/manningwarren/small/ms0218_mc-c401-d11-1422-24_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/manningwarren/thumbs/ms0218_mc-c401-d11-1422-24_th.jpg,,,,,"Site plan, first study showing golf courses, land subdivision, hotel site, public roads, parking, reservations, and shore walks (1422-24)",https://n2t.net/ark:/87292/w97h1dt2q,,,MS 218,Warren H. Manning papers,https://n2t.net/ark:/87292/w9z76p,"Series 2, Drawings, 1891-1929, undated","1422-24: Site plan, first study showing golf courses, land subdivision, hotel site, public roads, parking, reservations, and shore walks. (Blackline print. 36"" x 41 1/2"" 1"", 1924)",Map case C401 D11,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Manning, Warren H. (Warren Henry), 1860-1938",http://id.loc.gov/authorities/names/n82207972,,,,,,,,,,,"Item from a series that includes aerial perspectives, drawings, floor plans, maps, planting plans, site plans, sketches, and surveys. The locations are in the East and Midwest and include Milwaukee parks (Wisconsin), the University of Minnesota, Rock City Amusement Park (New York), Cleveland Museum of Art, the Mackinac Island State Park commission (Michigan), Oak Hill Cemetery (Youngstown, Ohio), Asheville University (North Carolina), and Western Reserve Academy (Ohio). The project numbers are indicated with the title of each object.  Cco: Blackline print; 36 x 41.5 inches",,zxx,1920s,,,,,Golf resorts,http://id.worldcat.org/fast/944764,North Carolina--New Bern,http://id.worldcat.org/fast/944764,,,,1 sheet,paper (fiber product); blackline prints,http://vocab.getty.edu/aat/300014109; http://vocab.getty.edu/aat/300115217,site plans; cartographic materials,http://vocab.getty.edu/aat/300034122; http://vocab.getty.edu/aat/300028052,Image,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,1924-11,2021-04-07,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Warren H. Manning collection,https://n2t.net/ark:/87292/w92804z4t,,,reformatted digital; Digitized with Contex HD iFlex
ManningWarren_1428-12-3,manningwarren1428123,manningwarren,simple,,0,MS0218_MC-C401-D12-1428-12-3.tif,ms0218_mc-c401-d12-1428-12-3.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/manningwarren/ms0218_mc-c401-d12-1428-12-3.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/manningwarren/small/ms0218_mc-c401-d12-1428-12-3_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/manningwarren/thumbs/ms0218_mc-c401-d12-1428-12-3_th.jpg,,,,,"Block map, Athens, Georgia, dated 1908, showing trees and shrubs (1428-12-3)",https://n2t.net/ark:/87292/w93r0q08c,,,MS 218,Warren H. Manning papers,https://n2t.net/ark:/87292/w9z76p,"Series 2, Drawings, 1891-1929, undated","1428-12-3: Block map, Athens, Georgia, dated 1908, showing trees and shrubs. (Blackprint. 17"" x 20"". 1 1/2"", 1924)",Map case C401 D12,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Manning, Warren H. (Warren Henry), 1860-1938",http://id.loc.gov/authorities/names/n82207972,,,,,,,,,,,"Item from a series that includes aerial perspectives, drawings, floor plans, maps, planting plans, site plans, sketches, and surveys. The locations are in the East and Midwest and include Milwaukee parks (Wisconsin), the University of Minnesota, Rock City Amusement Park (New York), Cleveland Museum of Art, the Mackinac Island State Park commission (Michigan), Oak Hill Cemetery (Youngstown, Ohio), Asheville University (North Carolina), and Western Reserve Academy (Ohio). The project numbers are indicated with the title of each object.  Cco: Blackprint; 17 x 20 inches",,zxx,1900s,,,,,City planning,http://id.worldcat.org/fast/862177,Georgia--Athens,http://id.worldcat.org/fast/1208258,,,,1 sheet,paper (fiber product),http://vocab.getty.edu/aat/300014109,cartographic materials; block plans,http://vocab.getty.edu/aat/300028052; http://vocab.getty.edu/aat/300034155,Image,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,1908-04,2021-03-30,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Warren H. Manning collection,https://n2t.net/ark:/87292/w92804z4t,,,reformatted digital; Digitized with Contex HD iFlex
ManningWarren_1428-70-8,manningwarren1428708,manningwarren,simple,,0,MS0218_MC-C401-D13-1428-70-8.tif,ms0218_mc-c401-d13-1428-70-8.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/manningwarren/ms0218_mc-c401-d13-1428-70-8.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/manningwarren/small/ms0218_mc-c401-d13-1428-70-8_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/manningwarren/thumbs/ms0218_mc-c401-d13-1428-70-8_th.jpg,,,,,"Street map, showing proposed use districts (1428-70-8)",https://n2t.net/ark:/87292/w9000062z,,,MS 218,Warren H. Manning papers,https://n2t.net/ark:/87292/w9z76p,"Series 2, Drawings, 1891-1929, undated","1428-70-8: Street map, showing proposed use districts. (Colored pencil and ink on paper. 32 1/2"" x 36 1/2"". 1"", 1925)",Map case C401 D13,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Manning, Warren H. (Warren Henry), 1860-1938",http://id.loc.gov/authorities/names/n82207972,,,,,,,,,,,"Item from a series that includes aerial perspectives, drawings, floor plans, maps, planting plans, site plans, sketches, and surveys. The locations are in the East and Midwest and include Milwaukee parks (Wisconsin), the University of Minnesota, Rock City Amusement Park (New York), Cleveland Museum of Art, the Mackinac Island State Park commission (Michigan), Oak Hill Cemetery (Youngstown, Ohio), Asheville University (North Carolina), and Western Reserve Academy (Ohio). The project numbers are indicated with the title of each object.  Cco: Colored pencil and ink on paper; 32.5 x 36.5 inches",,zxx,1920s,,,,,City planning;Land use,http://id.worldcat.org/fast/862177;http://id.worldcat.org/fast/991472,Georgia--Athens,http://id.worldcat.org/fast/1208258,,,,1 sheet,paper (fiber product),http://vocab.getty.edu/aat/300014109,city maps; cartographic materials,http://vocab.getty.edu/aat/300418022; http://vocab.getty.edu/aat/300028052,Image,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,1925-01,2020-01-22,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Warren H. Manning collection,https://n2t.net/ark:/87292/w92804z4t,,,reformatted digital; Digitized with Contex HD iFlex
ManningWarren_1428-76-5,manningwarren1428765,manningwarren,simple,,0,MS0218_MC-C401-D13-1428-76-5.tif,ms0218_mc-c401-d13-1428-76-5.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/manningwarren/ms0218_mc-c401-d13-1428-76-5.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/manningwarren/small/ms0218_mc-c401-d13-1428-76-5_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/manningwarren/thumbs/ms0218_mc-c401-d13-1428-76-5_th.jpg,,,,,"Street map, relation of trafficways to present use districts (1428-76-5)",https://n2t.net/ark:/87292/w9v698j7d,,,MS 218,Warren H. Manning papers,https://n2t.net/ark:/87292/w9z76p,"Series 2, Drawings, 1891-1929, undated","1428-76-5: Street map, relation of trafficways to present use districts. (Colored pencil on blueline print. 35"" x 37"". 1"", 1925)",Map case C401 D13,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Manning, Warren H. (Warren Henry), 1860-1938",http://id.loc.gov/authorities/names/n82207972,,,,,,,,,,,"Item from a series that includes aerial perspectives, drawings, floor plans, maps, planting plans, site plans, sketches, and surveys. The locations are in the East and Midwest and include Milwaukee parks (Wisconsin), the University of Minnesota, Rock City Amusement Park (New York), Cleveland Museum of Art, the Mackinac Island State Park commission (Michigan), Oak Hill Cemetery (Youngstown, Ohio), Asheville University (North Carolina), and Western Reserve Academy (Ohio). The project numbers are indicated with the title of each object.  Cco: Colored pencil on blueline print; 35 x 37 inches",,zxx,1920s,,,,,City planning;Traffic patterns,http://id.worldcat.org/fast/862177;http://id.worldcat.org/fast/1740517,Georgia--Athens,http://id.worldcat.org/fast/1208258,,,,1 sheet,paper (fiber product); blueline prints,http://vocab.getty.edu/aat/300014109; http://vocab.getty.edu/aat/300115190,city maps; cartographic materials,http://vocab.getty.edu/aat/300418022; http://vocab.getty.edu/aat/300028052,Image,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,1925-01,2020-01-22,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Warren H. Manning collection,https://n2t.net/ark:/87292/w92804z4t,,,reformatted digital; Digitized with Contex HD iFlex
ManningWarren_1441-15x,manningwarren144115x,manningwarren,simple,,0,MS0218_T-57-1441-15x.tif,ms0218_t-57-1441-15x.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/manningwarren/ms0218_t-57-1441-15x.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/manningwarren/small/ms0218_t-57-1441-15x_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/manningwarren/thumbs/ms0218_t-57-1441-15x_th.jpg,,,,,General plan for development (1441-15x),https://n2t.net/ark:/87292/w9tb0z20p,,,MS 218,Warren H. Manning papers,https://n2t.net/ark:/87292/w9z76p,"Series 2, Drawings, 1891-1929, undated","1441-15x: General plan for development. (Ink on linen. 37"" x 53"". 1"", 1925)",Tube 57,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Manning, Warren H. (Warren Henry), 1860-1938",http://id.loc.gov/authorities/names/n82207972,,,,,,,,,,,"Item from a series that includes aerial perspectives, drawings, floor plans, maps, planting plans, site plans, sketches, and surveys. The locations are in the East and Midwest and include Milwaukee parks (Wisconsin), the University of Minnesota, Rock City Amusement Park (New York), Cleveland Museum of Art, the Mackinac Island State Park commission (Michigan), Oak Hill Cemetery (Youngstown, Ohio), Asheville University (North Carolina), and Western Reserve Academy (Ohio). The project numbers are indicated with the title of each object.  Cco: Ink on linen; 37 x 53 inches",,zxx,1920s,,,,,Universities and colleges;Landscape architecture,http://id.worldcat.org/fast/1161597;http://id.worldcat.org/fast/991814,North Carolina--Asheville,http://id.worldcat.org/fast/1205440,,,,1 sheet,textile materials; tracing cloth,http://vocab.getty.edu/aat/300231565; http://vocab.getty.edu/aat/300126981,site plans; cartographic materials,http://vocab.getty.edu/aat/300034122; http://vocab.getty.edu/aat/300028052,Image,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,1925-02,2021-04-06,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Warren H. Manning collection,https://n2t.net/ark:/87292/w92804z4t,,,reformatted digital; Digitized with Contex HD iFlex
