legacy_id,objectid,collectionid,display_template,parentid,sequence,pres_file,filename,object_location,image_alt_text,image_small,image_thumb,object_ocr,object_hocr,object_transcript,object_pdf,title,ark,avian_id,uid,call_number,archival_collection,finding_aid_ark,archival_series_title,folder_title,box,folder_num,contributing_institution,contributing_institution_uri,personal_creator,personal_creator_uri,corporate_creator,corporate_creator_uri,interviewee,interviewee_uri,interviewer,interviewer_uri,personal_contributor,personal_contributor_uri,corporate_contributor,corporate_contributor_uri,description,disclaimer,language,chronological_subject,personal_name_subject,personal_name_subject_uri,corporate_name_subject,corporate_name_subject_uri,subject,subject_uri,location,location_uri,latitude,longitude,geodetic_datum,extent,medium,medium_uri,genre,genre_uri,type,format,rights,rightsstatement,date,date_digital,publisher,publisher_uri,issuance,issuance_start,issuance_end,frequency,digital_collection,digital_collection_ark,relation,relation_uri,digital_origin
PammelCourt_1,pammelcourt1,pammelcourt,simple,,0,RS7_4_12_b11-f12_News1956_001.tif,rs7_4_12_b11-f12_news1956_001.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pammelcourt/rs7_4_12_b11-f12_news1956_001.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pammelcourt/small/rs7_4_12_b11-f12_news1956_001_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pammelcourt/thumbs/rs7_4_12_b11-f12_news1956_001_th.jpg,,,,,News of Iowa State,https://n2t.net/ark:/87292/w9159r,,,RS 7/4/12,Julian C. Schilletter Papers,https://n2t.net/ark:/87292/w91f50,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,"By the mid-1950s, Iowa State began plans to erect Hawthorn Village Apartments for married students to the east of Pammel Court. The new apartments would replace many of Pammel Court's original demountable and barracks units that would be demolished in the mid 1960s.",,eng,,,,,,Student housing;College students,http://id.worldcat.org/fast/1135919;http://id.worldcat.org/fast/867976,Iowa--Story County;Iowa;Iowa--Ames,http://id.worldcat.org/fast/1221286;http://id.worldcat.org/fast/1205835;http://id.worldcat.org/fast/1207548,,,,,,,newsletters,http://vocab.getty.edu/aat/300026652,Image,image/jpeg,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,1946,2017-03-10,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Pammel Court collection,https://n2t.net/ark:/87292/w9j96089k,,,reformatted digital
PammelCourt_28,pammelcourt28,pammelcourt,simple,,0,RS7_4_3_b3_PammelCtFolder_PammelCourtNewsCartoon1962.tif,rs7_4_3_b3_pammelctfolder_pammelcourtnewscartoon1962.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pammelcourt/rs7_4_3_b3_pammelctfolder_pammelcourtnewscartoon1962.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pammelcourt/small/rs7_4_3_b3_pammelctfolder_pammelcourtnewscartoon1962_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pammelcourt/thumbs/rs7_4_3_b3_pammelctfolder_pammelcourtnewscartoon1962_th.jpg,,,,,Pammel Court news,https://n2t.net/ark:/87292/w9wc7t,,,RS 7/4,"Iowa State University. Department of Residence records, 1899-2017",https://n2t.net/ark:/87292/w95488,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,"This cartoon from 1962 illustrates the challenges Pammel Court's residents faced in their daily lives. Life in Pammel Court often meant juggling being a spouse, a parent, and a student.",,eng,,,,,,Student housing;College students,http://id.worldcat.org/fast/1135919;http://id.worldcat.org/fast/867976,Iowa--Story County;Iowa;Iowa--Ames,http://id.worldcat.org/fast/1221286;http://id.worldcat.org/fast/1205835;http://id.worldcat.org/fast/1207548,,,,,,,newsletters,http://vocab.getty.edu/aat/300026652,Image,image/jpeg,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,1962,2016-12-29,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Pammel Court collection,https://n2t.net/ark:/87292/w9j96089k,,,reformatted digital
PammelCourt_29,pammelcourt29,pammelcourt,simple,,0,07_04_H-DeptRes-0473_007_004.tif,07_04_h-deptres-0473_007_004.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pammelcourt/07_04_h-deptres-0473_007_004.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pammelcourt/small/07_04_h-deptres-0473_007_004_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pammelcourt/thumbs/07_04_h-deptres-0473_007_004_th.jpg,,,,,Two women and child on Thanksgiving Day,https://n2t.net/ark:/87292/w9rp4j,,,RS 7/4,"Iowa State University. Department of Residence records, 1899-2017",https://n2t.net/ark:/87292/w95488,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,A young child helps prepare a Thanksgiving Day meal in 1948. Note the curvature of the Quonset Hut and the maximization of storage space in the kitchen.,,zxx,,,,,,Student housing;College students,http://id.worldcat.org/fast/1135919;http://id.worldcat.org/fast/867976,Iowa--Story County;Iowa;Iowa--Ames,http://id.worldcat.org/fast/1221286;http://id.worldcat.org/fast/1205835;http://id.worldcat.org/fast/1207548,,,,,,,photographs,http://vocab.getty.edu/aat/300046300,Image,image/jpeg,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,1948,2016-11-18,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Pammel Court collection,https://n2t.net/ark:/87292/w9j96089k,,,reformatted digital
PammelCourt_30,pammelcourt30,pammelcourt,simple,,0,07_04_H-DeptRes-0473_007_005.tif,07_04_h-deptres-0473_007_005.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pammelcourt/07_04_h-deptres-0473_007_005.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pammelcourt/small/07_04_h-deptres-0473_007_005_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pammelcourt/thumbs/07_04_h-deptres-0473_007_005_th.jpg,,,,,Pammel Court Grocery,https://n2t.net/ark:/87292/w9mw2m,,,RS 7/4,"Iowa State University. Department of Residence records, 1899-2017",https://n2t.net/ark:/87292/w95488,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,Early residents of Pammel Court organized a cooperative grocery in 1946. The first location was in a Quonset Hut as seen in this photograph.,,zxx,,,,,,Student housing;College students,http://id.worldcat.org/fast/1135919;http://id.worldcat.org/fast/867976,Iowa--Story County;Iowa;Iowa--Ames,http://id.worldcat.org/fast/1221286;http://id.worldcat.org/fast/1205835;http://id.worldcat.org/fast/1207548,,,,,,,photographs,http://vocab.getty.edu/aat/300046300,Image,image/jpeg,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,,2016-11-18,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Pammel Court collection,https://n2t.net/ark:/87292/w9j96089k,,,reformatted digital
PammelCourt_31,pammelcourt31,pammelcourt,simple,,0,TA1Io9_IAEngineer_v46_May_201.tif,ta1io9_iaengineer_v46_may_201.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pammelcourt/ta1io9_iaengineer_v46_may_201.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pammelcourt/small/ta1io9_iaengineer_v46_may_201_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pammelcourt/thumbs/ta1io9_iaengineer_v46_may_201_th.jpg,,,,,"Iowa Engineer article entitled, ""Housing Venture""",https://n2t.net/ark:/87292/w9h593,,,RS 7/4,"Iowa State University. Department of Residence records, 1899-2017",https://n2t.net/ark:/87292/w95488,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,"An article from the ""Iowa Engineer Reports"" highlights the creation of Pammel Court for returning veterans from World War Two. The article focuses on the need for married housing and also examines construction details of the units.",,eng,,,,,,Student housing;College students,http://id.worldcat.org/fast/1135919;http://id.worldcat.org/fast/867976,Iowa--Story County;Iowa;Iowa--Ames,http://id.worldcat.org/fast/1221286;http://id.worldcat.org/fast/1205835;http://id.worldcat.org/fast/1207548,,,,,,,magazines (periodicals),http://vocab.getty.edu/aat/300215389,Image,image/jpeg,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,1946,2016-11-16,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Pammel Court collection,https://n2t.net/ark:/87292/w9j96089k,,,reformatted digital
PammelCourt_32,pammelcourt32,pammelcourt,simple,,0,21-07-222_Jepeway_0001-001-001.tif,21-07-222_jepeway_0001-001-001.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pammelcourt/21-07-222_jepeway_0001-001-001.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pammelcourt/small/21-07-222_jepeway_0001-001-001_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pammelcourt/thumbs/21-07-222_jepeway_0001-001-001_th.jpg,,,,,Street view of Pammel Court residence,https://n2t.net/ark:/87292/w9cc75,,,RS 21/7/1,Iowa State University. Alumni and Former Student Subject Files. 1869-2017,https://n2t.net/ark:/87292/w99n5j,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Jepeway, Janet A., 1942-2006",,,,,,,,,,,,"When Pammel Court first opened in 1946 the housing project consisted of a mixture of trailers, prefabricated houses, Quonset Huts, and barracks buildings. By the 1970s, only the corrugated metal barracks buildings were left. Residents in Pammel Court were often free to personalize their rental units. This included painting the exterior and interior of the units, and planting gardens in the small yard space each residence afforded.",,zxx,,,,,,Student housing;College students,http://id.worldcat.org/fast/1135919;http://id.worldcat.org/fast/867976,Iowa--Story County;Iowa;Iowa--Ames,http://id.worldcat.org/fast/1221286;http://id.worldcat.org/fast/1205835;http://id.worldcat.org/fast/1207548,,,,,,,photographs,http://vocab.getty.edu/aat/300046300,Image,image/jpeg,The copyright holder of the source for this item is unknown. Iowa State University has provided digital access to this material for research and personal use in accordance with 17 U.S. Code 107-108. Commercial use or distribution of the item requires permission from the rights-holder.,http://rightsstatements.org/vocab/InC/1.0/,1978,2016-12-26,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Pammel Court collection,https://n2t.net/ark:/87292/w9j96089k,,,reformatted digital
PammelCourt_33,pammelcourt33,pammelcourt,simple,,0,21-07-222_Jepeway_0001-002-001.tif,21-07-222_jepeway_0001-002-001.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pammelcourt/21-07-222_jepeway_0001-002-001.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pammelcourt/small/21-07-222_jepeway_0001-002-001_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pammelcourt/thumbs/21-07-222_jepeway_0001-002-001_th.jpg,,,,,Pammel Court interior scene,https://n2t.net/ark:/87292/w97p4w,,,RS 21/7/1,Iowa State University. Alumni and Former Student Subject Files. 1869-2017,https://n2t.net/ark:/87292/w99n5j,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Jepeway, Janet A., 1942-2006",,,,,,,,,,,,The small spaces of Pammel Court's units made for crowded get-togethers and parties.,,zxx,,,,,,Student housing;College students,http://id.worldcat.org/fast/1135919;http://id.worldcat.org/fast/867976,Iowa--Story County;Iowa;Iowa--Ames,http://id.worldcat.org/fast/1221286;http://id.worldcat.org/fast/1205835;http://id.worldcat.org/fast/1207548,,,,,,,photographs,http://vocab.getty.edu/aat/300046300,Image,image/jpeg,The copyright holder of the source for this item is unknown. Iowa State University has provided digital access to this material for research and personal use in accordance with 17 U.S. Code 107-108. Commercial use or distribution of the item requires permission from the rights-holder.,http://rightsstatements.org/vocab/InC/1.0/,,2016-11-18,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Pammel Court collection,https://n2t.net/ark:/87292/w9j96089k,,,reformatted digital
PammelCourt_34,pammelcourt34,pammelcourt,simple,,0,RS7_4_H_b473_f7_neg06264_Aprons001.tif,rs7_4_h_b473_f7_neg06264_aprons001.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pammelcourt/rs7_4_h_b473_f7_neg06264_aprons001.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pammelcourt/small/rs7_4_h_b473_f7_neg06264_aprons001_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pammelcourt/thumbs/rs7_4_h_b473_f7_neg06264_aprons001_th.jpg,,,,,Thanksgiving Day,https://n2t.net/ark:/87292/w93w2z,,,RS 7/4,"Iowa State University. Department of Residence records, 1899-2017",https://n2t.net/ark:/87292/w95488,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,"This image speaks to the sense of community that existed among Pammel Court's residents. For holidays that occurred during a school session, it was not uncommon for two or more families to gather together for a potluck meal, even if it meant dining in cramped quarters.",,zxx,,,,,,Student housing;College students,http://id.worldcat.org/fast/1135919;http://id.worldcat.org/fast/867976,Iowa--Story County;Iowa;Iowa--Ames,http://id.worldcat.org/fast/1221286;http://id.worldcat.org/fast/1205835;http://id.worldcat.org/fast/1207548,,,,,,,photographs,http://vocab.getty.edu/aat/300046300,Image,image/jpeg,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,1948,2016-11-18,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Pammel Court collection,https://n2t.net/ark:/87292/w9j96089k,,,reformatted digital
PammelCourt_35,pammelcourt35,pammelcourt,simple,,0,07-04-I_DeptRes_0489-001-002.tif,07-04-i_deptres_0489-001-002.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pammelcourt/07-04-i_deptres_0489-001-002.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pammelcourt/small/07-04-i_deptres_0489-001-002_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pammelcourt/thumbs/07-04-i_deptres_0489-001-002_th.jpg,,,,,Student at the front door,https://n2t.net/ark:/87292/w9059f,,,RS 7/4,"Iowa State University. Department of Residence records, 1899-2017",https://n2t.net/ark:/87292/w95488,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Elder, Alan",,,,,,,,,,,,"This photograph shows, Fred Merrifield, an Iowa State student entering his unit in the mid-1960s.",,zxx,,,,,,Student housing;College students,http://id.worldcat.org/fast/1135919;http://id.worldcat.org/fast/867976,Iowa--Story County;Iowa;Iowa--Ames,http://id.worldcat.org/fast/1221286;http://id.worldcat.org/fast/1205835;http://id.worldcat.org/fast/1207548,,,,,,,photographs,http://vocab.getty.edu/aat/300046300,Image,image/jpeg,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,1965,2016-12-29,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Pammel Court collection,https://n2t.net/ark:/87292/w9j96089k,,,reformatted digital
PammelCourt_36,pammelcourt36,pammelcourt,simple,,0,21-07-222_Jepeway_0001-002-004.tif,21-07-222_jepeway_0001-002-004.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pammelcourt/21-07-222_jepeway_0001-002-004.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pammelcourt/small/21-07-222_jepeway_0001-002-004_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pammelcourt/thumbs/21-07-222_jepeway_0001-002-004_th.jpg,,,,,Two students at Pammel Court,https://n2t.net/ark:/87292/w9vc7h,,,RS 21/7/1,Iowa State University. Alumni and Former Student Subject Files. 1869-2017,https://n2t.net/ark:/87292/w99n5j,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,"For the 1978-1979 academic year, Pammel Court was opened to non-married students for the first time in its history. From Pammel Court's creation in 1946 to its being open for single students in 1978, low rental prices had always been popular among residents. Those living in Pammel Court sacrificed amenities to save money on monthly rent. Pammel Court units were cold in the winter and hot in the summer, but many former residents remember leaving Iowa State debt-free.",,zxx,,,,,,Student housing;College students,http://id.worldcat.org/fast/1135919;http://id.worldcat.org/fast/867976,Iowa--Story County;Iowa;Iowa--Ames,http://id.worldcat.org/fast/1221286;http://id.worldcat.org/fast/1205835;http://id.worldcat.org/fast/1207548,,,,,,,photographs,http://vocab.getty.edu/aat/300046300,Image,image/jpeg,The copyright holder of the source for this item is unknown. Iowa State University has provided digital access to this material for research and personal use in accordance with 17 U.S. Code 107-108. Commercial use or distribution of the item requires permission from the rights-holder.,http://rightsstatements.org/vocab/InC/1.0/,1978,2016-11-18,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Pammel Court collection,https://n2t.net/ark:/87292/w9j96089k,,,reformatted digital
