legacy_id,objectid,collectionid,display_template,parentid,sequence,pres_file,filename,object_location,image_alt_text,image_small,image_thumb,object_ocr,object_hocr,object_transcript,object_pdf,title,ark,avian_id,uid,call_number,archival_collection,finding_aid_ark,archival_series_title,folder_title,box,folder_num,contributing_institution,contributing_institution_uri,personal_creator,personal_creator_uri,corporate_creator,corporate_creator_uri,interviewee,interviewee_uri,interviewer,interviewer_uri,personal_contributor,personal_contributor_uri,corporate_contributor,corporate_contributor_uri,description,disclaimer,language,chronological_subject,personal_name_subject,personal_name_subject_uri,corporate_name_subject,corporate_name_subject_uri,subject,subject_uri,location,location_uri,latitude,longitude,geodetic_datum,extent,medium,medium_uri,genre,genre_uri,type,format,rights,rightsstatement,date,date_digital,publisher,publisher_uri,issuance,issuance_start,issuance_end,frequency,digital_collection,digital_collection_ark,relation,relation_uri,digital_origin
Pascal,pascal,pascal,collection,,,,,,,,,,,,,Descartes Pascal papers,http://n2t.net/ark:/87292/w9p55dg68,,,MS 091,"Descartes Pascal papers, 1890-1937, undated",https://n2t.net/ark:/87292/w9nb3s,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,"Descartes Pascal Digital Collection contains a selection of images from the glass plate negative collection documenting rural life in Iowa around the turn of the twentieth century, including homesteads, buildings, and the Pascal family.",,,,,,,,,,,,,,,,,,,,Collection,,,,,,,,,,,,Descartes Pascal papers,http://n2t.net/ark:/87292/w9p55dg68,,,
Pascal_0,pascal0,pascal,simple,,0,91_Pascal_2-7.tif,91_pascal_2-7.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pascal/91_pascal_2-7.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pascal/small/91_pascal_2-7_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pascal/thumbs/91_pascal_2-7_th.jpg,,,,,Field with hay stacks,https://n2t.net/ark:/87292/w92z6v,,,MS 091,"Descartes Pascal papers, 1890-1937, undated",https://n2t.net/ark:/87292/w9nb3s,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Pascal, Descartes, 1870-1937",http://id.loc.gov/authorities/names/no2021094549,,,,,,,,,,,This image depicts a field with several hay stacks. Two men are shown; one is at work stacking the wild prairie grass hay.,,zxx,,,,,,"Stacks (Hay, grain, etc.)",http://id.worldcat.org/fast/1131264,Iowa,http://id.worldcat.org/fast/1205835,,,,,,,glass plate negatives,http://vocab.getty.edu/aat/300393160,Image,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,1880/1920,2005-06-17,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Descartes Pascal papers,http://n2t.net/ark:/87292/w9p55dg68,,,reformatted digital
Pascal_1,pascal1,pascal,simple,,0,91_Pascal_4-8.tif,91_pascal_4-8.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pascal/91_pascal_4-8.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pascal/small/91_pascal_4-8_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pascal/thumbs/91_pascal_4-8_th.jpg,,,,,Teacher and students outside a one-room schoolhouse,https://n2t.net/ark:/87292/w9z85n,,,MS 091,"Descartes Pascal papers, 1890-1937, undated",https://n2t.net/ark:/87292/w9nb3s,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Pascal, Descartes, 1870-1937",http://id.loc.gov/authorities/names/no2021094549,,,,,,,,,,,"Teacher and students posed outside a one-room schoolhouse. The children in the front row are dressed in white and are carrying flowers. The tallest woman on the left in the back row is Lucy Pascal, sister of Descartes Pascal. The school is located in Lincoln Township, Pocahontas County, Iowa.",,zxx,,"Pascal, Lucy",,,,Rural schools,http://id.worldcat.org/fast/1101819,Iowa--Pocahontas County;Iowa,http://id.worldcat.org/fast/1220977;http://id.worldcat.org/fast/1205835,,,,,,,glass plate negatives,http://vocab.getty.edu/aat/300393160,Image,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,1890/1900,2005-06-17,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Descartes Pascal papers,http://n2t.net/ark:/87292/w9p55dg68,,,reformatted digital
Pascal_2,pascal2,pascal,simple,,0,91_Pascal_6-10.tif,91_pascal_6-10.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pascal/91_pascal_6-10.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pascal/small/91_pascal_6-10_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pascal/thumbs/91_pascal_6-10_th.jpg,,,,,Farm workers,https://n2t.net/ark:/87292/w9tg2b,,,MS 091,"Descartes Pascal papers, 1890-1937, undated",https://n2t.net/ark:/87292/w9nb3s,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Pascal, Descartes, 1870-1937",http://id.loc.gov/authorities/names/no2021094549,,,,,,,,,,,Farm workers threshing oats and stacking straw. A steam engine is on the left and a separator is on the right. Ten with pitchforks are on top of the straw pile.,,zxx,,,,,,Oats;Threshing,http://id.worldcat.org/fast/1042664;http://id.worldcat.org/fast/1150347,Iowa,http://id.worldcat.org/fast/1205835,,,,,,,glass plate negatives,http://vocab.getty.edu/aat/300393160,Image,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,1880/1920,2005-06-17,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Descartes Pascal papers,http://n2t.net/ark:/87292/w9p55dg68,,,reformatted digital
Pascal_3,pascal3,pascal,simple,,0,91_Pascal_6-15.tif,91_pascal_6-15.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pascal/91_pascal_6-15.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pascal/small/91_pascal_6-15_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pascal/thumbs/91_pascal_6-15_th.jpg,,,,,George Pascal II,https://n2t.net/ark:/87292/w9ps0f,,,MS 091,"Descartes Pascal papers, 1890-1937, undated",https://n2t.net/ark:/87292/w9nb3s,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Pascal, Descartes, 1870-1937",http://id.loc.gov/authorities/names/no2021094549,,,,,,,,,,,"George Pascal II, with a bobsled and team of horses in the winter of 1893-94 at the John Pascal farm near Pocahontas, Iowa.",,zxx,,"Pascal, George",,,,Sleighs,http://id.worldcat.org/fast/1120885,Iowa--Pocahontas County;Iowa,http://id.worldcat.org/fast/1220977;http://id.worldcat.org/fast/1205835,,,,,,,glass plate negatives,http://vocab.getty.edu/aat/300393160,Image,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,1893/1894,2005-06-17,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Descartes Pascal papers,http://n2t.net/ark:/87292/w9p55dg68,,,reformatted digital
Pascal_4,pascal4,pascal,simple,,0,91_Pascal_4-2.tif,91_pascal_4-2.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pascal/91_pascal_4-2.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pascal/small/91_pascal_4-2_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pascal/thumbs/91_pascal_4-2_th.jpg,,,,,Unity School,https://n2t.net/ark:/87292/w9jz7k,,,MS 091,"Descartes Pascal papers, 1890-1937, undated",https://n2t.net/ark:/87292/w9nb3s,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Pascal, Descartes, 1870-1937",http://id.loc.gov/authorities/names/no2021094549,,,,,,,,,,,"Unity School, west of DeWitt, Iowa. Teacher and students posed outside the one-room schoolhouse.",,zxx,,,,,,Rural schools;School children,http://id.worldcat.org/fast/1101819;http://id.worldcat.org/fast/1107147,Iowa--De Witt;Iowa--Clinton County;Iowa,http://id.worldcat.org/fast/1246981;http://id.worldcat.org/fast/1205009;http://id.worldcat.org/fast/1205835,,,,,,,glass plate negatives,http://vocab.getty.edu/aat/300393160,Image,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,1880/1920,2005-06-17,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Descartes Pascal papers,http://n2t.net/ark:/87292/w9p55dg68,,,reformatted digital
Pascal_5,pascal5,pascal,simple,,0,91_Pascal_8-8.tif,91_pascal_8-8.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pascal/91_pascal_8-8.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pascal/small/91_pascal_8-8_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pascal/thumbs/91_pascal_8-8_th.jpg,,,,,Pascal family,https://n2t.net/ark:/87292/w9f850,,,MS 091,"Descartes Pascal papers, 1890-1937, undated",https://n2t.net/ark:/87292/w9nb3s,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Pascal, Descartes, 1870-1937",http://id.loc.gov/authorities/names/no2021094549,,,,,,,,,,,"Pascal family photo. Back row, left to right: Arcana Celestia (Lettie), John, Laura, Descartes (Dan), George, Lucy. Front row, left to right: (Sarah) Celia, Aylett, Lee, George Wourms (father), Talitha Cumi [Cotton] (mother). Celia was Aylett's wife. Lee was their son. The dog's name was Pedro.",,zxx,,Pascal family,,,,,,Iowa,http://id.worldcat.org/fast/1205835,,,,,,,glass plate negatives,http://vocab.getty.edu/aat/300393160,Image,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,1880/1920,2005-06-20,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Descartes Pascal papers,http://n2t.net/ark:/87292/w9p55dg68,,,reformatted digital
Pascal_6,pascal6,pascal,simple,,0,91_Pascal_8-9.tif,91_pascal_8-9.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pascal/91_pascal_8-9.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pascal/small/91_pascal_8-9_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pascal/thumbs/91_pascal_8-9_th.jpg,,,,,Graduation from Cornell College,https://n2t.net/ark:/87292/w99k1b,,,MS 091,"Descartes Pascal papers, 1890-1937, undated",https://n2t.net/ark:/87292/w9nb3s,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Pascal, Descartes, 1870-1937",http://id.loc.gov/authorities/names/no2021094549,,,,,,,,,,,"Graduation from Cornell College, Mt. Vernon, Iowa, 1888. The three women dressed in white dresses are the sisters of Descartes Pascal. From left to right:Lucy, Arcana Celestia (Lettie), and Laura.",,zxx,,"Pascal, Lucy;Pascal, Arcana Celestia;Pascal, Laura",,,,,,Iowa--Linn County;Iowa,http://id.worldcat.org/fast/1212643;http://id.worldcat.org/fast/1205835,,,,,,,glass plate negatives,http://vocab.getty.edu/aat/300393160,Image,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,,2005-06-20,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Descartes Pascal papers,http://n2t.net/ark:/87292/w9p55dg68,,,reformatted digital
Pascal_7,pascal7,pascal,simple,,0,91_Pascal_9-1.tif,91_pascal_9-1.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pascal/91_pascal_9-1.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pascal/small/91_pascal_9-1_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pascal/thumbs/91_pascal_9-1_th.jpg,,,,,Ice skaters,https://n2t.net/ark:/87292/w95s0s,,,MS 091,"Descartes Pascal papers, 1890-1937, undated",https://n2t.net/ark:/87292/w9nb3s,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Pascal, Descartes, 1870-1937",http://id.loc.gov/authorities/names/no2021094549,,,,,,,,,,,"Men and boys on ice skates, possibly on the Mississippi River.",,zxx,,,,,,Skaters,http://id.worldcat.org/fast/1119895,Iowa,http://id.worldcat.org/fast/1205835,,,,,,,glass plate negatives,http://vocab.getty.edu/aat/300393160,Image,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,1880/1920,2005-06-20,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Descartes Pascal papers,http://n2t.net/ark:/87292/w9p55dg68,,,reformatted digital
Pascal_8,pascal8,pascal,simple,,0,91_Pascal_9-2.tif,91_pascal_9-2.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pascal/91_pascal_9-2.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pascal/small/91_pascal_9-2_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/pascal/thumbs/91_pascal_9-2_th.jpg,,,,,Street scene in Grand Mound,https://n2t.net/ark:/87292/w9226w,,,MS 091,"Descartes Pascal papers, 1890-1937, undated",https://n2t.net/ark:/87292/w9nb3s,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Pascal, Descartes, 1870-1937",http://id.loc.gov/authorities/names/no2021094549,,,,,,,,,,,"Street scene in Grand Mound, Iowa. Men and boys stand in front of one residential and several commercial buildings.",,zxx,,,,,,,,Iowa--Clinton County;Iowa--Clinton County;Iowa,http://id.worldcat.org/fast/1205009;http://id.worldcat.org/fast/1205009;http://id.worldcat.org/fast/1205835,,,,,,,glass plate negatives,http://vocab.getty.edu/aat/300393160,Image,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,1900/1920,2005-06-20,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Descartes Pascal papers,http://n2t.net/ark:/87292/w9p55dg68,,,reformatted digital
