legacy_id,objectid,collectionid,display_template,parentid,sequence,pres_file,filename,object_location,image_alt_text,image_small,image_thumb,object_ocr,object_hocr,object_transcript,object_pdf,title,ark,avian_id,uid,call_number,archival_collection,finding_aid_ark,archival_series_title,folder_title,box,folder_num,contributing_institution,contributing_institution_uri,personal_creator,personal_creator_uri,corporate_creator,corporate_creator_uri,interviewee,interviewee_uri,interviewer,interviewer_uri,personal_contributor,personal_contributor_uri,corporate_contributor,corporate_contributor_uri,description,disclaimer,language,chronological_subject,personal_name_subject,personal_name_subject_uri,corporate_name_subject,corporate_name_subject_uri,subject,subject_uri,location,location_uri,latitude,longitude,geodetic_datum,extent,medium,medium_uri,genre,genre_uri,type,format,rights,rightsstatement,date,date_digital,publisher,publisher_uri,issuance,issuance_start,issuance_end,frequency,digital_collection,digital_collection_ark,relation,relation_uri,digital_origin
PetersenChristian_6,petersenchristian6,petersenchristian,complex,,0,,,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/petersenchristian/small/26-2-52_cpartifacts_2004-r017_10-1_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/petersenchristian/thumbs/26-2-52_cpartifacts_2004-r017_10-1_th.jpg,,,,,Fired clay study (painted plaster) of four running buffalo,https://n2t.net/ark:/87292/w98c2b,,,RS 26/2/52,Christian Petersen papers,https://n2t.net/ark:/87292/w94f82,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Petersen, Christian, 1885-1961",http://id.loc.gov/authorities/names/n86071305,,,,,,,,,,,"This painted plaster study of four buffalo running was created by Christian Petersen during his employment by the Public Works of Art Project (PWAP) in Iowa City, Iowa. The study was a preliminary model for a proposed bridgehead sculpture in Des Moines that was never authorized. This was the only small sculpture Petersen created for the PWAP. Cco: Fired clay study (painted plaster)",,zxx,1930s,,,Iowa State University,http://id.loc.gov/authorities/names/n81041658,Engineering;Artists;Sculptors;Sculpture--Technique;American bison,http://id.worldcat.org/fast/910312;http://id.worldcat.org/fast/817559;http://id.worldcat.org/fast/1109473;http://id.worldcat.org/fast/1109509;http://id.worldcat.org/fast/806966,Iowa--Johnson County;Iowa,http://id.worldcat.org/fast/1212216;http://id.worldcat.org/fast/1205835,,,,20.3 x 35.6 x 15.2 cm,objects,http://vocab.getty.edu/aat/300311889,sculpture (visual works),http://vocab.getty.edu/aat/300047090,Physical Object,image/jpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from the rights-holder.",http://rightsstatements.org/vocab/InC/1.0/,1934,2009-07-29,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Christian Petersen collection,https://n2t.net/ark:/87292/w9kd1qk2c,,,reformatted digital; Digitized with Originals photographed by using copy stand and Nikon D3 (2007) connected to Mac Pro running OS X 10.5.6 using Adobe Bridge CS3 2.1.1.9. Captured as RAW and saved as TIFF through Adobe Photoshop CS3 10.0.1
PetersenChristian_0,petersenchristian0,petersenchristian,child,petersenchristian6,1,26-2-52_CPArtifacts_2004-R017_10-1.tif,26-2-52_cpartifacts_2004-r017_10-1.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/petersenchristian/26-2-52_cpartifacts_2004-r017_10-1.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/petersenchristian/small/26-2-52_cpartifacts_2004-r017_10-1_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/petersenchristian/thumbs/26-2-52_cpartifacts_2004-r017_10-1_th.jpg,,,,,Fired clay study (painted plaster) of four running buffalo: top,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,"Top view. This painted plaster study of four buffalo running was created by Christian Petersen during his employment by the Public Works of Art Project (PWAP) in Iowa City, Iowa. The study was a preliminary model for a proposed bridgehead sculpture in Des Moines that was never authorized. This was the only small sculpture Petersen created for the PWAP.",,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,2009-07-29,,,,,,,Christian Petersen collection,https://n2t.net/ark:/87292/w9kd1qk2c,,,reformatted digital; Digitized with Originals photographed by using copy stand and Nikon D3 (2007) connected to Mac Pro running OS X 10.5.6 using Adobe Bridge CS3 2.1.1.9. Captured as RAW and saved as TIFF through Adobe Photoshop CS3 10.0.1
PetersenChristian_1,petersenchristian1,petersenchristian,child,petersenchristian6,2,26-2-52_CPArtifacts_2004-R017_10-2.tif,26-2-52_cpartifacts_2004-r017_10-2.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/petersenchristian/26-2-52_cpartifacts_2004-r017_10-2.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/petersenchristian/small/26-2-52_cpartifacts_2004-r017_10-2_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/petersenchristian/thumbs/26-2-52_cpartifacts_2004-r017_10-2_th.jpg,,,,,Fired clay study (painted plaster) of four running buffalo: front,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,"Front view. This painted plaster study of four buffalo running was created by Christian Petersen during his employment by the Public Works of Art Project (PWAP) in Iowa City, Iowa. The study was a preliminary model for a proposed bridgehead sculpture in Des Moines that was never authorized. This was the only small sculpture Petersen created for the PWAP.",,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,2009-07-29,,,,,,,Christian Petersen collection,https://n2t.net/ark:/87292/w9kd1qk2c,,,reformatted digital; Digitized with Originals photographed by using copy stand and Nikon D3 (2007) connected to Mac Pro running OS X 10.5.6 using Adobe Bridge CS3 2.1.1.9. Captured as RAW and saved as TIFF through Adobe Photoshop CS3 10.0.1
PetersenChristian_2,petersenchristian2,petersenchristian,child,petersenchristian6,3,26-2-52_CPArtifacts_2004-R017_10-3.tif,26-2-52_cpartifacts_2004-r017_10-3.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/petersenchristian/26-2-52_cpartifacts_2004-r017_10-3.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/petersenchristian/small/26-2-52_cpartifacts_2004-r017_10-3_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/petersenchristian/thumbs/26-2-52_cpartifacts_2004-r017_10-3_th.jpg,,,,,Fired clay study (painted plaster) of four running buffalo: left side,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,"Left view. This painted plaster study of four buffalo running was created by Christian Petersen during his employment by the Public Works of Art Project (PWAP) in Iowa City, Iowa. The study was a preliminary model for a proposed bridgehead sculpture in Des Moines that was never authorized. This was the only small sculpture Petersen created for the PWAP.",,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,2009-07-29,,,,,,,Christian Petersen collection,https://n2t.net/ark:/87292/w9kd1qk2c,,,reformatted digital; Digitized with Originals photographed by using copy stand and Nikon D3 (2007) connected to Mac Pro running OS X 10.5.6 using Adobe Bridge CS3 2.1.1.9. Captured as RAW and saved as TIFF through Adobe Photoshop CS3 10.0.1
PetersenChristian_3,petersenchristian3,petersenchristian,child,petersenchristian6,4,26-2-52_CPArtifacts_2004-R017_10-4.tif,26-2-52_cpartifacts_2004-r017_10-4.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/petersenchristian/26-2-52_cpartifacts_2004-r017_10-4.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/petersenchristian/small/26-2-52_cpartifacts_2004-r017_10-4_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/petersenchristian/thumbs/26-2-52_cpartifacts_2004-r017_10-4_th.jpg,,,,,Fired clay study (painted plaster) of four running buffalo: right side,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,"Right view. This painted plaster study of four buffalo running was created by Christian Petersen during his employment by the Public Works of Art Project (PWAP) in Iowa City, Iowa. The study was a preliminary model for a proposed bridgehead sculpture in Des Moines that was never authorized. This was the only small sculpture Petersen created for the PWAP.",,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,2009-07-29,,,,,,,Christian Petersen collection,https://n2t.net/ark:/87292/w9kd1qk2c,,,reformatted digital; Digitized with Originals photographed by using copy stand and Nikon D3 (2007) connected to Mac Pro running OS X 10.5.6 using Adobe Bridge CS3 2.1.1.9. Captured as RAW and saved as TIFF through Adobe Photoshop CS3 10.0.1
PetersenChristian_4,petersenchristian4,petersenchristian,child,petersenchristian6,5,26-2-52_CPArtifacts_2004-R017_10-5.tif,26-2-52_cpartifacts_2004-r017_10-5.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/petersenchristian/26-2-52_cpartifacts_2004-r017_10-5.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/petersenchristian/small/26-2-52_cpartifacts_2004-r017_10-5_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/petersenchristian/thumbs/26-2-52_cpartifacts_2004-r017_10-5_th.jpg,,,,,Fired clay study (painted plaster) of four running buffalo: rear,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,"Rear view. This painted plaster study of four buffalo running was created by Christian Petersen during his employment by the Public Works of Art Project (PWAP) in Iowa City, Iowa. The study was a preliminary model for a proposed bridgehead sculpture in Des Moines that was never authorized. This was the only small sculpture Petersen created for the PWAP.",,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,2009-07-29,,,,,,,Christian Petersen collection,https://n2t.net/ark:/87292/w9kd1qk2c,,,reformatted digital; Digitized with Originals photographed by using copy stand and Nikon D3 (2007) connected to Mac Pro running OS X 10.5.6 using Adobe Bridge CS3 2.1.1.9. Captured as RAW and saved as TIFF through Adobe Photoshop CS3 10.0.1
PetersenChristian_5,petersenchristian5,petersenchristian,child,petersenchristian6,6,26-2-52_CPArtifacts_2004-R017_10-6.tif,26-2-52_cpartifacts_2004-r017_10-6.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/petersenchristian/26-2-52_cpartifacts_2004-r017_10-6.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/petersenchristian/small/26-2-52_cpartifacts_2004-r017_10-6_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/petersenchristian/thumbs/26-2-52_cpartifacts_2004-r017_10-6_th.jpg,,,,,Fired clay study (painted plaster) of four running buffalo: bottom,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,"Bottom view. This painted plaster study of four buffalo running was created by Christian Petersen during his employment by the Public Works of Art Project (PWAP) in Iowa City, Iowa. The study was a preliminary model for a proposed bridgehead sculpture in Des Moines that was never authorized. This was the only small sculpture Petersen created for the PWAP.",,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,2009-07-29,,,,,,,Christian Petersen collection,https://n2t.net/ark:/87292/w9kd1qk2c,,,reformatted digital; Digitized with Originals photographed by using copy stand and Nikon D3 (2007) connected to Mac Pro running OS X 10.5.6 using Adobe Bridge CS3 2.1.1.9. Captured as RAW and saved as TIFF through Adobe Photoshop CS3 10.0.1
PetersenChristian_42,petersenchristian42,petersenchristian,complex,,0,,,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/petersenchristian/small/26-2-52_hellobeautiful_4-16-01_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/petersenchristian/thumbs/26-2-52_hellobeautiful_4-16-01_th.jpg,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/petersenchristian/transcripts/petersenchristian42.txt,https://isuu00001library102stg.blob.core.windows.net/digital-objects/petersenchristian/pdf/petersenchristian42.pdf,George Nerney letter to Christian Petersen,https://n2t.net/ark:/87292/w94g24,,,RS 26/2/52,Christian Petersen papers,https://n2t.net/ark:/87292/w94f82,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Petersen, Christian, 1885-1961",http://id.loc.gov/authorities/names/n86071305,,,,,,,,,,,"Personal letter from Christian Petersen friend, engraver George Nerney (Massachusetts), describing his responses to Hello Beautiful, a printed booklet Petersen created for his daughter Mary Charlotte Petersen. Cco: Written on paper",,eng,1940s,,,,,Artists;Children's stories;Petersen family,http://id.worldcat.org/fast/817559;http://id.worldcat.org/fast/856632;,,,,,,20.3 x 12.7 cm,paper (fiber product),http://vocab.getty.edu/aat/300014109,correspondence,http://vocab.getty.edu/aat/300026877,Text,image/jpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from the rights-holder.",http://rightsstatements.org/vocab/InC/1.0/,1940,2004-06-25,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Christian Petersen collection,https://n2t.net/ark:/87292/w9kd1qk2c,,,reformatted digital; Digitized with Creo iQsmart3; Kodak oXYgen Scan
PetersenChristian_39,petersenchristian39,petersenchristian,child,petersenchristian42,1,26-2-52_HelloBeautiful_4-16-01.tif,26-2-52_hellobeautiful_4-16-01.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/petersenchristian/26-2-52_hellobeautiful_4-16-01.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/petersenchristian/small/26-2-52_hellobeautiful_4-16-01_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/petersenchristian/thumbs/26-2-52_hellobeautiful_4-16-01_th.jpg,,,,,Page 1,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,2004-06-25,,,,,,,Christian Petersen collection,https://n2t.net/ark:/87292/w9kd1qk2c,,,reformatted digital; Digitized with Creo iQsmart3; Kodak oXYgen Scan
PetersenChristian_40,petersenchristian40,petersenchristian,child,petersenchristian42,2,26-2-52_HelloBeautiful_4-16-02.tif,26-2-52_hellobeautiful_4-16-02.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/petersenchristian/26-2-52_hellobeautiful_4-16-02.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/petersenchristian/small/26-2-52_hellobeautiful_4-16-02_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/petersenchristian/thumbs/26-2-52_hellobeautiful_4-16-02_th.jpg,,,,,Page 2,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,2004-06-25,,,,,,,Christian Petersen collection,https://n2t.net/ark:/87292/w9kd1qk2c,,,reformatted digital; Digitized with Creo iQsmart3; Kodak oXYgen Scan
