legacy_id,objectid,collectionid,display_template,parentid,sequence,pres_file,filename,object_location,image_alt_text,image_small,image_thumb,object_ocr,object_hocr,object_transcript,object_pdf,title,ark,avian_id,uid,call_number,archival_collection,finding_aid_ark,archival_series_title,folder_title,box,folder_num,contributing_institution,contributing_institution_uri,personal_creator,personal_creator_uri,corporate_creator,corporate_creator_uri,interviewee,interviewee_uri,interviewer,interviewer_uri,personal_contributor,personal_contributor_uri,corporate_contributor,corporate_contributor_uri,description,disclaimer,language,chronological_subject,personal_name_subject,personal_name_subject_uri,corporate_name_subject,corporate_name_subject_uri,subject,subject_uri,location,location_uri,latitude,longitude,geodetic_datum,extent,medium,medium_uri,genre,genre_uri,type,format,rights,rightsstatement,date,date_digital,publisher,publisher_uri,issuance,issuance_start,issuance_end,frequency,digital_collection,digital_collection_ark,relation,relation_uri,digital_origin
SewEasy_AV03419,seweasyav03419,seweasy,video,,0,https://www.youtube.com/embed/ywBcPdzppCk,https://www.youtube.com/embed/ywBcPdzppCk,https://iastate.aviaryplatform.com/c/SewEasy_AV03419,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/seweasy/small/seweasy_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/seweasy/thumbs/seweasy_th.jpg,,,,,Sew easy. Demonstrating how to measure for your dress,https://n2t.net/ark:/87292/w9fj29j8c,,AV03419,RS 5/4,Iowa State University. Instructional Technology Center records,https://n2t.net/ark:/87292/w9v19t,Films,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,Iowa State College,http://id.loc.gov/authorities/names/n82049648,,,,,"Rea, Lucille E.;Moore, Mary Lou",http://id.loc.gov/authorities/names/no2001099158;http://id.loc.gov/authorities/names/n80107391,"Iowa State College. Extension Service;Home Craft Films;WOI-TV (Television station : Ames, Iowa)",http://id.loc.gov/authorities/names/n86086412;;http://id.loc.gov/authorities/names/no93013516,"Episode of the ""Sew easy"" television program produced by Iowa State College, presented by the Iowa State College Extension Service, and sponsored by Home Craft Films. In this episode host Lucille Rea discusses how to measure for a dress.",,eng,1950s,,,,,Sewing;Sewing--Study and teaching;Dressmakers;Clothing and dress measurements,http://id.worldcat.org/fast/1114124;http://id.worldcat.org/fast/1114137;http://id.worldcat.org/fast/897998;http://id.worldcat.org/fast/864733,,,,,,00:12:57,16mm (photographic film size),http://vocab.getty.edu/aat/300263815,television programs,http://vocab.getty.edu/aat/300263432,Moving Image,video/vnd.youtube.yt,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,1954,2022,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Sew easy videos,https://n2t.net/ark:/87292/w9k931c24,,,reformatted digital; Digitized with LaserGraphics Archive
SewEasy_AV03420,seweasyav03420,seweasy,video,,0,https://www.youtube.com/embed/Zm8sX0PJeQM,https://www.youtube.com/embed/Zm8sX0PJeQM,https://iastate.aviaryplatform.com/c/SewEasy_AV03420,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/seweasy/small/seweasy_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/seweasy/thumbs/seweasy_th.jpg,,,,,Sew easy. Demonstrating pattern types,https://n2t.net/ark:/87292/w99w0947z,,AV03420,RS 5/4,Iowa State University. Instructional Technology Center records,https://n2t.net/ark:/87292/w9v19t,Films,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,Iowa State College,http://id.loc.gov/authorities/names/n82049648,,,,,"Rea, Lucille E.;Moore, Mary Lou",http://id.loc.gov/authorities/names/no2001099158;http://id.loc.gov/authorities/names/n80107391,"Iowa State College. Extension Service;Home Craft Films;WOI-TV (Television station : Ames, Iowa)",http://id.loc.gov/authorities/names/n86086412;;http://id.loc.gov/authorities/names/no93013516,"Episode of the ""Sew easy"" television program produced by Iowa State College, presented by the Iowa State College Extension Service, and sponsored by Home Craft Films. In this episode host Lucille Rea discusses choosing the right pattern type and size. Mrs. Moore models the different types available to find one that fits right.",,eng,1950s,,,,,Sewing;Sewing--Study and teaching;Tailoring--Pattern design;Dressmaking--Pattern design,http://id.worldcat.org/fast/1114124;http://id.worldcat.org/fast/1114137;http://id.worldcat.org/fast/1142081;http://id.worldcat.org/fast/898002,,,,,,00:13:01,16mm (photographic film size),http://vocab.getty.edu/aat/300263815,television programs,http://vocab.getty.edu/aat/300263432,Moving Image,video/vnd.youtube.yt,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,1954,2022,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Sew easy videos,https://n2t.net/ark:/87292/w9k931c24,,,reformatted digital; Digitized with LaserGraphics Archive
SewEasy_AV03421,seweasyav03421,seweasy,video,,0,https://www.youtube.com/embed/_WdxGRsfmCc,https://www.youtube.com/embed/_WdxGRsfmCc,https://iastate.aviaryplatform.com/c/SewEasy_AV03421,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/seweasy/small/seweasy_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/seweasy/thumbs/seweasy_th.jpg,,,,,Sew easy. Demonstrating the selection of patterns and fabric,https://n2t.net/ark:/87292/w9639kb3k,,AV03421,RS 5/4,Iowa State University. Instructional Technology Center records,https://n2t.net/ark:/87292/w9v19t,Films,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,Iowa State College,http://id.loc.gov/authorities/names/n82049648,,,,,"Rea, Lucille E.",http://id.loc.gov/authorities/names/no2001099158,"Iowa State College. Extension Service;Home Craft Films;WOI-TV (Television station : Ames, Iowa)",http://id.loc.gov/authorities/names/n86086412;;http://id.loc.gov/authorities/names/no93013516,"Episode of the ""Sew easy"" television program produced by Iowa State College, presented by the Iowa State College Extension Service, and sponsored by Home Craft Films. In this episode host Lucille Rea discusses making a list of everything needed to complete the dress so that it all can be purchased in one trip and buying the right size and type of pattern.",,eng,1950s,,,,,Sewing;Sewing--Study and teaching;Textile fabrics;Tailoring--Pattern design,http://id.worldcat.org/fast/1114124;http://id.worldcat.org/fast/1114137;http://id.worldcat.org/fast/1148636;http://id.worldcat.org/fast/1142081,,,,,,00:13:14,16mm (photographic film size),http://vocab.getty.edu/aat/300263815,television programs,http://vocab.getty.edu/aat/300263432,Moving Image,video/vnd.youtube.yt,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,1954,2022,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Sew easy videos,https://n2t.net/ark:/87292/w9k931c24,,,reformatted digital; Digitized with LaserGraphics Archive
SewEasy_AV03422,seweasyav03422,seweasy,video,,0,https://www.youtube.com/embed/Bgiby01Z9Q0,https://www.youtube.com/embed/Bgiby01Z9Q0,https://iastate.aviaryplatform.com/c/SewEasy_AV03422,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/seweasy/small/seweasy_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/seweasy/thumbs/seweasy_th.jpg,,,,,Sew easy. Demonstrating how to get fabric ready for sewing,https://n2t.net/ark:/87292/w92b8vh9t,,AV03422,RS 5/4,Iowa State University. Instructional Technology Center records,https://n2t.net/ark:/87292/w9v19t,Films,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,Iowa State College,http://id.loc.gov/authorities/names/n82049648,,,,,"Rea, Lucille E.",http://id.loc.gov/authorities/names/no2001099158,"Iowa State College. Extension Service;Home Craft Films;WOI-TV (Television station : Ames, Iowa)",http://id.loc.gov/authorities/names/n86086412;;http://id.loc.gov/authorities/names/no93013516,"Episode of the ""Sew easy"" television program produced by Iowa State College, presented by the Iowa State College Extension Service, and sponsored by Home Craft Films. In this episode host Lucille Rea discusses getting the fabric ready for sewing and shows what can happen if you do not.",,eng,1950s,,,,,Sewing;Sewing--Study and teaching;Textile fabrics,http://id.worldcat.org/fast/1114124;http://id.worldcat.org/fast/1114137;http://id.worldcat.org/fast/1148636,,,,,,00:07:20,16mm (photographic film size),http://vocab.getty.edu/aat/300263815,television programs,http://vocab.getty.edu/aat/300263432,Moving Image,video/vnd.youtube.yt,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,1954,2022,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Sew easy videos,https://n2t.net/ark:/87292/w9k931c24,,,reformatted digital; Digitized with LaserGraphics Archive
SewEasy_AV03423,seweasyav03423,seweasy,video,,0,https://www.youtube.com/embed/ljHZp4xjCYU,https://www.youtube.com/embed/ljHZp4xjCYU,https://iastate.aviaryplatform.com/c/SewEasy_AV03423,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/seweasy/small/seweasy_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/seweasy/thumbs/seweasy_th.jpg,,,,,Sew easy. Demonstrating how to alter your skirt pattern,https://n2t.net/ark:/87292/w9xk84w4t,,AV03423,RS 5/4,Iowa State University. Instructional Technology Center records,https://n2t.net/ark:/87292/w9v19t,Films,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,Iowa State College,http://id.loc.gov/authorities/names/n82049648,,,,,"Rea, Lucille E.",http://id.loc.gov/authorities/names/no2001099158,"Iowa State College. Extension Service;Home Craft Films;WOI-TV (Television station : Ames, Iowa)",http://id.loc.gov/authorities/names/n86086412;;http://id.loc.gov/authorities/names/no93013516,"Episode of the ""Sew easy"" television program produced by Iowa State College, presented by the Iowa State College Extension Service, and sponsored by Home Craft Films. In this episode host Lucille Rea discusses making alterations to the pattern before cutting out your fabric for your skirt.",,eng,1950s,,,,,Sewing;Sewing--Study and teaching;Skirts;Tailoring--Pattern design;Clothing and dress--Alteration,http://id.worldcat.org/fast/1114124;http://id.worldcat.org/fast/1114137;http://id.worldcat.org/fast/1120167;http://id.worldcat.org/fast/1142081;http://id.worldcat.org/fast/864681,,,,,,00:13:26,16mm (photographic film size),http://vocab.getty.edu/aat/300263815,television programs,http://vocab.getty.edu/aat/300263432,Moving Image,video/vnd.youtube.yt,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,1954,2022,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Sew easy videos,https://n2t.net/ark:/87292/w9k931c24,,,reformatted digital; Digitized with LaserGraphics Archive
SewEasy_AV03424,seweasyav03424,seweasy,video,,0,https://www.youtube.com/embed/qKoz10sDTHY,https://www.youtube.com/embed/qKoz10sDTHY,https://iastate.aviaryplatform.com/c/SewEasy_AV03424,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/seweasy/small/seweasy_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/seweasy/thumbs/seweasy_th.jpg,,,,,Sew easy. Demonstrating how to alter your waist pattern,https://n2t.net/ark:/87292/w9st7f303,,AV03424,RS 5/4,Iowa State University. Instructional Technology Center records,https://n2t.net/ark:/87292/w9v19t,Films,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,Iowa State College,http://id.loc.gov/authorities/names/n82049648,,,,,"Rea, Lucille E.",http://id.loc.gov/authorities/names/no2001099158,"Iowa State College. Extension Service;Home Craft Films;WOI-TV (Television station : Ames, Iowa)",http://id.loc.gov/authorities/names/n86086412;;http://id.loc.gov/authorities/names/no93013516,"Episode of the ""Sew easy"" television program produced by Iowa State College, presented by the Iowa State College Extension Service, and sponsored by Home Craft Films. In this episode host Lucille Rea discusses altering the blouse pattern and matching the alterations to those made to the skirt.",,eng,1950s,,,,,Sewing;Sewing--Study and teaching;Waists (Clothing);Tailoring--Pattern design;Clothing and dress--Alteration,http://id.worldcat.org/fast/1114124;http://id.worldcat.org/fast/1114137;http://id.worldcat.org/fast/1431789;http://id.worldcat.org/fast/1142081;http://id.worldcat.org/fast/864681,,,,,,00:13:30,16mm (photographic film size),http://vocab.getty.edu/aat/300263815,television programs,http://vocab.getty.edu/aat/300263432,Moving Image,video/vnd.youtube.yt,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,1954,2022,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Sew easy videos,https://n2t.net/ark:/87292/w9k931c24,,,reformatted digital; Digitized with LaserGraphics Archive
SewEasy_AV03426,seweasyav03426,seweasy,video,,0,https://www.youtube.com/embed/zXuZWS1mZJ8,https://www.youtube.com/embed/zXuZWS1mZJ8,https://iastate.aviaryplatform.com/c/SewEasy_AV03426,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/seweasy/small/seweasy_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/seweasy/thumbs/seweasy_th.jpg,,,,,Sew easy. Demonstrating how to get ready to sew,https://n2t.net/ark:/87292/w9jd4pv5t,,AV03426,RS 5/4,Iowa State University. Instructional Technology Center records,https://n2t.net/ark:/87292/w9v19t,Films,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,Iowa State College,http://id.loc.gov/authorities/names/n82049648,,,,,"Rea, Lucille E.",http://id.loc.gov/authorities/names/no2001099158,"Iowa State College. Extension Service;Home Craft Films;WOI-TV (Television station : Ames, Iowa)",http://id.loc.gov/authorities/names/n86086412;;http://id.loc.gov/authorities/names/no93013516,"Episode of the ""Sew easy"" television program produced by Iowa State College, presented by the Iowa State College Extension Service, and sponsored by Home Craft Films. In this episode host Lucille Rea discusses the unit method of construction, the layout of the sewing area, and getting your machine ready to sew.",,eng,1950s,,,,,Stitches (Sewing);Pins and needles;Sewing;Thread;Sewing--Equipment and supplies;Sewing machines,http://id.worldcat.org/fast/1133492;http://id.worldcat.org/fast/1064363;http://id.worldcat.org/fast/1114124;http://id.worldcat.org/fast/1150288;http://id.worldcat.org/fast/1114129;http://id.worldcat.org/fast/1114146,,,,,,00:13:37,16mm (photographic film size),http://vocab.getty.edu/aat/300263815,television programs,http://vocab.getty.edu/aat/300263432,Moving Image,video/vnd.youtube.yt,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,1954,2022,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Sew easy videos,https://n2t.net/ark:/87292/w9k931c24,,,reformatted digital; Digitized with LaserGraphics Archive
SewEasy_AV03427,seweasyav03427,seweasy,video,,0,https://www.youtube.com/embed/XyKtYRSthus,https://www.youtube.com/embed/XyKtYRSthus,https://iastate.aviaryplatform.com/c/SewEasy_AV03427,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/seweasy/small/seweasy_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/seweasy/thumbs/seweasy_th.jpg,,,,,Sew easy. Demonstrating how to make your waist front,https://n2t.net/ark:/87292/w9dn4021g,,AV03427,RS 5/4,Iowa State University. Instructional Technology Center records,https://n2t.net/ark:/87292/w9v19t,Films,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,Iowa State College,http://id.loc.gov/authorities/names/n82049648,,,,,"Rea, Lucille E.",http://id.loc.gov/authorities/names/no2001099158,"Iowa State College. Extension Service;Home Craft Films;WOI-TV (Television station : Ames, Iowa)",http://id.loc.gov/authorities/names/n86086412;;http://id.loc.gov/authorities/names/no93013516,"Episode of the ""Sew easy"" television program produced by Iowa State College, presented by the Iowa State College Extension Service, and sponsored by Home Craft Films. In this episode host Lucille Rea discusses starting sewing on the first unit, the direction of sewing, and stay stitching, darts, pleats, and pressing.",,eng,1950s,,,,,Pleats (Sewing);Sewing;Stitches (Sewing),http://id.worldcat.org/fast/1067095;http://id.worldcat.org/fast/1114124;http://id.worldcat.org/fast/1133492,,,,,,00:12:36,16mm (photographic film size),http://vocab.getty.edu/aat/300263815,television programs,http://vocab.getty.edu/aat/300263432,Moving Image,video/vnd.youtube.yt,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,1954,2022,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Sew easy videos,https://n2t.net/ark:/87292/w9k931c24,,,reformatted digital; Digitized with LaserGraphics Archive
SewEasy_AV03429,seweasyav03429,seweasy,video,,0,https://www.youtube.com/embed/1YZIKxW6xH0,https://www.youtube.com/embed/1YZIKxW6xH0,https://iastate.aviaryplatform.com/c/SewEasy_AV03429,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/seweasy/small/seweasy_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/seweasy/thumbs/seweasy_th.jpg,,,,,Sew easy. Demonstrating common seams,https://n2t.net/ark:/87292/w98w3877q,,AV03429,RS 5/4,Iowa State University. Instructional Technology Center records,https://n2t.net/ark:/87292/w9v19t,Films,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,Iowa State College,http://id.loc.gov/authorities/names/n82049648,,,,,"Rea, Lucille E.",http://id.loc.gov/authorities/names/no2001099158,"Iowa State College. Extension Service;Home Craft Films;WOI-TV (Television station : Ames, Iowa)",http://id.loc.gov/authorities/names/n86086412;;http://id.loc.gov/authorities/names/no93013516,"Episode of the ""Sew easy"" television program produced by Iowa State College, presented by the Iowa State College Extension Service, and sponsored by Home Craft Films. In this episode host Lucille Rea discusses joining the front and back units of the blouse, joining the shoulder and neck seams, and pressing and finishing seams.",,eng,1950s,,,,,Seams (Sewing);Sewing,http://id.worldcat.org/fast/1110342;http://id.worldcat.org/fast/1114124,,,,,,00:13:13,16mm (photographic film size),http://vocab.getty.edu/aat/300263815,television programs,http://vocab.getty.edu/aat/300263432,Moving Image,video/vnd.youtube.yt,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,1954,2022,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Sew easy videos,https://n2t.net/ark:/87292/w9k931c24,,,reformatted digital; Digitized with LaserGraphics Archive
SewEasy_AV03431,seweasyav03431,seweasy,video,,0,https://www.youtube.com/embed/I28hnb8Uk40,https://www.youtube.com/embed/I28hnb8Uk40,https://iastate.aviaryplatform.com/c/SewEasy_AV03431,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/seweasy/small/seweasy_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/seweasy/thumbs/seweasy_th.jpg,,,,,Sew easy. Demonstrating how to attach your collar,https://n2t.net/ark:/87292/w9542jf3w,,AV03431,RS 5/4,Iowa State University. Instructional Technology Center records,https://n2t.net/ark:/87292/w9v19t,Films,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,Iowa State College,http://id.loc.gov/authorities/names/n82049648,,,,,"Rea, Lucille E.",http://id.loc.gov/authorities/names/no2001099158,"Iowa State College. Extension Service;Home Craft Films;WOI-TV (Television station : Ames, Iowa)",http://id.loc.gov/authorities/names/n86086412;;http://id.loc.gov/authorities/names/no93013516,"Episode of the ""Sew easy"" television program produced by Iowa State College, presented by the Iowa State College Extension Service, and sponsored by Home Craft Films. In this episode host Lucille Rea discusses joining the finished collar to the neckline.",,eng,1950s,,,,,Collars;Sewing,http://id.worldcat.org/fast/867127;http://id.worldcat.org/fast/1114124,,,,,,00:12:48,16mm (photographic film size),http://vocab.getty.edu/aat/300263815,television programs,http://vocab.getty.edu/aat/300263432,Moving Image,video/vnd.youtube.yt,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,1954,2022,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Sew easy videos,https://n2t.net/ark:/87292/w9k931c24,,,reformatted digital; Digitized with LaserGraphics Archive
