legacy_id,objectid,collectionid,display_template,parentid,sequence,pres_file,filename,object_location,image_alt_text,image_small,image_thumb,object_ocr,object_hocr,object_transcript,object_pdf,title,ark,avian_id,uid,call_number,archival_collection,finding_aid_ark,archival_series_title,folder_title,box,folder_num,contributing_institution,contributing_institution_uri,personal_creator,personal_creator_uri,corporate_creator,corporate_creator_uri,interviewee,interviewee_uri,interviewer,interviewer_uri,personal_contributor,personal_contributor_uri,corporate_contributor,corporate_contributor_uri,description,disclaimer,language,chronological_subject,personal_name_subject,personal_name_subject_uri,corporate_name_subject,corporate_name_subject_uri,subject,subject_uri,location,location_uri,latitude,longitude,geodetic_datum,extent,medium,medium_uri,genre,genre_uri,type,format,rights,rightsstatement,date,date_digital,publisher,publisher_uri,issuance,issuance_start,issuance_end,frequency,digital_collection,digital_collection_ark,relation,relation_uri,digital_origin
Snedecor_18,snedecor18,snedecor,complex,,0,,,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/snedecor/small/13-24-51_snedecor_02-02-01_000_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/snedecor/thumbs/13-24-51_snedecor_02-02-01_000_th.jpg,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/snedecor/transcripts/snedecor18.txt,https://isuu00001library102stg.blob.core.windows.net/digital-objects/snedecor/pdf/snedecor18.pdf,Statistical techniques of forecasting,https://n2t.net/ark:/87292/w99h1n,,,RS 13/24/51,George Waddel Snedecor papers,https://n2t.net/ark:/87292/w9gb7r,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Snedecor, George W. (George Waddel), 1881-1974",http://id.loc.gov/authorities/names/n80044519,,,,,,,,,,,Contains the text to a lecture on using statistics in forecasting given for a lecture course in highway economics.,,eng,,"Snedecor, George W. (George Waddel), 1881-1974",http://id.loc.gov/authorities/names/n80044519,,,Statistics;Forecasting;Automobiles,http://id.worldcat.org/fast/1132103;http://id.worldcat.org/fast/931721;http://id.worldcat.org/fast/823232,Iowa--Story County;Iowa,http://id.worldcat.org/fast/1221286;http://id.worldcat.org/fast/1205835,,,,18 pages; 21.5 x 28 cm,,,lecture notes,http://vocab.getty.edu/aat/300027204,Text,image/jpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC/1.0/,1940,2012-03-21,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,George W. Snedecor collection,https://n2t.net/ark:/87292/w9dr2p826,,,reformatted digital
Snedecor_0,snedecor0,snedecor,child,snedecor18,1,13-24-51_Snedecor_02-02-01_000.tif,13-24-51_snedecor_02-02-01_000.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/snedecor/13-24-51_snedecor_02-02-01_000.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/snedecor/small/13-24-51_snedecor_02-02-01_000_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/snedecor/thumbs/13-24-51_snedecor_02-02-01_000_th.jpg,,,,,Title page,,,,RS 13/24/51,George Waddel Snedecor papers,https://n2t.net/ark:/87292/w9gb7r,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,George W. Snedecor collection,https://n2t.net/ark:/87292/w9dr2p826,,,reformatted digital
Snedecor_1,snedecor1,snedecor,child,snedecor18,2,13-24-51_Snedecor_02-02-01_001.tif,13-24-51_snedecor_02-02-01_001.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/snedecor/13-24-51_snedecor_02-02-01_001.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/snedecor/small/13-24-51_snedecor_02-02-01_001_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/snedecor/thumbs/13-24-51_snedecor_02-02-01_001_th.jpg,,,,,Page 1,,,,RS 13/24/51,George Waddel Snedecor papers,https://n2t.net/ark:/87292/w9gb7r,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,George W. Snedecor collection,https://n2t.net/ark:/87292/w9dr2p826,,,reformatted digital
Snedecor_2,snedecor2,snedecor,child,snedecor18,3,13-24-51_Snedecor_02-02-01_002.tif,13-24-51_snedecor_02-02-01_002.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/snedecor/13-24-51_snedecor_02-02-01_002.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/snedecor/small/13-24-51_snedecor_02-02-01_002_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/snedecor/thumbs/13-24-51_snedecor_02-02-01_002_th.jpg,,,,,Page 2,,,,RS 13/24/51,George Waddel Snedecor papers,https://n2t.net/ark:/87292/w9gb7r,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,George W. Snedecor collection,https://n2t.net/ark:/87292/w9dr2p826,,,reformatted digital
Snedecor_3,snedecor3,snedecor,child,snedecor18,4,13-24-51_Snedecor_02-02-01_003.tif,13-24-51_snedecor_02-02-01_003.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/snedecor/13-24-51_snedecor_02-02-01_003.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/snedecor/small/13-24-51_snedecor_02-02-01_003_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/snedecor/thumbs/13-24-51_snedecor_02-02-01_003_th.jpg,,,,,Page 3,,,,RS 13/24/51,George Waddel Snedecor papers,https://n2t.net/ark:/87292/w9gb7r,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,George W. Snedecor collection,https://n2t.net/ark:/87292/w9dr2p826,,,reformatted digital
Snedecor_4,snedecor4,snedecor,child,snedecor18,5,13-24-51_Snedecor_02-02-01_004.tif,13-24-51_snedecor_02-02-01_004.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/snedecor/13-24-51_snedecor_02-02-01_004.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/snedecor/small/13-24-51_snedecor_02-02-01_004_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/snedecor/thumbs/13-24-51_snedecor_02-02-01_004_th.jpg,,,,,Page 4,,,,RS 13/24/51,George Waddel Snedecor papers,https://n2t.net/ark:/87292/w9gb7r,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,George W. Snedecor collection,https://n2t.net/ark:/87292/w9dr2p826,,,reformatted digital
Snedecor_5,snedecor5,snedecor,child,snedecor18,6,13-24-51_Snedecor_02-02-01_005.tif,13-24-51_snedecor_02-02-01_005.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/snedecor/13-24-51_snedecor_02-02-01_005.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/snedecor/small/13-24-51_snedecor_02-02-01_005_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/snedecor/thumbs/13-24-51_snedecor_02-02-01_005_th.jpg,,,,,Page 5,,,,RS 13/24/51,George Waddel Snedecor papers,https://n2t.net/ark:/87292/w9gb7r,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,George W. Snedecor collection,https://n2t.net/ark:/87292/w9dr2p826,,,reformatted digital
Snedecor_6,snedecor6,snedecor,child,snedecor18,7,13-24-51_Snedecor_02-02-01_006.tif,13-24-51_snedecor_02-02-01_006.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/snedecor/13-24-51_snedecor_02-02-01_006.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/snedecor/small/13-24-51_snedecor_02-02-01_006_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/snedecor/thumbs/13-24-51_snedecor_02-02-01_006_th.jpg,,,,,Page 6,,,,RS 13/24/51,George Waddel Snedecor papers,https://n2t.net/ark:/87292/w9gb7r,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,George W. Snedecor collection,https://n2t.net/ark:/87292/w9dr2p826,,,reformatted digital
Snedecor_7,snedecor7,snedecor,child,snedecor18,8,13-24-51_Snedecor_02-02-01_007.tif,13-24-51_snedecor_02-02-01_007.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/snedecor/13-24-51_snedecor_02-02-01_007.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/snedecor/small/13-24-51_snedecor_02-02-01_007_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/snedecor/thumbs/13-24-51_snedecor_02-02-01_007_th.jpg,,,,,Page 7,,,,RS 13/24/51,George Waddel Snedecor papers,https://n2t.net/ark:/87292/w9gb7r,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,George W. Snedecor collection,https://n2t.net/ark:/87292/w9dr2p826,,,reformatted digital
Snedecor_8,snedecor8,snedecor,child,snedecor18,9,13-24-51_Snedecor_02-02-01_008.tif,13-24-51_snedecor_02-02-01_008.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/snedecor/13-24-51_snedecor_02-02-01_008.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/snedecor/small/13-24-51_snedecor_02-02-01_008_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/snedecor/thumbs/13-24-51_snedecor_02-02-01_008_th.jpg,,,,,Page 8,,,,RS 13/24/51,George Waddel Snedecor papers,https://n2t.net/ark:/87292/w9gb7r,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,George W. Snedecor collection,https://n2t.net/ark:/87292/w9dr2p826,,,reformatted digital
