legacy_id,objectid,collectionid,display_template,parentid,sequence,pres_file,filename,object_location,image_alt_text,image_small,image_thumb,object_ocr,object_hocr,object_transcript,object_pdf,title,ark,avian_id,uid,call_number,archival_collection,finding_aid_ark,archival_series_title,folder_title,box,folder_num,contributing_institution,contributing_institution_uri,personal_creator,personal_creator_uri,corporate_creator,corporate_creator_uri,interviewee,interviewee_uri,interviewer,interviewer_uri,personal_contributor,personal_contributor_uri,corporate_contributor,corporate_contributor_uri,description,disclaimer,language,chronological_subject,personal_name_subject,personal_name_subject_uri,corporate_name_subject,corporate_name_subject_uri,subject,subject_uri,location,location_uri,latitude,longitude,geodetic_datum,extent,medium,medium_uri,genre,genre_uri,type,format,rights,rightsstatement,date,date_digital,publisher,publisher_uri,issuance,issuance_start,issuance_end,frequency,digital_collection,digital_collection_ark,relation,relation_uri,digital_origin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOH_AV205475,sohav205475,soh,audio,,0,RS000-011-007_Lagomarcino.mp3,rs000-011-007_lagomarcino.mp3,https://iastate.aviaryplatform.com/r/rx93776h90,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/soh/small/150_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/soh/small/150_th.jpg,,,,,Interview with Virgil Lagomarcino,https://n2t.net/ark:/87292/w9tt4g067,,AV205475,RS 0/11/7,Iowa State University Sesquicentennial Oral History Project Collection,https://n2t.net/ark:/87292/w91209,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,"Lagomarcino, Virgil",http://id.loc.gov/authorities/names/n95031475,,,,,,,Oral histories conducted as part of Iowa State University's 150th anniversary.,,eng,2000s,,,Iowa State University,http://id.loc.gov/authorities/names/n81041658,Anniversaries,http://id.worldcat.org/fast/809757,Iowa--Ames,http://id.worldcat.org/fast/1207548,,,,1:36:47,compact discs,http://vocab.getty.edu/aat/300028673,oral histories (literary genre),http://vocab.getty.edu/aat/300202595,Sound,audio/mpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from the rights-holder.",http://rightsstatements.org/vocab/InC/1.0/,2006-03-09,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Iowa State University sesquicentennial oral histories,https://n2t.net/ark:/87292/w9zk55t0k,,,reformatted digital
SOH_AV205473,sohav205473,soh,audio,,0,RS000-011-007_JischkeM.mp3,rs000-011-007_jischkem.mp3,https://iastate.aviaryplatform.com/r/319s17t488,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/soh/small/150_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/soh/small/150_th.jpg,,,,,Interview with Martin C. Jischke,https://n2t.net/ark:/87292/w9q23r62d,,AV205473,RS 0/11/7,Iowa State University Sesquicentennial Oral History Project Collection,https://n2t.net/ark:/87292/w91209,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,"Jischke, M. C. (Martin C.)",http://id.loc.gov/authorities/names/n82123164,,,,,,,Oral histories conducted as part of Iowa State University's 150th anniversary.,,eng,2000s,,,Iowa State University,http://id.loc.gov/authorities/names/n81041658,Anniversaries,http://id.worldcat.org/fast/809757,Iowa--Ames,http://id.worldcat.org/fast/1207548,,,,1:26:40,,,oral histories (literary genre),http://vocab.getty.edu/aat/300202595,Sound,audio/mpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from the rights-holder.",http://rightsstatements.org/vocab/InC/1.0/,2006-09-20,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Iowa State University sesquicentennial oral histories,https://n2t.net/ark:/87292/w9zk55t0k,,,reformatted digital
SOH_AV205478,sohav205478,soh,audio,,0,RS000-011-007_Pohlman.mp3,rs000-011-007_pohlman.mp3,https://iastate.aviaryplatform.com/r/ff3kw5817w,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/soh/small/150_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/soh/small/150_th.jpg,,,,,Interview with Lynette Pohlman,https://n2t.net/ark:/87292/w9k931c81,,AV205478,RS 0/11/7,Iowa State University Sesquicentennial Oral History Project Collection,https://n2t.net/ark:/87292/w91209,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,"Pohlman, Lynette L.",http://id.loc.gov/authorities/names/n94030051,,,,,,,Oral histories conducted as part of Iowa State University's 150th anniversary.,,eng,2000s,,,Iowa State University,http://id.loc.gov/authorities/names/n81041658,Anniversaries,http://id.worldcat.org/fast/809757,Iowa--Ames,http://id.worldcat.org/fast/1207548,,,,1:42:27,compact discs,http://vocab.getty.edu/aat/300028673,oral histories (literary genre),http://vocab.getty.edu/aat/300202595,Sound,audio/mpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from the rights-holder.",http://rightsstatements.org/vocab/InC/1.0/,2006-11-18,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Iowa State University sesquicentennial oral histories,https://n2t.net/ark:/87292/w9zk55t0k,,,reformatted digital
SOH_AV205476,sohav205476,soh,audio,,0,RS000-011-007_Medanic.mp3,rs000-011-007_medanic.mp3,https://iastate.aviaryplatform.com/r/d21rf5kz13,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/soh/small/150_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/soh/small/150_th.jpg,,,,,Interview with Kristy Medanic,https://n2t.net/ark:/87292/w9fj29k4w,,AV205476,RS 0/11/7,Iowa State University Sesquicentennial Oral History Project Collection,https://n2t.net/ark:/87292/w91209,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,"Medanic, Kristy",,,,,,,,Oral histories conducted as part of Iowa State University's 150th anniversary.,,eng,2000s,,,Iowa State University,http://id.loc.gov/authorities/names/n81041658,Anniversaries,http://id.worldcat.org/fast/809757,Iowa--Ames,http://id.worldcat.org/fast/1207548,,,,1:14:10,compact discs,http://vocab.getty.edu/aat/300028673,oral histories (literary genre),http://vocab.getty.edu/aat/300202595,Sound,audio/mpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from the rights-holder.",http://rightsstatements.org/vocab/InC/1.0/,2008-01-23,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Iowa State University sesquicentennial oral histories,https://n2t.net/ark:/87292/w9zk55t0k,,,reformatted digital
SOH_AV205474,sohav205474,soh,audio,,0,RS000-011-007_Labode.mp3,rs000-011-007_labode.mp3,https://iastate.aviaryplatform.com/r/3x83j39f38,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/soh/small/150_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/soh/small/150_th.jpg,,,,,Interview with Modupe Labode,https://n2t.net/ark:/87292/w99w0953g,,AV205474,RS 0/11/7,Iowa State University Sesquicentennial Oral History Project Collection,https://n2t.net/ark:/87292/w91209,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,"Labode, Modupe",,,,,,,,Oral histories conducted as part of Iowa State University's 150th anniversary.,,eng,2000s,,,Iowa State University,http://id.loc.gov/authorities/names/n81041658,Anniversaries,http://id.worldcat.org/fast/809757,Iowa--Ames,http://id.worldcat.org/fast/1207548,,,,1:03:30,compact discs,http://vocab.getty.edu/aat/300028673,oral histories (literary genre),http://vocab.getty.edu/aat/300202595,Sound,audio/mpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from the rights-holder.",http://rightsstatements.org/vocab/InC/1.0/,2008-02-04,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Iowa State University sesquicentennial oral histories,https://n2t.net/ark:/87292/w9zk55t0k,,,reformatted digital
SOH_AV205470,sohav205470,soh,audio,,0,RS000-011-007_Ebbers.mp3,rs000-011-007_ebbers.mp3,https://iastate.aviaryplatform.com/r/599z02zk3c,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/soh/small/150_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/soh/small/150_th.jpg,,,,,Interview with Larry Ebbers,https://n2t.net/ark:/87292/w9639kb9g,,AV205470,RS 0/11/7,Iowa State University Sesquicentennial Oral History Project Collection,https://n2t.net/ark:/87292/w91209,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,"Ebbers, Larry H. (Larry Harold)",http://id.loc.gov/authorities/names/no99030447,,,,,,,Oral histories conducted as part of Iowa State University's 150th anniversary.,,eng,2000s,,,Iowa State University,http://id.loc.gov/authorities/names/n81041658,Anniversaries,http://id.worldcat.org/fast/809757,Iowa--Ames,http://id.worldcat.org/fast/1207548,,,,1:24:35,compact discs,http://vocab.getty.edu/aat/300028673,oral histories (literary genre),http://vocab.getty.edu/aat/300202595,Sound,audio/mpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from the rights-holder.",http://rightsstatements.org/vocab/InC/1.0/,2008-03-26,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Iowa State University sesquicentennial oral histories,https://n2t.net/ark:/87292/w9zk55t0k,,,reformatted digital
SOH_AV205469,sohav205469,soh,audio,,0,RS000-011-007_Dolphin.mp3,rs000-011-007_dolphin.mp3,https://iastate.aviaryplatform.com/r/xw47p8v50m,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/soh/small/150_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/soh/small/150_th.jpg,,,,,Interview with Judy Dolphin,https://n2t.net/ark:/87292/w92b8vj5b,,AV205469,RS 0/11/7,Iowa State University Sesquicentennial Oral History Project Collection,https://n2t.net/ark:/87292/w91209,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,"Dolphin, Judy",,,,,,,,Oral histories conducted as part of Iowa State University's 150th anniversary.,,eng,2000s,,,Iowa State University,http://id.loc.gov/authorities/names/n81041658,Anniversaries,http://id.worldcat.org/fast/809757,Iowa--Ames,http://id.worldcat.org/fast/1207548,,,,1:35:04,compact discs,http://vocab.getty.edu/aat/300028673,oral histories (literary genre),http://vocab.getty.edu/aat/300202595,Sound,audio/mpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from the rights-holder.",http://rightsstatements.org/vocab/InC/1.0/,2006-10-21,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Iowa State University sesquicentennial oral histories,https://n2t.net/ark:/87292/w9zk55t0k,,,reformatted digital
SOH_AV205472,sohav205472,soh,audio,,0,RS000-011-007_Grim.mp3,rs000-011-007_grim.mp3,https://iastate.aviaryplatform.com/r/2z12n4zz6t,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/soh/small/150_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/soh/small/150_th.jpg,,,,,Interview with Valerie Grim,https://n2t.net/ark:/87292/w9xk84x0b,,AV205472,RS 0/11/7,Iowa State University Sesquicentennial Oral History Project Collection,https://n2t.net/ark:/87292/w91209,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,"Grim, Valerie",http://id.loc.gov/authorities/names/no2021131832,,,,,,,Oral histories conducted as part of Iowa State University's 150th anniversary.,,eng,2000s,,,Iowa State University,http://id.loc.gov/authorities/names/n81041658,Anniversaries,http://id.worldcat.org/fast/809757,Iowa--Ames,http://id.worldcat.org/fast/1207548,,,,1:27:27,audiocassettes,http://vocab.getty.edu/aat/300028661,oral histories (literary genre),http://vocab.getty.edu/aat/300202595,Sound,audio/mpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from the rights-holder.",http://rightsstatements.org/vocab/InC/1.0/,2006-09-28,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Iowa State University sesquicentennial oral histories,https://n2t.net/ark:/87292/w9zk55t0k,,,reformatted digital
SOH_AV205477,sohav205477,soh,audio,,0,RS000-011-007_Phillips.mp3,rs000-011-007_phillips.mp3,https://iastate.aviaryplatform.com/r/rb6vx06p04,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/soh/small/150_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/soh/small/150_th.jpg,,,,,Interview with Brian Phillips,https://n2t.net/ark:/87292/w9st7f360,,AV205477,RS 0/11/7,Iowa State University Sesquicentennial Oral History Project Collection,https://n2t.net/ark:/87292/w91209,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,"Phillips, Brian",,,,,,,,Oral histories conducted as part of Iowa State University's 150th anniversary.,,eng,21st century,,,Iowa State University,http://id.loc.gov/authorities/names/n81041658,Anniversaries,http://id.worldcat.org/fast/809757,Iowa--Ames,http://id.worldcat.org/fast/1207548,,,,1:14:14,compact discs,http://vocab.getty.edu/aat/300028673,oral histories (literary genre),http://vocab.getty.edu/aat/300202595,Sound,audio/mpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from the rights-holder.",http://rightsstatements.org/vocab/InC/1.0/,,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Iowa State University sesquicentennial oral histories,https://n2t.net/ark:/87292/w9zk55t0k,,,reformatted digital
