legacy_id,objectid,collectionid,display_template,parentid,sequence,pres_file,filename,object_location,image_alt_text,image_small,image_thumb,object_ocr,object_hocr,object_transcript,object_pdf,title,ark,avian_id,uid,call_number,archival_collection,finding_aid_ark,archival_series_title,folder_title,box,folder_num,contributing_institution,contributing_institution_uri,personal_creator,personal_creator_uri,corporate_creator,corporate_creator_uri,interviewee,interviewee_uri,interviewer,interviewer_uri,personal_contributor,personal_contributor_uri,corporate_contributor,corporate_contributor_uri,description,disclaimer,language,chronological_subject,personal_name_subject,personal_name_subject_uri,corporate_name_subject,corporate_name_subject_uri,subject,subject_uri,location,location_uri,latitude,longitude,geodetic_datum,extent,medium,medium_uri,genre,genre_uri,type,format,rights,rightsstatement,date,date_digital,publisher,publisher_uri,issuance,issuance_start,issuance_end,frequency,digital_collection,digital_collection_ark,relation,relation_uri,digital_origin
underwood_3,underwood3,underwood,complex,,0,,,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/underwood/small/0694b001f001i019_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/underwood/thumbs/0694b001f001i019_th.jpg,,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/underwood/pdf/underwood3.pdf,"Letter from Sally to ""My Dear Sister,"" April 26, 1857",https://n2t.net/ark:/87292/w9h01b,,,MS 694,Sarah Underwood papers,https://n2t.net/ark:/87292/w9qr25,,,1,1,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Underwood, Sarah, 1829-1883",http://id.loc.gov/authorities/names/no2021119432,,,,,,,,,,,"Letter from Sarah Underwood to her sister, April 26, 1857. Sarah comments on the irregularity of local church services, the value of keeping work horses, steamboats on the Mississippi, her appreciation for a birthday gift, and the ethnic makeup of the area around Princeton, Iowa.",,eng,1850s,"Underwood, Sarah, 1829-1883",http://id.loc.gov/authorities/names/no2021119432,,,Church attendance;Families;Frontier and pioneer life;Immigrants;Draft horses,http://id.worldcat.org/fast/860591;http://id.worldcat.org/fast/1728849;http://id.worldcat.org/fast/935370;http://id.worldcat.org/fast/967712;http://id.worldcat.org/fast/897335,Iowa--Princeton;Iowa--Scott County,http://id.worldcat.org/fast/1238695;http://id.worldcat.org/fast/1212225,,,,3 pages,,,correspondence,http://vocab.getty.edu/aat/300026877,Text,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,1857-04-26,2017-10-13,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Sarah Underwood papers,http://n2t.net/ark:/87292/w91c1tf6f,,,reformatted digital
underwood_0,underwood0,underwood,child,underwood3,1,0694b001f001i019.tif,0694b001f001i019.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/underwood/0694b001f001i019.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/underwood/small/0694b001f001i019_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/underwood/thumbs/0694b001f001i019_th.jpg,,,,,Page 1,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Sarah Underwood papers,http://n2t.net/ark:/87292/w91c1tf6f,,,reformatted digital
underwood_1,underwood1,underwood,child,underwood3,2,0694b001f001i020.tif,0694b001f001i020.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/underwood/0694b001f001i020.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/underwood/small/0694b001f001i020_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/underwood/thumbs/0694b001f001i020_th.jpg,,,,,Page 2,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Sarah Underwood papers,http://n2t.net/ark:/87292/w91c1tf6f,,,reformatted digital
underwood_2,underwood2,underwood,child,underwood3,3,0694b001f001i021.tif,0694b001f001i021.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/underwood/0694b001f001i021.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/underwood/small/0694b001f001i021_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/underwood/thumbs/0694b001f001i021_th.jpg,,,,,Page 3,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Sarah Underwood papers,http://n2t.net/ark:/87292/w91c1tf6f,,,reformatted digital
underwood_7,underwood7,underwood,complex,,0,,,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/underwood/small/0694b001f001i005_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/underwood/thumbs/0694b001f001i005_th.jpg,,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/underwood/pdf/underwood7.pdf,"Letter from Sarah to ""Dear Sister Ann,"" February 15, 1857",https://n2t.net/ark:/87292/w9c88h,,,MS 694,Sarah Underwood papers,https://n2t.net/ark:/87292/w9qr25,,,1,1,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Underwood, Sarah, 1829-1883",http://id.loc.gov/authorities/names/no2021119432,,,,,,,,,,,"Letter from Sarah Underwood to her sister Ann E. Tefft, February 15, 1857 describing flooding and stormy weather, how the local windmill is constructed, and criticisms of the local schools. She also recounts trying corn meal and requests more letters from her family.",,eng,1850s,"Underwood, Sarah, 1829-1883;Tefft, Ann E.",http://id.loc.gov/authorities/names/no2021119432;,,,Weather;Windmills;Rural schools;Frontier and pioneer life;Corn meal,http://id.worldcat.org/fast/1173087;http://id.worldcat.org/fast/1175762;http://id.worldcat.org/fast/1101819;http://id.worldcat.org/fast/935370;http://id.worldcat.org/fast/879378,Iowa--Princeton;Iowa--Scott County,http://id.worldcat.org/fast/1238695;http://id.worldcat.org/fast/1212225,,,,3 pages,,,correspondence,http://vocab.getty.edu/aat/300026877,Text,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,1857-02-15,2017-10-13,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Sarah Underwood papers,http://n2t.net/ark:/87292/w91c1tf6f,,,reformatted digital
underwood_4,underwood4,underwood,child,underwood7,1,0694b001f001i005.tif,0694b001f001i005.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/underwood/0694b001f001i005.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/underwood/small/0694b001f001i005_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/underwood/thumbs/0694b001f001i005_th.jpg,,,,,Page 1,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Sarah Underwood papers,http://n2t.net/ark:/87292/w91c1tf6f,,,reformatted digital
underwood_5,underwood5,underwood,child,underwood7,2,0694b001f001i006.tif,0694b001f001i006.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/underwood/0694b001f001i006.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/underwood/small/0694b001f001i006_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/underwood/thumbs/0694b001f001i006_th.jpg,,,,,Page 2,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Sarah Underwood papers,http://n2t.net/ark:/87292/w91c1tf6f,,,reformatted digital
underwood_6,underwood6,underwood,child,underwood7,3,0694b001f001i007.tif,0694b001f001i007.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/underwood/0694b001f001i007.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/underwood/small/0694b001f001i007_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/underwood/thumbs/0694b001f001i007_th.jpg,,,,,Page 3,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Sarah Underwood papers,http://n2t.net/ark:/87292/w91c1tf6f,,,reformatted digital
underwood_12,underwood12,underwood,complex,,0,,,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/underwood/small/0694b001f001i001_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/underwood/thumbs/0694b001f001i001_th.jpg,,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/underwood/pdf/underwood12.pdf,"Letter from Sarah to ""My Dear Sisters,"" January 18, 1857",https://n2t.net/ark:/87292/w97g6k,,,MS 694,Sarah Underwood papers,https://n2t.net/ark:/87292/w9qr25,,,1,1,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Underwood, Sarah, 1829-1883",http://id.loc.gov/authorities/names/no2021119432,,,,,,,,,,,"Letter from Sarah Underwood to her sisters Ann E. Tefft and Mae Tefft, January 18, 1857. The letter includes descriptions of where she is now living including transportation on the Mississippi, sleighing, various items she is sending such as plants and a curtain sample, a local barn raising, and conversations with her neighbor Jesse about courting her sisters.",,eng,1850s,"Underwood, Sarah, 1829-1883;Tefft, Ann E.;Tefft, Mae",http://id.loc.gov/authorities/names/no2021119432;;,,,Families;Loneliness;Frontier and pioneer life;Courtship;Mississippi River,http://id.worldcat.org/fast/1728849;http://id.worldcat.org/fast/1002214;http://id.worldcat.org/fast/935370;http://id.worldcat.org/fast/881873;http://id.worldcat.org/fast/1240238,Iowa--Princeton;Iowa--Scott County,http://id.worldcat.org/fast/1238695;http://id.worldcat.org/fast/1212225,,,,4 pages,,,correspondence,http://vocab.getty.edu/aat/300026877,Text,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,1857-01-18,2017-10-13,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Sarah Underwood papers,http://n2t.net/ark:/87292/w91c1tf6f,,,reformatted digital
underwood_8,underwood8,underwood,child,underwood12,1,0694b001f001i001.tif,0694b001f001i001.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/underwood/0694b001f001i001.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/underwood/small/0694b001f001i001_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/underwood/thumbs/0694b001f001i001_th.jpg,,,,,Page 1,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Sarah Underwood papers,http://n2t.net/ark:/87292/w91c1tf6f,,,reformatted digital
