legacy_id,objectid,collectionid,display_template,parentid,sequence,pres_file,filename,object_location,image_alt_text,image_small,image_thumb,object_ocr,object_hocr,object_transcript,object_pdf,title,ark,avian_id,uid,call_number,archival_collection,finding_aid_ark,archival_series_title,folder_title,box,folder_num,contributing_institution,contributing_institution_uri,personal_creator,personal_creator_uri,corporate_creator,corporate_creator_uri,interviewee,interviewee_uri,interviewer,interviewer_uri,personal_contributor,personal_contributor_uri,corporate_contributor,corporate_contributor_uri,description,disclaimer,language,chronological_subject,personal_name_subject,personal_name_subject_uri,corporate_name_subject,corporate_name_subject_uri,subject,subject_uri,location,location_uri,latitude,longitude,geodetic_datum,extent,medium,medium_uri,genre,genre_uri,type,format,rights,rightsstatement,date,date_digital,publisher,publisher_uri,issuance,issuance_start,issuance_end,frequency,digital_collection,digital_collection_ark,relation,relation_uri,digital_origin
VFTL_AV205450,vftlav205450,vftl,audio,,0,MS0638_Bevin_Nancy_1.mp3;MS0638_Bevin_Nancy_2.mp3,ms0638_bevin_nancy_1.mp3;ms0638_bevin_nancy_2.mp3,https://iastate.aviaryplatform.com/r/cc0tq5s871,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/vftl/small/nfo_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/vftl/thumbs/nfo_th.jpg,,,,,Interview with Nancy Bevin,https://n2t.net/ark:/87292/w91r6n67d,,AV205450,MS 638,Voices from the Land: An Oral Documentation Project in Iowa records,https://n2t.net/ark:/87292/w9sv02,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,"Bevin, Nancy",,"Zanish-Belcher, Tanya",http://id.loc.gov/authorities/names/n2013043118,,,,,"Oral history project done in conjunction with the Iowa Women's Archives at the University of Iowa documenting women involved in agriculture and farming, with the exception of Fred Kirschenmann.",,eng,2000s,,,Iowa State University,http://id.loc.gov/authorities/names/n81041658,Women in agriculture;Women farmers;Family farms;Farm life;Rural women,http://id.worldcat.org/fast/1177815;http://id.worldcat.org/fast/1177667;http://id.worldcat.org/fast/920335;http://id.worldcat.org/fast/921052;http://id.worldcat.org/fast/1101883,Iowa--Ames,http://id.worldcat.org/fast/1207548,,,,01:39:36,MP3,http://vocab.getty.edu/aat/300312047,oral histories (literary genre),http://vocab.getty.edu/aat/300202595,Sound,audio/mpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from the rights-holder.",http://rightsstatements.org/vocab/InC/1.0/,2001-01-25,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Voices from the land oral histories,https://n2t.net/ark:/87292/w95h7c115,,,reformatted digital
VFTL_AV205462,vftlav205462,vftl,audio,,0,MS0638_Mathey_Lu_2000-10-27_1.mp3;MS0638_Mathey_Lu_2000-10-27_2.mp3,ms0638_mathey_lu_2000-10-27_1.mp3;ms0638_mathey_lu_2000-10-27_2.mp3,https://iastate.aviaryplatform.com/r/086348h65r,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/vftl/small/nfo_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/vftl/thumbs/nfo_th.jpg,,,,,Interview with Lu Mathey,https://n2t.net/ark:/87292/w9x05xk2b,,AV205462,MS 638,Voices from the Land: An Oral Documentation Project in Iowa records,https://n2t.net/ark:/87292/w9sv02,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,"Mathey, Lu",,"Malkmus, Dorothy",,,,,,"Oral history project done in conjunction with the Iowa Women's Archives at the University of Iowa documenting women involved in agriculture and farming, with the exception of Fred Kirschenmann.",,eng,2000s,,,Iowa State University,http://id.loc.gov/authorities/names/n81041658,Women in agriculture;Women farmers;Family farms;Farm life;Rural women,http://id.worldcat.org/fast/1177815;http://id.worldcat.org/fast/1177667;http://id.worldcat.org/fast/920335;http://id.worldcat.org/fast/921052;http://id.worldcat.org/fast/1101883,Iowa--Ames,http://id.worldcat.org/fast/1207548,,,,01:28:32,MP3,http://vocab.getty.edu/aat/300312047,oral histories (literary genre),http://vocab.getty.edu/aat/300202595,Sound,audio/mpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from the rights-holder.",http://rightsstatements.org/vocab/InC/1.0/,2000-10-27,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Voices from the land oral histories,https://n2t.net/ark:/87292/w95h7c115,,,reformatted digital
VFTL_AV205456,vftlav205456,vftl,audio,,0,MS0638_Griffieon_LaVon_2000-05-30.mp3,ms0638_griffieon_lavon_2000-05-30.mp3,https://iastate.aviaryplatform.com/r/n00zp3wx8s,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/vftl/small/nfo_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/vftl/thumbs/nfo_th.jpg,,,,,Interview with LaVon Griffieon,https://n2t.net/ark:/87292/w9s756r8z,,AV205456,MS 638,Voices from the Land: An Oral Documentation Project in Iowa records,https://n2t.net/ark:/87292/w9sv02,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,"Griffieon, LaVon",,"Zanish-Belcher, Tanya",http://id.loc.gov/authorities/names/n2013043118,,,,,"Oral history project done in conjunction with the Iowa Women's Archives at the University of Iowa documenting women involved in agriculture and farming, with the exception of Fred Kirschenmann.",,eng,2000s,,,Iowa State University,http://id.loc.gov/authorities/names/n81041658,Women in agriculture;Women farmers;Family farms;Farm life;Rural women,http://id.worldcat.org/fast/1177815;http://id.worldcat.org/fast/1177667;http://id.worldcat.org/fast/920335;http://id.worldcat.org/fast/921052;http://id.worldcat.org/fast/1101883,Iowa--Ames,http://id.worldcat.org/fast/1207548,,,,01:01:37,MP3,http://vocab.getty.edu/aat/300312047,oral histories (literary genre),http://vocab.getty.edu/aat/300202595,Sound,audio/mpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from the rights-holder.",http://rightsstatements.org/vocab/InC/1.0/,2000-05-30,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Voices from the land oral histories,https://n2t.net/ark:/87292/w95h7c115,,,reformatted digital
VFTL_AV205457,vftlav205457,vftl,audio,,0,MS0638_Hendrickson_Ruby__Erickson_2007-08-16.mp3,ms0638_hendrickson_ruby__erickson_2007-08-16.mp3,https://iastate.aviaryplatform.com/r/t727942038,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/vftl/small/nfo_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/vftl/thumbs/nfo_th.jpg,,,,,Interview with Ruby Erickson Hendrickson,https://n2t.net/ark:/87292/w9ng4gz4t,,AV205457,MS 638,Voices from the Land: An Oral Documentation Project in Iowa records,https://n2t.net/ark:/87292/w9sv02,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,"Hendrickson, Ruby Erickson",,"Eells, Jean",,,,,,"Oral history project done in conjunction with the Iowa Women's Archives at the University of Iowa documenting women involved in agriculture and farming, with the exception of Fred Kirschenmann.",,eng,2000s,,,Iowa State University,http://id.loc.gov/authorities/names/n81041658,Women in agriculture;Women farmers;Family farms;Farm life;Rural women,http://id.worldcat.org/fast/1177815;http://id.worldcat.org/fast/1177667;http://id.worldcat.org/fast/920335;http://id.worldcat.org/fast/921052;http://id.worldcat.org/fast/1101883,Iowa--Ames,http://id.worldcat.org/fast/1207548,,,,00:30:50,MP3,http://vocab.getty.edu/aat/300312047,oral histories (literary genre),http://vocab.getty.edu/aat/300202595,Sound,audio/mpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from the rights-holder.",http://rightsstatements.org/vocab/InC/1.0/,2007-08-16,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Voices from the land oral histories,https://n2t.net/ark:/87292/w95h7c115,,,reformatted digital
VFTL_AV205449,vftlav205449,vftl,audio,,0,MS0638_Barker_Patti_2000-01-03.mp3,ms0638_barker_patti_2000-01-03.mp3,https://iastate.aviaryplatform.com/r/h98z89377w,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/vftl/small/nfo_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/vftl/thumbs/nfo_th.jpg,,,,,Interview with Patti Barker,https://n2t.net/ark:/87292/w9hq3s51k,,AV205449,MS 638,Voices from the Land: An Oral Documentation Project in Iowa records,https://n2t.net/ark:/87292/w9sv02,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,"Barker, Patti",,"Malkmus, Dorothy",,,,,,"Oral history project done in conjunction with the Iowa Women's Archives at the University of Iowa documenting women involved in agriculture and farming, with the exception of Fred Kirschenmann.",,eng,2000s,,,Iowa State University,http://id.loc.gov/authorities/names/n81041658,Women in agriculture;Women farmers;Family farms;Farm life;Rural women,http://id.worldcat.org/fast/1177815;http://id.worldcat.org/fast/1177667;http://id.worldcat.org/fast/920335;http://id.worldcat.org/fast/921052;http://id.worldcat.org/fast/1101883,Iowa--Ames,http://id.worldcat.org/fast/1207548,,,,00:27:46,MP3,http://vocab.getty.edu/aat/300312047,oral histories (literary genre),http://vocab.getty.edu/aat/300202595,Sound,audio/mpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from the rights-holder.",http://rightsstatements.org/vocab/InC/1.0/,2001-01-03,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Voices from the land oral histories,https://n2t.net/ark:/87292/w95h7c115,,,reformatted digital
VFTL_AV205452,vftlav205452,vftl,audio,,0,MS0638_Ferrari_Genevieve_2007-08-25.mp3,ms0638_ferrari_genevieve_2007-08-25.mp3,https://iastate.aviaryplatform.com/r/9p2w37mn1b,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/vftl/small/nfo_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/vftl/thumbs/nfo_th.jpg,,,,,Interview with Genevieve Ferrari,https://n2t.net/ark:/87292/w9d21rr02,,AV205452,MS 638,Voices from the Land: An Oral Documentation Project in Iowa records,https://n2t.net/ark:/87292/w9sv02,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,"Ferrari, Genevieve",,"Eells, Jean",,,,,,"Oral history project done in conjunction with the Iowa Women's Archives at the University of Iowa documenting women involved in agriculture and farming, with the exception of Fred Kirschenmann.",,eng,2000s,,,Iowa State University,http://id.loc.gov/authorities/names/n81041658,Women in agriculture;Women farmers;Family farms;Farm life;Rural women,http://id.worldcat.org/fast/1177815;http://id.worldcat.org/fast/1177667;http://id.worldcat.org/fast/920335;http://id.worldcat.org/fast/921052;http://id.worldcat.org/fast/1101883,Iowa--Ames,http://id.worldcat.org/fast/1207548,,,,00:44:46,MP3,http://vocab.getty.edu/aat/300312047,oral histories (literary genre),http://vocab.getty.edu/aat/300202595,Sound,audio/mpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from the rights-holder.",http://rightsstatements.org/vocab/InC/1.0/,2007-08-25,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Voices from the land oral histories,https://n2t.net/ark:/87292/w95h7c115,,,reformatted digital
VFTL_AV205445,vftlav205445,vftl,audio,,0,MS0638_Ahrens_Donna_2002.mp3,ms0638_ahrens_donna_2002.mp3,https://iastate.aviaryplatform.com/r/t72794202z,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/vftl/small/nfo_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/vftl/thumbs/nfo_th.jpg,,,,,Interview with Donna Ahrens,https://n2t.net/ark:/87292/w98911x6p,,AV205445,MS 638,Voices from the Land: An Oral Documentation Project in Iowa records,https://n2t.net/ark:/87292/w9sv02,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,"Ahrens, Donna",,"Eells, Jean",,,,,,"Oral history project done in conjunction with the Iowa Women's Archives at the University of Iowa documenting women involved in agriculture and farming, with the exception of Fred Kirschenmann.",,eng,2000s,,,Iowa State University,http://id.loc.gov/authorities/names/n81041658,Women in agriculture;Women farmers;Family farms;Farm life;Rural women,http://id.worldcat.org/fast/1177815;http://id.worldcat.org/fast/1177667;http://id.worldcat.org/fast/920335;http://id.worldcat.org/fast/921052;http://id.worldcat.org/fast/1101883,Iowa--Ames,http://id.worldcat.org/fast/1207548,,,,00:41:47,MP3,http://vocab.getty.edu/aat/300312047,oral histories (literary genre),http://vocab.getty.edu/aat/300202595,Sound,audio/mpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from the rights-holder.",http://rightsstatements.org/vocab/InC/1.0/,2007-08-09,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Voices from the land oral histories,https://n2t.net/ark:/87292/w95h7c115,,,reformatted digital
VFTL_AV205448,vftlav205448,vftl,audio,,0,MS0638_Anderson_Maxine_2007-08-09.mp3,ms0638_anderson_maxine_2007-08-09.mp3,https://iastate.aviaryplatform.com/r/3x83j39v28,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/vftl/small/nfo_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/vftl/thumbs/nfo_th.jpg,,,,,Interview with Maxine Anderson,https://n2t.net/ark:/87292/w94j0b41g,,AV205448,MS 638,Voices from the Land: An Oral Documentation Project in Iowa records,https://n2t.net/ark:/87292/w9sv02,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,"Anderson, Maxine",,"Eells, Jean",,,,,,"Oral history project done in conjunction with the Iowa Women's Archives at the University of Iowa documenting women involved in agriculture and farming, with the exception of Fred Kirschenmann.",,eng,2000s,,,Iowa State University,http://id.loc.gov/authorities/names/n81041658,Women in agriculture;Women farmers;Family farms;Farm life;Rural women,http://id.worldcat.org/fast/1177815;http://id.worldcat.org/fast/1177667;http://id.worldcat.org/fast/920335;http://id.worldcat.org/fast/921052;http://id.worldcat.org/fast/1101883,Iowa--Ames,http://id.worldcat.org/fast/1207548,,,,00:32:57,MP3,http://vocab.getty.edu/aat/300312047,oral histories (literary genre),http://vocab.getty.edu/aat/300202595,Sound,audio/mpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from the rights-holder.",http://rightsstatements.org/vocab/InC/1.0/,2007-08-09,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Voices from the land oral histories,https://n2t.net/ark:/87292/w95h7c115,,,reformatted digital
VFTL_AV205455,vftlav205455,vftl,audio,,0,MS0638_Gradwell_Shelley.mp3,ms0638_gradwell_shelley.mp3,https://iastate.aviaryplatform.com/r/wp9t14vf1f,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/vftl/small/nfo_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/vftl/thumbs/nfo_th.jpg,,,,,Interview with Shelley Gradwell,https://n2t.net/ark:/87292/w90r9m975,,AV205455,MS 638,Voices from the Land: An Oral Documentation Project in Iowa records,https://n2t.net/ark:/87292/w9sv02,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,"Gradwell, Shelley",,"Eells, Jean",,,,,,"Oral history project done in conjunction with the Iowa Women's Archives at the University of Iowa documenting women involved in agriculture and farming, with the exception of Fred Kirschenmann.",,eng,2000s,,,Iowa State University,http://id.loc.gov/authorities/names/n81041658,Women in agriculture;Women farmers;Family farms;Farm life;Rural women,http://id.worldcat.org/fast/1177815;http://id.worldcat.org/fast/1177667;http://id.worldcat.org/fast/920335;http://id.worldcat.org/fast/921052;http://id.worldcat.org/fast/1101883,Iowa--Ames,http://id.worldcat.org/fast/1207548,,,,00:57:43,MP3,http://vocab.getty.edu/aat/300312047,oral histories (literary genre),http://vocab.getty.edu/aat/300202595,Sound,audio/mpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from the rights-holder.",http://rightsstatements.org/vocab/InC/1.0/,2001,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Voices from the land oral histories,https://n2t.net/ark:/87292/w95h7c115,,,reformatted digital
VFTL_AV205459,vftlav205459,vftl,audio,,0,MS0638_Kirschenmann_Fred.mp3,ms0638_kirschenmann_fred.mp3,https://iastate.aviaryplatform.com/r/td9n29px4x,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/vftl/small/nfo_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/vftl/thumbs/nfo_th.jpg,,,,,Interview with Frederick L. Kirshenmann,https://n2t.net/ark:/87292/w9w08wp23,,AV205459,MS 638,Voices from the Land: An Oral Documentation Project in Iowa records,https://n2t.net/ark:/87292/w9sv02,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,"Kirshenmann, Frederick L.",,"Eells, Jean",,,,,,"Oral history project done in conjunction with the Iowa Women's Archives at the University of Iowa documenting women involved in agriculture and farming, with the exception of Fred Kirschenmann.",,eng,2000s,,,Iowa State University,http://id.loc.gov/authorities/names/n81041658,Women in agriculture;Women farmers;Family farms;Farm life;Rural women,http://id.worldcat.org/fast/1177815;http://id.worldcat.org/fast/1177667;http://id.worldcat.org/fast/920335;http://id.worldcat.org/fast/921052;http://id.worldcat.org/fast/1101883,Iowa--Ames,http://id.worldcat.org/fast/1207548,,,,00:52:18,MP3,http://vocab.getty.edu/aat/300312047,oral histories (literary genre),http://vocab.getty.edu/aat/300202595,Sound,audio/mpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from the rights-holder.",http://rightsstatements.org/vocab/InC/1.0/,2001,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Voices from the land oral histories,https://n2t.net/ark:/87292/w95h7c115,,,reformatted digital
VFTL_AV205464,vftlav205464,vftl,audio,,0,MS0638_Schaa.mp3,ms0638_schaa.mp3,https://iastate.aviaryplatform.com/r/bv79s1m09b,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/vftl/small/nfo_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/vftl/thumbs/nfo_th.jpg,,,,,Interview with Dolores Schaa,https://n2t.net/ark:/87292/w9r785v8q,,AV205464,MS 638,Voices from the Land: An Oral Documentation Project in Iowa records,https://n2t.net/ark:/87292/w9sv02,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,"Schaa, Dolores",,"Eells, Jean",,,,,,"Oral history project done in conjunction with the Iowa Women's Archives at the University of Iowa documenting women involved in agriculture and farming, with the exception of Fred Kirschenmann.",,eng,2000s,,,Iowa State University,http://id.loc.gov/authorities/names/n81041658,Women in agriculture;Women farmers;Family farms;Farm life;Rural women,http://id.worldcat.org/fast/1177815;http://id.worldcat.org/fast/1177667;http://id.worldcat.org/fast/920335;http://id.worldcat.org/fast/921052;http://id.worldcat.org/fast/1101883,Iowa--Ames,http://id.worldcat.org/fast/1207548,,,,01:16:11,MP3,http://vocab.getty.edu/aat/300312047,oral histories (literary genre),http://vocab.getty.edu/aat/300202595,Sound,audio/mpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from the rights-holder.",http://rightsstatements.org/vocab/InC/1.0/,2006-09-26,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Voices from the land oral histories,https://n2t.net/ark:/87292/w95h7c115,,,reformatted digital
VFTL_AV205626,vftlav205626,vftl,audio,,0,MS0638_Yunclas.mp3,ms0638_yunclas.mp3,https://iastate.aviaryplatform.com/r/hd7np1x03s,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/vftl/small/nfo_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/vftl/thumbs/nfo_th.jpg,,,,,Interview with Patty Yunclas,https://n2t.net/ark:/87292/w9mg7g25g,,AV205626,MS 638,Voices from the Land: An Oral Documentation Project in Iowa records,https://n2t.net/ark:/87292/w9sv02,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,"Yunclas, Patty",,"Eells, Jean",,,,,,"Oral history project done in conjunction with the Iowa Women's Archives at the University of Iowa documenting women involved in agriculture and farming, with the exception of Fred Kirschenmann.",,eng,2000s,,,Iowa State University,http://id.loc.gov/authorities/names/n81041658,Women in agriculture;Women farmers;Family farms;Farm life;Rural women,http://id.worldcat.org/fast/1177815;http://id.worldcat.org/fast/1177667;http://id.worldcat.org/fast/920335;http://id.worldcat.org/fast/921052;http://id.worldcat.org/fast/1101883,Iowa--Ames,http://id.worldcat.org/fast/1207548,,,,01:06:20,MP3,http://vocab.getty.edu/aat/300312047,oral histories (literary genre),http://vocab.getty.edu/aat/300202595,Sound,audio/mpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from the rights-holder.",http://rightsstatements.org/vocab/InC/1.0/,2006-08-09,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Voices from the land oral histories,https://n2t.net/ark:/87292/w95h7c115,,,reformatted digital
