legacy_id,objectid,collectionid,display_template,parentid,sequence,pres_file,filename,object_location,image_alt_text,image_small,image_thumb,object_ocr,object_hocr,object_transcript,object_pdf,title,ark,avian_id,uid,call_number,archival_collection,finding_aid_ark,archival_series_title,folder_title,box,folder_num,contributing_institution,contributing_institution_uri,personal_creator,personal_creator_uri,corporate_creator,corporate_creator_uri,interviewee,interviewee_uri,interviewer,interviewer_uri,personal_contributor,personal_contributor_uri,corporate_contributor,corporate_contributor_uri,description,disclaimer,language,chronological_subject,personal_name_subject,personal_name_subject_uri,corporate_name_subject,corporate_name_subject_uri,subject,subject_uri,location,location_uri,latitude,longitude,geodetic_datum,extent,medium,medium_uri,genre,genre_uri,type,format,rights,rightsstatement,date,date_digital,publisher,publisher_uri,issuance,issuance_start,issuance_end,frequency,digital_collection,digital_collection_ark,relation,relation_uri,digital_origin
VICOH_AV205861,vicohav205861,vicoh,audio,,0,RS000-017-005_Contreras.mp3,rs000-017-005_contreras.mp3,https://iastate.aviaryplatform.com/r/qf8jd4q80t,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/vicoh/small/vic_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/vicoh/thumbs/vic_th.jpg,,,,,Interview with Tiffany Contreras,https://n2t.net/ark:/87292/w9319s85h,,AV205861,RS 0/17/6,"Voices in Color Oral History Project, 2018-2020",https://n2t.net/ark:/87292/w94t6f910,"Lambda Theta Alpha, 2019",,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,"Contreras, Tiffany",,"Reyes, Cynthia",,,,,,"Stories of communities of color have traditionally been relegated to the margins of America's historical narrative and the documentation of communities of color have not been acquired and preserved by America's cultural heritage institutions. When these stories are told, they are typically told from the perspective of Whiteness, continuing to silence these communities. This pattern holds true at Predominantly White Institutions (PWIs) like Iowa State University, where discussions of racial and ethnic diversity in Iowa State's history typically focus on Jack Trice and George Washington Carver. Individuals of color at predominantly white institutions face a multitude of obstacles at predominantly white institutions, including Iowa State University. These obstacles include feelings of isolation, a lack of mentorship, devaluing of minority-centered research, among others. Communities of color (such as organizations and culture centers) provide spaces for students, faculty, and staff of color to build relationships, network, gain mentors, and provide an outlet for race-based frustrations. These communities are central to improving the quality of life for many racial and ethnic minorities at PWIs. This project seeks to document, preserve, and share the history of racial and ethnic diversity at Iowa State University through the lens of communities of color, inserting these stories into Iowa State's historical narrative and archival record.",,eng,,,,Lambda Theta Alpha. Zeta Gamma Chapter (Iowa State University),http://id.loc.gov/authorities/names/no2023060992,"Hispanic Americans--Societies, etc.",http://id.worldcat.org/fast/957603,Iowa--Ames,http://id.worldcat.org/fast/1207548,,,,00:28:27,MP3,http://vocab.getty.edu/aat/300312047,oral histories (literary genre),http://vocab.getty.edu/aat/300202595,Sound,audio/mpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from the rights-holder.",http://rightsstatements.org/vocab/InC/1.0/,2019-02-23,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Voices in Color oral histories,https://n2t.net/ark:/87292/w96t0h29w,,,born digital
VICOH_AV205863,vicohav205863,vicoh,audio,,0,RS000-017-005_GarciaJulissa.mp3,rs000-017-005_garciajulissa.mp3,https://iastate.aviaryplatform.com/r/n29p26qm2q,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/vicoh/small/vic_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/vicoh/thumbs/vic_th.jpg,,,,,Interview with Julissa Garcia,https://n2t.net/ark:/87292/w9z892n10,,AV205863,RS 0/17/6,"Voices in Color Oral History Project, 2018-2020",https://n2t.net/ark:/87292/w94t6f910,"Lambda Theta Alpha, 2019",,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,"Garcia, Julissa",,"McGill, Anonia",,,,,,"Stories of communities of color have traditionally been relegated to the margins of America's historical narrative and the documentation of communities of color have not been acquired and preserved by America's cultural heritage institutions. When these stories are told, they are typically told from the perspective of Whiteness, continuing to silence these communities. This pattern holds true at Predominantly White Institutions (PWIs) like Iowa State University, where discussions of racial and ethnic diversity in Iowa State's history typically focus on Jack Trice and George Washington Carver. Individuals of color at predominantly white institutions face a multitude of obstacles at predominantly white institutions, including Iowa State University. These obstacles include feelings of isolation, a lack of mentorship, devaluing of minority-centered research, among others. Communities of color (such as organizations and culture centers) provide spaces for students, faculty, and staff of color to build relationships, network, gain mentors, and provide an outlet for race-based frustrations. These communities are central to improving the quality of life for many racial and ethnic minorities at PWIs. This project seeks to document, preserve, and share the history of racial and ethnic diversity at Iowa State University through the lens of communities of color, inserting these stories into Iowa State's historical narrative and archival record.",,eng,,,,Lambda Theta Alpha. Zeta Gamma Chapter (Iowa State University),http://id.loc.gov/authorities/names/no2023060992,"Hispanic Americans--Societies, etc.",http://id.worldcat.org/fast/957603,Iowa--Ames,http://id.worldcat.org/fast/1207548,,,,00:25:20,MP3,http://vocab.getty.edu/aat/300312047,oral histories (literary genre),http://vocab.getty.edu/aat/300202595,Sound,audio/mpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from the rights-holder.",http://rightsstatements.org/vocab/InC/1.0/,2019-03-01,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Voices in Color oral histories,https://n2t.net/ark:/87292/w96t0h29w,,,born digital
VICOH_AV205858,vicohav205858,vicoh,audio,,0,RS000-017-005_Castillo.mp3,rs000-017-005_castillo.mp3,https://iastate.aviaryplatform.com/r/qj77s7jc70,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/vicoh/small/vic_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/vicoh/thumbs/vic_th.jpg,,,,,Interview with Summer Castillo,https://n2t.net/ark:/87292/w9th8bt77,,AV205858,RS 0/17/6,"Voices in Color Oral History Project, 2018-2020",https://n2t.net/ark:/87292/w94t6f910,"Lambda Theta Alpha, 2019",,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,"Castillo, Summer",,"Acheson, Rachael",http://id.loc.gov/authorities/names/no2017115404,,,,,"Stories of communities of color have traditionally been relegated to the margins of America's historical narrative and the documentation of communities of color have not been acquired and preserved by America's cultural heritage institutions. When these stories are told, they are typically told from the perspective of Whiteness, continuing to silence these communities. This pattern holds true at Predominantly White Institutions (PWIs) like Iowa State University, where discussions of racial and ethnic diversity in Iowa State's history typically focus on Jack Trice and George Washington Carver. Individuals of color at predominantly white institutions face a multitude of obstacles at predominantly white institutions, including Iowa State University. These obstacles include feelings of isolation, a lack of mentorship, devaluing of minority-centered research, among others. Communities of color (such as organizations and culture centers) provide spaces for students, faculty, and staff of color to build relationships, network, gain mentors, and provide an outlet for race-based frustrations. These communities are central to improving the quality of life for many racial and ethnic minorities at PWIs. This project seeks to document, preserve, and share the history of racial and ethnic diversity at Iowa State University through the lens of communities of color, inserting these stories into Iowa State's historical narrative and archival record.",,eng,,,,Lambda Theta Alpha. Zeta Gamma Chapter (Iowa State University),http://id.loc.gov/authorities/names/no2023060992,"Hispanic Americans--Societies, etc.",http://id.worldcat.org/fast/957603,Iowa--Ames,http://id.worldcat.org/fast/1207548,,,,00:20:49,MP3,http://vocab.getty.edu/aat/300312047,oral histories (literary genre),http://vocab.getty.edu/aat/300202595,Sound,audio/mpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from the rights-holder.",http://rightsstatements.org/vocab/InC/1.0/,2019-04-16,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Voices in Color oral histories,https://n2t.net/ark:/87292/w96t0h29w,,,born digital
VICOH_AV205859,vicohav205859,vicoh,audio,,0,RS000-017-005_Chavez.mp3,rs000-017-005_chavez.mp3,https://iastate.aviaryplatform.com/r/ks6j09wn4m,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/vicoh/small/vic_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/vicoh/thumbs/vic_th.jpg,,,,,Interview with Elizabeth Chavez,https://n2t.net/ark:/87292/w9pr7n13h,,AV205859,RS 0/17/6,"Voices in Color Oral History Project, 2018-2020",https://n2t.net/ark:/87292/w94t6f910,"Lambda Theta Alpha, 2019",,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,"Chavez, Elizabeth",,"McGill, Anonia",,,,,,"Stories of communities of color have traditionally been relegated to the margins of America's historical narrative and the documentation of communities of color have not been acquired and preserved by America's cultural heritage institutions. When these stories are told, they are typically told from the perspective of Whiteness, continuing to silence these communities. This pattern holds true at Predominantly White Institutions (PWIs) like Iowa State University, where discussions of racial and ethnic diversity in Iowa State's history typically focus on Jack Trice and George Washington Carver. Individuals of color at predominantly white institutions face a multitude of obstacles at predominantly white institutions, including Iowa State University. These obstacles include feelings of isolation, a lack of mentorship, devaluing of minority-centered research, among others. Communities of color (such as organizations and culture centers) provide spaces for students, faculty, and staff of color to build relationships, network, gain mentors, and provide an outlet for race-based frustrations. These communities are central to improving the quality of life for many racial and ethnic minorities at PWIs. This project seeks to document, preserve, and share the history of racial and ethnic diversity at Iowa State University through the lens of communities of color, inserting these stories into Iowa State's historical narrative and archival record.",,eng,,,,Lambda Theta Alpha. Zeta Gamma Chapter (Iowa State University),http://id.loc.gov/authorities/names/no2023060992,"Hispanic Americans--Societies, etc.",http://id.worldcat.org/fast/957603,Iowa--Ames,http://id.worldcat.org/fast/1207548,,,,00:14:38,MP3,http://vocab.getty.edu/aat/300312047,oral histories (literary genre),http://vocab.getty.edu/aat/300202595,Sound,audio/mpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from the rights-holder.",http://rightsstatements.org/vocab/InC/1.0/,2019-03-01,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Voices in Color oral histories,https://n2t.net/ark:/87292/w96t0h29w,,,born digital
VICOH_AV205862,vicohav205862,vicoh,audio,,0,RS000-017-005_GarciaDenise.mp3,rs000-017-005_garciadenise.mp3,https://iastate.aviaryplatform.com/r/kh0dv1d844,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/vicoh/small/vic_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/vicoh/thumbs/vic_th.jpg,,,,,Interview with Denise Garcia,https://n2t.net/ark:/87292/w9k06x692,,AV205862,RS 0/17/6,"Voices in Color Oral History Project, 2018-2020",https://n2t.net/ark:/87292/w94t6f910,"Lambda Theta Alpha, 2019",,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,"Garcia, Denise",,"Acheson, Rachael",http://id.loc.gov/authorities/names/no2017115404,,,,,"Stories of communities of color have traditionally been relegated to the margins of America's historical narrative and the documentation of communities of color have not been acquired and preserved by America's cultural heritage institutions. When these stories are told, they are typically told from the perspective of Whiteness, continuing to silence these communities. This pattern holds true at Predominantly White Institutions (PWIs) like Iowa State University, where discussions of racial and ethnic diversity in Iowa State's history typically focus on Jack Trice and George Washington Carver. Individuals of color at predominantly white institutions face a multitude of obstacles at predominantly white institutions, including Iowa State University. These obstacles include feelings of isolation, a lack of mentorship, devaluing of minority-centered research, among others. Communities of color (such as organizations and culture centers) provide spaces for students, faculty, and staff of color to build relationships, network, gain mentors, and provide an outlet for race-based frustrations. These communities are central to improving the quality of life for many racial and ethnic minorities at PWIs. This project seeks to document, preserve, and share the history of racial and ethnic diversity at Iowa State University through the lens of communities of color, inserting these stories into Iowa State's historical narrative and archival record.",,eng,,,,Lambda Theta Alpha. Zeta Gamma Chapter (Iowa State University),http://id.loc.gov/authorities/names/no2023060992,"Hispanic Americans--Societies, etc.",http://id.worldcat.org/fast/957603,Iowa--Ames,http://id.worldcat.org/fast/1207548,,,,00:12:15,MP3,http://vocab.getty.edu/aat/300312047,oral histories (literary genre),http://vocab.getty.edu/aat/300202595,Sound,audio/mpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from the rights-holder.",http://rightsstatements.org/vocab/InC/1.0/,2019-02-22,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Voices in Color oral histories,https://n2t.net/ark:/87292/w96t0h29w,,,born digital
VICOH_AV205857,vicohav205857,vicoh,audio,,0,RS000-017-005_Woods.mp3,rs000-017-005_woods.mp3,https://iastate.aviaryplatform.com/r/6688g8fw45,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/vicoh/small/bw_crop_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/vicoh/thumbs/bw_crop_th.jpg,,,,,Interview with Barbara Woods,https://n2t.net/ark:/87292/w9f766d6s,,AV205857,RS 0/17/6,"Voices in Color Oral History Project, 2018-2020",https://n2t.net/ark:/87292/w94t6f910,"Black Faculty and Staff Association (BFSA), 2018-2020",,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,"Woods, Barbara",,"Jackson, Petrina",,,,,,"Stories of communities of color have traditionally been relegated to the margins of America's historical narrative and the documentation of communities of color have not been acquired and preserved by America's cultural heritage institutions. When these stories are told, they are typically told from the perspective of Whiteness, continuing to silence these communities. This pattern holds true at Predominantly White Institutions (PWIs) like Iowa State University, where discussions of racial and ethnic diversity in Iowa State's history typically focus on Jack Trice and George Washington Carver. Individuals of color at predominantly white institutions face a multitude of obstacles at predominantly white institutions, including Iowa State University. These obstacles include feelings of isolation, a lack of mentorship, devaluing of minority-centered research, among others. Communities of color (such as organizations and culture centers) provide spaces for students, faculty, and staff of color to build relationships, network, gain mentors, and provide an outlet for race-based frustrations. These communities are central to improving the quality of life for many racial and ethnic minorities at PWIs. This project seeks to document, preserve, and share the history of racial and ethnic diversity at Iowa State University through the lens of communities of color, inserting these stories into Iowa State's historical narrative and archival record.",,eng,,,,Black Faculty and Staff Association (Iowa State University),http://id.loc.gov/authorities/names/no2022120840,"African Americans--Societies, etc.",http://id.worldcat.org/fast/799705,Iowa--Ames,http://id.worldcat.org/fast/1207548,,,,00:40:31,MP3,http://vocab.getty.edu/aat/300312047,oral histories (literary genre),http://vocab.getty.edu/aat/300202595,Sound,audio/mpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from the rights-holder.",http://rightsstatements.org/vocab/InC/1.0/,2018-10-23,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Voices in Color oral histories,https://n2t.net/ark:/87292/w96t0h29w,,,born digital
VICOH_AV205865,vicohav205865,vicoh,audio,,0,RS000-017-005_Reyes.mp3,rs000-017-005_reyes.mp3,https://iastate.aviaryplatform.com/r/qv3bz61v0b,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/vicoh/small/vic_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/vicoh/thumbs/vic_th.jpg,,,,,Interview with Cynthia Reyes,https://n2t.net/ark:/87292/w99k4603d,,AV205865,RS 0/17/6,"Voices in Color Oral History Project, 2018-2020",https://n2t.net/ark:/87292/w94t6f910,"Lambda Theta Alpha, 2019",,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,"Reyes, Cynthia",,"Acheson, Rachael",http://id.loc.gov/authorities/names/no2017115404,,,,,"Stories of communities of color have traditionally been relegated to the margins of America's historical narrative and the documentation of communities of color have not been acquired and preserved by America's cultural heritage institutions. When these stories are told, they are typically told from the perspective of Whiteness, continuing to silence these communities. This pattern holds true at Predominantly White Institutions (PWIs) like Iowa State University, where discussions of racial and ethnic diversity in Iowa State's history typically focus on Jack Trice and George Washington Carver. Individuals of color at predominantly white institutions face a multitude of obstacles at predominantly white institutions, including Iowa State University. These obstacles include feelings of isolation, a lack of mentorship, devaluing of minority-centered research, among others. Communities of color (such as organizations and culture centers) provide spaces for students, faculty, and staff of color to build relationships, network, gain mentors, and provide an outlet for race-based frustrations. These communities are central to improving the quality of life for many racial and ethnic minorities at PWIs. This project seeks to document, preserve, and share the history of racial and ethnic diversity at Iowa State University through the lens of communities of color, inserting these stories into Iowa State's historical narrative and archival record.",,eng,,,,Lambda Theta Alpha. Zeta Gamma Chapter (Iowa State University),http://id.loc.gov/authorities/names/no2023060992,"Hispanic Americans--Societies, etc.",http://id.worldcat.org/fast/957603,Iowa--Ames,http://id.worldcat.org/fast/1207548,,,,00:33:14,MP3,http://vocab.getty.edu/aat/300312047,oral histories (literary genre),http://vocab.getty.edu/aat/300202595,Sound,audio/mpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from the rights-holder.",http://rightsstatements.org/vocab/InC/1.0/,2019-02-08,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Voices in Color oral histories,https://n2t.net/ark:/87292/w96t0h29w,,,born digital
VICOH_AV205855,vicohav205855,vicoh,audio,,0,RS000-017-005_Rollins.mp3,rs000-017-005_rollins.mp3,https://iastate.aviaryplatform.com/r/wm13n2146j,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/vicoh/small/ar_crop_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/vicoh/thumbs/ar_crop_th.jpg,,,,,Interview with Anita Rollins,https://n2t.net/ark:/87292/w95t3g59n,,AV205855,RS 0/17/6,"Voices in Color Oral History Project, 2018-2020",https://n2t.net/ark:/87292/w94t6f910,"Black Faculty and Staff Association (BFSA), 2018-2020",,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,"Rollins, Anita",,"Jackson, Petrina",,,,,,"Stories of communities of color have traditionally been relegated to the margins of America's historical narrative and the documentation of communities of color have not been acquired and preserved by America's cultural heritage institutions. When these stories are told, they are typically told from the perspective of Whiteness, continuing to silence these communities. This pattern holds true at Predominantly White Institutions (PWIs) like Iowa State University, where discussions of racial and ethnic diversity in Iowa State's history typically focus on Jack Trice and George Washington Carver. Individuals of color at predominantly white institutions face a multitude of obstacles at predominantly white institutions, including Iowa State University. These obstacles include feelings of isolation, a lack of mentorship, devaluing of minority-centered research, among others. Communities of color (such as organizations and culture centers) provide spaces for students, faculty, and staff of color to build relationships, network, gain mentors, and provide an outlet for race-based frustrations. These communities are central to improving the quality of life for many racial and ethnic minorities at PWIs. This project seeks to document, preserve, and share the history of racial and ethnic diversity at Iowa State University through the lens of communities of color, inserting these stories into Iowa State's historical narrative and archival record.",,eng,,,,Black Faculty and Staff Association (Iowa State University),http://id.loc.gov/authorities/names/no2022120840,"African Americans--Societies, etc.",http://id.worldcat.org/fast/799705,Iowa--Ames,http://id.worldcat.org/fast/1207548,,,,00:28:13,MP3,http://vocab.getty.edu/aat/300312047,oral histories (literary genre),http://vocab.getty.edu/aat/300202595,Sound,audio/mpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from the rights-holder.",http://rightsstatements.org/vocab/InC/1.0/,2018-10-26,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Voices in Color oral histories,https://n2t.net/ark:/87292/w96t0h29w,,,born digital
VICOH_AV206281,vicohav206281,vicoh,audio,,0,RS000-017-005_McGill.mp3,rs000-017-005_mcgill.mp3,https://iastate.aviaryplatform.com/r/7m03x84197,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/vicoh/small/vic_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/vicoh/thumbs/vic_th.jpg,,,,,Interview with Antonia McGill,https://n2t.net/ark:/87292/w9222rc69,,AV206281,RS 0/17/6,"Voices in Color Oral History Project, 2018-2020",https://n2t.net/ark:/87292/w94t6f910,"Lambda Theta Alpha, 2019",,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,"McGill, Antonia",,"Acheson, Rachael",http://id.loc.gov/authorities/names/no2017115404,,,,,"Stories of communities of color have traditionally been relegated to the margins of America's historical narrative and the documentation of communities of color have not been acquired and preserved by America's cultural heritage institutions. When these stories are told, they are typically told from the perspective of Whiteness, continuing to silence these communities. This pattern holds true at Predominantly White Institutions (PWIs) like Iowa State University, where discussions of racial and ethnic diversity in Iowa State's history typically focus on Jack Trice and George Washington Carver. Individuals of color at predominantly white institutions face a multitude of obstacles at predominantly white institutions, including Iowa State University. These obstacles include feelings of isolation, a lack of mentorship, devaluing of minority-centered research, among others. Communities of color (such as organizations and culture centers) provide spaces for students, faculty, and staff of color to build relationships, network, gain mentors, and provide an outlet for race-based frustrations. These communities are central to improving the quality of life for many racial and ethnic minorities at PWIs. This project seeks to document, preserve, and share the history of racial and ethnic diversity at Iowa State University through the lens of communities of color, inserting these stories into Iowa State's historical narrative and archival record.",,eng,,,,Lambda Theta Alpha. Zeta Gamma Chapter (Iowa State University),http://id.loc.gov/authorities/names/no2023060992,"Hispanic Americans--Societies, etc.",http://id.worldcat.org/fast/957603,Iowa--Ames,http://id.worldcat.org/fast/1207548,,,,00:20:16,MP3,http://vocab.getty.edu/aat/300312047,oral histories (literary genre),http://vocab.getty.edu/aat/300202595,Sound,audio/mpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from the rights-holder.",http://rightsstatements.org/vocab/InC/1.0/,2019-02-08,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Voices in Color oral histories,https://n2t.net/ark:/87292/w96t0h29w,,,born digital
VICOH_AV205866,vicohav205866,vicoh,audio,,0,RS000-017-005_Rios.mp3,rs000-017-005_rios.mp3,https://iastate.aviaryplatform.com/r/dr2p55dx1f,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/vicoh/small/vic_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/vicoh/thumbs/vic_th.jpg,,,,,Interview with Carina Rios,https://n2t.net/ark:/87292/w9x921r19,,AV205866,RS 0/17/6,"Voices in Color Oral History Project, 2018-2020",https://n2t.net/ark:/87292/w94t6f910,"Lambda Theta Alpha, 2019",,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,"Rios, Carina",,"Acheson, Rachael",http://id.loc.gov/authorities/names/no2017115404,,,,,"Stories of communities of color have traditionally been relegated to the margins of America's historical narrative and the documentation of communities of color have not been acquired and preserved by America's cultural heritage institutions. When these stories are told, they are typically told from the perspective of Whiteness, continuing to silence these communities. This pattern holds true at Predominantly White Institutions (PWIs) like Iowa State University, where discussions of racial and ethnic diversity in Iowa State's history typically focus on Jack Trice and George Washington Carver. Individuals of color at predominantly white institutions face a multitude of obstacles at predominantly white institutions, including Iowa State University. These obstacles include feelings of isolation, a lack of mentorship, devaluing of minority-centered research, among others. Communities of color (such as organizations and culture centers) provide spaces for students, faculty, and staff of color to build relationships, network, gain mentors, and provide an outlet for race-based frustrations. These communities are central to improving the quality of life for many racial and ethnic minorities at PWIs. This project seeks to document, preserve, and share the history of racial and ethnic diversity at Iowa State University through the lens of communities of color, inserting these stories into Iowa State's historical narrative and archival record.",,eng,,,,Lambda Theta Alpha. Zeta Gamma Chapter (Iowa State University),http://id.loc.gov/authorities/names/no2023060992,"Hispanic Americans--Societies, etc.",http://id.worldcat.org/fast/957603,Iowa--Ames,http://id.worldcat.org/fast/1207548,,,,00:15:26,MP3,http://vocab.getty.edu/aat/300312047,oral histories (literary genre),http://vocab.getty.edu/aat/300202595,Sound,audio/mpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from the rights-holder.",http://rightsstatements.org/vocab/InC/1.0/,2019-04-16,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Voices in Color oral histories,https://n2t.net/ark:/87292/w96t0h29w,,,born digital
