legacy_id,objectid,collectionid,display_template,parentid,sequence,pres_file,filename,object_location,image_alt_text,image_small,image_thumb,object_ocr,object_hocr,object_transcript,object_pdf,title,ark,avian_id,uid,call_number,archival_collection,finding_aid_ark,archival_series_title,folder_title,box,folder_num,contributing_institution,contributing_institution_uri,personal_creator,personal_creator_uri,corporate_creator,corporate_creator_uri,interviewee,interviewee_uri,interviewer,interviewer_uri,personal_contributor,personal_contributor_uri,corporate_contributor,corporate_contributor_uri,description,disclaimer,language,chronological_subject,personal_name_subject,personal_name_subject_uri,corporate_name_subject,corporate_name_subject_uri,subject,subject_uri,location,location_uri,latitude,longitude,geodetic_datum,extent,medium,medium_uri,genre,genre_uri,type,format,rights,rightsstatement,date,date_digital,publisher,publisher_uri,issuance,issuance_start,issuance_end,frequency,digital_collection,digital_collection_ark,relation,relation_uri,digital_origin
WCOH_MS0650_AV205390,wcohms0650av205390,wcoh,audio,,0,AV205390_Allison_Ann_Aldrich_1_a.mp3; AV205390_Allison_Ann_Aldrich_1_b.mp3; AV205390_Allison_Ann_Aldrich_2_a.mp3,av205390_allison_ann_aldrich_1_a.mp3; av205390_allison_ann_aldrich_1_b.mp3; av205390_allison_ann_aldrich_2_a.mp3,https://iastate.aviaryplatform.com/c/MS0650_AV205390,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/wcoh/small/wise_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/wcoh/thumbs/wise_th.jpg,,,,,Interview with Allison Ann Aldrich,https://n2t.net/ark:/87292/w9hq3s452,,,MS 650,Women in Chemistry Oral History Collection,https://n2t.net/ark:/87292/w9n19z,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,"Aldrich, Allison Ann",,,,,,Archives of Women in Science and Engineering (Iowa State University),http://id.loc.gov/authorities/names/no2003052660,Part of an oral history project sponsored by the Archives of Women in Science and Engineering (Iowa State University Library) and focused on women who have devoted their careers to the study of chemistry in the post-World War II era.,,eng,,,,,,Chemistry; Scientists; Women chemists; Women in chemistry,http://id.worldcat.org/fast/853344; http://id.worldcat.org/fast/1108895; http://id.worldcat.org/fast/1177392; http://id.worldcat.org/fast/1177839,Iowa--Ames,http://id.worldcat.org/fast/1207548,,,,3 audio files,MP3,http://vocab.getty.edu/aat/300312047,oral histories (literary genre),http://vocab.getty.edu/aat/300202595,Sound,audio/mpeg,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Women in chemistry oral histories,https://n2t.net/ark:/87292/w9qv3c905,,,reformatted digital
WCOH_MS0650_AV205391,wcohms0650av205391,wcoh,audio,,0,AV205391_Denise_Barnes_and_Ella_Davis_a.mp3; AV205391_Denise_Barnes_and_Ella_Davis_b.mp3,av205391_denise_barnes_and_ella_davis_a.mp3; av205391_denise_barnes_and_ella_davis_b.mp3,https://iastate.aviaryplatform.com/c/MS0650_AV205391,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/wcoh/small/wise_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/wcoh/thumbs/wise_th.jpg,,,,,Interview with Denise Barnes and Ella Davis,https://n2t.net/ark:/87292/w9d21rq4j,,,MS 650,Women in Chemistry Oral History Collection,https://n2t.net/ark:/87292/w9n19z,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,"Barnes, Denise; Davis, Ella",http://id.loc.gov/authorities/names/nb2010008792,,,,,Archives of Women in Science and Engineering (Iowa State University),http://id.loc.gov/authorities/names/no2003052660,Part of an oral history project sponsored by the Archives of Women in Science and Engineering (Iowa State University Library) and focused on women who have devoted their careers to the study of chemistry in the post-World War II era.,,eng,,,,,,Chemistry; Scientists; Women chemists; Women in chemistry,http://id.worldcat.org/fast/853344; http://id.worldcat.org/fast/1108895; http://id.worldcat.org/fast/1177392; http://id.worldcat.org/fast/1177839,Iowa--Ames,http://id.worldcat.org/fast/1207548,,,,2 audio files,MP3,http://vocab.getty.edu/aat/300312047,oral histories (literary genre),http://vocab.getty.edu/aat/300202595,Sound,audio/mpeg,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Women in chemistry oral histories,https://n2t.net/ark:/87292/w9qv3c905,,,reformatted digital
WCOH_MS0650_AV205399,wcohms0650av205399,wcoh,audio,,0,AV205399_Craver_1.mp3; AV205399_Craver_2.mp3; AV205399_Craver_3.mp3,av205399_craver_1.mp3; av205399_craver_2.mp3; av205399_craver_3.mp3,https://iastate.aviaryplatform.com/c/MS0650_AV205399,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/wcoh/small/wise_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/wcoh/thumbs/wise_th.jpg,,,,,Interview with Clara D. Craver,https://n2t.net/ark:/87292/w98911x0s,,,MS 650,Women in Chemistry Oral History Collection,https://n2t.net/ark:/87292/w9n19z,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,"Craver, Clara D.",http://id.loc.gov/authorities/names/n81012134,,,,,Archives of Women in Science and Engineering (Iowa State University),http://id.loc.gov/authorities/names/no2003052660,Part of an oral history project sponsored by the Archives of Women in Science and Engineering (Iowa State University Library) and focused on women who have devoted their careers to the study of chemistry in the post-World War II era.,,eng,2000s,,,,,Chemistry; Scientists; Women chemists; Women in chemistry,http://id.worldcat.org/fast/853344; http://id.worldcat.org/fast/1108895; http://id.worldcat.org/fast/1177392; http://id.worldcat.org/fast/1177839,Iowa--Ames,http://id.worldcat.org/fast/1207548,,,,3 audio files,MP3,http://vocab.getty.edu/aat/300312047,oral histories (literary genre),http://vocab.getty.edu/aat/300202595,Sound,audio/mpeg,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,2002-05-24,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Women in chemistry oral histories,https://n2t.net/ark:/87292/w9qv3c905,,,reformatted digital
WCOH_MS0650_AV205402,wcohms0650av205402,wcoh,audio,,0,AV205402_Dort_01.mp3; AV205402_Dort_02.mp3,av205402_dort_01.mp3; av205402_dort_02.mp3,https://iastate.aviaryplatform.com/c/MS0650_AV205402,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/wcoh/small/wise_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/wcoh/thumbs/wise_th.jpg,,,,,Interview with Doris Dort,https://n2t.net/ark:/87292/w94j0b35z,,,MS 650,Women in Chemistry Oral History Collection,https://n2t.net/ark:/87292/w9n19z,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,"Dort, Doris",,,,,,Archives of Women in Science and Engineering (Iowa State University),http://id.loc.gov/authorities/names/no2003052660,Part of an oral history project sponsored by the Archives of Women in Science and Engineering (Iowa State University Library) and focused on women who have devoted their careers to the study of chemistry in the post-World War II era.,,eng,2000s,,,,,Chemistry; Scientists; Women chemists; Women in chemistry,http://id.worldcat.org/fast/853344; http://id.worldcat.org/fast/1108895; http://id.worldcat.org/fast/1177392; http://id.worldcat.org/fast/1177839,Iowa--Ames,http://id.worldcat.org/fast/1207548,,,,2 audio files,MP3,http://vocab.getty.edu/aat/300312047,oral histories (literary genre),http://vocab.getty.edu/aat/300202595,Sound,audio/mpeg,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,2002-05-23,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Women in chemistry oral histories,https://n2t.net/ark:/87292/w9qv3c905,,,reformatted digital
WCOH_MS0650_AV205406,wcohms0650av205406,wcoh,audio,,0,AV205406_Jenny_Glusker.mp3,av205406_jenny_glusker.mp3,https://iastate.aviaryplatform.com/c/MS0650_AV205406,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/wcoh/small/wise_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/wcoh/thumbs/wise_th.jpg,,,,,Interview with Jenny Glusker,https://n2t.net/ark:/87292/w90r9m918,,,MS 650,Women in Chemistry Oral History Collection,https://n2t.net/ark:/87292/w9n19z,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,"Glusker, Jenny Pickworth",http://id.loc.gov/authorities/names/n80033935,,,,,Archives of Women in Science and Engineering (Iowa State University),http://id.loc.gov/authorities/names/no2003052660,Part of an oral history project sponsored by the Archives of Women in Science and Engineering (Iowa State University Library) and focused on women who have devoted their careers to the study of chemistry in the post-World War II era.,,eng,2000s,,,,,Chemistry; Scientists; Women chemists; Women in chemistry,http://id.worldcat.org/fast/853344; http://id.worldcat.org/fast/1108895; http://id.worldcat.org/fast/1177392; http://id.worldcat.org/fast/1177839,Iowa--Ames,http://id.worldcat.org/fast/1207548,,,,1 audio file,MP3,http://vocab.getty.edu/aat/300312047,oral histories (literary genre),http://vocab.getty.edu/aat/300202595,Sound,audio/mpeg,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,2001,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Women in chemistry oral histories,https://n2t.net/ark:/87292/w9qv3c905,,,reformatted digital
WCOH_MS0650_AV205408,wcohms0650av205408,wcoh,audio,,0,AV205408_Sandra_Greer_A.mp3; AV205408_Sandra_Greer_B.mp3,av205408_sandra_greer_a.mp3; av205408_sandra_greer_b.mp3,https://iastate.aviaryplatform.com/c/MS0650_AV205408,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/wcoh/small/wise_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/wcoh/thumbs/wise_th.jpg,,,,,Interview with Sandra Greer,https://n2t.net/ark:/87292/w9w08wn6k,,,MS 650,Women in Chemistry Oral History Collection,https://n2t.net/ark:/87292/w9n19z,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,"Greer, Sandra",http://id.loc.gov/authorities/names/n89620020,,,,,Archives of Women in Science and Engineering (Iowa State University),http://id.loc.gov/authorities/names/no2003052660,Part of an oral history project sponsored by the Archives of Women in Science and Engineering (Iowa State University Library) and focused on women who have devoted their careers to the study of chemistry in the post-World War II era.,,eng,2000s,,,,,Chemistry; Scientists; Women chemists; Women in chemistry,http://id.worldcat.org/fast/853344; http://id.worldcat.org/fast/1108895; http://id.worldcat.org/fast/1177392; http://id.worldcat.org/fast/1177839,Iowa--Ames,http://id.worldcat.org/fast/1207548,,,,2 audio files,MP3,http://vocab.getty.edu/aat/300312047,oral histories (literary genre),http://vocab.getty.edu/aat/300202595,Sound,audio/mpeg,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,2002,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Women in chemistry oral histories,https://n2t.net/ark:/87292/w9qv3c905,,,reformatted digital
WCOH_MS0650_AV205411,wcohms0650av205411,wcoh,audio,,0,AV205411_Darleane_C_Hoffman_1_a.mp3; AV205411_Darleane_C_Hoffman_1_b.mp3; AV205411_Darleane_C_Hoffman_2_a.mp3,av205411_darleane_c_hoffman_1_a.mp3; av205411_darleane_c_hoffman_1_b.mp3; av205411_darleane_c_hoffman_2_a.mp3,https://iastate.aviaryplatform.com/c/MS0650_AV205411,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/wcoh/small/wise_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/wcoh/thumbs/wise_th.jpg,,,,,Interview with Darleane C. Hoffman,https://n2t.net/ark:/87292/w9r785v39,,,MS 650,Women in Chemistry Oral History Collection,https://n2t.net/ark:/87292/w9n19z,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,"Hoffman, Darleane C.",http://id.loc.gov/authorities/names/nb99125415,,,,,Archives of Women in Science and Engineering (Iowa State University),http://id.loc.gov/authorities/names/no2003052660,Part of an oral history project sponsored by the Archives of Women in Science and Engineering (Iowa State University Library) and focused on women who have devoted their careers to the study of chemistry in the post-World War II era.,,eng,1990s,,,,,Chemistry; Scientists; Women chemists; Women in chemistry,http://id.worldcat.org/fast/853344; http://id.worldcat.org/fast/1108895; http://id.worldcat.org/fast/1177392; http://id.worldcat.org/fast/1177839,Iowa--Ames,http://id.worldcat.org/fast/1207548,,,,3 audio files,MP3,http://vocab.getty.edu/aat/300312047,oral histories (literary genre),http://vocab.getty.edu/aat/300202595,Sound,audio/mpeg,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,1998,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Women in chemistry oral histories,https://n2t.net/ark:/87292/w9qv3c905,,,reformatted digital
WCOH_MS0650_AV205415,wcohms0650av205415,wcoh,audio,,0,AV205415_Madeleine_Joullie_1_a.mp3; AV205415_Madeleine_Joullie_2_a.mp3,av205415_madeleine_joullie_1_a.mp3; av205415_madeleine_joullie_2_a.mp3,https://iastate.aviaryplatform.com/c/MS0650_AV205415,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/wcoh/small/wise_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/wcoh/thumbs/wise_th.jpg,,,,,Interview with Madeleine Joullié,https://n2t.net/ark:/87292/w9mk65f1d,,,MS 650,Women in Chemistry Oral History Collection,https://n2t.net/ark:/87292/w9n19z,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,"Joullié, Madeleine",http://id.loc.gov/authorities/names/no2003044430,,,,,Archives of Women in Science and Engineering (Iowa State University),http://id.loc.gov/authorities/names/no2003052660,Part of an oral history project sponsored by the Archives of Women in Science and Engineering (Iowa State University Library) and focused on women who have devoted their careers to the study of chemistry in the post-World War II era.,,eng,2000s,,,,,Chemistry; Scientists; Women chemists; Women in chemistry,http://id.worldcat.org/fast/853344; http://id.worldcat.org/fast/1108895; http://id.worldcat.org/fast/1177392; http://id.worldcat.org/fast/1177839,Iowa--Ames,http://id.worldcat.org/fast/1207548,,,,2 audio files,MP3,http://vocab.getty.edu/aat/300312047,oral histories (literary genre),http://vocab.getty.edu/aat/300202595,Sound,audio/mpeg,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,2002,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Women in chemistry oral histories,https://n2t.net/ark:/87292/w9qv3c905,,,reformatted digital
WCOH_MS0650_AV205417,wcohms0650av205417,wcoh,audio,,0,AV205417_Reatha_Clark_King_1_a.mp3; AV205417_Reatha_Clark_King_1_b.mp3; AV205417_Reatha_Clark_King_2_a.mp3; AV205417_Reatha_Clark_King_2_b.mp3,av205417_reatha_clark_king_1_a.mp3; av205417_reatha_clark_king_1_b.mp3; av205417_reatha_clark_king_2_a.mp3; av205417_reatha_clark_king_2_b.mp3,https://iastate.aviaryplatform.com/c/MS0650_AV205417,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/wcoh/small/wise_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/wcoh/thumbs/wise_th.jpg,,,,,Interview with Reatha Clark King,https://n2t.net/ark:/87292/w9gt5fm84,,,MS 650,Women in Chemistry Oral History Collection,https://n2t.net/ark:/87292/w9n19z,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,"King, Reatha Clark, 1938-",http://id.loc.gov/authorities/names/no2009159717,,,,,Archives of Women in Science and Engineering (Iowa State University),http://id.loc.gov/authorities/names/no2003052660,Part of an oral history project sponsored by the Archives of Women in Science and Engineering (Iowa State University Library) and focused on women who have devoted their careers to the study of chemistry in the post-World War II era.,,eng,,,,,,Chemistry; Scientists; Women chemists; Women in chemistry,http://id.worldcat.org/fast/853344; http://id.worldcat.org/fast/1108895; http://id.worldcat.org/fast/1177392; http://id.worldcat.org/fast/1177839,Iowa--Ames,http://id.worldcat.org/fast/1207548,,,,4 audio files,MP3,http://vocab.getty.edu/aat/300312047,oral histories (literary genre),http://vocab.getty.edu/aat/300202595,Sound,audio/mpeg,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Women in chemistry oral histories,https://n2t.net/ark:/87292/w9qv3c905,,,reformatted digital
WCOH_MS0650_AV205424,wcohms0650av205424,wcoh,audio,,0,AV205424_Mandl_1.mp3; AV205424_Mandl_2.mp3,av205424_mandl_1.mp3; av205424_mandl_2.mp3,https://iastate.aviaryplatform.com/c/MS0650_AV205424,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/wcoh/small/wise_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/wcoh/thumbs/wise_th.jpg,,,,,Interview with Ines Mandl,https://n2t.net/ark:/87292/w9c24qt49,,,MS 650,Women in Chemistry Oral History Collection,https://n2t.net/ark:/87292/w9n19z,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,"Mandl, Ines",,,,,,Archives of Women in Science and Engineering (Iowa State University),http://id.loc.gov/authorities/names/no2003052660,Part of an oral history project sponsored by the Archives of Women in Science and Engineering (Iowa State University Library) and focused on women who have devoted their careers to the study of chemistry in the post-World War II era.,,eng,2000s,,,,,Chemistry; Scientists; Women chemists; Women in chemistry,http://id.worldcat.org/fast/853344; http://id.worldcat.org/fast/1108895; http://id.worldcat.org/fast/1177392; http://id.worldcat.org/fast/1177839,Iowa--Ames,http://id.worldcat.org/fast/1207548,,,,2 audio files,MP3,http://vocab.getty.edu/aat/300312047,oral histories (literary genre),http://vocab.getty.edu/aat/300202595,Sound,audio/mpeg,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,2003-12-12,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Women in chemistry oral histories,https://n2t.net/ark:/87292/w9qv3c905,,,reformatted digital
