legacy_id,objectid,collectionid,display_template,parentid,sequence,pres_file,filename,object_location,image_alt_text,image_small,image_thumb,object_ocr,object_hocr,object_transcript,object_pdf,title,ark,avian_id,uid,call_number,archival_collection,finding_aid_ark,archival_series_title,folder_title,box,folder_num,contributing_institution,contributing_institution_uri,personal_creator,personal_creator_uri,corporate_creator,corporate_creator_uri,interviewee,interviewee_uri,interviewer,interviewer_uri,personal_contributor,personal_contributor_uri,corporate_contributor,corporate_contributor_uri,description,disclaimer,language,chronological_subject,personal_name_subject,personal_name_subject_uri,corporate_name_subject,corporate_name_subject_uri,subject,subject_uri,location,location_uri,latitude,longitude,geodetic_datum,extent,medium,medium_uri,genre,genre_uri,type,format,rights,rightsstatement,date,date_digital,publisher,publisher_uri,issuance,issuance_start,issuance_end,frequency,digital_collection,digital_collection_ark,relation,relation_uri,digital_origin
WeAreISU_2,weareisu2,weareisu,complex,,0,,,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/weareisu/small/rs0012db030i011_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/weareisu/thumbs/rs0012db030i011_th.jpg,,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/weareisu/pdf/weareisu2.pdf,Photograph of students listening to a speaker during an anti-war protest,https://n2t.net/ark:/87292/w9b27pr0w,,,RS 0/12/0,Iowa State University Political Demonstrations collection,https://n2t.net/ark:/87292/w9rj5j,,,30,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,"Photograph taken from the stairs of Curtis Hall, showing students attending an anti-war/pro-peace rally in response to the Kent State shooting. This rally took place before law enforcement or the Board of Regents began objecting to the nature of the protests.",,eng,1970s,,,Iowa State University,http://id.loc.gov/authorities/names/n81041658,Students--Political activity;Protest movements,http://id.worldcat.org/fast/1136098;http://id.worldcat.org/fast/1079826,Iowa--Ames;Iowa--Story County,http://id.worldcat.org/fast/1207548;http://id.worldcat.org/fast/1221286,,,,1 item,,,photographs,http://vocab.getty.edu/aat/300046300,Text,image/jpeg,"This item is protected by copyright and related rights. However, the rights-holder is unidentified or unlocatable. If you have information that can contribute to identifying or locating the rights-holder, please notify the Iowa State University Library, Digital Scholarship and Initiatives.",http://rightsstatements.org/vocab/InC-RUU/1.0/,1970,2019-01-03,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,We are ISU student life photographs,https://n2t.net/ark:/87292/w9rr1pm4c,,,reformatted digital; Digitized with Plustek
WeAreISU_0,weareisu0,weareisu,child,weareisu2,1,RS0012Db030i011.tif,rs0012db030i011.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/weareisu/rs0012db030i011.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/weareisu/small/rs0012db030i011_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/weareisu/thumbs/rs0012db030i011_th.jpg,,,,,Front,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,We are ISU student life photographs,https://n2t.net/ark:/87292/w9rr1pm4c,,,reformatted digital
WeAreISU_1,weareisu1,weareisu,child,weareisu2,2,RS0012Db030i012.tif,rs0012db030i012.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/weareisu/rs0012db030i012.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/weareisu/small/rs0012db030i012_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/weareisu/thumbs/rs0012db030i012_th.jpg,,,,,Back,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,We are ISU student life photographs,https://n2t.net/ark:/87292/w9rr1pm4c,,,reformatted digital
WeAreISU_14,weareisu14,weareisu,complex,,0,,,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/weareisu/small/rs070504b001f019i001_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/weareisu/thumbs/rs070504b001f019i001_th.jpg,,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/weareisu/pdf/weareisu14.pdf,Black Cultural Center,https://n2t.net/ark:/87292/w9696zx7m,,,RS 7/5/4,Iowa State University. Black Cultural Center records,https://n2t.net/ark:/87292/w9rx9v,,,1,19,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,Iowa State University. Black Cultural Center,,,,,,,,,,"Brochure describing the purpose, function, activities, and services associated with the Black Cultural Center at Iowa State University.",,eng,1970s,,,,,Culture;College students;African Americans;Black people,http://id.worldcat.org/fast/885059;http://id.worldcat.org/fast/867976;http://id.worldcat.org/fast/799558;http://id.worldcat.org/fast/833880,Iowa--Ames;Iowa--Story County,http://id.worldcat.org/fast/1207548;http://id.worldcat.org/fast/1221286,,,,11 pages,,,brochures,http://vocab.getty.edu/aat/300248280,Text,image/jpeg,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,1973,2019-01-03,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,We are ISU student life photographs,https://n2t.net/ark:/87292/w9rr1pm4c,,,reformatted digital; Digitized with Plustek
WeAreISU_3,weareisu3,weareisu,child,weareisu14,1,RS070504b001f019i001.tif,rs070504b001f019i001.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/weareisu/rs070504b001f019i001.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/weareisu/small/rs070504b001f019i001_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/weareisu/thumbs/rs070504b001f019i001_th.jpg,,,,,Page 1,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,We are ISU student life photographs,https://n2t.net/ark:/87292/w9rr1pm4c,,,reformatted digital
WeAreISU_4,weareisu4,weareisu,child,weareisu14,2,RS070504b001f019i002.tif,rs070504b001f019i002.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/weareisu/rs070504b001f019i002.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/weareisu/small/rs070504b001f019i002_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/weareisu/thumbs/rs070504b001f019i002_th.jpg,,,,,Page 2,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,We are ISU student life photographs,https://n2t.net/ark:/87292/w9rr1pm4c,,,reformatted digital
WeAreISU_5,weareisu5,weareisu,child,weareisu14,3,RS070504b001f019i003.tif,rs070504b001f019i003.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/weareisu/rs070504b001f019i003.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/weareisu/small/rs070504b001f019i003_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/weareisu/thumbs/rs070504b001f019i003_th.jpg,,,,,Page 3,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,We are ISU student life photographs,https://n2t.net/ark:/87292/w9rr1pm4c,,,reformatted digital
WeAreISU_6,weareisu6,weareisu,child,weareisu14,4,RS070504b001f019i004.tif,rs070504b001f019i004.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/weareisu/rs070504b001f019i004.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/weareisu/small/rs070504b001f019i004_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/weareisu/thumbs/rs070504b001f019i004_th.jpg,,,,,Page 4,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,We are ISU student life photographs,https://n2t.net/ark:/87292/w9rr1pm4c,,,reformatted digital
WeAreISU_7,weareisu7,weareisu,child,weareisu14,5,RS070504b001f019i005.tif,rs070504b001f019i005.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/weareisu/rs070504b001f019i005.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/weareisu/small/rs070504b001f019i005_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/weareisu/thumbs/rs070504b001f019i005_th.jpg,,,,,Page 5,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,We are ISU student life photographs,https://n2t.net/ark:/87292/w9rr1pm4c,,,reformatted digital
WeAreISU_8,weareisu8,weareisu,child,weareisu14,6,RS070504b001f019i006.tif,rs070504b001f019i006.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/weareisu/rs070504b001f019i006.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/weareisu/small/rs070504b001f019i006_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/weareisu/thumbs/rs070504b001f019i006_th.jpg,,,,,Page 6,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,We are ISU student life photographs,https://n2t.net/ark:/87292/w9rr1pm4c,,,reformatted digital
