legacy_id,objectid,collectionid,display_template,parentid,sequence,pres_file,filename,object_location,image_alt_text,image_small,image_thumb,object_ocr,object_hocr,object_transcript,object_pdf,title,ark,avian_id,uid,call_number,archival_collection,finding_aid_ark,archival_series_title,folder_title,box,folder_num,contributing_institution,contributing_institution_uri,personal_creator,personal_creator_uri,corporate_creator,corporate_creator_uri,interviewee,interviewee_uri,interviewer,interviewer_uri,personal_contributor,personal_contributor_uri,corporate_contributor,corporate_contributor_uri,description,disclaimer,language,chronological_subject,personal_name_subject,personal_name_subject_uri,corporate_name_subject,corporate_name_subject_uri,subject,subject_uri,location,location_uri,latitude,longitude,geodetic_datum,extent,medium,medium_uri,genre,genre_uri,type,format,rights,rightsstatement,date,date_digital,publisher,publisher_uri,issuance,issuance_start,issuance_end,frequency,digital_collection,digital_collection_ark,relation,relation_uri,digital_origin
WelchMary_53,welchmary53,welchmary,complex,,0,,,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/welchmary/small/12-03-11_welch_001-001-001-001_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/welchmary/thumbs/12-03-11_welch_001-001-001-001_th.jpg,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/welchmary/transcripts/welchmary53.txt,https://isuu00001library102stg.blob.core.windows.net/digital-objects/welchmary/pdf/welchmary53.pdf,Biographical data,https://n2t.net/ark:/87292/w9h813,,,RS 12/3/11,Mary Beaumont Welch papers,https://n2t.net/ark:/87292/w9cf7v,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,"Contains biographical information including an article from the Alumnus, radio address by Ralph K. Bliss, and memorials given by various individuals including O. H. Cessna, President Raymond A. Pearson, and Herman Knapp.",,eng,,"Welch, Mary B. (Mary Beaumont), 1840-1923",http://id.loc.gov/authorities/names/n87833612,Iowa Agricultural College,http://id.loc.gov/authorities/names/n86021134,,,,,,,,28 x 22 cm,,,biographies (literary genre),http://vocab.getty.edu/aat/300080102,Text,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,1876/1953,2012-12-13,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Mary B. Welch papers,https://n2t.net/ark:/87292/w94746r2s,,,reformatted digital
WelchMary_0,welchmary0,welchmary,child,welchmary53,1,12-03-11_Welch_001-001-001-001.tif,12-03-11_welch_001-001-001-001.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/welchmary/12-03-11_welch_001-001-001-001.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/welchmary/small/12-03-11_welch_001-001-001-001_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/welchmary/thumbs/12-03-11_welch_001-001-001-001_th.jpg,,,,,Page 1,,,,RS 12/3/11,Mary Beaumont Welch papers,https://n2t.net/ark:/87292/w9cf7v,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Mary B. Welch papers,https://n2t.net/ark:/87292/w94746r2s,,,reformatted digital
WelchMary_1,welchmary1,welchmary,child,welchmary53,2,12-03-11_Welch_001-001-001-002.tif,12-03-11_welch_001-001-001-002.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/welchmary/12-03-11_welch_001-001-001-002.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/welchmary/small/12-03-11_welch_001-001-001-002_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/welchmary/thumbs/12-03-11_welch_001-001-001-002_th.jpg,,,,,Page 2,,,,RS 12/3/11,Mary Beaumont Welch papers,https://n2t.net/ark:/87292/w9cf7v,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Mary B. Welch papers,https://n2t.net/ark:/87292/w94746r2s,,,reformatted digital
WelchMary_2,welchmary2,welchmary,child,welchmary53,3,12-03-11_Welch_001-001-001-003.tif,12-03-11_welch_001-001-001-003.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/welchmary/12-03-11_welch_001-001-001-003.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/welchmary/small/12-03-11_welch_001-001-001-003_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/welchmary/thumbs/12-03-11_welch_001-001-001-003_th.jpg,,,,,Page 3,,,,RS 12/3/11,Mary Beaumont Welch papers,https://n2t.net/ark:/87292/w9cf7v,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Mary B. Welch papers,https://n2t.net/ark:/87292/w94746r2s,,,reformatted digital
WelchMary_3,welchmary3,welchmary,child,welchmary53,4,12-03-11_Welch_001-001-001-004.tif,12-03-11_welch_001-001-001-004.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/welchmary/12-03-11_welch_001-001-001-004.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/welchmary/small/12-03-11_welch_001-001-001-004_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/welchmary/thumbs/12-03-11_welch_001-001-001-004_th.jpg,,,,,Page 4,,,,RS 12/3/11,Mary Beaumont Welch papers,https://n2t.net/ark:/87292/w9cf7v,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Mary B. Welch papers,https://n2t.net/ark:/87292/w94746r2s,,,reformatted digital
WelchMary_4,welchmary4,welchmary,child,welchmary53,5,12-03-11_Welch_001-001-001-005.tif,12-03-11_welch_001-001-001-005.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/welchmary/12-03-11_welch_001-001-001-005.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/welchmary/small/12-03-11_welch_001-001-001-005_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/welchmary/thumbs/12-03-11_welch_001-001-001-005_th.jpg,,,,,Page 5,,,,RS 12/3/11,Mary Beaumont Welch papers,https://n2t.net/ark:/87292/w9cf7v,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Mary B. Welch papers,https://n2t.net/ark:/87292/w94746r2s,,,reformatted digital
WelchMary_5,welchmary5,welchmary,child,welchmary53,6,12-03-11_Welch_001-001-002-001.tif,12-03-11_welch_001-001-002-001.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/welchmary/12-03-11_welch_001-001-002-001.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/welchmary/small/12-03-11_welch_001-001-002-001_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/welchmary/thumbs/12-03-11_welch_001-001-002-001_th.jpg,,,,,Page 6,,,,RS 12/3/11,Mary Beaumont Welch papers,https://n2t.net/ark:/87292/w9cf7v,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Mary B. Welch papers,https://n2t.net/ark:/87292/w94746r2s,,,reformatted digital
WelchMary_6,welchmary6,welchmary,child,welchmary53,7,12-03-11_Welch_001-001-003-001.tif,12-03-11_welch_001-001-003-001.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/welchmary/12-03-11_welch_001-001-003-001.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/welchmary/small/12-03-11_welch_001-001-003-001_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/welchmary/thumbs/12-03-11_welch_001-001-003-001_th.jpg,,,,,Page 7,,,,RS 12/3/11,Mary Beaumont Welch papers,https://n2t.net/ark:/87292/w9cf7v,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Mary B. Welch papers,https://n2t.net/ark:/87292/w94746r2s,,,reformatted digital
WelchMary_7,welchmary7,welchmary,child,welchmary53,8,12-03-11_Welch_001-001-003-002.tif,12-03-11_welch_001-001-003-002.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/welchmary/12-03-11_welch_001-001-003-002.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/welchmary/small/12-03-11_welch_001-001-003-002_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/welchmary/thumbs/12-03-11_welch_001-001-003-002_th.jpg,,,,,Page 8,,,,RS 12/3/11,Mary Beaumont Welch papers,https://n2t.net/ark:/87292/w9cf7v,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Mary B. Welch papers,https://n2t.net/ark:/87292/w94746r2s,,,reformatted digital
WelchMary_8,welchmary8,welchmary,child,welchmary53,9,12-03-11_Welch_001-001-003-003.tif,12-03-11_welch_001-001-003-003.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/welchmary/12-03-11_welch_001-001-003-003.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/welchmary/small/12-03-11_welch_001-001-003-003_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/welchmary/thumbs/12-03-11_welch_001-001-003-003_th.jpg,,,,,Page 9,,,,RS 12/3/11,Mary Beaumont Welch papers,https://n2t.net/ark:/87292/w9cf7v,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Mary B. Welch papers,https://n2t.net/ark:/87292/w94746r2s,,,reformatted digital
WelchMary_9,welchmary9,welchmary,child,welchmary53,10,12-03-11_Welch_001-001-004-001.tif,12-03-11_welch_001-001-004-001.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/welchmary/12-03-11_welch_001-001-004-001.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/welchmary/small/12-03-11_welch_001-001-004-001_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/welchmary/thumbs/12-03-11_welch_001-001-004-001_th.jpg,,,,,Page 10,,,,RS 12/3/11,Mary Beaumont Welch papers,https://n2t.net/ark:/87292/w9cf7v,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Mary B. Welch papers,https://n2t.net/ark:/87292/w94746r2s,,,reformatted digital
WelchMary_10,welchmary10,welchmary,child,welchmary53,11,12-03-11_Welch_001-001-004-002.tif,12-03-11_welch_001-001-004-002.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/welchmary/12-03-11_welch_001-001-004-002.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/welchmary/small/12-03-11_welch_001-001-004-002_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/welchmary/thumbs/12-03-11_welch_001-001-004-002_th.jpg,,,,,Page 11,,,,RS 12/3/11,Mary Beaumont Welch papers,https://n2t.net/ark:/87292/w9cf7v,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Mary B. Welch papers,https://n2t.net/ark:/87292/w94746r2s,,,reformatted digital
